showgirls is the second major outing for the production team of pual verhoeven , director , and joe eszterhas , writer . 	Translation	Positive	Negative	EmotionRationale
his most recent three movies , robocop , total recall , and basic instinct , have been a progression of back-door access to american culture , moving from the fantastic through the merely psychotic to the underlying basic drives ; and now he's exploring the sleeze . 	his most recent three movies , robocop , total recall , and basic instinct , have been a progression of back-door access to american culture , moving from the fantastic through the merely psychotic to the underlying basic drives ; and now he's exploring the sleeze .	3	-1	 his[0] most[0] recent[0] three[0] movies[0] robocop[0] total[0] recall[0] and[0] basic[0] instinct[0] have[0] been[0] a[0] progression[0] of[0] back[0] door[0] access[0] to[0] american[0] culture[0] moving[0] from[0] the[0] fantastic[2] through[0] the[0] merely[0] psychotic[0] to[0] the[0] underlying[0] basic[0] drives[0] and[0] now[0] he's[0] exploring[0] the[0] sleeze[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this movie may be the first movie ever made for which the director's contract contained a specific provision that he would not have to deliver an r rated movie . 	this movie may be the first movie ever made for which the director's contract contained a specific provision that he would not have to deliver an are rated movie .	1	-1	 this[0] movie[0] may[0] be[0] the[0] first[0] movie[0] ever[0] made[0] for[0] which[0] the[0] director's[0] contract[0] contained[0] a[0] specific[0] provision[0] that[0] he[0] would[0] not[0] have[0] to[0] deliver[0] an[0] r[0] rated[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( verhoeven had to cut several parts of basic instinct to get an r rating , although his original version is available on video . ) 	 ( verhoeven had to cut several parts of basic instinct to get an are rating , although his original version is available on video .<br> )	1	-1	 verhoeven[0] had[0] to[0] cut[0] several[0] parts[0] of[0] basic[0] instinct[0] to[0] get[0] an[0] r[0] rating[0] although[0] his[0] original[0] version[0] is[0] available[0] on[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many reviewers have taken the politically-correct stance that any movie which uses naked ladies as scenery is a bad thing ; but they miss the fact that this movie is not about naked ladies , it's about people in an environment where naked ladies are common , and why such an environment should exist . 	many reviewers have taken the politically-correct stance that any movie which uses naked ladies as scenery is a bad thing ; but they miss the fact that this movie is not about naked ladies , it's about people in an environment where naked ladies are common , and why such an environment should exist .	2	-2	 many[0] reviewers[0] have[0] taken[0] the[0] politically[0] correct[0] stance[0] that[0] any[0] movie[0] which[0] uses[0] naked[0] ladies[0] as[0] scenery[0] is[0] a[0] bad[-1] thing[0] but[0] they[0] miss[-1] the[0] fact[0] that[0] this[0] movie[0] is[0] not[0] about[0] naked[0] ladies[0] it's[0] about[0] people[0] in[0] an[0] environment[0] where[0] naked[0] ladies[0] are[0] common[0] and[0] why[0] such[0] an[0] environment[0] should[0] exist[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
it's about the scum who use other people as power-trip toys , and the need to escape their power . 	it's about the scum who use other people as power-trip toys , and the need to escape their power .	1	-3	 it's[0] about[0] the[0] scum[-2] who[0] use[0] other[0] people[0] as[0] power[0] trip[0] toys[0] and[0] the[0] need[0] to[0] escape[0] their[0] power[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's about a world where sex is nothing and normal human values don't pertain ; and the lack of sexual excitement and passionate heat in even the most blatant scenes is something of an accomplishment . 	it's about a world where sex is nothing and normal human values don't pertain ; and the lack of sexual excitement and passionate heat in even the most blatant scenes is something of an accomplishment .	3	-2	 it's[0] about[0] a[0] world[0] where[0] sex[0] is[0] nothing[0] and[0] normal[0] human[0] values[1] don't[0] pertain[0] and[0] the[0] lack[-1] of[0] sexual[0] excitement[2] and[0] passionate[2] heat[0] in[0] even[0] the[0] most[0] blatant[-1] scenes[0] is[0] something[0] of[0] an[0] accomplishment[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
an nc-17 movie which isn't sexually exciting says a great deal about the phoniness and emptiness of a social stratum where sex has been robbed of any kind of beauty , power , or value . 	an nc-17 movie which isn't sexually exciting says a great deal about the phoniness and emptiness of a social stratum where sex has been robbed of any kind of beauty , power , or value .	3	-3	 an[0] nc[0] -17[0] movie[0] which[0] isn't[0] sexually[0] exciting[2][NegatedDueToPreviousWord] says[0] a[0] great[2] deal[0] about[0] the[0] phoniness[0] and[0] emptiness[-2] of[0] a[0] social[0] stratum[0] where[0] sex[0] has[0] been[0] robbed[0] of[0] any[0] kind[1] of[0] beauty[2] power[0] or[0] value[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the one scene in the movie that * could * have been a good sex scene , berkley and maclachlan in a swimming pool , is not exciting , because by then we already know his character is a callous manipulator . 	the one scene in the movie that * could * have been a good sex scene , berkley and maclachlan in a swimming pool , is not exciting , because by then we already know his character is a callous manipulator .	2	-4	 the[0] one[0] scene[0] in[0] the[0] movie[0] that[0] could[0] have[0] been[0] a[0] good[1] sex[0] scene[0] berkley[0] and[0] maclachlan[0] in[0] a[0] swimming[0] pool[0] is[0] not[0] exciting[2][NegatedDueToPreviousWord] because[0] by[0] then[0] we[0] already[0] know[0] his[0] character[0] is[0] a[0] callous[-3] manipulator[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if anything , it's a rape scene with a victim who's been duped into cooperation . 	if anything , it's a rape scene with a victim who's been duped into cooperation .	1	-4	 if[0] anything[0] it's[0] a[0] rape[-3] scene[0] with[0] a[0] victim[-2] who's[0] been[0] duped[0] into[0] cooperation[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you don't make a movie about the history of black people in america without using a few black actors ; you don't make a movie about world war ii without a few guns going off and a few people getting killed ; and you don't make a movie about las vegas showgirls without showing a few las vegas showgirls . . . 	you don't make a movie about the history of black people in america without using a few black actors ; you don't make a movie about world war i without a few guns going off and a few people getting killed ; and you don't make a movie about las vegas showgirls without showing a few las vegas showgirls .<br> .<br> .	1	-4	 you[0] don't[0] make[0] a[0] movie[0] about[0] the[0] history[0] of[0] black[0] people[0] in[0] america[0] without[0] using[0] a[0] few[0] black[0] actors[0] you[0] don't[0] make[0] a[0] movie[0] about[0] world[0] war[-2] ii/i[0] without[0] a[0] few[0] guns[-1] going[0] off[0] and[0] a[0] few[0] people[0] getting[0] killed[-3] and[0] you[0] don't[0] make[0] a[0] movie[0] about[0] las[0] vegas[0] showgirls[0] without[0] showing[0] a[0] few[0] las[0] vegas[0] showgirls[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and in an awful lot of vegas shows , an awful lot of ladies wear very little clothing . 	and in an awful lot of vegas shows , an awful lot of ladies wear very little clothing .	1	-4	 and[0] in[0] an[0] awful[-3] lot[0] of[0] vegas[0] shows[0] an[0] awful[-3] lot[0] of[0] ladies[0] wear[0] very[0] little[0] clothing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is a legitimate portrayal of a rather seamy side of the entertainment industry , in a town where sex is simply a negotiable commodity . 	this is a legitimate portrayal of a rather seamy side of the entertainment industry , in a town where sex is simply a negotiable commodity .	1	-1	 this[0] is[0] a[0] legitimate[0] portrayal[0] of[0] a[0] rather[0] seamy[0] side[0] of[0] the[0] entertainment[0] industry[0] in[0] a[0] town[0] where[0] sex[0] is[0] simply[0] a[0] negotiable[0] commodity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
showgirls de-glamorizes the las vegas show and sex industries with great effectiveness . 	showgirls de-glamorizes the las vegas show and sex industries with great effectiveness .	3	-1	 showgirls[0] de[0] glamorizes[1] the[0] las[0] vegas[0] show[0] and[0] sex[0] industries[0] with[0] great[2] effectiveness[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nomi is played , in a very good performance , by elizabeth berkley , who gives us a solid picture of a woman with limited talents who's at the end of her rope , desperate to live a life better than the one she's known . 	nomi is played , in a very good performance , by elizabeth berkley , who gives us a solid picture of a woman with limited talents who's at the end of her rope , desperate to live a life better than the one she's known .	3	-3	 nomi[0] is[0] played[0] in[0] a[0] very[0] good[1][1 LastWordBoosterStrength] performance[0] by[0] elizabeth[0] berkley[0] who[0] gives[0] us[0] a[0] solid[0] picture[0] of[0] a[0] woman[0] with[0] limited[0] talents[1] who's[0] at[0] the[0] end[0] of[0] her[0] rope[0] desperate[-2] to[0] live[0] a[0] life[0] better[0] than[0] the[0] one[0] she's[0] known[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
she has nothing to market except her body and her limited dancing ability , and is trying desperately not to to be a hooker , trying to be something better than she seems destined to be . 	she has nothing to market except her body and her limited dancing ability , and is trying desperately not to to be a hooker , trying to be something better than she seems destined to be .	1	-3	 she[0] has[0] nothing[0] to[0] market[0] except[0] her[0] body[0] and[0] her[0] limited[0] dancing[0] ability[0] and[0] is[0] trying[0] desperately[-2] not[0] to[0] to[0] be[0] a[0] hooker[0] trying[0] to[0] be[0] something[0] better[0] than[0] she[0] seems[0] destined[0] to[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when nomi realizes she's gone too far for too little , she catches herself just in time to save the most essential part of who she wants to be . 	when nomi realizes she's gone too far for too little , she catches herself just in time to save the most essential part of who she wants to be .	2	-1	 when[0] nomi[0] realizes[0] she's[0] gone[0] too[0] far[0] for[0] too[0] little[0] she[0] catches[0] herself[0] just[0] in[0] time[0] to[0] save[1] the[0] most[0] essential[0] part[0] of[0] who[0] she[0] wants[0] to[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gina rivera plays molly , a dressmaker and costumer who befriends nomi , providing her with what may be the one solid , positive relationship in nomi's entire life . 	gina rivera plays molly , a dressmaker and costumer who befriends nomi , providing her with what may be the one solid , positive relationship in nomi's entire life .	3	-1	 gina[0] rivera[0] plays[1] molly[0] a[0] dressmaker[0] and[0] costumer[0] who[0] befriends[0] nomi[0] providing[0] her[0] with[0] what[0] may[0] be[0] the[0] one[0] solid[0] positive[2] relationship[0] in[0] nomi's[0] entire[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
molly is the one who makes the difference , and provides the role model and framework nomi needs to verify the value system she'll be using for the rest of her life , and nomi's feelings for molly are the spur that forces nomi's decision . 	molly is the one who makes the difference , and provides the role model and framework nomi needs to verify the value system she'll be using for the rest of her life , and nomi's feelings for molly are the spur that forces nomi's decision .	2	-1	 molly[0] is[0] the[0] one[0] who[0] makes[0] the[0] difference[0] and[0] provides[0] the[0] role[0] model[0] and[0] framework[0] nomi[0] needs[0] to[0] verify[0] the[0] value[1] system[0] she'll[0] be[0] using[0] for[0] the[0] rest[0] of[0] her[0] life[0] and[0] nomi's[0] feelings[0] for[0] molly[0] are[0] the[0] spur[0] that[0] forces[0] nomi's[0] decision[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gina gershon plays cristal , an aging , but still very attractive starring dancer , a reflexively competitive manipulator who's become a villainess by internalizing the ethos of the crooks and scum around her . 	gina gershon plays cristal , an aging , but still very attractive starring dancer , a reflexively competitive manipulator who's become a villainess by internalizing the ethos of the crooks and scum around her .	3	-3	 gina[0] gershon[0] plays[1] cristal[0] an[0] aging[0] but[0] still[0] very[0] attractive[1][1 LastWordBoosterStrength] starring[0] dancer[0] a[0] reflexively[0] competitive[0] manipulator[-1] who's[0] become[0] a[0] villainess[-2] by[0] internalizing[0] the[0] ethos[0] of[0] the[0] crooks[0] and[0] scum[-2] around[0] her[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
gershon plays cristal as a cross between ava gardner and raquel welch ; a fading talent made bitter by self-awareness . 	gershon plays cristal as a cross between ava gardner and raquel welch ; a fading talent made bitter by self-awareness .	2	-2	 gershon[0] plays[1] cristal[0] as[0] a[0] cross[-1] between[0] ava[0] gardner[0] and[0] raquel[0] welch[0] a[0] fading[0] talent[1] made[0] bitter[-1] by[0] self[0] awareness[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her character is very well drawn and performed ; in a major scene in a hospital room , she acknowledges what she is , and , in essence , passes the torch to nomi . 	her character is very well drawn and performed ; in a major scene in a hospital room , she acknowledges what she is , and , in essence , passes the torch to nomi .	1	-1	 her[0] character[0] is[0] very[0] well[0] drawn[0] and[0] performed[0] in[0] a[0] major[0] scene[0] in[0] a[0] hospital[0] room[0] she[0] acknowledges[0] what[0] she[0] is[0] and[0] in[0] essence[0] passes[0] the[0] torch[0] to[0] nomi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the relationship between the two of them is the most honest one in the movie , and provides part of the impetus nomi needs to follow a different path . 	the relationship between the two of them is the most honest one in the movie , and provides part of the impetus nomi needs to follow a different path .	1	-1	 the[0] relationship[0] between[0] the[0] two[0] of[0] them[0] is[0] the[0] most[0] honest[0] one[0] in[0] the[0] movie[0] and[0] provides[0] part[0] of[0] the[0] impetus[0] nomi[0] needs[0] to[0] follow[0] a[0] different[0] path[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is no accident that the three important parts in this movie are women of different stripe ; molly is an honest , hard-working person who means well , and nearly dies because she confuses the glitter and the image with reality . 	it is no accident that the three important parts in this movie are women of different stripe ; molly is an honest , hard-working person who means well , and nearly dies because she confuses the glitter and the image with reality .	1	-2	 it[0] is[0] no[0] accident[-1] that[0] the[0] three[0] important[0] parts[0] in[0] this[0] movie[0] are[0] women[0] of[0] different[0] stripe[0] molly[0] is[0] an[0] honest[0] hard[0] working[0] person[0] who[0] means[0] well[0] and[0] nearly[0] dies[0] because[0] she[0] confuses[-1] the[0] glitter[0] and[0] the[0] image[0] with[0] reality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cristal is a talented dancer who's compromised her ideals and sold herself to be a co-operating part of the system , exchanging self-respect for the species of stardom that can be had in las vegas . 	cristal is a talented dancer who's compromised her ideals and sold herself to be a co-operating part of the system , exchanging self-respect for the species of stardom that can be had in las vegas .	3	-1	 cristal[0] is[0] a[0] talented[1] dancer[0] who's[0] compromised[0] her[0] ideals[0] and[0] sold[0] herself[0] to[0] be[0] a[0] co[0] operating[0] part[0] of[0] the[0] system[0] exchanging[0] self[0] respect[2] for[0] the[0] species[0] of[0] stardom[0] that[0] can[0] be[0] had[0] in[0] las[0] vegas[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nomi believes she can make it without selling herself , succumbs to a degree , and then realizes she can make it without selling herself , and doesn't need las vegas or its brand of " stardom . " 	nomi believes she can make it without selling herself , succumbs to a degree , and then realizes she can make it without selling herself , and doesn't need las vegas or its brand of " stardom .<br> "	1	-2	 nomi[0] believes[0] she[0] can[0] make[0] it[0] without[0] selling[0] herself[0] succumbs[-1] to[0] a[0] degree[0] and[0] then[0] realizes[0] she[0] can[0] make[0] it[0] without[0] selling[0] herself[0] and[0] doesn't[0] need[0] las[0] vegas[0] or[0] its[0] brand[0] of[0] stardom[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the male parts in this movie are simply props ; they exist only to demonstrate and explicate the cultural milieu against which showgirls exist . 	the male parts in this movie are simply props ; they exist only to demonstrate and explicate the cultural milieu against which showgirls exist .	1	-2	 the[0] male[0] parts[0] in[0] this[0] movie[0] are[0] simply[0] props[0] they[0] exist[0] only[0] to[0] demonstrate[0] and[0] explicate[0] the[0] cultural[0] milieu[0] against[-1] which[0] showgirls[0] exist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kyle maclachlan , whose single best previous work was as an inhumanly emotionless cop in the hidden , gives us a nicely reptilian bit of pond scum on two legs , camouflaged as a nice guy . 	kyle maclachlan , whose single best previous work was as an inhumanly emotionless cop in the hidden , gives us a nicely reptilian bit of pond scum on two legs , camouflaged as a nice guy .	2	-3	 kyle[0] maclachlan[0] whose[0] single[0] best[1] previous[0] work[0] was[0] as[0] an[0] inhumanly[-2] emotionless[0] cop[0] in[0] the[0] hidden[0] gives[0] us[0] a[0] nicely[1] reptilian[0] bit[0] of[0] pond[0] scum[-2] on[0] two[0] legs[0] camouflaged[0] as[0] a[0] nice[1] guy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
glenn plummer plays a dancer who's working as a bellboy , and provides a bit of alternate perspective . 	glen plummer plays a dancer who's working as a bellboy , and provides a bit of alternate perspective .	2	-1	 glenn/glen[0] plummer[0] plays[1] a[0] dancer[0] who's[0] working[0] as[0] a[0] bellboy[0] and[0] provides[0] a[0] bit[0] of[0] alternate[0] perspective[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
plummer's character is the only one in the movie who's maintaining an interest in dance as a performing art , but even he's succumbed to the cult of manipulation . 	plummer's character is the only one in the movie who's maintaining an interest in dance as a performing art , but even he's succumbed to the cult of manipulation .	2	-2	 plummer's[0] character[0] is[0] the[0] only[0] one[0] in[0] the[0] movie[0] who's[0] maintaining[0] an[0] interest[1] in[0] dance[0] as[0] a[0] performing[0] art[0] but[0] even[0] he's[0] succumbed[-1] to[0] the[0] cult[0] of[0] manipulation[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
plummer's character is the closest thing to a sympathetic male character in the whole movie . 	plummer's character is the closest thing to a sympathetic male character in the whole movie .	1	-1	 plummer's[0] character[0] is[0] the[0] closest[0] thing[0] to[0] a[0] sympathetic[0] male[0] character[0] in[0] the[0] whole[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of jost vacano's cinematography is fantastic , and one particular delineation of nomi's character alteration , a no-dialog scene using nothing but color changes in the lighting , is utterly terrifying . 	some of jost vacano's cinematography is fantastic , and one particular delineation of nomi's character alteration , a no-dialog scene using nothing but color changes in the lighting , is utterly terrifying .	3	-4	 some[0] of[0] jost[0] vacano's[0] cinematography[0] is[0] fantastic[2] and[0] one[0] particular[0] delineation[0] of[0] nomi's[0] character[0] alteration[0] a[0] no[0] dialog[0] scene[0] using[0] nothing[0] but[0] color[0] changes[0] in[0] the[0] lighting[0] is[0] utterly[0] terrifying[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this movie is rated nc-17 due to language , sexual situations , full frontal nudity , violence , and probably the costuming as well . 	this movie is rated nc-17 due to language , sexual situations , full frontal nudity , violence , and probably the costuming as well .	1	-4	 this[0] movie[0] is[0] rated[0] nc[0] -17[0] due[0] to[0] language[0] sexual[0] situations[0] full[0] frontal[0] nudity[0] violence[-3] and[0] probably[0] the[0] costuming[0] as[0] well[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i don't see a way this particular story could have been told well without it , and i regard it as a legitimate exercise in movie-making . 	i don't see a way this particular story could have been told well without it , and i regard it as a legitimate exercise in movie-making .	1	-1	 i[0] don't[0] see[0] a[0] way[0] this[0] particular[0] story[0] could[0] have[0] been[0] told[0] well[0] without[0] it[0] and[0] i[0] regard[0] it[0] as[0] a[0] legitimate[0] exercise[0] in[0] movie[0] making[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but don't go see it if you're not in a tough mood ; the only person it's possible to like in this movie ends up in an i . c . u . 	but don't go see it if you're not in a tough mood ; the only person it's possible to like in this movie ends up in an i .<br> c .<br> you .	2	-2	 but[0] don't[0] go[0] see[0] it[0] if[0] you're[0] not[0] in[0] a[0] tough[-1] mood[0] the[0] only[0] person[0] it's[0] possible[0] to[0] like[1] in[0] this[0] movie[0] ends[0] up[0] in[0] an[0] i[0] [[Sentence=-2,2=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] u[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
on life support , and there is probably not one character in this movie you'd enjoy meeting in person . 	on life support , and there is probably not one character in this movie you'd enjoy meeting in person .	3	-1	 on[0] life[0] support[1] and[0] there[0] is[0] probably[0] not[0] one[0] character[0] in[0] this[0] movie[0] you'd[0] enjoy[2] meeting[0] in[0] person[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
