as the film opens up , expectant unwed mother sally ( played by drew barrymore ) encounters her baby's father in a fast food drive-through window . 	Translation	Positive	Negative	EmotionRationale
the father of sally's unborn child also happened to be a married man , whose wife is played by catherine o'hara . 	the father of sally's unborn child also happened to be a married man , whose wife is played by catherine o'hara .	1	-1	 the[0] father[0] of[0] sally's[0] unborn[0] child[0] also[0] happened[0] to[0] be[0] a[0] married[0] man[0] whose[0] wife[0] is[0] played[0] by[0] catherine[0] o'hara[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she does a wonderful portrayal of a jealous wife who is targeting the person who had an affair , and is not above getting other people to do her dirty work . 	she does a wonderful portrayal of a jealous wife who is targeting the person who had an affair , and is not above getting other people to do her dirty work .	3	-3	 she[0] does[0] a[0] wonderful[2] portrayal[0] of[0] a[0] jealous[-2] wife[0] who[0] is[0] targeting[0] the[0] person[0] who[0] had[0] an[0] affair[0] and[0] is[0] not[0] above[0] getting[0] other[0] people[0] to[0] do[0] her[0] dirty[-1] work[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 ( my apologies if this sounds cryptic , but there is too much of the plot to give away ) . 	 ( my apologies if this sounds cryptic , but there is too much of the plot to give away ) .	1	-1	 my[0] apologies[0] if[0] this[0] sounds[0] cryptic[0] but[0] there[0] is[0] too[0] much[0] of[0] the[0] plot[0] to[0] give[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rounding out the cast are jake busey as angus , dorian's overzealous brother and daryl mitchell as roy , dorian's trainer at the fast food restaurant . 	rounding out the cast are jake busey as angus , dorian's overzealous brother and daryl mitchell as roy , dorian's trainer at the fast food restaurant .	1	-1	 rounding[0] out[0] the[0] cast[0] are[0] jake[0] busey[0] as[0] angus[0] dorian's[0] overzealous[0] brother[0] and[0] daryl[0] mitchell[0] as[0] roy[0] dorian's[0] trainer[0] at[0] the[0] fast[0] food[0] restaurant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dialogue is sharp and not filled with sappy overtones , even with the romantic nature of the plot . 	the dialogue is sharp and not filled with sappy overtones , even with the romantic nature of the plot .	4	-1	 the[0] dialogue[0] is[0] sharp[0] and[0] not[0] filled[0] with[0] sappy[0] overtones[0] even[0] with[0] the[0] romantic[3] nature[0] of[0] the[0] plot[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
if there are any complaints , it is over drew barrymore's performance . 	if there are any complaints , it is over drew barrymore's performance .	1	-2	 if[0] there[0] are[0] any[0] complaints[-1] it[0] is[0] over[0] drew[0] barrymore's[0] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while she does light up the screen , there are moments when she doesn't seem all that convincing . 	while she does light up the screen , there are moments when she doesn't seem all that convincing .	1	-1	 while[0] she[0] does[0] light[0] up[0] the[0] screen[0] there[0] are[0] moments[0] when[0] she[0] doesn't[0] seem[0] all[0] that[0] convincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie was filmed in texas , and most of the characters have southern texan accents . 	the movie was filmed in texas , and most of the characters have southern texan accents .	1	-1	 the[0] movie[0] was[0] filmed[0] in[0] texas[0] and[0] most[0] of[0] the[0] characters[0] have[0] southern[0] texan[0] accents[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
drew barrymore's accent tends to come and go ( luke wilson doesn't seem to have this problem ) . 	drew barrymore's accent tends to come and go ( luke wilson doesn't seem to have this problem ) .	1	-2	 drew[0] barrymore's[0] accent[0] tends[0] to[0] come[0] and[0] go[0] luke[0] wilson[0] doesn't[0] seem[0] to[0] have[0] this[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as well , she seems awfully agile for a woman that is eight months pregnant . 	as well , she seems awfully agile for a woman that is eight months pregnant .	1	-4	 as[0] well[0] she[0] seems[0] awfully[-3] agile[0] for[0] a[0] woman[0] that[0] is[0] eight[0] months[0] pregnant[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
still , this movie is one that will please many viewers . 	still , this movie is one that will please many viewers .	2	-1	 still[0] this[0] movie[0] is[0] one[0] that[0] will[0] please[1] many[0] viewers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with plot twists galore and hilarious dark moments , this is sure to entertain . 	with plot twists galore and hilarious dark moments , this is sure to entertain .	3	-1	 with[0] plot[0] twists[0] galore[0] and[0] hilarious[2] dark[0] moments[0] this[0] is[0] sure[0] to[0] entertain[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
