it's no secret in the motion picture industry that the relationship between a script and the actors involved often makes or breaks a movie at the box office . 	Translation	Positive	Negative	EmotionRationale
we're quickly introduced to detective james carter ( tucker ) is a maverick officer for the lapd . 	we're quickly introduced to detective james carter ( tucker ) is a maverick officer for the lapd .	1	-1	 we're[0] quickly[0] introduced[0] to[0] detective[0] james[0] carter[0] tucker[0] is[0] a[0] maverick[0] officer[0] for[0] the[0] lapd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cut forward to another scene where the daughter ( julia hsu ) of the american chinese consul ( tzi ma ) is kidnapped by a gang of swarthy characters . 	cut forward to another scene where the daughter ( julia hsu ) of the american chinese consul ( tzi ma ) is kidnapped by a gang of swarthy characters .	1	-1	 cut[0] forward[0] to[0] another[0] scene[0] where[0] the[0] daughter[0] julia[0] hsu[0] of[0] the[0] american[0] chinese[0] consul[0] tzi[0] ma[0] is[0] kidnapped[0] by[0] a[0] gang[0] of[0] swarthy[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fbi is quick to the rescue , but the consul insists that one of his men , detective inspector lee ( chan ) , be brought on the case to help . 	the fbi is quick to the rescue , but the consul insists that one of his men , detective inspector lee ( chan ) , be brought on the case to help .	1	-1	 the[0] fbi[0] is[0] quick[0] to[0] the[0] rescue[0] but[0] the[0] consul[0] insists[0] that[0] one[0] of[0] his[0] men[0] detective[0] inspector[0] lee[0] chan[0] be[0] brought[0] on[0] the[0] case[0] to[0] help[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fbi resists , but then requests that lapd send a man over to babysit the chinese detective . 	the fbi resists , but then requests that lapd send a man over to babysit the chinese detective .	1	-1	 the[0] fbi[0] resists[0] but[0] then[0] requests[0] that[0] lapd[0] send[0] a[0] man[0] over[0] to[0] babysit[0] the[0] chinese[0] detective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's here that carter and lee hook up , and the two unwittingly solve the case while the fbi rushes in to back them up . 	it's here that carter and lee hook up , and the two unwittingly solve the case while the fbi rushes in to back them up .	1	-1	 it's[0] here[0] that[0] carter[0] and[0] lee[0] hook[0] up[0] and[0] the[0] two[0] unwittingly[0] solve[0] the[0] case[0] while[0] the[0] fbi[0] rushes[0] in[0] to[0] back[0] them[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rattner does a fine job of going the extra mile to get his movie to move a step up , but it doesn't quite reach the top tier of action-comedies like last year's grosse pointe blank . 	rattner does a fine job of going the extra mile to get his movie to move a step up , but it doesn't quite reach the top tier of action-comedies like last year's grosse pointe blank .	3	-2	 rattner[0] does[0] a[0] fine[2] job[0] of[0] going[0] the[0] extra[0] mile[0] to[0] get[0] his[0] movie[0] to[0] move[0] a[0] step[0] up[0] but[0] it[0] doesn't[0] quite[0] reach[0] the[0] top[0] tier[0] of[0] action[0] comedies[0] like[1] last[0] year's[0] grosse[-1] pointe[0] blank[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are moments where the plot strays too far off the straight line it sticks almost exclusively to , and if not for the comedic interactions between tucker and chan , this might be a major drawback . 	there are moments where the plot strays too far off the straight line it sticks almost exclusively to , and if not for the comedic interactions between tucker and chan , this might be a major drawback .	1	-1	 there[0] are[0] moments[0] where[0] the[0] plot[0] strays[0] too[0] far[0] off[0] the[0] straight[0] line[0] it[0] sticks[0] almost[0] exclusively[0] to[0] and[0] if[0] not[0] for[0] the[0] comedic[0] interactions[0] between[0] tucker[0] and[0] chan[0] this[0] might[0] be[0] a[0] major[0] drawback[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , some supporting characters are almost entirely along for the ride , and others are there simply to look menacing . 	also , some supporting characters are almost entirely along for the ride , and others are there simply to look menacing .	1	-1	 also[0] some[0] supporting[1][-1 LastWordBoosterStrength] characters[0] are[0] almost[0] entirely[0] along[0] for[0] the[0] ride[0] and[0] others[0] are[0] there[0] simply[0] to[0] look[0] menacing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , none gives a standoffish performance and they mostly mesh into the background . 	however , none gives a standoffish performance and they mostly mesh into the background .	1	-1	 however[0] none[0] gives[0] a[0] standoffish[0] performance[0] and[0] they[0] mostly[0] mesh[0] into[0] the[0] background[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
almost every member of the cast displays some reservation at one point or another - whether it's tucker's toned-down routine or chan's tight rein on his action sequences - and that contributes greatly to this being a watchable movie for all types . 	almost every member of the cast displays some reservation at one point or another - whether it's tucker's toned-down routine or chan's tight rein on his action sequences - and that contributes greatly to this being a watchable movie for all types .	3	-1	 almost[0] every[0] member[0] of[0] the[0] cast[0] displays[0] some[0] reservation[0] at[0] one[0] point[0] or[0] another[0] whether[0] it's[0] tucker's[0] toned[0] down[0] routine[0] or[0] chan's[0] tight[0] rein[0] on[0] his[0] action[0] sequences[0] and[0] that[0] contributes[0] greatly[2] to[0] this[0] being[0] a[0] watchable[0] movie[0] for[0] all[0] types[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a recommendable visit to the theater , indeed . 	a recommendable visit to the theater , indeed .	1	-1	 a[0] recommendable[0] visit[0] to[0] the[0] theater[0] indeed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
