i was fortunate enough to attend an advance screening for the upcoming thriller conspiracy theory . 	Translation	Positive	Negative	EmotionRationale
julia roberts is very good in her performance as alice sutton , the department of justice employee who can't seem to stay away from jerry fletcher , who continually visits alice in hopes that she will do something about his theories . 	julia roberts is very good in her performance as alice sutton , the department of justice employee who can't seem to stay away from jerry fletcher , who continually visits alice in hopes that she will do something about his theories .	3	-1	 julia[0] roberts[0] is[0] very[0] good[1][1 LastWordBoosterStrength] in[0] her[0] performance[0] as[0] alice[0] sutton[0] the[0] department[0] of[0] justice[0] employee[0] who[0] can't[0] seem[0] to[0] stay[0] away[0] from[0] jerry[0] fletcher[0] who[0] continually[0] visits[0] alice[0] in[0] hopes[1] that[0] she[0] will[0] do[0] something[0] about[0] his[0] theories[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he also seems obsessed and in love with her . 	he also seems obsessed and in love with her .	3	-3	 he[0] also[0] seems[0] obsessed[-2] and[0] in[0] love[2] with[0] her[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but whenever he approaches her with another one of his theories , she shrugs him and his beliefs off , continually noting that one day she is going to slap a restraining order on him . 	but whenever he approaches her with another one of his theories , she shrugs him and his beliefs off , continually noting that one day she is going to slap a restraining order on him .	1	-2	 but[0] whenever[0] he[0] approaches[0] her[0] with[0] another[0] one[0] of[0] his[0] theories[0] she[0] shrugs[0] him[0] and[0] his[0] beliefs[0] off[0] continually[0] noting[0] that[0] one[0] day[0] she[0] is[0] going[0] to[0] slap[-1] a[0] restraining[0] order[0] on[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jerry , obviously determined to continually seek out the truth , continues to research information for his next conspiracy theory , which will be printed in his newsletter ( same title as the movie ) . 	jerry , obviously determined to continually seek out the truth , continues to research information for his next conspiracy theory , which will be printed in his newsletter ( same title as the movie ) .	2	-2	 jerry[0] obviously[0] determined[0] to[0] continually[0] seek[0] out[0] the[0] truth[1] continues[0] to[0] research[0] information[0] for[0] his[0] next[0] conspiracy[-1] theory[0] which[0] will[0] be[0] printed[0] in[0] his[0] newsletter[0] same[0] title[0] as[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although he only has five subscribers , he puts a large amount of time and effort into his work , and publishes his next edition . 	although he only has five subscribers , he puts a large amount of time and effort into his work , and publishes his next edition .	1	-1	 although[0] he[0] only[0] has[0] five[0] subscribers[0] he[0] puts[0] a[0] large[0] amount[0] of[0] time[0] and[0] effort[0] into[0] his[0] work[0] and[0] publishes[0] his[0] next[0] edition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
very soon after he does so , he is abducted and tortured by a sinister man who refers to himself as dr . jonas ( patrick stewart ) . 	very soon after he does so , he is abducted and tortured by a sinister man who refers to himself as dr .<br> jonas ( patrick stewart ) .	1	-4	 very[0] soon[0] after[0] he[0] does[0] so[0] he[0] is[0] abducted[0] and[0] tortured[-3] by[0] a[0] sinister[-3] man[0] who[0] refers[0] to[0] himself[0] as[0] dr[0] [[Sentence=-4,1=word max, 1-5]] jonas[0] patrick[0] stewart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
after barely escaping alive , jerry is forced to turn to the only person he can trust : alice sutton . 	after barely escaping alive , jerry is forced to turn to the only person he can trust : alice sutton .	2	-1	 after[0] barely[0] escaping[0] alive[0] jerry[0] is[0] forced[0] to[0] turn[0] to[0] the[0] only[0] person[0] he[0] can[0] trust[1] alice[0] sutton[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the remainder of the film is almost always fast-paced and full of action and suspense , with jerry's life being constantly put into jeopardy . 	the remainder of the film is almost always fast-paced and full of action and suspense , with jerry's life being constantly put into jeopardy .	1	-2	 the[0] remainder[0] of[0] the[0] film[0] is[0] almost[0] always[0] fast[0] paced[0] and[0] full[0] of[0] action[0] and[0] suspense[0] with[0] jerry's[0] life[0] being[0] constantly[0] put[0] into[0] jeopardy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and more along the way , the audience ( and alice ) learn more and more about jerry's life . 	and more along the way , the audience ( and alice ) learn more and more about jerry's life .	1	-1	 and[0] more[0] along[0] the[0] way[0] the[0] audience[0] and[0] alice[0] learn[0] more[0] and[0] more[0] about[0] jerry's[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many things are explained throughout this film , both to the characters and to the audience . 	many things are explained throughout this film , both to the characters and to the audience .	1	-1	 many[0] things[0] are[0] explained[0] throughout[0] this[0] film[0] both[0] to[0] the[0] characters[0] and[0] to[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for instance , the meaning of the book " the catcher in the rye " and its ties to assassins , the reason lone gunmen have three names ( e . g . 	for instance , the meaning of the book " the catcher in the rye " and its ties to assassins , the reason lone gunmen have three names ( e .<br> grin� .	1	-3	 for[0] instance[0] the[0] meaning[0] of[0] the[0] book[0] the[0] catcher[0] in[0] the[0] rye[0] and[0] its[0] ties[0] to[0] assassins[-2] the[0] reason[0] lone[-1] gunmen[-1] have[0] three[0] names[0] e[0] [[Sentence=-3,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
lee harvey oswald and james earl ray ) , and the real truth behind the grateful dead . 	lee harvey oswald and james earl ray ) , and the real truth behind the grateful dead .	2	-3	 lee[0] harvey[0] oswald[0] and[0] james[0] earl[0] ray[0] and[0] the[0] real[0] truth[1] behind[0] the[0] grateful[1] dead[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
make sure listen closely throughout the film , as jerry is constantly throwing out interesting tidbits such as the above . 	make sure listen closely throughout the film , as jerry is constantly throwing out interesting tidbits such as the above .	2	-1	 make[0] sure[0] listen[0] closely[0] throughout[0] the[0] film[0] as[0] jerry[0] is[0] constantly[0] throwing[0] out[0] interesting[1] tidbits[0] such[0] as[0] the[0] above[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
definitely , when conspiracy theory hits theaters august 8th , make sure you are standing in line to see it . 	definitely , when conspiracy theory hits theaters august 8th , make sure you are standing in line to see it .	1	-2	 definitely[0] when[0] conspiracy[-1] theory[0] hits[0] theaters[0] august[0] 8th[0] make[0] sure[0] you[0] are[0] standing[0] in[0] line[0] to[0] see[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i am nearly positive everyone should enjoy this film , especially if you are into an action-thriller with witty dialogue and numerous suspenseful situations . 	i am nearly positive everyone should enjoy this film , especially if you are into an action-thriller with witty dialogue and numerous suspenseful situations .	3	-1	 i[0] am[0] nearly[0] positive[2] everyone[0] should[0] enjoy[2][-1 LastWordBoosterStrength] this[0] film[0] especially[0] if[0] you[0] are[0] into[0] an[0] action[0] thriller[1] with[0] witty[0] dialogue[0] and[0] numerous[0] suspenseful[0] situations[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and even if you aren't , you should still like this film . 	and even if you aren't , you should still like this film .	2	-1	 and[0] even[0] if[0] you[0] aren't[0] you[0] should[0] still[0] like[1] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
