 " a man is not a man without eight taels of gold . " 	Translation	Positive	Negative	EmotionRationale
he loses most of this stuff--except the gold--when his van crashes into a river and he has to hitch a ride , so to speak , on a raft along the river which runs past his parents' village . 	he loses most of this stuff-except the gold-when his van crashes into a river and he has to hitch a ride , so to speak , on a raft along the river which runs past his parents' village .	1	-2	 he[0] loses[-1] most[0] of[0] this[0] stuff[0] except[0] the[0] gold[0] when[0] his[0] van[0] crashes[0] into[0] a[0] river[0] and[0] he[0] has[0] to[0] hitch[0] a[0] ride[0] so[0] to[0] speak[0] on[0] a[0] raft[0] along[0] the[0] river[0] which[0] runs[0] past[0] his[0] parents'[0] village[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when he arrives unannounced , he almost induces cardiac arrest in his father . 	when he arrives unannounced , he almost induces cardiac arrest in his father .	1	-1	 when[0] he[0] arrives[0] unannounced[0] he[0] almost[0] induces[0] cardiac[0] arrest[0] in[0] his[0] father[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all of this has the makings of a routine comedy , and the movie has its amusing moments , as when the villagers take turns giving slim gifts during a celebration of his homecoming , and they all give him birds , so by evening's end he is surrounded by turkeys , ducks , geese and other sundry fowl . 	all of this has the makings of a routine comedy , and the movie has its amusing moments , as when the villagers take turns giving slim gifts during a celebration of his homecoming , and they all give him birds , so by evening's end he is surrounded by turkeys , ducks , geese and other sundry fowl .	2	-1	 all[0] of[0] this[0] has[0] the[0] makings[0] of[0] a[0] routine[0] comedy[0] and[0] the[0] movie[0] has[0] its[0] amusing[1] moments[0] as[0] when[0] the[0] villagers[0] take[0] turns[0] giving[0] slim[0] gifts[0] during[0] a[0] celebration[1] of[0] his[0] homecoming[0] and[0] they[0] all[0] give[0] him[0] birds[0] so[0] by[0] evening's[0] end[0] he[0] is[0] surrounded[0] by[0] turkeys[0] ducks[0] geese[0] and[0] other[0] sundry[0] fowl[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but eight taels is not a comedy--it is a sad , sweet story about the choices people make , and how they are sometimes irreparable . 	but eight taels is not a comedy-it is a sad , sweet story about the choices people make , and how they are sometimes irreparable .	2	-4	 but[0] eight[0] taels[0] is[0] not[0] a[0] comedy[0] it[0] is[0] a[0] sad[-3] sweet[1] story[0] about[0] the[0] choices[0] people[0] make[0] and[0] how[0] they[0] are[0] sometimes[0] irreparable[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
director mabel cheung ( an autumn's tale , the soong sisters ) sees clearly what it is like to have lived half of your life in one country and half in a country on the other side of the world--what it is like to no longer have a place to call home . 	director mabel cheung ( an autumn's tale , the song sisters ) sees clearly what it is like to have lived half of your life in one country and half in a country on the other side of the world-what it is like to no longer have a place to call home .	2	-1	 director[0] mabel[0] cheung[0] an[0] autumn's[0] tale[0] the[0] soong/song[0] sisters[0] sees[0] clearly[0] what[0] it[0] is[0] like[1] to[0] have[0] lived[0] half[0] of[0] your[0] life[0] in[0] one[0] country[0] and[0] half[0] in[0] a[0] country[0] on[0] the[0] other[0] side[0] of[0] the[0] world[0] what[0] it[0] is[0] like[1] to[0] no[0] longer[0] have[0] a[0] place[0] to[0] call[0] home[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
slim does not belong in china , nor does he belong in america , where he can barely speak the language . 	slim does not belong in china , nor does he belong in america , where he can barely speak the language .	1	-1	 slim[0] does[0] not[0] belong[0] in[0] china[0] nor[0] does[0] he[0] belong[0] in[0] america[0] where[0] he[0] can[0] barely[0] speak[0] the[0] language[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seeing water buffalo in the fields and rafts poled down the river and fireworks exploding gloriously in the sky over a small village , we come to know the world slim left behind , and it seems as if he too is knowing it for the first time , and wishes it felt more like home . 	seeing water buffalo in the fields and rafts poled down the river and fireworks exploding gloriously in the sky over a small village , we come to know the world slim left behind , and it seems as if he too is knowing it for the first time , and wishes it felt more like home .	2	-1	 seeing[0] water[0] buffalo[0] in[0] the[0] fields[0] and[0] rafts[0] poled[0] down[0] the[0] river[0] and[0] fireworks[0] exploding[0] gloriously[1] in[0] the[0] sky[0] over[0] a[0] small[0] village[0] we[0] come[0] to[0] know[0] the[0] world[0] slim[0] left[0] behind[0] and[0] it[0] seems[0] as[0] if[0] he[0] too[0] is[0] knowing[0] it[0] for[0] the[0] first[0] time[0] and[0] wishes[0] it[0] felt[0] more[0] like[1] home[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the condition of the expatriate is eloquently portrayed ; i , being one , was sympathetic . 	the condition of the expatriate is eloquently portrayed ; i , being one , was sympathetic .	1	-1	 the[0] condition[0] of[0] the[0] expatriate[0] is[0] eloquently[0] portrayed[0] i[0] being[0] one[0] was[0] sympathetic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on his way to his parent's village , slim hooks up with jenny ( sylvia chang ) , whom he knew when she was a girl nicknamed odds-and-ends , which is what he continues to call her , although she is now a mature , professional , attractive woman , to be married in the spring to an american-chinese man . 	on his way to his parent's village , slim hooks up with jenny ( sylvia chang ) , whom he knew when she was a girl nicknamed odds-and-ends , which is what he continues to call her , although she is now a mature , professional , attractive woman , to be married in the spring to an american-chinese man .	2	-1	 on[0] his[0] way[0] to[0] his[0] parent's[0] village[0] slim[0] hooks[0] up[0] with[0] jenny[0] sylvia[0] chang[0] whom[0] he[0] knew[0] when[0] she[0] was[0] a[0] girl[0] nicknamed[0] odds[0] and[0] ends[0] which[0] is[0] what[0] he[0] continues[0] to[0] call[0] her[0] although[0] she[0] is[0] now[0] a[0] mature[0] professional[0] attractive[1] woman[0] to[0] be[0] married[0] in[0] the[0] spring[0] to[0] an[0] american[0] chinese[0] man[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
slim and odds-and-ends fall for each other . 	slim and odds-and-ends fall for each other .	1	-1	 slim[0] and[0] odds[0] and[0] ends[0] fall[0] for[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's predictable . 	that's predictable .	1	-1	 that's[0] predictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the manner in which their ( non- ) romance is played out is not . 	the manner in which their ( non- ) romance is played out is not .	4	-1	 the[0] manner[0] in[0] which[0] their[0] non[0] romance[3] is[0] played[0] out[0] is[0] not[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the emotions involved are adult and complex , and the film avoids cheap solutions to their dilemma . 	the emotions involved are adult and complex , and the film avoids cheap solutions to their dilemma .	1	-2	 the[0] emotions[0] involved[0] are[0] adult[0] and[0] complex[0] and[0] the[0] film[0] avoids[-1] cheap[-1] solutions[0] to[0] their[0] dilemma[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's typical , for instance , that the fianc ? in this sort of plot be a colossal jerk , because it makes it easier to empathize with the unrequited lover . 	it's typical , for instance , that the fianc ?<br> in this sort of plot be a colossal jerk , because it makes it easier to empathize with the unrequited lover .	4	-3	 it's[0] typical[0] for[0] instance[0] that[0] the[0] fianc[0] [[Sentence=-1,1=word max, 1-5]] in[0] this[0] sort[0] of[0] plot[0] be[0] a[0] colossal[0] jerk[-2] because[0] it[0] makes[0] it[0] easier[0] to[0] empathize[0] with[0] the[0] unrequited[0] lover[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
but here the fianc ? is a decent , ordinary guy , and although slim would like to feel anger , he cannot . 	but here the fianc ?<br> is a decent , ordinary guy , and although slim would like to feel anger , he cannot .	1	-4	 but[0] here[0] the[0] fianc[0] [[Sentence=-1,1=word max, 1-5]] is[0] a[0] decent[0] ordinary[0] guy[0] and[0] although[0] slim[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] feel[0] anger[-3] he[0] cannot[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the fianc ? has done nothing wrong ; the situation is the result of bad luck or bad decisions , take your pick . 	the fianc ?<br> has done nothing wrong ; the situation is the result of bad luck or bad decisions , take your pick .	3	-2	 the[0] fianc[0] [[Sentence=-1,1=word max, 1-5]] has[0] done[0] nothing[0] wrong[-1] the[0] situation[0] is[0] the[0] result[0] of[0] bad[-1] luck[2] or[0] bad[-1] decisions[0] take[0] your[0] pick[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
eight taels has its share of flaws ( the early sequences in america and on the plane to china are especially weak ) , but it compensates with insight . 	eight taels has its share of flaws ( the early sequences in america and on the plane to china are especially weak ) , but it compensates with insight .	1	-3	 eight[0] taels[0] has[0] its[0] share[0] of[0] flaws[0] the[0] early[0] sequences[0] in[0] america[0] and[0] on[0] the[0] plane[0] to[0] china[0] are[0] especially[0] weak[-1][-1 LastWordBoosterStrength] but[0] it[0] compensates[0] with[0] insight[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when odds-and-ends tells slim that her future husband wants to move to san francisco , she notes resignedly , " it's all the same . 	when odds-and-ends tells slim that her future husband wants to move to san francisco , she notes resignedly , " it's all the same .	1	-2	 when[0] odds[0] and[0] ends[0] tells[0] slim[0] that[0] her[0] future[0] husband[0] wants[0] to[0] move[0] to[0] san[0] francisco[0] she[0] notes[0] resignedly[-1] it's[0] all[0] the[0] same[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wherever we go , we'll be in chinatown , " and her straightforward statement expresses much . 	wherever we go , we'll be in chinatown , " and her straightforward statement expresses much .	1	-1	 wherever[0] we[0] go[0] we'll[0] be[0] in[0] chinatown[0] and[0] her[0] straightforward[0] statement[0] expresses[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is insight , too , in the understanding of the consequences of slim and odds-and-ends' decisions : he to move to america , she to marry a chinese-american . 	there is insight , too , in the understanding of the consequences of slim and odds-and-ends' decisions : he to move to america , she to marry a chinese-american .	1	-1	 there[0] is[0] insight[0] too[0] in[0] the[0] understanding[0] of[0] the[0] consequences[0] of[0] slim[0] and[0] odds[0] and[0] ends'[0] decisions[0] he[0] to[0] move[0] to[0] america[0] she[0] to[0] marry[0] a[0] chinese[0] american[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both their choices were perhaps born of impatience , perhaps of a sense that the grass is always greener--and it turns out that both choices were wrong . 	both their choices were perhaps born of impatience , perhaps of a sense that the grass is always greener-and it turns out that both choices were wrong .	1	-2	 both[0] their[0] choices[0] were[0] perhaps[0] born[0] of[0] impatience[-1] perhaps[0] of[0] a[0] sense[0] that[0] the[0] grass[0] is[0] always[0] greener[0] and[0] it[0] turns[0] out[0] that[0] both[0] choices[0] were[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but they cannot undo them ; they must live with what they have done . 	but they cannot undo them ; they must live with what they have done .	2	-1	 but[0] they[0] cannot[0] undo[-1][NegatedDueToPreviousWord] them[0] they[0] must[0] live[0] with[0] what[0] they[0] have[0] done[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
such is life . 	such is life .	1	-1	 such[0] is[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is tender toward these people , but it offers no false comforts . 	the movie is tender toward these people , but it offers no false comforts .	3	-1	 the[0] movie[0] is[0] tender[2] toward[0] these[0] people[0] but[0] it[0] offers[0] no[0] false[0] comforts[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
everything that is right and true about eight taels comes together in one great scene , which is the culmination of the love story . 	everything that is right and true about eight taels comes together in one great scene , which is the culmination of the love story .	3	-1	 everything[0] that[0] is[0] right[0] and[0] true[1] about[0] eight[0] taels[0] comes[0] together[0] in[0] one[0] great[2] scene[0] which[0] is[0] the[0] culmination[0] of[0] the[0] love[2] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
slim and odds-and-ends sit in a secluded spot and talk hesitantly , with the muted pop-pop of fireworks exploding in the night behind them , and it seems the conversation will lead to a kiss . 	slim and odds-and-ends sit in a secluded spot and talk hesitantly , with the muted pop-pop of fireworks exploding in the night behind them , and it seems the conversation will lead to a kiss .	3	-1	 slim[0] and[0] odds[0] and[0] ends[0] sit[0] in[0] a[0] secluded[0] spot[0] and[0] talk[0] hesitantly[0] with[0] the[0] muted[0] pop[0] pop[0] of[0] fireworks[0] exploding[0] in[0] the[0] night[0] behind[0] them[0] and[0] it[0] seems[0] the[0] conversation[0] will[0] lead[0] to[0] a[0] kiss[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the exchange that follows , and what slim then does , is poignant and perfect : with clarity and understatement , we see two people's lives , their heartbreaks and virtues , summed up in a single moment . 	the exchange that follows , and what slim then does , is poignant and perfect : with clarity and understatement , we see two people's lives , their heartbreaks and virtues , summed up in a single moment .	3	-4	 the[0] exchange[0] that[0] follows[0] and[0] what[0] slim[0] then[0] does[0] is[0] poignant[0] and[0] perfect[1] with[0] clarity[0] and[0] understatement[0] we[0] see[0] two[0] people's[0] lives[0] their[0] heartbreaks[-3] and[0] virtues[2] summed[0] up[0] in[0] a[0] single[0] moment[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
yes , the film is flawed , but moments like that justify most of its inadequacies . 	yes , the film is flawed , but moments like that justify most of its inadequacies .	2	-2	 yes[0] the[0] film[0] is[0] flawed[0] but[0] moments[0] like[1] that[0] justify[0] most[0] of[0] its[0] inadequacies[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
