set in the late 80's at the height of yuppie excess and based on the book by bret easton ellis ( who explored the same themes in another book which was also made into a movie , less than zero ) , american psycho puts a new spin on the yuppie " genre " that ellis helped to create . 	Translation	Positive	Negative	EmotionRationale
the movie continues to touch upon these things but makes more of a point to immerse us in bateman's impending madness than to detail things as painstakingly as the novel does . 	the movie continues to touch upon these things but makes more of a point to immerse us in bateman's impending madness than to detail things as painstakingly as the novel does .	1	-2	 the[0] movie[0] continues[0] to[0] touch[0] upon[0] these[0] things[0] but[0] makes[0] more[0] of[0] a[0] point[0] to[0] immerse[0] us[0] in[0] bateman's[0] impending[0] madness[-1] than[0] to[0] detail[0] things[0] as[0] painstakingly[0] as[0] the[0] novel[0] does[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a result , the film is immensely more entertaining . 	as a result , the film is immensely more entertaining .	1	-1	 as[0] a[0] result[0] the[0] film[0] is[0] immensely[0] more[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lions gate seems to be the studio champion of controversial films ( having picked up kevin smith's catholic-rattling dogma ) and here with american psycho there is no difference . 	lions gate seems to be the studio champion of controversial films ( having picked up kevin smith's catholic-rattling dogma ) and here with american psycho there is no difference .	1	-2	 lions[0] gate[0] seems[0] to[0] be[0] the[0] studio[0] champion[0] of[0] controversial[-1] films[0] having[0] picked[0] up[0] kevin[0] smith's[0] catholic[0] rattling[0] dogma[0] and[0] here[0] with[0] american[0] psycho[0] there[0] is[0] no[0] difference[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
screenwriters mary harron and guinevere turner had the unenviable task of trying to take a novel about yuppies filled with graphic violence and sex and make a marketable film out of it . 	screenwriters mary harron and guinevere turner had the unenviable task of trying to take a novel about yuppies filled with graphic violence and sex and make a marketable film out of it .	1	-4	 screenwriters[0] mary[0] harron[0] and[0] guinevere[0] turner[0] had[0] the[0] unenviable[0] task[0] of[0] trying[0] to[0] take[0] a[0] novel[0] about[0] yuppies[0] filled[0] with[0] graphic[0] violence[-3] and[0] sex[0] and[0] make[0] a[0] marketable[0] film[0] out[0] of[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
some cuts had to be made to the finished film to keep from getting an nc-17 , mainly involving a sex scene comprising bateman and two women , and initial reports said the film was unwatchable . 	some cuts had to be made to the finished film to keep from getting an nc-17 , mainly involving a sex scene comprising bateman and two women , and initial reports said the film was unwatchable .	1	-1	 some[0] cuts[0] had[0] to[0] be[0] made[0] to[0] the[0] finished[0] film[0] to[0] keep[0] from[0] getting[0] an[0] nc[0] -17[0] mainly[0] involving[0] a[0] sex[0] scene[0] comprising[0] bateman[0] and[0] two[0] women[0] and[0] initial[0] reports[0] said[0] the[0] film[0] was[0] unwatchable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thankfully , it is watchable and harron and turner have made one of the most scathingly satirical films this side of south park : bigger , longer & uncut . 	thankfully , it is watchable and harron and turner have made one of the most scathingly satirical films this side of south park : bigger , longer & uncut .	2	-1	 thankfully[1] it[0] is[0] watchable[0] and[0] harron[0] and[0] turner[0] have[0] made[0] one[0] of[0] the[0] most[0] scathingly[0] satirical[0] films[0] this[0] side[0] of[0] south[0] park[0] bigger[0] longer[0] &[0] uncut[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
side note #1 : co-writer guinevere turner also makes an appearance in the film as an ill-fated acquaintance of bateman's who , after bateman suggests that she start making out with a female prostitute , proclaims that she's not a lesbian nor has any interest in it . 	side note #1 : co-writer guinevere turner also makes an appearance in the film as an ill-fated acquaintance of bateman's who , after bateman suggests that she start making out with a female prostitute , proclaims that she's not a lesbian nor has any interest in it .	2	-2	 side[0] note[0] #1[0] co[0] writer[0] guinevere[0] turner[0] also[0] makes[0] an[0] appearance[0] in[0] the[0] film[0] as[0] an[0] ill[-1] fated[0] acquaintance[0] of[0] bateman's[0] who[0] after[0] bateman[0] suggests[0] that[0] she[0] start[0] making[0] out[0] with[0] a[0] female[0] prostitute[0] proclaims[0] that[0] she's[0] not[0] a[0] lesbian[0] nor[0] has[0] any[0] interest[1] in[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the ironic humor of the scene stems from the fact that turner ( the writer/director of the film go fish and who also assisted kevin smith with parts of his script for chasing amy ) is a lesbian . 	the ironic humor of the scene stems from the fact that turner ( the writer/director of the film go fish and who also assisted kevin smith with parts of his script for chasing amy ) is a lesbian .	3	-2	 the[0] ironic[-1] humor[2] of[0] the[0] scene[0] stems[0] from[0] the[0] fact[0] that[0] turner[0] the[0] writer/director[0] of[0] the[0] film[0] go[0] fish[0] and[0] who[0] also[0] assisted[0] kevin[0] smith[0] with[0] parts[0] of[0] his[0] script[0] for[0] chasing[0] amy[0] is[0] a[0] lesbian[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's a subtle in-joke and it's one i found to be pretty humorous . 	it's a subtle in-joke and it's one i found to be pretty humorous .	4	-1	 it's[0] a[0] subtle[0] in[0] joke[1] and[0] it's[0] one[0] i[0] found[0] to[0] be[0] pretty[2] humorous[2][+1 MultiplePositiveWords] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
despite having a rather high profile supporting cast of young up-and-comers ( including reese witherspoon ) , most of the roles are a waste and are the equivalent of extended billed cameos . 	despite having a rather high profile supporting cast of young up-and-comers ( including reese witherspoon ) , most of the roles are a waste and are the equivalent of extended billed cameos .	2	-2	 despite[0] having[0] a[0] rather[0] high[0] profile[0] supporting[1] cast[0] of[0] young[0] up[0] and[0] comers[0] including[0] reese[0] witherspoon[0] most[0] of[0] the[0] roles[0] are[0] a[0] waste[-1] and[0] are[0] the[0] equivalent[0] of[0] extended[0] billed[0] cameos[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the real draw here is christian bale and his over-the-top performance as patrick bateman . 	the real draw here is christian bale and his over-the-top performance as patrick bateman .	1	-1	 the[0] real[0] draw[0] here[0] is[0] christian[0] bale[0] and[0] his[0] over[0] the[0] top[0] performance[0] as[0] patrick[0] bateman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whenever i read a novel i always try to imagine what it would be like as a movie and who would be perfect to cast as the characters . 	whenever i read a novel i always try to imagine what it would be like as a movie and who would be perfect to cast as the characters .	2	-1	 whenever[0] i[0] read[0] a[0] novel[0] i[0] always[0] try[0] to[0] imagine[0] what[0] it[0] would[0] be[0] like[1] as[0] a[0] movie[0] and[0] who[0] would[0] be[0] perfect[1] to[0] cast[0] as[0] the[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i always had a hard time trying to decide who i would cast as bateman , but i never thought bale would deliver a performance as perfect as his ends up being . 	i always had a hard time trying to decide who i would cast as bateman , but i never thought bale would deliver a performance as perfect as his ends up being .	2	-1	 i[0] always[0] had[0] a[0] hard[0] time[0] trying[0] to[0] decide[0] who[0] i[0] would[0] cast[0] as[0] bateman[0] but[0] i[0] never[0] thought[0] bale[0] would[0] deliver[0] a[0] performance[0] as[0] perfect[1] as[0] his[0] ends[0] up[0] being[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to say bale runs away with the character is a vast understatement and he proves that he's as adept at chewing scenery as al pacino or rod steiger . 	to say bale runs away with the character is a vast understatement and he proves that he's as adept at chewing scenery as al pacino or rod steiger .	1	-1	 to[0] say[0] bale[0] runs[0] away[0] with[0] the[0] character[0] is[0] a[0] vast[0] understatement[0] and[0] he[0] proves[0] that[0] he's[0] as[0] adept[0] at[0] chewing[0] scenery[0] as[0] al[0] pacino[0] or[0] rod[0] steiger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one sequence in particular , involving bateman describing his love for huey lewis and the news' song " hip to be square " right before burying an axe in a co-worker's head , features one of the most eccentric and kinetic performances i have ever seen on film . 	one sequence in particular , involving bateman describing his love for huey lewis and the news' song " hip to be square " right before burying an axe in a co-worker's head , features one of the most eccentric and kinetic performances i have ever seen on film .	3	-2	 one[0] sequence[0] in[0] particular[0] involving[0] bateman[0] describing[0] his[0] love[2] for[0] huey[0] lewis[0] and[0] the[0] news'[0] song[0] hip[0] to[0] be[0] square[0] right[0] before[0] burying[0] an[0] axe[0] in[0] a[0] co[0] worker's[0] head[0] features[0] one[0] of[0] the[0] most[0] eccentric[-1] and[0] kinetic[0] performances[0] i[0] have[0] ever[0] seen[0] on[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
side note #2 : despite the fact that huey lewis' " hip to be square " and a pair of phil collins songs appear in the film , don't expect to see them on the soundtrack release . 	side note #2 : despite the fact that huey lewis' " hip to be square " and a pair of phil collins songs appear in the film , don't expect to see them on the soundtrack release .	1	-1	 side[0] note[0] #2[0] despite[0] the[0] fact[0] that[0] huey[0] lewis'[0] hip[0] to[0] be[0] square[0] and[0] a[0] pair[0] of[0] phil[0] collins[0] songs[0] appear[0] in[0] the[0] film[0] don't[0] expect[0] to[0] see[0] them[0] on[0] the[0] soundtrack[0] release[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
huey lewis expressly requested that his song , featured in a rather large set piece in the film ( much akin to the use of " stuck in the middle with you " in reservoir dogs ) , not be included on any soundtrack release . 	huey lewis expressly requested that his song , featured in a rather large set piece in the film ( much akin to the use of " stuck in the middle with you " in reservoir dogs ) , not be included on any soundtrack release .	1	-1	 huey[0] lewis[0] expressly[0] requested[0] that[0] his[0] song[0] featured[0] in[0] a[0] rather[0] large[0] set[0] piece[0] in[0] the[0] film[0] much[0] akin[0] to[0] the[0] use[0] of[0] stuck[0] in[0] the[0] middle[0] with[0] you[0] in[0] reservoir[0] dogs[0] not[0] be[0] included[0] on[0] any[0] soundtrack[0] release[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm assuming that collins requested the same . 	i'm assuming that collins requested the same .	1	-1	 i'm[0] assuming[0] that[0] collins[0] requested[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on a similar note , whitney houston's cover of " the greatest love of all " is also involved in a scene comparable to the other two and it is very obvious that it isn't the houston version at all but merely an instrumental version culled from an unknown source . 	on a similar note , whitney houston's cover of " the greatest love of all " is also involved in a scene comparable to the other two and it is very obvious that it isn't the houston version at all but merely an instrumental version culled from an unknown source .	4	-2	 on[0] a[0] similar[0] note[0] whitney[0] houston's[0] cover[0] of[0] the[0] greatest[2] love[2][+1 MultiplePositiveWords] of[0] all[0] is[0] also[0] involved[0] in[0] a[0] scene[0] comparable[0] to[0] the[0] other[0] two[0] and[0] it[0] is[0] very[0] obvious[0] that[0] it[0] isn't[0] the[0] houston[0] version[0] at[0] all[0] but[0] merely[0] an[0] instrumental[0] version[0] culled[0] from[0] an[0] unknown[0] source[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
apparently , houston wasn't as open about the use of her song as the others were . 	apparently , houston wasn't as open about the use of her song as the others were .	1	-1	 apparently[0] houston[0] wasn't[0] as[0] open[0] about[0] the[0] use[0] of[0] her[0] song[0] as[0] the[0] others[0] were[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bigger controversy than the violence and sex has been brewing since the film's release : that of whether or not patrick has actually committed the crimes we have viewed during the course of the film . 	a bigger controversy than the violence and sex has been brewing since the film's release : that of whether or not patrick has actually committed the crimes we have viewed during the course of the film .	1	-4	 a[0] bigger[0] controversy[-1] than[0] the[0] violence[-3] and[0] sex[0] has[0] been[0] brewing[0] since[0] the[0] film's[0] release[0] that[0] of[0] whether[0] or[0] not[0] patrick[0] has[0] actually[0] committed[0] the[0] crimes[-1] we[0] have[0] viewed[0] during[0] the[0] course[0] of[0] the[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
don't look to the book for any answers because it will only serve to confuse you more . 	don't look to the book for any answers because it will only serve to confuse you more .	1	-2	 don't[0] look[0] to[0] the[0] book[0] for[0] any[0] answers[0] because[0] it[0] will[0] only[0] serve[0] to[0] confuse[-1] you[0] more[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
several web sites have been dedicated to the subject but i'm still undecided . 	several web sites have been dedicated to the subject but i'm still undecided .	1	-1	 several[0] web[0] sites[0] have[0] been[0] dedicated[0] to[0] the[0] subject[0] but[0] i'm[0] still[0] undecided[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is evidence both for and against but the most scathing evidence against comes from a scene near the end of the film where bateman goes on a killing spree taking out cops , old ladies , and cleaning staff with equal gusto . 	there is evidence both for and against but the most scathing evidence against comes from a scene near the end of the film where bateman goes on a killing spree taking out cops , old ladies , and cleaning staff with equal gusto .	1	-2	 there[0] is[0] evidence[0] both[0] for[0] and[0] against[-1] but[0] the[0] most[0] scathing[0] evidence[0] against[-1] comes[0] from[0] a[0] scene[0] near[0] the[0] end[0] of[0] the[0] film[0] where[0] bateman[0] goes[0] on[0] a[0] killing[-1] spree[0] taking[0] out[0] cops[0] old[0] ladies[0] and[0] cleaning[0] staff[0] with[0] equal[0] gusto[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the scene seemed very dream-like and as absurd as the action films it suddenly seems to be parodying ( as an example , bateman blows up a police car very cinematically after firing several shots from a handgun in the general direction of the car ) . 	the scene seemed very dream-like and as absurd as the action films it suddenly seems to be parodying ( as an example , bateman blows up a police car very cinematically after firing several shots from a handgun in the general direction of the car ) .	2	-2	 the[0] scene[0] seemed[0] very[0] dream[0] like[1] and[0] as[0] absurd[-1] as[0] the[0] action[0] films[0] it[0] suddenly[0] seems[0] to[0] be[0] parodying[0] as[0] an[0] example[0] bateman[0] blows[0] up[0] a[0] police[0] car[0] very[0] cinematically[0] after[0] firing[0] several[0] shots[0] from[0] a[0] handgun[0] in[0] the[0] general[0] direction[0] of[0] the[0] car[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i kept waiting for bateman to wake up and for the film to continue on from there , but bateman never does wake up and the whole sequence , though comic , throws the film off-balance ( which i suppose was the intention ) . 	i kept waiting for bateman to wake up and for the film to continue on from there , but bateman never does wake up and the whole sequence , though comic , throws the film off-balance ( which i suppose was the intention ) .	1	-1	 i[0] kept[0] waiting[0] for[0] bateman[0] to[0] wake[0] up[0] and[0] for[0] the[0] film[0] to[0] continue[0] on[0] from[0] there[0] but[0] bateman[0] never[0] does[0] wake[0] up[0] and[0] the[0] whole[0] sequence[0] though[0] comic[0] throws[0] the[0] film[0] off[0] balance[0] which[0] i[0] suppose[0] was[0] the[0] intention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other than the few flaws i have mentioned , american psycho is an incredibly entertaining film ( although you may not leave the movie fully understanding whether or not what has just transpired actually occurred in bateman's reality ) . 	other than the few flaws i have mentioned , american psycho is an incredibly entertaining film ( although you may not leave the movie fully understanding whether or not what has just transpired actually occurred in bateman's reality ) .	1	-1	 other[0] than[0] the[0] few[0] flaws[0] i[0] have[0] mentioned[0] american[0] psycho[0] is[0] an[0] incredibly[0] entertaining[0] film[0] although[0] you[0] may[0] not[0] leave[0] the[0] movie[0] fully[0] understanding[0] whether[0] or[0] not[0] what[0] has[0] just[0] transpired[0] actually[0] occurred[0] in[0] bateman's[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think this movie is destined for greatness as a cult film and deserves the spot it will take as such . 	i think this movie is destined for greatness as a cult film and deserves the spot it will take as such .	3	-1	 i[0] think[0] this[0] movie[0] is[0] destined[0] for[0] greatness[2] as[0] a[0] cult[0] film[0] and[0] deserves[0] the[0] spot[0] it[0] will[0] take[0] as[0] such[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it may not change anyone's life , but it will certainly have an effect . 	it may not change anyone's life , but it will certainly have an effect .	1	-1	 it[0] may[0] not[0] change[0] anyone's[0] life[0] but[0] it[0] will[0] certainly[0] have[0] an[0] effect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know i will certainly hear " hip to be square " in a different context the next time i hear it . 	i know i will certainly hear " hip to be square " in a different context the next time i hear it .	1	-1	 i[0] know[0] i[0] will[0] certainly[0] hear[0] hip[0] to[0] be[0] square[0] in[0] a[0] different[0] context[0] the[0] next[0] time[0] i[0] hear[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[r] 	[r]	1	-1	 [r][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
