the coen brothers are back again , this time with homer's " odyssey " as the backdrop in their tale of three fugitives from a mississippi chain gang who trek across the south to find a secret treasure in " o brother , where art thou ? " 	Translation	Positive	Negative	EmotionRationale
the story meanders through the different vignettes of the boys' adventures , giving the flick a choppy , episodic feel that disrupts the overall flow . 	the story meanders through the different vignettes of the boys' adventures , giving the flick a choppy , episodic feel that disrupts the overall flow .	1	-2	 the[0] story[0] meanders[0] through[0] the[0] different[0] vignettes[0] of[0] the[0] boys'[0] adventures[0] giving[0] the[0] flick[0] a[0] choppy[0] episodic[0] feel[0] that[0] disrupts[-1] the[0] overall[0] flow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some of the interludes are an epiphany , though . 	some of the interludes are an epiphany , though .	1	-1	 some[0] of[0] the[0] interludes[0] are[0] an[0] epiphany[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the trio becomes a quartet when they pick up guitar-playing tommy johnson ( chris thomas king ) and visit a radio station in the middle of nowhere , run by its blind owner ( stephen root ) . 	the trio becomes a quartet when they pick up guitar-playing tommy johnson ( chris thomas king ) and visit a radio station in the middle of nowhere , run by its blind owner ( stephen root ) .	2	-2	 the[0] trio[0] becomes[0] a[0] quartet[0] when[0] they[0] pick[0] up[0] guitar[0] playing[1] tommy[0] johnson[0] chris[0] thomas[0] king[0] and[0] visit[0] a[0] radio[0] station[0] in[0] the[0] middle[0] of[0] nowhere[0] run[0] by[0] its[0] blind[-1] owner[0] stephen[0] root[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they become the soggy bottom boys for the sightless radio station man and , without their knowledge , are recorded as they sing the traditional tune , " i am a man of constant sorrow . " 	they become the soggy bottom boys for the sightless radio station man and , without their knowledge , are recorded as they sing the traditional tune , " i am a man of constant sorrow .<br> "	1	-3	 they[0] become[0] the[0] soggy[0] bottom[0] boys[0] for[0] the[0] sightless[0] radio[0] station[0] man[0] and[0] without[0] their[0] knowledge[0] are[0] recorded[0] as[0] they[0] sing[0] the[0] traditional[0] tune[0] i[0] am[0] a[0] man[0] of[0] constant[0] sorrow[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is a wonderful moment of moviemaking and gives us , in my mind , the best movie song of the year . 	it is a wonderful moment of moviemaking and gives us , in my mind , the best movie song of the year .	3	-1	 it[0] is[0] a[0] wonderful[2] moment[0] of[0] moviemaking[0] and[0] gives[0] us[0] in[0] my[0] mind[0] the[0] best[1] movie[0] song[0] of[0] the[0] year[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
contrasting this and other wonderful moments ( the sexy seduction by the sirens comes to mind ) are some pretentious bits that detract from the overall quality of " o brother . " 	contrasting this and other wonderful moments ( the sexy seduction by the sirens comes to mind ) are some pretentious bits that detract from the overall quality of " o brother .<br> "	3	-2	 contrasting[0] this[0] and[0] other[0] wonderful[2] moments[0] the[0] sexy[2] seduction[0] by[0] the[0] sirens[0] comes[0] to[0] mind[0] are[0] some[0] pretentious[-1][--1 LastWordBoosterStrength] bits[0] that[0] detract[-1] from[0] the[0] overall[0] quality[0] of[0] o[0] brother[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in particular , near the end , is a scene where ulysses , delmar and pete crash a ku klux klan rally to save tommy from being lynched . 	in particular , near the end , is a scene where ulysses , delmar and pete crash a ku klux klan rally to save tommy from being lynched .	2	-1	 in[0] particular[0] near[0] the[0] end[0] is[0] a[0] scene[0] where[0] ulysses[0] delmar[0] and[0] pete[0] crash[0] a[0] ku[0] klux[0] klan[0] rally[0] to[0] save[1] tommy[0] from[0] being[0] lynched[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the scene is overblown and flashy and reeks of " the wizard of oz . " 	the scene is overblown and flashy and reeks of " the wizard of oz .<br> "	1	-3	 the[0] scene[0] is[0] overblown[0] and[0] flashy[0] and[0] reeks[-2] of[0] the[0] wizard[0] of[0] oz[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they don't say " lions and tigers and bears , oh my ! " 	they don't say " lions and tigers and bears , oh my !<br> "	1	-1	 they[0] don't[0] say[0] lions[0] and[0] tigers[0] and[0] bears[0] oh[0] my[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and there's no dorothy , but it is the land of oz we're seeing here . 	and there's no dorothy , but it is the land of oz we're seeing here .	1	-1	 and[0] there's[0] no[0] dorothy[0] but[0] it[0] is[0] the[0] land[0] of[0] oz[0] we're[0] seeing[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the highs and lows of the story flow are tempered by fine acting on several levels . 	the highs and lows of the story flow are tempered by fine acting on several levels .	3	-2	 the[0] highs[0] and[0] lows[-1] of[0] the[0] story[0] flow[0] are[0] tempered[0] by[0] fine[2] acting[0] on[0] several[0] levels[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
george clooney is funny , charming , a little dumb and one of the handsomest actors in the business today . 	george clooney is funny , charming , a little dumb and one of the handsomest actors in the business today .	2	-2	 george[0] clooney[0] is[0] funny[1] charming[1] a[0] little[0] dumb[-1] and[0] one[0] of[0] the[0] handsomest[1] actors[0] in[0] the[0] business[0] today[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he has the charm of a 30's movie idol and is able to put himself into silly situations with dignity . 	he has the charm of a 30's movie idol and is able to put himself into silly situations with dignity .	2	-2	 he[0] has[0] the[0] charm[1] of[0] a[0] 30's[0] movie[0] idol[0] and[0] is[0] able[0] to[0] put[0] himself[0] into[0] silly[-1] situations[0] with[0] dignity[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ulysses has an ongoing obsession with his hair , risking life and limb to get a particular brand of pomade and a supply of hairnets . 	ulysses has an ongoing obsession with his hair , risking life and limb to get a particular brand of pomade and a supply of hairnets .	1	-3	 ulysses[0] has[0] an[0] ongoing[0] obsession[-2] with[0] his[0] hair[0] risking[-1] life[0] and[0] limb[0] to[0] get[0] a[0] particular[0] brand[0] of[0] pomade[0] and[0] a[0] supply[0] of[0] hairnets[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his vanity will come to plague him as it would any mystical hero-wanderer . 	his vanity will come to plague him as it would any mystical hero-wanderer .	3	-2	 his[0] vanity[-1] will[0] come[0] to[0] plague[-1] him[0] as[0] it[0] would[0] any[0] mystical[0] hero[2] wanderer[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
while clooney is the name draw for " o brother , " the show stealer is tim blake nelson as delmar . 	while clooney is the name draw for " o brother , " the show stealer is tim blake nelson as delmar .	1	-3	 while[0] clooney[0] is[0] the[0] name[0] draw[0] for[0] o[0] brother[0] the[0] show[0] stealer[-2] is[0] tim[0] blake[0] nelson[0] as[0] delmar[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the heretofore unknown nelson is terrific as the simple convict who , at one point , hears the word of the lord and joins members of a church congregation in their mass baptism . 	the heretofore unknown nelson is terrific as the simple convict who , at one point , hears the word of the lord and joins members of a church congregation in their mass baptism .	4	-2	 the[0] heretofore[0] unknown[0] nelson[0] is[0] terrific[3] as[0] the[0] simple[0] convict[-1] who[0] at[0] one[0] point[0] hears[0] the[0] word[0] of[0] the[0] lord[0] and[0] joins[0] members[0] of[0] a[0] church[0] congregation[0] in[0] their[0] mass[0] baptism[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
delmar is saved and dedicates his life to doing good and provides a richness to his simple character that makes him shine . 	delmar is saved and dedicates his life to doing good and provides a richness to his simple character that makes him shine .	2	-1	 delmar[0] is[0] saved[1] and[0] dedicates[0] his[0] life[0] to[0] doing[0] good[1] and[0] provides[0] a[0] richness[1] to[0] his[0] simple[0] character[0] that[0] makes[0] him[0] shine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the taciturn pete , as played by longtime coen collaborator turturro , is the sullen member of the trio and gives them the necessary angst . 	the taciturn pete , as played by longtime coen collaborator turturro , is the sullen member of the trio and gives them the necessary angst .	1	-2	 the[0] taciturn[0] pete[0] as[0] played[0] by[0] longtime[0] coen[0] collaborator[0] turturro[0] is[0] the[0] sullen[-1] member[0] of[0] the[0] trio[0] and[0] gives[0] them[0] the[0] necessary[0] angst[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all together , the tuneful triumvirate is a mix of the three stooges and the three musketeers as they prove to be buffoons , albeit brave ones . 	all together , the tuneful triumvirate is a mix of the three stooges and the three musketeers as they prove to be buffoons , albeit brave ones .	3	-2	 all[0] together[0] the[0] tuneful[0] triumvirate[0] is[0] a[0] mix[0] of[0] the[0] three[0] stooges[0] and[0] the[0] three[0] musketeers[0] as[0] they[0] prove[0] to[0] be[0] buffoons[-1] albeit[0] brave[2] ones[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the colorful supporting cast is rampant with homerian characters to meet and get to know along the way of the boys' odyssey . 	the colorful supporting cast is rampant with homerian characters to meet and get to know along the way of the boys' odyssey .	2	-2	 the[0] colorful[0] supporting[1] cast[0] is[0] rampant[-1] with[0] homerian[0] characters[0] to[0] meet[0] and[0] get[0] to[0] know[0] along[0] the[0] way[0] of[0] the[0] boys'[0] odyssey[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
charles durning appears as incumbent governor pappy o'daniel , who keeps crossing paths with them in his bid for re-election . 	charles durning appears as incumbent governor pappy o'daniel , who keeps crossing paths with them in his bid for re-election .	1	-1	 charles[0] durning[0] appears[0] as[0] incumbent[0] governor[0] pappy[0] o'daniel[0] who[0] keeps[0] crossing[0] paths[0] with[0] them[0] in[0] his[0] bid[0] for[0] re[0] election[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john goodman is wicked as the one-eyed bible salesman and con artist , big dan teague . 	john goodman is wicked as the one-eyed bible salesman and con artist , big dan teague .	3	-1	 john[0] goodman[0] is[0] wicked[2] as[0] the[0] one[0] eyed[0] bible[0] salesman[0] and[0] con[0] artist[0] big[0] dan[0] teague[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
michael badalucco is manic and outrageous as outlaw and bank robber extraordinary , george " babyface " nelson . 	michael badalucco is manic and outrageous as outlaw and bank robber extraordinary , george " babyface " nelson .	1	-3	 michael[0] badalucco[0] is[0] manic[0] and[0] outrageous[-2] as[0] outlaw[-1] and[0] bank[0] robber[-1] extraordinary[0] george[0] babyface[0] nelson[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
stephen root is amusing as the blind dj , rep'ing one of the many references to the sightless that abound in the film in mystical ways . 	stephen root is amusing as the blind dj , rep'ing one of the many references to the sightless that abound in the film in mystical ways .	2	-2	 stephen[0] root[0] is[0] amusing[1] as[0] the[0] blind[-1] dj[0] rep'ing[0] one[0] of[0] the[0] many[0] references[0] to[0] the[0] sightless[0] that[0] abound[0] in[0] the[0] film[0] in[0] mystical[0] ways[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
holly hunter is wasted in the small role as ulysses' estranged wife , penny ( and the real reason for this adventure , not secret treasure ) . 	holly hunter is wasted in the small role as ulysses' estranged wife , penny ( and the real reason for this adventure , not secret treasure ) .	1	-2	 holly[0] hunter[-1] is[0] wasted[-1] in[0] the[0] small[0] role[0] as[0] ulysses'[0] estranged[-1] wife[0] penny[0] and[0] the[0] real[0] reason[0] for[0] this[0] adventure[0] not[0] secret[0] treasure[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
techs are , as expected in a coen brothers venture , first class . 	techs are , as expected in a coen brothers venture , first class .	1	-1	 techs[0] are[0] as[0] expected[0] in[0] a[0] coen[0] brothers[0] venture[0] first[0] class[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cinematographer roger deakins , who has worked on five previous coen films , captures the sultry atmosphere of the south . 	cinematographer roger deakins , who has worked on five previous coen films , captures the sultry atmosphere of the south .	1	-2	 cinematographer[0] roger[0] deakins[0] who[0] has[0] worked[0] on[0] five[0] previous[0] coen[0] films[0] captures[-1] the[0] sultry[0] atmosphere[0] of[0] the[0] south[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the photography complements the lush period production and costume provided by dennis gassner and mary zophres , respectively . 	the photography complements the lush period production and costume provided by dennis gassner and mary zophres , respectively .	3	-1	 the[0] photography[0] complements[0] the[0] lush[0] period[0] production[0] and[0] costume[0] provided[0] by[0] dennis[0] gassner[0] and[0] mary[0] zophres[0] respectively[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
once again , roderick jaynes - the alter ego of ethan and joel coen - is on board as editor . 	once again , roderick jaynes - the alter ego of ethan and joel coen - is on board as editor .	1	-1	 once[0] again[0] roderick[0] jaynes[0] the[0] alter[0] ego[0] of[0] ethan[0] and[0] joel[0] coen[0] is[0] on[0] board[0] as[0] editor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the high points outweigh the low through most of " o brother , where art thou ? " 	the high points outweigh the low through most of " o brother , where art thou ?<br> "	1	-2	 the[0] high[0] points[0] outweigh[0] the[0] low[-1] through[0] most[0] of[0] o[0] brother[0] where[0] art[0] thou[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with particular praise for the wonderful selection of period and traditional music . 	with particular praise for the wonderful selection of period and traditional music .	3	-1	 with[0] particular[0] praise[2] for[0] the[0] wonderful[2] selection[0] of[0] period[0] and[0] traditional[0] music[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i give it a b . 	i give it a b .	1	-1	 i[0] give[0] it[0] a[0] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
