expectation rating : a bit worse than expected ( mainly because i found the middle part to be a bit dull ) . 	Translation	Positive	Negative	EmotionRationale
the writer perhaps feels that he doesn't have to present scenes that are clear to him , but the lack of which only baffles an audience which has not read the book . 	the writer perhaps feels that he doesn't have to present scenes that are clear to him , but the lack of which only baffles an audience which has not read the book .	1	-2	 the[0] writer[0] perhaps[0] feels[0] that[0] he[0] doesn't[0] have[0] to[0] present[0] scenes[0] that[0] are[0] clear[0] to[0] him[0] but[0] the[0] lack[-1] of[0] which[0] only[0] baffles[-1] an[0] audience[0] which[0] has[0] not[0] read[0] the[0] book[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is definitely not the problem with a simple plan , even though the screenplay is by the book's author . 	this is definitely not the problem with a simple plan , even though the screenplay is by the book's author .	2	-1	 this[0] is[0] definitely[0] not[0] the[0] problem[-1][NegatedDueToPreviousWord] with[0] a[0] simple[0] plan[0] even[0] though[0] the[0] screenplay[0] is[0] by[0] the[0] book's[0] author[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie is always clear on where it's going , and always makes sense . 	the movie is always clear on where it's going , and always makes sense .	1	-1	 the[0] movie[0] is[0] always[0] clear[0] on[0] where[0] it's[0] going[0] and[0] always[0] makes[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm sue a lot was cut , but really i can't remember what . 	i'm sue a lot was cut , but really i can't remember what .	1	-1	 i'm[0] sue[0] a[0] lot[0] was[0] cut[0] but[0] really[0] i[0] can't[0] remember[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even a minor scene involving a man complaining that he has paid for too much grains is included . 	even a minor scene involving a man complaining that he has paid for too much grains is included .	1	-2	 even[0] a[0] minor[0] scene[0] involving[0] a[0] man[0] complaining[-1] that[0] he[0] has[0] paid[0] for[0] too[0] much[0] grains[0] is[0] included[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the man only comes in on mondays , but he claims that he has been charged for one purchase too many . 	the man only comes in on mondays , but he claims that he has been charged for one purchase too many .	1	-2	 the[0] man[0] only[0] comes[0] in[0] on[0] mondays[0] but[0] he[0] claims[0] that[0] he[0] has[0] been[0] charged[-1] for[0] one[0] purchase[0] too[0] many[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
turns out . . . 	turns out .<br> .<br> .	1	-1	 turns[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , see the movie . 	well , see the movie .	1	-1	 well[0] see[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one should be warned against seeing the trailer . 	one should be warned against seeing the trailer .	1	-2	 one[0] should[0] be[0] warned[0] against[-1] seeing[0] the[0] trailer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it reveals several scenes from the ending moments ( which yes , like in the book , it is a downer ) , several plot developments , and much of the beginning . 	it reveals several scenes from the ending moments ( which yes , like in the book , it is a downer ) , several plot developments , and much of the beginning .	2	-1	 it[0] reveals[0] several[0] scenes[0] from[0] the[0] ending[0] moments[0] which[0] yes[0] like[1] in[0] the[0] book[0] it[0] is[0] a[0] downer[0] several[0] plot[0] developments[0] and[0] much[0] of[0] the[0] beginning[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but much of this is not spelled directly out during the trailer , so if you're lucky , you'll have forgotten about all of this when you see the movie . 	but much of this is not spelled directly out during the trailer , so if you're lucky , you'll have forgotten about all of this when you see the movie .	2	-1	 but[0] much[0] of[0] this[0] is[0] not[0] spelled[0] directly[0] out[0] during[0] the[0] trailer[0] so[0] if[0] you're[0] lucky[1] you'll[0] have[0] forgotten[0] about[0] all[0] of[0] this[0] when[0] you[0] see[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
