it seemed wholly appropriate that at a weekend screening of " the horse whisperer , " the start of the film was delayed some twenty minutes due to " projection difficulties . " 	Translation	Positive	Negative	EmotionRationale
undeterred by tom's initial reluctance to get involved , annie drives grace and a sedated pilgrim across country to meet him , and finally persuades tom to work with the uncontrollable animal . 	undeterred by tom's initial reluctance to get involved , annie drives grace and a sedated pilgrim across country to meet him , and finally persuades tom to work with the uncontrollable animal .	3	-2	 undeterred[0] by[0] tom's[0] initial[0] reluctance[-1] to[0] get[0] involved[0] annie[0] drives[0] grace[2] and[0] a[0] sedated[0] pilgrim[0] across[0] country[0] to[0] meet[0] him[0] and[0] finally[0] persuades[0] tom[0] to[0] work[0] with[0] the[0] uncontrollable[-1] animal[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
redford's film unfolds slowly and lovingly , echoing the patience required in healing both physical and psychological wounds . 	redford's film unfolds slowly and lovingly , echoing the patience required in healing both physical and psychological wounds .	4	-2	 redford's[0] film[0] unfolds[0] slowly[0] and[0] lovingly[3] echoing[0] the[0] patience[0] required[0] in[0] healing[0] both[0] physical[0] and[0] psychological[0] wounds[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the film's a little long and , even if you haven't read the book , it's pretty obvious where it's heading--but these are minor complaints . 	the film's a little long and , even if you haven't read the book , it's pretty obvious where it's heading-but these are minor complaints .	3	-2	 the[0] film's[0] a[0] little[0] long[0] and[0] even[0] if[0] you[0] haven't[0] read[0] the[0] book[0] it's[0] pretty[2] obvious[0] where[0] it's[0] heading[0] but[0] these[0] are[0] minor[0] complaints[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
redford and thomas are strong and convincing as the couple drawn by a mutual affection for the great outdoors and each other , but it's scarlett johansson as grace who shines in a more difficult role . 	redford and thomas are strong and convincing as the couple drawn by a mutual affection for the great outdoors and each other , but it's scarlet johansson as grace who shines in a more difficult role .	3	-2	 redford[0] and[0] thomas[0] are[0] strong[0] and[0] convincing[0] as[0] the[0] couple[0] drawn[0] by[0] a[0] mutual[0] affection[2] for[0] the[0] great[2] outdoors[0] and[0] each[0] other[0] but[0] it's[0] scarlett/scarlet[0] johansson[0] as[0] grace[2] who[0] shines[0] in[0] a[0] more[0] difficult[-1] role[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
dianne wiest , chris cooper ( " lone star " ) , and sam neill--better than i've seen him before--round out the respectable supporting cast . 	dianne wiest , chris cooper ( " lone star " ) , and sam neill-better than i've seen him before-round out the respectable supporting cast .	3	-2	 dianne[0] wiest[0] chris[0] cooper[0] lone[-1] star[0] and[0] sam[0] neill[0] better[0] than[0] i've[0] seen[0] him[0] before[0] round[0] out[0] the[0] respectable[2] supporting[1] cast[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and the director's respect for horses is clearly in evidence . 	and the director's respect for horses is clearly in evidence .	3	-1	 and[0] the[0] director's[0] respect[2] for[0] horses[0] is[0] clearly[0] in[0] evidence[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one word of warning , however : while brilliantly shot , the accident scene , involving an out-of-control truck , is extremely disturbing . 	one word of warning , however : while brilliantly shot , the accident scene , involving an out-of-control truck , is extremely disturbing .	2	-4	 one[0] word[0] of[0] warning[0] however[0] while[0] brilliantly[1] shot[-1] the[0] accident[-1] scene[0] involving[0] an[0] out[0] of[0] control[0] truck[0] is[0] extremely[0] disturbing[-1][-2 LastWordBoosterStrength] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
redford's canvas is huge and exquisite . 	redford's canvas is huge and exquisite .	1	-1	 redford's[0] canvas[0] is[0] huge[0] and[0] exquisite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he doesn't hesitate to incorporate vast , sprawling vistas of the american northwest : spectacular , snow-capped mountain ranges , azure skies , and shimmering fields of wheat--all are resplendent in cinematographer robert richardson's viewfinder . 	he doesn't hesitate to incorporate vast , sprawling vistas of the american northwest : spectacular , snow-capped mountain ranges , azure skies , and shimmering fields of wheat-all are resplendent in cinematographer robert richardson's viewfinder .	1	-1	 he[0] doesn't[0] hesitate[0] to[0] incorporate[0] vast[0] sprawling[0] vistas[0] of[0] the[0] american[0] northwest[0] spectacular[0] snow[0] capped[0] mountain[0] ranges[0] azure[0] skies[0] and[0] shimmering[0] fields[0] of[0] wheat[0] all[0] are[0] resplendent[0] in[0] cinematographer[0] robert[0] richardson's[0] viewfinder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
veteran english composer john barry was originally signed to score the film but left the project which is a pity , since " the horse whisperer " is " dances with wolves " by way of " out of africa " ( oscar winners both for barry ) . 	veteran english composer john barry was originally signed to score the film but left the project which is a pity , since " the horse whisperer " is " dances with wolves " by way of " out of africa " ( oscar winners both for barry ) .	2	-2	 veteran[0] english[0] composer[0] john[0] barry[0] was[0] originally[0] signed[0] to[0] score[0] the[0] film[0] but[0] left[0] the[0] project[0] which[0] is[0] a[0] pity[-1] since[0] the[0] horse[0] whisperer[0] is[0] dances[0] with[0] wolves[0] by[0] way[0] of[0] out[0] of[0] africa[0] oscar[0] winners[1] both[0] for[0] barry[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
fortunately , barry's replacement , thomas newman , contributes a fine score that nicely balances the majesty of montana with the delicate , human conditions--sonorous , string-laden passages that swell with pride playing counterpoint to more poetic , introspective movements ripe with nuance . 	fortunately , barry's replacement , thomas newman , contributes a fine score that nicely balances the majesty of montana with the delicate , human conditions-sonorous , string-laden passages that swell with pride playing counterpoint to more poetic , introspective movements ripe with nuance .	3	-1	 fortunately[0] barry's[0] replacement[0] thomas[0] newman[0] contributes[0] a[0] fine[2] score[0] that[0] nicely[1] balances[0] the[0] majesty[0] of[0] montana[0] with[0] the[0] delicate[0] human[0] conditions[0] sonorous[0] string[0] laden[0] passages[0] that[0] swell[0] with[0] pride[1] playing[1] counterpoint[0] to[0] more[0] poetic[0] introspective[0] movements[0] ripe[0] with[0] nuance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " the horse whisperer " is that rare kind of movie : it looks good , it feels good , and by golly it does you good . 	 " the horse whisperer " is that rare kind of movie : it looks good , it feels good , and by golly it does you good .	2	-1	 the[0] horse[0] whisperer[0] is[0] that[0] rare[0] kind[1] of[0] movie[0] it[0] looks[0] good[1] it[0] feels[0] good[1] and[0] by[0] golly[0] it[0] does[0] you[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the wait , it turns out , was well worth it . 	the wait , it turns out , was well worth it .	1	-1	 the[0] wait[0] it[0] turns[0] out[0] was[0] well[0] worth[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
