this has been an extraordinary year for australian films . 	Translation	Positive	Negative	EmotionRationale
ernie dingo brings a great deal of understanding to this role as the man in the middle . 	ernie dingo brings a great deal of understanding to this role as the man in the middle .	3	-1	 ernie[0] dingo[0] brings[0] a[0] great[2] deal[0] of[0] understanding[0] to[0] this[0] role[0] as[0] the[0] man[0] in[0] the[0] middle[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is part churchman and part politician . 	he is part churchman and part politician .	1	-1	 he[0] is[0] part[0] churchman[0] and[0] part[0] politician[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however the tension , like the heat , flies and dust , is always there . 	however the tension , like the heat , flies and dust , is always there .	2	-3	 however[0] the[0] tension[-2] like[1] the[0] heat[0] flies[0] and[0] dust[0] is[0] always[0] there[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
whilst her husband - the local teacher - is in church , white lady kate ( milliken ) and her aborginal friend tony , ( pedersen ) have gone off into the hills . 	whilst her husband - the local teacher - is in church , white lady kate ( milliken ) and her aborginal friend tony , ( pedersen ) have gone off into the hills .	2	-1	 whilst[0] her[0] husband[0] the[0] local[0] teacher[0] is[0] in[0] church[0] white[0] lady[0] kate[0] milliken[0] and[0] her[0] aborginal[0] friend[1] tony[0] pedersen[0] have[0] gone[0] off[0] into[0] the[0] hills[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he takes her to a sacred site , even today strictly men-only . 	he takes her to a sacred site , even today strictly men-only .	1	-2	 he[0] takes[0] her[0] to[0] a[0] sacred[0] site[0] even[0] today[0] strictly[-1] men[0] only[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she appears to not know this . 	she appears to not know this .	1	-1	 she[0] appears[0] to[0] not[0] know[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tony tells her that this is a special place , an initiation place . 	tony tells her that this is a special place , an initiation place .	2	-1	 tony[0] tells[0] her[0] that[0] this[0] is[0] a[0] special[1] place[0] an[0] initiation[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he then makes love to her , surrounded by ancient rock art . 	he then makes love to her , surrounded by ancient rock art .	3	-1	 he[0] then[0] makes[0] love[2] to[0] her[0] surrounded[0] by[0] ancient[0] rock[1] art[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the community finds out about this sacrilegious act and it's payback time . 	the community finds out about this sacrilegious act and it's payback time .	1	-1	 the[0] community[0] finds[0] out[0] about[0] this[0] sacrilegious[0] act[0] and[0] it's[0] payback[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fuse is lit and the brittle inter-racial peace is shattered . 	the fuse is lit and the brittle inter-racial peace is shattered .	1	-1	 the[0] fuse[0] is[0] lit[0] and[0] the[0] brittle[0] inter[0] racial[0] peace[0] is[0] shattered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone is affected in the fall out . 	everyone is affected in the fall out .	1	-1	 everyone[0] is[0] affected[0] in[0] the[0] fall[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to say more is to give away the details of this finely crafted film . 	to say more is to give away the details of this finely crafted film .	1	-1	 to[0] say[0] more[0] is[0] to[0] give[0] away[0] the[0] details[0] of[0] this[0] finely[0] crafted[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suffice to say it's a rewarding experience . 	suffice to say it's a rewarding experience .	2	-1	 suffice[0] to[0] say[0] it's[0] a[0] rewarding[1] experience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bryan brown , acting and co-producing , is the pivotal character . 	bryan brown , acting and co-producing , is the pivotal character .	1	-1	 bryan[0] brown[0] acting[0] and[0] co[0] producing[0] is[0] the[0] pivotal[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his officer is real , human and therefore flawed . 	his officer is real , human and therefore flawed .	1	-1	 his[0] officer[0] is[0] real[0] human[0] and[0] therefore[0] flawed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brown comments that he expects audiences to feel warmth towards the man , then suddenly feel angry about him . 	brown comments that he expects audiences to feel warmth towards the man , then suddenly feel angry about him .	1	-4	 brown[0] comments[0] that[0] he[0] expects[0] audiences[0] to[0] feel[0] warmth[0] towards[0] the[0] man[0] then[0] suddenly[0] feel[0] angry[-3] about[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it wasn't long ago that i visited central australia - ayers rock ( uluru ) and alice springs - for the first time . 	it wasn't long ago that i visited central australia - ayers rock ( uluru ) and alice springs - for the first time .	2	-1	 it[0] wasn't[0] long[0] ago[0] that[0] i[0] visited[0] central[0] australia[0] ayers[0] rock[1] uluru[0] and[0] alice[0] springs[0] for[0] the[0] first[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the wide-screen cinematography shows the dead heart of australia in a way that captures it's vicious beauty , but never deteriorates into a moving slide show , in which the gorgeous background dominates those pesky actors in the foreground . 	the wide-screen cinematography shows the dead heart of australia in a way that captures it's vicious beauty , but never deteriorates into a moving slide show , in which the gorgeous background dominates those pesky actors in the foreground .	3	-4	 the[0] wide[0] screen[0] cinematography[0] shows[0] the[0] dead[-2] heart[0] of[0] australia[0] in[0] a[0] way[0] that[0] captures[-1] it's[0] vicious[-3] beauty[2] but[0] never[0] deteriorates[0] into[0] a[0] moving[0] slide[0] show[0] in[0] which[0] the[0] gorgeous[2] background[0] dominates[-1] those[0] pesky[0] actors[0] in[0] the[0] foreground[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the cultural clash has provided the thesis for many a film ; from the western to the birdcage . 	the cultural clash has provided the thesis for many a film ; from the western to the birdcage .	1	-2	 the[0] cultural[0] clash[-1] has[0] provided[0] the[0] thesis[0] for[0] many[0] a[0] film[0] from[0] the[0] western[0] to[0] the[0] birdcage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at least three excellent australian films have covered the aboriginal people and the line between them and we anglo-saxon 'invaders' : " jedda " , " the chant of jimmie blacksmith " and " the last wave " . 	at least three excellent australian films have covered the aboriginal people and the line between them and we anglo-saxon 'invaders' : " jedda " , " the chant of jimmie blacksmith " and " the last wave " .	4	-1	 at[0] least[0] three[0] excellent[3] australian[0] films[0] have[0] covered[0] the[0] aboriginal[0] people[0] and[0] the[0] line[0] between[0] them[0] and[0] we[0] anglo[0] saxon[0] 'invaders'[0] jedda[0] the[0] chant[0] of[0] jimmie[0] blacksmith[0] and[0] the[0] last[0] wave[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in a year when the race 'debate' has reared up in australia , it is nourishing to see such an intelligent , non-judgemental film as " dead heart " . 	in a year when the race 'debate' has reared up in australia , it is nourishing to see such an intelligent , non-judgemental film as " dead heart " .	2	-3	 in[0] a[0] year[0] when[0] the[0] race[0] 'debate'[0] has[0] reared[0] up[0] in[0] australia[0] it[0] is[0] nourishing[0] to[0] see[0] such[0] an[0] intelligent[1] non[0] judgemental[0] film[0] as[0] dead[-2] heart[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the aboriginal priest best sums this up . 	the aboriginal priest best sums this up .	2	-1	 the[0] aboriginal[0] priest[0] best[1] sums[0] this[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is asked to say if he is a " black fella or white fella " . 	he is asked to say if he is a " black fella or white fella " .	1	-1	 he[0] is[0] asked[0] to[0] say[0] if[0] he[0] is[0] a[0] black[0] fella[0] or[0] white[0] fella[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
