eyes wide shut isn't the masterpiece many were hoping to see in stanley kubrick's final film , but it is an impressive achievement ; a mesmerizing , haunting , adult psychodrama about marriage , fidelity and sex . 	Translation	Positive	Negative	EmotionRationale
this turns out to be the beginning of a long and eventful night on the town . 	this turns out to be the beginning of a long and eventful night on the town .	1	-1	 this[0] turns[0] out[0] to[0] be[0] the[0] beginning[0] of[0] a[0] long[0] and[0] eventful[0] night[0] on[0] the[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the daughter of the dead patient hits on him but he wisely turns her down . 	the daughter of the dead patient hits on him but he wisely turns her down .	1	-3	 the[0] daughter[0] of[0] the[0] dead[-2] patient[0] hits[0] on[0] him[0] but[0] he[0] wisely[0] turns[0] her[0] down[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he almost does the dirty deed with a kindly hooker who approaches him on the street . 	he almost does the dirty deed with a kindly hooker who approaches him on the street .	2	-2	 he[0] almost[0] does[0] the[0] dirty[-1] deed[0] with[0] a[0] kindly[1] hooker[0] who[0] approaches[0] him[0] on[0] the[0] street[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then , through a series of coincidences , he winds up at a gothic mansion where a ritualistic ( and frankly , creepy ) orgy takes place , with costumed people performing various public sex acts on each other . 	then , through a series of coincidences , he winds up at a gothic mansion where a ritualistic ( and frankly , creepy ) orgy takes place , with costumed people performing various public sex acts on each other .	1	-1	 then[0] through[0] a[0] series[0] of[0] coincidences[0] he[0] winds[0] up[0] at[0] a[0] gothic[0] mansion[0] where[0] a[0] ritualistic[0] and[0] frankly[0] creepy[0] orgy[0] takes[0] place[0] with[0] costumed[0] people[0] performing[0] various[0] public[0] sex[0] acts[0] on[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
erotic dread mounts as cruise ( who's not supposed to be there ) wonders the spacious halls watching the " action " until he is discovered to be an outsider . 	erotic dread mounts as cruise ( who's not supposed to be there ) wonders the spacious halls watching the " action " until he is discovered to be an outsider .	1	-4	 erotic[0] dread[-3] mounts[0] as[0] cruise[0] who's[0] not[0] supposed[0] to[0] be[0] there[0] wonders[0] the[0] spacious[0] halls[0] watching[0] the[0] action[0] until[0] he[0] is[0] discovered[0] to[0] be[0] an[0] outsider[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
much hoopla has been raised over the fact that warner bros . digitally edited the orgy scene . 	much hoopla has been raised over the fact that warner bros .<br> digitally edited the orgy scene .	1	-1	 much[0] hoopla[0] has[0] been[0] raised[0] over[0] the[0] fact[0] that[0] warner[0] bros[0] [[Sentence=-1,1=word max, 1-5]] digitally[0] edited[0] the[0] orgy[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the help of a computer , they put in cloaked figures to block some of the actual sex acts ( they can still be seen , just not in all their glory ) in order to avoid the dreaded nc-17 rating . 	with the help of a computer , they put in cloaked figures to block some of the actual sex acts ( they can still be seen , just not in all their glory ) in order to avoid the dreaded nc-17 rating .	2	-4	 with[0] the[0] help[0] of[0] a[0] computer[0] they[0] put[0] in[0] cloaked[0] figures[0] to[0] block[-1] some[0] of[0] the[0] actual[0] sex[0] acts[0] they[0] can[0] still[0] be[0] seen[0] just[0] not[0] in[0] all[0] their[0] glory[1] in[0] order[0] to[0] avoid[-1] the[0] dreaded[-3] nc[0] -17[0] rating[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
european viewers will see the film as kubrick envisioned it . 	european viewers will see the film as kubrick envisioned it .	1	-1	 european[0] viewers[0] will[0] see[0] the[0] film[0] as[0] kubrick[0] envisioned[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
roger ebert calls the american version the " austin powers version , " and many others have bashed the alterations . 	roger ebert calls the american version the " austin powers version , " and many others have bashed the alterations .	1	-1	 roger[0] ebert[0] calls[0] the[0] american[0] version[0] the[0] austin[0] powers[0] version[0] and[0] many[0] others[0] have[0] bashed[0] the[0] alterations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am of the potentially controversial opinion that the figures only supplement the scene's mystical atmosphere . 	i am of the potentially controversial opinion that the figures only supplement the scene's mystical atmosphere .	1	-2	 i[0] am[0] of[0] the[0] potentially[0] controversial[-1] opinion[0] that[0] the[0] figures[0] only[0] supplement[0] the[0] scene's[0] mystical[0] atmosphere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first thing one notices about eyes wide shut is how it looks . 	the first thing one notices about eyes wide shut is how it looks .	1	-1	 the[0] first[0] thing[0] one[0] notices[0] about[0] eyes[0] wide[0] shut[0] is[0] how[0] it[0] looks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is an artful , distinctively gorgeous production , shot in dark , moody hues and featuring some elaborate , beautiful scenery . 	this is an artful , distinctively gorgeous production , shot in dark , moody hues and featuring some elaborate , beautiful scenery .	3	-3	 this[0] is[0] an[0] artful[0] distinctively[0] gorgeous[2] production[0] shot[-1] in[0] dark[0] moody[-2] hues[0] and[0] featuring[0] some[0] elaborate[0] beautiful[2] scenery[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
from the giant mansion used in the film's centerpiece to the decor at the christmas party to the harford's apartment , this film is always a pleasure to look at . 	from the giant mansion used in the film's centerpiece to the decor at the christmas party to the harford's apartment , this film is always a pleasure to look at .	3	-1	 from[0] the[0] giant[0] mansion[0] used[0] in[0] the[0] film's[0] centerpiece[0] to[0] the[0] decor[0] at[0] the[0] christmas[0] party[0] to[0] the[0] harford's[0] apartment[0] this[0] film[0] is[0] always[0] a[0] pleasure[2] to[0] look[0] at[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to boot , a great soundtrack makes it more atmospheric still . 	to boot , a great soundtrack makes it more atmospheric still .	3	-1	 to[0] boot[0] a[0] great[2] soundtrack[0] makes[0] it[0] more[0] atmospheric[0] still[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at the core , behind the graphic , controversial content and unappealing mood , this is a good-natured movie that emphasizes the importance of fidelity . 	at the core , behind the graphic , controversial content and unappealing mood , this is a good-natured movie that emphasizes the importance of fidelity .	2	-2	 at[0] the[0] core[0] behind[0] the[0] graphic[0] controversial[-1] content[0] and[0] unappealing[0] mood[0] this[0] is[0] a[0] good[1] natured[0] movie[0] that[0] emphasizes[0] the[0] importance[0] of[0] fidelity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it looks at sex as almost perfunctory by portraying it as unnerving rather than erotic . 	it looks at sex as almost perfunctory by portraying it as unnerving rather than erotic .	1	-1	 it[0] looks[0] at[0] sex[0] as[0] almost[0] perfunctory[0] by[0] portraying[0] it[0] as[0] unnerving[0] rather[0] than[0] erotic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's something superficial and yet something necessary to achieve a deeper relationship . 	it's something superficial and yet something necessary to achieve a deeper relationship .	1	-2	 it's[0] something[0] superficial[-1] and[0] yet[0] something[0] necessary[0] to[0] achieve[0] a[0] deeper[0] relationship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the end , it seems , bill's eyes are wide open to the special kind of love he and his wife have for each other , more meaningful than anything he could ever hope to find on the streets of new york . 	at the end , it seems , bill's eyes are wide open to the special kind of love he and his wife have for each other , more meaningful than anything he could ever hope to find on the streets of new york .	3	-1	 at[0] the[0] end[0] it[0] seems[0] bill's[0] eyes[0] are[0] wide[0] open[0] to[0] the[0] special[1] kind[1] of[0] love[2] he[0] and[0] his[0] wife[0] have[0] for[0] each[0] other[0] more[0] meaningful[0] than[0] anything[0] he[0] could[0] ever[0] hope[2] to[0] find[0] on[0] the[0] streets[0] of[0] new[0] york[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
kubrick elicits wonderful performances from both cruise and kidman . 	kubrick elicits wonderful performances from both cruise and kidman .	3	-1	 kubrick[0] elicits[0] wonderful[2] performances[0] from[0] both[0] cruise[0] and[0] kidman[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
tom is completely convincing as dr . harford , a man who seems guided solely by destiny , with no control of the course his life will take . 	tom is completely convincing as dr .<br> harford , a man who seems guided solely by destiny , with no control of the course his life will take .	1	-1	 tom[0] is[0] completely[0] convincing[0] as[0] dr[0] [[Sentence=-1,1=word max, 1-5]] harford[0] a[0] man[0] who[0] seems[0] guided[0] solely[0] by[0] destiny[0] with[0] no[0] control[0] of[0] the[0] course[0] his[0] life[0] will[0] take[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nicole projects a quiet intensity as the jittery yet aggressive wife and her performance is stunningly effective : she's headed for an oscar nod . 	nicole projects a quiet intensity as the jittery yet aggressive wife and her performance is stunningly effective : she's headed for an oscar nod .	1	-3	 nicole[0] projects[0] a[0] quiet[0] intensity[0] as[0] the[0] jittery[-1] yet[0] aggressive[-2] wife[0] and[0] her[0] performance[0] is[0] stunningly[0] effective[0] she's[0] headed[0] for[0] an[0] oscar[0] nod[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie has some help from a similarly strong supporting cast , at the head of which is director-cum-thespian sidney pollock , enigmatic and articulate as harford's mysterious friend . 	the movie has some help from a similarly strong supporting cast , at the head of which is director-cum-thespian sidney pollock , enigmatic and articulate as harford's mysterious friend .	2	-1	 the[0] movie[0] has[0] some[0] help[0] from[0] a[0] similarly[0] strong[0] supporting[1] cast[0] at[0] the[0] head[0] of[0] which[0] is[0] director[0] cum[0] thespian[0] sidney[0] pollock[0] enigmatic[0] and[0] articulate[0] as[0] harford's[0] mysterious[0] friend[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
eyes wide shut is not perfect : the last hour could have used a slightly more scissor-happy editor and both cruise and kidman are too good- looking for me to believe that either would have a very strong temptation to philander . 	eyes wide shut is not perfect : the last hour could have used a slightly more scissor-happy editor and both cruise and kidman are too good- looking for me to believe that either would have a very strong temptation to philander .	2	-2	 eyes[0] wide[0] shut[0] is[0] not[0] perfect[1][NegatedDueToPreviousWord] the[0] last[0] hour[0] could[0] have[0] used[0] a[0] slightly[0] more[0] scissor[0] happy[1] editor[0] and[0] both[0] cruise[0] and[0] kidman[0] are[0] too[0] good[1] looking[0] for[0] me[0] to[0] believe[0] that[0] either[0] would[0] have[0] a[0] very[0] strong[0] temptation[-1] to[0] philander[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
still , this is an important work from a great director , and while it may not be on par with some of stanley kubrick's best it is a worthy final film , a complex exploration of jealousy and faithfulness . 	still , this is an important work from a great director , and while it may not be on par with some of stanley kubrick's best it is a worthy final film , a complex exploration of jealousy and faithfulness .	3	-3	 still[0] this[0] is[0] an[0] important[0] work[0] from[0] a[0] great[2] director[0] and[0] while[0] it[0] may[0] not[0] be[0] on[0] par[0] with[0] some[0] of[0] stanley[0] kubrick's[0] best[1] it[0] is[0] a[0] worthy[0] final[0] film[0] a[0] complex[0] exploration[0] of[0] jealousy[-2] and[0] faithfulness[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 ? 1999 eugene novikov&#137 ; 	 ?<br> 199 eugene novikov&#137 ;	1	-1	 1999/199[0] eugene[0] novikov&#137[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
