big courtroom thrillers have always captivated america . 	Translation	Positive	Negative	EmotionRationale
he gets many leading roles , but is never heard when you hear of big box office draws like tom hanks , brad pitt and jim carrey . 	he gets many leading roles , but is never heard when you hear of big box office draws like tom hanks , brad pit and jim carrey .	2	-1	 he[0] gets[0] many[0] leading[0] roles[0] but[0] is[0] never[0] heard[0] when[0] you[0] hear[0] of[0] big[0] box[0] office[0] draws[0] like[1] tom[0] hanks[0] brad[0] pitt/pit[0] and[0] jim[0] carrey[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
duvall has a supporting role in this as a lawyer of the co-defendant . 	duvall has a supporting role in this as a lawyer of the co-defendant .	2	-2	 duvall[0] has[0] a[0] supporting[1] role[0] in[0] this[0] as[0] a[0] lawyer[0] of[0] the[0] co[0] defendant[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
duvall is magical in this role . 	duvall is magical in this role .	1	-1	 duvall[0] is[0] magical[0] in[0] this[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is the wise teacher , who not only battles it out in the courtroom , but also manages to teach every major player a lesson , in his own twisted way . 	he is the wise teacher , who not only battles it out in the courtroom , but also manages to teach every major player a lesson , in his own twisted way .	2	-1	 he[0] is[0] the[0] wise[0] teacher[0] who[0] not[0] only[0] battles[-1][NegatedDueToPreviousWord] it[0] out[0] in[0] the[0] courtroom[0] but[0] also[0] manages[0] to[0] teach[0] every[0] major[0] player[0] a[0] lesson[0] in[0] his[0] own[0] twisted[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in many non-comedic films , directors are always trying to find a way to implement a touch of comedy , to keep the audience on their toes . 	in many non-comedic films , directors are always trying to find a way to implement a touch of comedy , to keep the audience on their toes .	1	-1	 in[0] many[0] non[0] comedic[0] films[0] directors[0] are[0] always[0] trying[0] to[0] find[0] a[0] way[0] to[0] implement[0] a[0] touch[0] of[0] comedy[0] to[0] keep[0] the[0] audience[0] on[0] their[0] toes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , they usually just key in on one character whose main objective is to be funny ( jar-jar binks , anyone ? ) . 	unfortunately , they usually just key in on one character whose main objective is to be funny ( jar-jar binks , anyone ?<br> ) .	2	-2	 unfortunately[-1] they[0] usually[0] just[0] key[0] in[0] on[0] one[0] character[0] whose[0] main[0] objective[0] is[0] to[0] be[0] funny[1] jar[0] jar[0] binks[0] anyone[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , this usually backfires because the character is never fully developed . 	however , this usually backfires because the character is never fully developed .	1	-1	 however[0] this[0] usually[0] backfires[0] because[0] the[0] character[0] is[0] never[0] fully[0] developed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is not the case in a civil action . 	this is not the case in a civil action .	1	-1	 this[0] is[0] not[0] the[0] case[0] in[0] a[0] civil[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they have comedy coming from all sides . 	they have comedy coming from all sides .	1	-1	 they[0] have[0] comedy[0] coming[0] from[0] all[0] sides[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whether it be duvall's inane questions or macy's sharp anger , the laughs come in a steady pace . 	whether it be duvall's inane questions or macy's sharp anger , the laughs come in a steady pace .	2	-4	 whether[0] it[0] be[0] duvall's[0] inane[-1] questions[0] or[0] macy's[0] sharp[0] anger[-3] the[0] laughs[1] come[0] in[0] a[0] steady[0] pace[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
granted , it's not roll in the aisle funny , but it provides a nice addition to the film . 	granted , it's not roll in the aisle funny , but it provides a nice addition to the film .	2	-1	 granted[0] it's[0] not[0] roll[0] in[0] the[0] aisle[0] funny[1] but[0] it[0] provides[0] a[0] nice[1] addition[0] to[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot is terrific- somewhat . 	the plot is terrific- somewhat .	4	-1	 the[0] plot[0] is[0] terrific[3] somewhat[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the setup is nice with the film actually starting with a victory in the courtroom . 	the setup is nice with the film actually starting with a victory in the courtroom .	2	-1	 the[0] setup[0] is[0] nice[1] with[0] the[0] film[0] actually[0] starting[0] with[0] a[0] victory[0] in[0] the[0] courtroom[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then the case that will make or break jan ( travolta ) 's career rears its ugly head . 	then the case that will make or break jan ( travolta ) 's career rears its ugly head .	1	-3	 then[0] the[0] case[0] that[0] will[0] make[0] or[0] break[0] jan[0] travolta[0] 's[0] career[0] rears[0] its[0] ugly[-2] head[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they find out the goldmine involved with the case and wind up taking it . 	they find out the goldmine involved with the case and wind up taking it .	1	-1	 they[0] find[0] out[0] the[0] goldmine[0] involved[0] with[0] the[0] case[0] and[0] wind[0] up[0] taking[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , budgets soon flounder and jan finds himself in deep debt . 	however , budgets soon flounder and jan finds himself in deep debt .	1	-2	 however[0] budgets[0] soon[0] flounder[-1] and[0] jan[0] finds[0] himself[0] in[0] deep[0] debt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i will not spoil the rest , although i must speak of the one downside to the film . 	i will not spoil the rest , although i must speak of the one downside to the film .	2	-1	 i[0] will[0] not[0] spoil[-1][NegatedDueToPreviousWord] the[0] rest[0] although[0] i[0] must[0] speak[0] of[0] the[0] one[0] downside[0] to[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the courtroom debates are great , but the actual problem they are fighting for is never fully explored . 	the courtroom debates are great , but the actual problem they are fighting for is never fully explored .	3	-3	 the[0] courtroom[0] debates[0] are[0] great[2] but[0] the[0] actual[0] problem[-1] they[0] are[0] fighting[-2] for[0] is[0] never[0] fully[0] explored[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it left me somewhat confused , although the rest of the film is terrific . 	it left me somewhat confused , although the rest of the film is terrific .	4	-2	 it[0] left[0] me[0] somewhat[0] confused[-1] although[0] the[0] rest[0] of[0] the[0] film[0] is[0] terrific[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
all in all , john travolta is back yet again in this great film . 	all in all , john travolta is back yet again in this great film .	3	-1	 all[0] in[0] all[0] john[0] travolta[0] is[0] back[0] yet[0] again[0] in[0] this[0] great[2] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his supporting cast , consisting of macy and duvall , turn in tremendous performances , which ease the load on travolta . 	his supporting cast , consisting of macy and duvall , turn in tremendous performances , which ease the load on travolta .	2	-1	 his[0] supporting[1] cast[0] consisting[0] of[0] macy[0] and[0] duvall[0] turn[0] in[0] tremendous[0] performances[0] which[0] ease[0] the[0] load[0] on[0] travolta[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is smart , witty and thought provoking . 	the film is smart , witty and thought provoking .	2	-1	 the[0] film[0] is[0] smart[1] witty[0] and[0] thought[0] provoking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not only does it gauge in-court battles , but also the various tolls it can take on the major players . 	not only does it gauge in-court battles , but also the various tolls it can take on the major players .	1	-2	 not[0] only[0] does[0] it[0] gauge[0] in[0] court[0] battles[-1] but[0] also[0] the[0] various[0] tolls[0] it[0] can[0] take[0] on[0] the[0] major[0] players[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a civil action provides everything a drama lover craves . 	a civil action provides everything a drama lover craves .	4	-2	 a[0] civil[0] action[0] provides[0] everything[0] a[0] drama[0] lover[3] craves[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
