the sweet hereafter could serve as a textbook example of the difference between television movies and " real " movies . 	Translation	Positive	Negative	EmotionRationale
although the physical damage is inflicted mainly on the children , the adults bear the emotional scars of the loss . 	although the physical damage is inflicted mainly on the children , the adults bear the emotional scars of the loss .	1	-3	 although[0] the[0] physical[0] damage[0] is[0] inflicted[0] mainly[0] on[0] the[0] children[0] the[0] adults[0] bear[0] the[0] emotional[-1] scars[0] of[0] the[0] loss[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ian holm , in arguably the best performance of his distinguished career , plays mitchell stephens , an intense man of quiet misery . 	ian holm , in arguably the best performance of his distinguished career , plays mitchell stephens , an intense man of quiet misery .	2	-3	 ian[0] holm[0] in[0] arguably[-1] the[0] best[1] performance[0] of[0] his[0] distinguished[0] career[0] plays[1] mitchell[0] stephens[0] an[0] intense[0] man[0] of[0] quiet[0] misery[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
mitchell is the outsider in the story set in a small , snow-encrusted community in the british columbian wilderness . 	mitchell is the outsider in the story set in a small , snow-encrusted community in the british columbian wilderness .	1	-2	 mitchell[0] is[0] the[0] outsider[-1] in[0] the[0] story[0] set[0] in[0] a[0] small[0] snow[0] encrusted[0] community[0] in[0] the[0] british[0] columbian[0] wilderness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his mission there is a singular one , to sign up the parents so that he can sue someone , anyone , on their behalf . 	his mission there is a singular one , to sign up the parents so that he can sue someone , anyone , on their behalf .	1	-1	 his[0] mission[0] there[0] is[0] a[0] singular[0] one[0] to[0] sign[0] up[0] the[0] parents[0] so[0] that[0] he[0] can[0] sue[0] someone[0] anyone[0] on[0] their[0] behalf[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if this seems crass , well it is , but mitchell approaches his job with the dedication of a religious zealot . 	if this seems crass , well it is , but mitchell approaches his job with the dedication of a religious zealot .	1	-2	 if[0] this[0] seems[0] crass[-1] well[0] it[0] is[0] but[0] mitchell[0] approaches[0] his[0] job[0] with[0] the[0] dedication[0] of[0] a[0] religious[0] zealot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story unfolds slowly and always believably . 	the story unfolds slowly and always believably .	1	-1	 the[0] story[0] unfolds[0] slowly[0] and[0] always[0] believably[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
each little aspect has its own fascination . 	each little aspect has its own fascination .	1	-1	 each[0] little[0] aspect[0] has[0] its[0] own[0] fascination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as mitchell interviews wendell and rita walker , played with quiet realism by maury chaykin and alberta watson , he has a simple task . 	as mitchell interviews wendell and rita walker , played with quiet realism by maury chaykin and alberta watson , he has a simple task .	1	-1	 as[0] mitchell[0] interviews[0] wendell[0] and[0] rita[0] walker[0] played[0] with[0] quiet[0] realism[0] by[0] maury[0] chaykin[0] and[0] alberta[0] watson[0] he[0] has[0] a[0] simple[0] task[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he wants them to suggest some model couple in the village who has a lost a child so that he can use that couple to form the basis of the suit . 	he wants them to suggest some model couple in the village who has a lost a child so that he can use that couple to form the basis of the suit .	1	-1	 he[0] wants[0] them[0] to[0] suggest[0] some[0] model[0] couple[0] in[0] the[0] village[0] who[0] has[0] a[0] lost[0] a[0] child[0] so[0] that[0] he[0] can[0] use[0] that[0] couple[0] to[0] form[0] the[0] basis[0] of[0] the[0] suit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wendell ticks off one town member after another and then , as one can in a small town , enumerates each person's numerous faults . 	wendell ticks off one town member after another and then , as one can in a small town , enumerates each person's numerous faults .	1	-2	 wendell[0] ticks[0] off[0] one[0] town[0] member[0] after[0] another[0] and[0] then[0] as[0] one[0] can[0] in[0] a[0] small[0] town[0] enumerates[0] each[0] person's[0] numerous[0] faults[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although the town is no peyton place , people there do have their foibles . 	although the town is no peyton place , people there do have their foibles .	1	-2	 although[0] the[0] town[0] is[0] no[0] peyton[0] place[0] people[0] there[0] do[0] have[0] their[0] foibles[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the best parents in the town appears to be billy ansell ( bruce greenwood ) , who rides his pickup behind the school bus everyday just so he can wave good-bye to his kids . 	one of the best parents in the town appears to be billy ansell ( bruce greenwood ) , who rides his pickup behind the school bus everyday just so he can wave good-bye to his kids .	2	-1	 one[0] of[0] the[0] best[1] parents[0] in[0] the[0] town[0] appears[0] to[0] be[0] billy[0] ansell[0] bruce[0] greenwood[0] who[0] rides[0] his[0] pickup[0] behind[0] the[0] school[0] bus[0] everyday[0] just[0] so[0] he[0] can[0] wave[0] good[1] bye[0] to[0] his[0] kids[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , single parent billy's fault is that he has regularly scheduled trysts with the married rita . 	well , single parent billy's fault is that he has regularly scheduled trysts with the married rita .	1	-2	 well[0] single[0] parent[0] billy's[0] fault[-1] is[0] that[0] he[0] has[0] regularly[0] scheduled[0] trysts[0] with[0] the[0] married[0] rita[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his confessions to rita about his feelings of loss are one of the many heartfelt outpourings in the story . 	his confessions to rita about his feelings of loss are one of the many heartfelt outpourings in the story .	2	-3	 his[0] confessions[-1] to[0] rita[0] about[0] his[0] feelings[0] of[0] loss[-2] are[0] one[0] of[0] the[0] many[0] heartfelt[1] outpourings[0] in[0] the[0] story[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the accident itself , a simple one of a bus hitting a patch of ice , isn't shown until the middle of the picture , but , nevertheless , the mystery about it builds throughout the film . 	the accident itself , a simple one of a bus hitting a patch of ice , isn't shown until the middle of the picture , but , nevertheless , the mystery about it builds throughout the film .	1	-2	 the[0] accident[-1] itself[0] a[0] simple[0] one[0] of[0] a[0] bus[0] hitting[0] a[0] patch[0] of[0] ice[0] isn't[0] shown[0] until[0] the[0] middle[0] of[0] the[0] picture[0] but[0] nevertheless[0] the[0] mystery[0] about[0] it[0] builds[0] throughout[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although the picture is no detective story , finding out exactly what happened is a subtheme in a movie that is primarily a character study of a town gripped by tragedy . 	although the picture is no detective story , finding out exactly what happened is a subtheme in a movie that is primarily a character study of a town gripped by tragedy .	1	-3	 although[0] the[0] picture[0] is[0] no[0] detective[0] story[0] finding[0] out[0] exactly[0] what[0] happened[0] is[0] a[0] subtheme[0] in[0] a[0] movie[0] that[0] is[0] primarily[0] a[0] character[0] study[0] of[0] a[0] town[0] gripped[0] by[0] tragedy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the injured bus driver , gabrielle rose , dolores driscoll plays the role of a dedicated individual who loves kids with a passion and for whom the tragedy takes on special meaning . 	as the injured bus driver , gabrielle rose , dolores driscoll plays the role of a dedicated individual who loves kids with a passion and for whom the tragedy takes on special meaning .	3	-3	 as[0] the[0] injured[0] bus[0] driver[0] gabrielle[0] rose[0] dolores[0] driscoll[0] plays[1] the[0] role[0] of[0] a[0] dedicated[0] individual[0] who[0] loves[2] kids[0] with[0] a[0] passion[2] and[0] for[0] whom[0] the[0] tragedy[-2] takes[0] on[0] special[1] meaning[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
to round out the story , mitchell has his own private tragedy to bear . 	to round out the story , mitchell has his own private tragedy to bear .	1	-3	 to[0] round[0] out[0] the[0] story[0] mitchell[0] has[0] his[0] own[0] private[0] tragedy[-2] to[0] bear[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his daughter zoe ( caerthan banks ) is a drug addict who has bounced in and out of one half-way house and recovery center after another . 	his daughter zoe ( caerthan banks ) is a drug addict who has bounced in and out of one half-way house and recovery center after another .	1	-2	 his[0] daughter[0] zoe[0] caerthan[0] banks[0] is[0] a[0] drug[0] addict[-1] who[0] has[0] bounced[0] in[0] and[0] out[0] of[0] one[0] half[0] way[0] house[0] and[0] recovery[0] center[0] after[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fond of calling her dad on his cell phone so she can ask for money or help , she interrupts him at many emotionally charged moments as he attempts to sign up the townsfolk . 	fond of calling her dad on his cell phone so she can ask for money or help , she interrupts him at many emotionally charged moments as he attempts to sign up the townsfolk .	3	-2	 fond[2] of[0] calling[0] her[0] dad[0] on[0] his[0] cell[0] phone[0] so[0] she[0] can[0] ask[0] for[0] money[0] or[0] help[0] she[0] interrupts[-1] him[0] at[0] many[0] emotionally[0] charged[-1] moments[0] as[0] he[0] attempts[0] to[0] sign[0] up[0] the[0] townsfolk[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( " i can help you , " mitchell tries to reassure billy . 	 ( " i can help you , " mitchell tries to reassure billy .	2	-1	 i[0] can[0] help[0] you[0] mitchell[0] tries[0] to[0] reassure[1] billy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " not unless you can raise the dead , " billy snaps back . 	 " not unless you can raise the dead , " billy snaps back .	1	-3	 not[0] unless[0] you[0] can[0] raise[0] the[0] dead[-2] billy[0] snaps[0] back[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mitchell's pitch is never an easy one and worrying about zoe only makes it harder . ) 	mitchell's pitch is never an easy one and worrying about zoe only makes it harder .<br> )	1	-4	 mitchell's[0] pitch[0] is[0] never[0] an[0] easy[0] one[0] and[0] worrying[-3] about[0] zoe[0] only[0] makes[0] it[0] harder[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
mychael danna's haunting music sets the stage for tragedy . 	mychael danna's haunting music sets the stage for tragedy .	1	-3	 mychael[0] danna's[0] haunting[0] music[0] sets[0] the[0] stage[0] for[0] tragedy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the cinematography by paul sarossy is sweeping in its outdoor grandeur , but it is in the warm , shadowy , intimate moments indoors where it works best . 	the cinematography by paul sarossy is sweeping in its outdoor grandeur , but it is in the warm , shadowy , intimate moments indoors where it works best .	2	-1	 the[0] cinematography[0] by[0] paul[0] sarossy[0] is[0] sweeping[0] in[0] its[0] outdoor[0] grandeur[1] but[0] it[0] is[0] in[0] the[0] warm[0] shadowy[0] intimate[0] moments[0] indoors[0] where[0] it[0] works[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the show , which is ripe for emotional manipulation , never plays with its audience . 	the show , which is ripe for emotional manipulation , never plays with its audience .	1	-2	 the[0] show[0] which[0] is[0] ripe[0] for[0] emotional[-1] manipulation[-1] never[0] plays[1][NegatedDueToPreviousWord] with[0] its[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , when the house lights go up , you may feel as i did . 	still , when the house lights go up , you may feel as i did .	1	-1	 still[0] when[0] the[0] house[0] lights[0] go[0] up[0] you[0] may[0] feel[0] as[0] i[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i could barely breathe ; i was so overcome by the sum total of what i had witnessed . 	i could barely breathe ; i was so overcome by the sum total of what i had witnessed .	1	-1	 i[0] could[0] barely[0] breathe[0] i[0] was[0] so[0] overcome[0] by[0] the[0] sum[0] total[0] of[0] what[0] i[0] had[0] witnessed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more than anything , the film is like a master painting . 	more than anything , the film is like a master painting .	2	-1	 more[0] than[0] anything[0] the[0] film[0] is[0] like[1] a[0] master[0] painting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
each cinematic brush stroke is carefully laid down by egoyan with the beauty building with each dollop of paint . 	each cinematic brush stroke is carefully laid down by egoyan with the beauty building with each dollop of paint .	3	-1	 each[0] cinematic[0] brush[0] stroke[0] is[0] carefully[0] laid[0] down[0] by[0] egoyan[0] with[0] the[0] beauty[2] building[0] with[0] each[0] dollop[0] of[0] paint[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with the final color in place , the masterpiece is complete , and the ending credits roll . 	with the final color in place , the masterpiece is complete , and the ending credits roll .	1	-1	 with[0] the[0] final[0] color[0] in[0] place[0] the[0] masterpiece[0] is[0] complete[0] and[0] the[0] ending[0] credits[0] roll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sweet hereafter runs 1 : 50 . 	the sweet hereafter runs 1 : 50 .	2	-1	 the[0] sweet[1] hereafter[0] runs[0] 1[0] 50[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is rated r for mature themes , sexuality and some profanity and would be fine teenagers . 	it is rated are for mature themes , sexuality and some profanity and would be fine teenagers .	3	-1	 it[0] is[0] rated[0] r[0] for[0] mature[0] themes[0] sexuality[0] and[0] some[0] profanity[0] and[0] would[0] be[0] fine[2] teenagers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
