 ( dimension films , " scream 2 " 's distributor , has asked press to say extremely little -- if anything -- about the film's twisty plot . 	Translation	Positive	Negative	EmotionRationale
life is tranquil . . . 	life is tranquil .<br> .<br> .	2	-1	 life[0] is[0] tranquil[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least for a while . 	at least for a while .	1	-1	 at[0] least[0] for[0] a[0] while[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
several sudden murders bring sidney , randy , gale and dewey together again , but with suspicious eyes cast on each other and most of those in their surroundings -- if these four people learned anything from the past , it's to trust no one . 	several sudden murders bring sidney , randy , gale and dewey together again , but with suspicious eyes cast on each other and most of those in their surroundings - if these four people learned anything from the past , it's to trust no one .	2	-4	 several[0] sudden[0] murders[-3] bring[0] sidney[0] randy[0] gale[0] and[0] dewey[0] together[0] again[0] but[0] with[0] suspicious[-1] eyes[0] cast[0] on[0] each[0] other[0] and[0] most[0] of[0] those[0] in[0] their[0] surroundings[0] if[0] these[0] four[0] people[0] learned[0] anything[0] from[0] the[0] past[0] it's[0] to[0] trust[1] no[0] one[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
thus , the possible victim/potential killer list includes said quartet , as well as : derek ( jerry o'connell ) , sidney's new beau ; cici ( sara michelle gellar ) , a chatty sorority gal ; joel ( duane martin ) , gale's cameraman who's not too thrilled with her blood-soaked past ; hallie ( elise neal ) , sidney's sassy roommate ; debbie ( laurie metcalf ) , a local reporter who gives gale some not-too-friendly competition ; and mickey ( timothy olyphant ) , randy's good friend and fellow film student . 	thus , the possible victim/potential killer list includes said quartet , as well as : derek ( jerry o'connell ) , sidney's new beau ; cici ( sara michelle gellar ) , a chatty sorority get a life� ; joel ( duane martin ) , gale's cameraman who's not too thrilled with her blood-soaked past ; hallie ( elise neal ) , sidney's sassy roommate ; debbie ( laurie metcalf ) , a local reporter who gives gale some not-too-friendly competition ; and mickey ( timothy olyphant ) , randy's good friend and fellow film student .	2	-4	 thus[0] the[0] possible[0] victim/potential[-2] killer[-1] list[0] includes[0] said[0] quartet[0] as[0] well[0] as[0] derek[0] jerry[0] o'connell[0] sidney's[0] new[0] beau[0] cici[0] sara[0] michelle[0] gellar[0] a[0] chatty[0] sorority[0] gal[0] joel[0] duane[0] martin[0] gale's[0] cameraman[0] who's[0] not[0] too[0] thrilled[3][NegatedDueToPreviousWord] with[0] her[0] blood[0] soaked[0] past[0] hallie[0] elise[0] neal[0] sidney's[0] sassy[0] roommate[0] debbie[0] laurie[0] metcalf[0] a[0] local[0] reporter[0] who[0] gives[0] gale[0] some[0] not[0] too[0] friendly[1][NegatedDueToPreviousWord] competition[0] and[0] mickey[0] timothy[0] olyphant[0] randy's[0] good[1] friend[1] and[0] fellow[0] film[0] student[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
cotton weary ( liev schreiber ) , the man sidney wrongly accused of her mother's murder in scream , also shows up on campus -- but why ? 	cotton weary ( liev schreiber ) , the man sidney wrongly accused of her mother's murder in scream , also shows up on campus - but why ?	1	-4	 cotton[0] weary[0] liev[0] schreiber[0] the[0] man[0] sidney[0] wrongly[-2] accused[-1] of[0] her[0] mother's[0] murder[-3] in[0] scream[-3] also[0] shows[0] up[0] on[0] campus[0] but[0] why[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
like the first scream , craven and screenwriter kevin williamson inaugurate things with a bang . 	like the first scream , craven and screenwriter kevin williamson inaugurate things with a bang .	2	-4	 like[1] the[0] first[0] scream[-3] craven[-1] and[0] screenwriter[0] kevin[0] williamson[0] inaugurate[0] things[0] with[0] a[0] bang[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this time , it's an extended sequence that finds an african-american couple ( jada pinkett and omar epps ) attending a sneak preview of " stab , " making sly references about everything from sandra bullock to the lunchmeat non-roles of blacks in slasher cinema . 	this time , it's an extended sequence that finds an african-american couple ( jada pinkett and omar epps ) attending a sneak preview of " stab , " making sly references about everything from sandra bullock to the lunchmeat non-roles of blacks in slasher cinema .	1	-2	 this[0] time[0] it's[0] an[0] extended[0] sequence[0] that[0] finds[0] an[0] african[0] american[0] couple[0] jada[0] pinkett[0] and[0] omar[0] epps[0] attending[0] a[0] sneak[-1] preview[0] of[0] stab[-1] making[0] sly[-1] references[0] about[0] everything[0] from[0] sandra[0] bullock[0] to[0] the[0] lunchmeat[0] non[0] roles[0] of[0] blacks[0] in[0] slasher[-1] cinema[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
before tragedy ensues at the screening , the movie-within-a-movie setup allows for plenty of jokey moments , including a scene from " stab " which turns scream's now-famous drew barrymore prologue on its ear . 	before tragedy ensues at the screening , the movie-within-a-movie setup allows for plenty of jokey moments , including a scene from " stab " which turns scream's now-famous drew barrymore prologue on its ear .	2	-4	 before[0] tragedy[-2] ensues[0] at[0] the[0] screening[0] the[0] movie[0] within[0] a[0] movie[0] setup[0] allows[0] for[0] plenty[0] of[0] jokey[1] moments[0] including[0] a[0] scene[0] from[0] stab[-1] which[0] turns[0] scream's[-3] now[0] famous[0] drew[0] barrymore[0] prologue[0] on[0] its[0] ear[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 ( " b---- , hang up the phone and star-69 his a-- ! " 	 ( " b- , hang up the phone and star-69 his a- !<br> "	1	-2	 b[0] hang[-1] up[0] the[0] phone[0] and[0] star[0] -69[0] his[0] a[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pinkett yells at the screen . ) 	pinkett yells at the screen .<br> )	1	-1	 pinkett[0] yells[0] at[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's funny , creepy stuff ( i don't think i'll ever feel safe in a movie theater again ) that effectively foreshadows the ratio of smart scares and spoofy laughs down the road . 	it's funny , creepy stuff ( i don't think i'll ever feel safe in a movie theater again ) that effectively foreshadows the ratio of smart scares and spoofy laughs down the road .	2	-4	 it's[0] funny[1] creepy[0] stuff[0] i[0] don't[0] think[0] i'll[0] ever[0] feel[0] safe[1] in[0] a[0] movie[0] theater[0] again[0] that[0] effectively[0] foreshadows[0] the[0] ratio[0] of[0] smart[1] scares[-3] and[0] spoofy[0] laughs[1] down[0] the[0] road[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
another flawless example of this is a riotous cell phone-assault of the killer on randy , dewey and gale in broad daylight ; it builds comedically and ends with genuine terror because of the emotional investment made on these delicious characters . 	another flawless example of this is a riotous cell phone-assault of the killer on randy , dewey and gale in broad daylight ; it builds comedically and ends with genuine terror because of the emotional investment made on these delicious characters .	3	-3	 another[0] flawless[1] example[0] of[0] this[0] is[0] a[0] riotous[0] cell[0] phone[0] assault[-2] of[0] the[0] killer[-1] on[0] randy[0] dewey[0] and[0] gale[0] in[0] broad[0] daylight[0] it[0] builds[0] comedically[0] and[0] ends[0] with[0] genuine[0] terror[-1] because[0] of[0] the[0] emotional[-1] investment[0] made[0] on[0] these[0] delicious[2] characters[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there are other superb set pieces , but explaining them risks ruining their effect . 	there are other superb set pieces , but explaining them risks ruining their effect .	1	-2	 there[0] are[0] other[0] superb[0] set[0] pieces[0] but[0] explaining[0] them[0] risks[-1] ruining[-1] their[0] effect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are more players this time around as to provide both a higher number suspects and a staggering body count . 	there are more players this time around as to provide both a higher number suspects and a staggering body count .	1	-1	 there[0] are[0] more[0] players[0] this[0] time[0] around[0] as[0] to[0] provide[0] both[0] a[0] higher[0] number[0] suspects[0] and[0] a[0] staggering[0] body[0] count[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's something of a trade-in -- the new characters are too large in number to be as fully-developed as the original " scream " gang , but this movie packs in knowing performances ( especially by kennedy and cox ) and more death for your dollar . 	it's something of a trade-in - the new characters are too large in number to be as fully-developed as the original " scream " gang , but this movie packs in knowing performances ( especially by kennedy and cox ) and more death for your dollar .	1	-4	 it's[0] something[0] of[0] a[0] trade[0] in[0] the[0] new[0] characters[0] are[0] too[0] large[0] in[0] number[0] to[0] be[0] as[0] fully[0] developed[0] as[0] the[0] original[0] scream[-3] gang[0] but[0] this[0] movie[0] packs[0] in[0] knowing[0] performances[0] especially[0] by[0] kennedy[0] and[0] cox[0] and[0] more[0] death[-2] for[0] your[0] dollar[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it can be argued that , while the original might outclass it by a tad , scream 2 is both scarier and funnier . 	it can be argued that , while the original might outclass it by a tad , scream 2 is both scarier and funnier .	2	-4	 it[0] can[0] be[0] argued[-1] that[0] while[0] the[0] original[0] might[0] outclass[0] it[0] by[0] a[0] tad[0] scream[-3] 2[0] is[0] both[0] scarier[0] and[0] funnier[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it certainly doesn't skimp with shocks -- a major one being the killing of one cast member very near and dear to my heart ( i actually questioned craven and williamson's judgment here , considering how much this person has added to these films ) . 	it certainly doesn't skimp with shocks - a major one being the killing of one cast member very near and dear to my heart ( i actually questioned craven and williamson's judgment here , considering how much this person has added to these films ) .	2	-3	 it[0] certainly[0] doesn't[0] skimp[0] with[0] shocks[-2] a[0] major[0] one[0] being[0] the[0] killing[-1] of[0] one[0] cast[0] member[0] very[0] near[0] and[0] dear[1] to[0] my[0] heart[0] i[0] actually[0] questioned[0] craven[-1] and[0] williamson's[0] judgment[0] here[0] considering[0] how[0] much[0] this[0] person[0] has[0] added[0] to[0] these[0] films[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
sometimes you wish that more could have been done with stab -- the two scenes we're shown are dead-on -- but for film fans , there are plenty of subtle nods to movies like " the usual suspects , " " aliens " and " the empire strikes back . " 	sometimes you wish that more could have been done with stab - the two scenes we're shown are dead-on - but for film fans , there are plenty of subtle nods to movies like " the usual suspects , " " aliens " and " the empire strikes back .<br> "	2	-3	 sometimes[0] you[0] wish[0] that[0] more[0] could[0] have[0] been[0] done[0] with[0] stab[-1] the[0] two[0] scenes[0] we're[0] shown[0] are[0] dead[-2] on[0] but[0] for[0] film[0] fans[0] there[0] are[0] plenty[0] of[0] subtle[0] nods[0] to[0] movies[0] like[1] the[0] usual[0] suspects[0] aliens[0] and[0] the[0] empire[0] strikes[0] back[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
still , " scream 2 " does so many things right , it's petty to quibble . 	still , " scream 2 " does so many things right , it's petty to quibble .	1	-4	 still[0] scream[-3] 2[0] does[0] so[0] many[0] things[0] right[0] it's[0] petty[0] to[0] quibble[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
its penchant for parody is irresistible , discussions of the merits of film sequels and all . 	its penchant for parody is irresistible , discussions of the merits of film sequels and all .	2	-1	 its[0] penchant[0] for[0] parody[0] is[0] irresistible[0] discussions[0] of[0] the[0] merits[1] of[0] film[0] sequels[0] and[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the attractive , solid cast is a definite bonus . 	the attractive , solid cast is a definite bonus .	2	-1	 the[0] attractive[1] solid[0] cast[0] is[0] a[0] definite[0] bonus[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the denouement ( while not as shocking as " scream " 's ) is priceless ; the film's final revelation incorporates bits of a particular horror film prominently referred to in " scream " with one of the best bad guy motives ever put on paper . 	and the denouement ( while not as shocking as " scream " 's ) is priceless ; the film's final revelation incorporates bits of a particular horror film prominently referred to in " scream " with one of the best bad guy motives ever put on paper .	4	-4	 and[0] the[0] denouement[0] while[0] not[0] as[0] shocking[-2][NegatedDueToPreviousWord] as[0] scream[-3] 's[0] is[0] priceless[3] the[0] film's[0] final[0] revelation[0] incorporates[0] bits[0] of[0] a[0] particular[0] horror[-3] film[0] prominently[0] referred[0] to[0] in[0] scream[-3] with[0] one[0] of[0] the[0] best[1] bad[-1] guy[0] motives[0] ever[0] put[0] on[0] paper[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
all this and a " scream 3 " is in the works . 	all this and a " scream 3 " is in the works .	1	-4	 all[0] this[0] and[0] a[0] scream[-3] 3[0] is[0] in[0] the[0] works[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
knowing the series' tendency for self-reference , perhaps one of its characters will again discuss the concept of sequel justice . 	knowing the series' tendency for self-reference , perhaps one of its characters will again discuss the concept of sequel justice .	1	-1	 knowing[0] the[0] series'[0] tendency[0] for[0] self[0] reference[0] perhaps[0] one[0] of[0] its[0] characters[0] will[0] again[0] discuss[0] the[0] concept[0] of[0] sequel[0] justice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mentioning " scream 2 " 'll help them in their argument . 	mentioning " scream 2 " 'll help them in their argument .	1	-4	 mentioning[0] scream[-3] 2[0] 'll[0] help[0] them[0] in[0] their[0] argument[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
