plot : a dude and his brother are driving cross-country and decide to fool around with a trucker on their cb radio . 	Translation	Positive	Negative	EmotionRationale
it gives you a little bit of background on each of the main three characters , and then shows you how one small prank , can lead to a whole lotta trouble for everyone ! 	it gives you a little bit of background on each of the main three characters , and then shows you how one small prank , can lead to a whole lotta trouble for everyone !	1	-2	 it[0] gives[0] you[0] a[0] little[0] bit[0] of[0] background[0] on[0] each[0] of[0] the[0] main[0] three[0] characters[0] and[0] then[0] shows[0] you[0] how[0] one[0] small[0] prank[0] can[0] lead[0] to[0] a[0] whole[0] lotta[0] trouble[-1] for[0] everyone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
paul walker really surprised me in this movie , since i've never much thought of him as anything more than a pretty face ( and damn , is it ever pretty or what ? ! ) 	paul walker really surprised me in this movie , since i've never much thought of him as anything more than a pretty face ( and damn , is it ever pretty or what ?<br> !<br> )	3	-2	 paul[0] walker[0] really[0] surprised[0] me[0] in[0] this[0] movie[0] since[0] i've[0] never[0] much[0] thought[0] of[0] him[0] as[0] anything[0] more[0] than[0] a[0] pretty[2] face[0] and[0] damn[-1] is[0] it[0] ever[0] pretty[2] or[0] what[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but here , he actually manages to put some depth behind the looks and that's always appreciated in films in which you are so closely tied to the main characters . 	but here , he actually manages to put some depth behind the looks and that's always appreciated in films in which you are so closely tied to the main characters .	2	-1	 but[0] here[0] he[0] actually[0] manages[0] to[0] put[0] some[0] depth[0] behind[0] the[0] looks[0] and[0] that's[0] always[0] appreciated[1] in[0] films[0] in[0] which[0] you[0] are[0] so[0] closely[0] tied[0] to[0] the[0] main[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sobieski is also good , but she isn't in the movie for as long as you'd think , but the man who really takes this film to another level , is steve zahn . 	sobieski is also good , but she isn't in the movie for as long as you'd think , but the man who really takes this film to another level , is steve zahn .	2	-1	 sobieski[0] is[0] also[0] good[1] but[0] she[0] isn't[0] in[0] the[0] movie[0] for[0] as[0] long[0] as[0] you'd[0] think[0] but[0] the[0] man[0] who[0] really[0] takes[0] this[0] film[0] to[0] another[0] level[0] is[0] steve[0] zahn[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you've loved this guy as the " goofball " in most of his previous roles , you'll appreciate him even more here , as the dude who starts off as one of the most manic and excited human beings i've seen in quite some time ( " this is so awesome ! ! " ) , 	if you've loved this guy as the " goofball " in most of his previous roles , you'll appreciate him even more here , as the dude who starts off as one of the most manic and excited human beings i've seen in quite some time ( " this is so awesome !<br> !<br> " ) ,	4	-1	 if[0] you've[0] loved[3] this[0] guy[0] as[0] the[0] goofball[0] in[0] most[0] of[0] his[0] previous[0] roles[0] you'll[0] appreciate[1] him[0] even[0] more[0] here[0] as[0] the[0] dude[0] who[0] starts[0] off[0] as[0] one[0] of[0] the[0] most[0] manic[0] and[0] excited[2] human[0] beings[0] i've[0] seen[0] in[0] quite[0] some[0] time[0] this[0] is[0] so[0] awesome[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
only to turn into a man scared out of his wits by the end of the flick . 	only to turn into a man scared out of his wits by the end of the flick .	1	-4	 only[0] to[0] turn[0] into[0] a[0] man[0] scared[-3] out[0] of[0] his[0] wits[0] by[0] the[0] end[0] of[0] the[0] flick[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and speaking of the ending , boy , does this movie deliver some chilling moments during its final 15 clicks or what ? ! ? 	and speaking of the ending , boy , does this movie deliver some chilling moments during its final 15 clicks or what ?<br> !<br> ?	1	-1	 and[0] speaking[0] of[0] the[0] ending[0] boy[0] does[0] this[0] movie[0] deliver[0] some[0] chilling[0] moments[0] during[0] its[0] final[0] 15[0] clicks[0] or[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the arrow and i were practically in each others arms ( well , maybe i'm exaggerating , but you catch my drift ) as each minute brought about another turn of events which in turn , took it all to an even higher level . 	the arrow and i were practically in each others arms ( well , maybe i'm exaggerating , but you catch my drift ) as each minute brought about another turn of events which in turn , took it all to an even higher level .	1	-2	 the[0] arrow[0] and[0] i[0] were[0] practically[0] in[0] each[0] others[0] arms[0] well[0] maybe[0] i'm[0] exaggerating[-1] but[0] you[0] catch[0] my[0] drift[0] as[0] each[0] minute[0] brought[0] about[0] another[0] turn[0] of[0] events[0] which[0] in[0] turn[0] took[0] it[0] all[0] to[0] an[0] even[0] higher[0] level[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once again , kudos to director dahl for being able to generate that type of intensity , suspense and tension , with a great score , editing , style and camerawork . 	once again , kudos to director dahl for being able to generate that type of intensity , suspense and tension , with a great score , editing , style and camerawork .	3	-3	 once[0] again[0] kudos[0] to[0] director[0] dahl[0] for[0] being[0] able[0] to[0] generate[0] that[0] type[0] of[0] intensity[0] suspense[0] and[0] tension[-2] with[0] a[0] great[2] score[0] editing[0] style[0] and[0] camerawork[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
plot-wise , i too did wonder how the " bad guy " was able to track them so well , but it didn't really bother me all that much ( you can assume that he had bugged their car ? ) . 	plot-wise , i too did wonder how the " bad guy " was able to track them so well , but it didn't really bother me all that much ( you can assume that he had bugged their car ?<br> ) .	1	-3	 plot[0] wise[0] i[0] too[0] did[0] wonder[0] how[0] the[0] bad[-1] guy[0] was[0] able[0] to[0] track[0] them[0] so[0] well[0] but[0] it[0] didn't[0] really[0] bother[-1][-1 LastWordBoosterStrength] me[0] all[0] that[0] much[0] you[0] can[0] assume[0] that[0] he[0] had[0] bugged[0] their[0] car[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but pretty much everything else in the story stuck like glue and i couldn't help but put myself in their shoes and appreciate their thoroughly desperate circumstance . 	but pretty much everything else in the story stuck like glue and i couldn't help but put myself in their shoes and appreciate their thoroughly desperate circumstance .	3	-3	 but[0] pretty[2] much[0] everything[0] else[0] in[0] the[0] story[0] stuck[0] like[1] glue[0] and[0] i[0] couldn't[0] help[0] but[0] put[0] myself[0] in[0] their[0] shoes[0] and[0] appreciate[1] their[0] thoroughly[0] desperate[-2] circumstance[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a great movie with an even cooler ending , this film will likely be remembered as one of the better thrillers of the year . 	a great movie with an even cooler ending , this film will likely be remembered as one of the better thrillers of the year .	3	-1	 a[0] great[2] movie[0] with[0] an[0] even[0] cooler[0] ending[0] this[0] film[0] will[0] likely[0] be[0] remembered[0] as[0] one[0] of[0] the[0] better[0] thrillers[1] of[0] the[0] year[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " this is amazing ! ! ! " 	 " this is amazing !<br> !<br> !<br> "	3	-1	 this[0] is[0] amazing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
american psycho ( 10/10 ) - deep blue sea ( 8/10 ) - eye of the beholder ( 4/10 ) - the fast and the furious ( 7/10 ) - final destination ( 8/10 ) - the glass house ( 6/10 ) - no way out ( 8/10 ) 	american psycho ( 10/10 ) - deep blue sea ( 8/10 ) - eye of the beholder ( 4/10 ) - the fast and the furious ( 7/10 ) - final destination ( 8/10 ) - the glass house ( 6/10 ) - no way out ( 8/10 )	1	-4	 american[0] psycho[0] 10/10[0] deep[0] blue[0] sea[0] 8/10[0] eye[0] of[0] the[0] beholder[0] 4/10[0] the[0] fast[0] and[0] the[0] furious[-3] 7/10[0] final[0] destination[0] 8/10[0] the[0] glass[0] house[0] 6/10[0] no[0] way[0] out[0] 8/10[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
