a bleak look at how the boston underworld operates , a film which was based on the best-seller by george v . , higgins . 	Translation	Positive	Negative	EmotionRationale
with the sentencing date closing in on him , the already convicted coyle is out on bail and looking for an angle to cut his jail time . 	with the sentencing date closing in on him , the already convicted coyle is out on bail and looking for an angle to cut his jail time .	1	-2	 with[0] the[0] sentencing[0] date[0] closing[0] in[0] on[0] him[0] the[0] already[0] convicted[-1] coyle[0] is[0] out[0] on[0] bail[-1] and[0] looking[0] for[0] an[0] angle[0] to[0] cut[0] his[0] jail[-1] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he contacts agent foley and gives him a few inconsequential tips and then decides to do something that goes against his grain . 	he contacts agent foley and gives him a few inconsequential tips and then decides to do something that goes against his grain .	1	-2	 he[0] contacts[0] agent[0] foley[0] and[0] gives[0] him[0] a[0] few[0] inconsequential[0] tips[0] and[0] then[0] decides[0] to[0] do[0] something[0] that[0] goes[0] against[-1] his[0] grain[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thinking he made an iron-clad deal with foley to get his sentenced squashed in new hampshire , he gives him the place where a sale of machine guns is going down , knowing full-well the young hustler ( keats ) selling the guns is a lot like he was as a youth and when arrested will be facing a life sentence . 	thinking he made an iron-clad deal with foley to get his sentenced squashed in new hampshire , he gives him the place where a sale of machine guns is going down , knowing full-well the young hustler ( keats ) selling the guns is a lot like he was as a youth and when arrested will be facing a life sentence .	2	-2	 thinking[0] he[0] made[0] an[0] iron[0] clad[0] deal[0] with[0] foley[0] to[0] get[0] his[0] sentenced[0] squashed[0] in[0] new[0] hampshire[0] he[0] gives[0] him[0] the[0] place[0] where[0] a[0] sale[0] of[0] machine[0] guns[-1] is[0] going[0] down[0] knowing[0] full[0] well[0] the[0] young[0] hustler[-1] keats[0] selling[0] the[0] guns[-1] is[0] a[0] lot[0] like[1] he[0] was[0] as[0] a[0] youth[0] and[0] when[0] arrested[0] will[0] be[0] facing[0] a[0] life[0] sentence[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but foley tells him after he arrests the gun-dealer , that new hampshire wants more before they take away his jail sentence , they want him to be a full-time informer . 	but foley tells him after he arrests the gun-dealer , that new hampshire wants more before they take away his jail sentence , they want him to be a full-time informer .	1	-2	 but[0] foley[0] tells[0] him[0] after[0] he[0] arrests[0] the[0] gun[-1] dealer[0] that[0] new[0] hampshire[0] wants[0] more[0] before[0] they[0] take[0] away[0] his[0] jail[-1] sentence[0] they[0] want[0] him[0] to[0] be[0] a[0] full[0] time[0] informer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
warning : spoiler follows in next paragraph . 	warning : spoiler follows in next paragraph .	1	-2	 warning[0] spoiler[-1] follows[0] in[0] next[0] paragraph[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the bank robbers are setup and caught in the act and the mob boss is convinced coyle did it and gives dillon the contract to take care of his friend . 	the bank robbers are setup and caught in the act and the mob boss is convinced coyle did it and gives dillon the contract to take care of his friend .	2	-2	 the[0] bank[0] robbers[-1] are[0] setup[0] and[0] caught[0] in[0] the[0] act[0] and[0] the[0] mob[0] boss[0] is[0] convinced[0] coyle[0] did[0] it[0] and[0] gives[0] dillon[0] the[0] contract[0] to[0] take[0] care[1] of[0] his[0] friend[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the contemptuous dillon befriends coyle and treats him to a steak dinner and takes him to a bruin hockey game while getting him boozed up . 	the contemptuous dillon befriends coyle and treats him to a steak dinner and takes him to a bruin hockey game while getting him boozed up .	1	-4	 the[0] contemptuous[-3] dillon[0] befriends[0] coyle[0] and[0] treats[0] him[0] to[0] a[0] steak[0] dinner[0] and[0] takes[0] him[0] to[0] a[0] bruin[0] hockey[0] game[0] while[0] getting[0] him[0] boozed[0] up[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
coyle takes a look at the young bruin star bobby orr from his upper deck seat and says , " to be young like that and have his future , he's the greatest hockey player in the world . " 	coyle takes a look at the young bruin star bobby or from his upper deck seat and says , " to be young like that and have his future , he's the greatest hockey player in the world .<br> "	3	-1	 coyle[0] takes[0] a[0] look[0] at[0] the[0] young[0] bruin[0] star[0] bobby[0] orr/or[0] from[0] his[0] upper[0] deck[0] seat[0] and[0] says[0] to[0] be[0] young[0] like[1] that[0] and[0] have[0] his[0] future[0] he's[0] the[0] greatest[2] hockey[0] player[0] in[0] the[0] world[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
dillon then takes the drunken coyle for a long drive and executes him mob-style , having a kid who works for him dump the body in some bad section of boston . 	dillon then takes the drunken coyle for a long drive and executes him mob-style , having a kid who works for him dump the body in some bad section of boston .	1	-2	 dillon[0] then[0] takes[0] the[0] drunken[-1] coyle[0] for[0] a[0] long[0] drive[0] and[0] executes[-1] him[0] mob[0] style[0] having[0] a[0] kid[0] who[0] works[0] for[0] him[0] dump[-1] the[0] body[0] in[0] some[0] bad[-1][--1 LastWordBoosterStrength] section[0] of[0] boston[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a great atmospheric film due to the realistic noir mood it sets , of the hopeless situation the low-level criminals are in , and how they are forced to live with fear and the uncertainty of what horrible thing will happen next . 	this is a great atmospheric film due to the realistic noir mood it sets , of the hopeless situation the low-level criminals are in , and how they are forced to live with fear and the uncertainty of what horrible thing will happen next .	3	-4	 this[0] is[0] a[0] great[2] atmospheric[0] film[0] due[0] to[0] the[0] realistic[0] noir[0] mood[0] it[0] sets[0] of[0] the[0] hopeless[-3] situation[0] the[0] low[-1] level[0] criminals[-1] are[0] in[0] and[0] how[0] they[0] are[0] forced[0] to[0] live[0] with[0] fear[-3] and[0] the[0] uncertainty[0] of[0] what[0] horrible[-3] thing[0] will[0] happen[0] next[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the city streets are ugly , the gangsters are shown to be capable of any action to defend their own interests , whether it is betrayal or murder . 	the city streets are ugly , the gangsters are shown to be capable of any action to defend their own interests , whether it is betrayal or murder .	2	-4	 the[0] city[0] streets[0] are[0] ugly[-2] the[0] gangsters[0] are[0] shown[0] to[0] be[0] capable[0] of[0] any[0] action[0] to[0] defend[0] their[0] own[0] interests[1] whether[0] it[0] is[0] betrayal[-2] or[0] murder[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there is a fatalistic feel about their lives , something robert mitchum wears as easily as others put on a hat . 	there is a fatalistic feel about their lives , something robert mitchum wears as easily as others put on a hat .	1	-3	 there[0] is[0] a[0] fatalistic[-2] feel[0] about[0] their[0] lives[0] something[0] robert[0] mitchum[0] wears[0] as[0] easily[0] as[0] others[0] put[0] on[0] a[0] hat[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mitchum gives this film all the intensity and purpose it needs , as it overcomes a thin plot . 	mitchum gives this film all the intensity and purpose it needs , as it overcomes a thin plot .	1	-1	 mitchum[0] gives[0] this[0] film[0] all[0] the[0] intensity[0] and[0] purpose[0] it[0] needs[0] as[0] it[0] overcomes[0] a[0] thin[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it makes you see the characters for what they are without any false sympathy for them . 	it makes you see the characters for what they are without any false sympathy for them .	1	-1	 it[0] makes[0] you[0] see[0] the[0] characters[0] for[0] what[0] they[0] are[0] without[0] any[0] false[0] sympathy[0] for[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mitchum is a loser ; and , that he lived so long , is a tribute to his skills as a survivor . 	mitchum is a loser ; and , that he lived so long , is a tribute to his skills as a survivor .	1	-3	 mitchum[0] is[0] a[0] loser[-2] and[0] that[0] he[0] lived[0] so[0] long[0] is[0] a[0] tribute[0] to[0] his[0] skills[0] as[0] a[0] survivor[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but in the end , he even loses the respect he had among his underworld friends as a standup guy , as he wrestled with his code of honor and lost even that battle . 	but in the end , he even loses the respect he had among his underworld friends as a standup guy , as he wrestled with his code of honor and lost even that battle .	3	-2	 but[0] in[0] the[0] end[0] he[0] even[0] loses[-1] the[0] respect[2] he[0] had[0] among[0] his[0] underworld[-1] friends[1] as[0] a[0] standup[0] guy[0] as[0] he[0] wrestled[0] with[0] his[0] code[0] of[0] honor[0] and[0] lost[0] even[0] that[0] battle[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
