glory--starring matthew broderick , denzel washington , and morgan freeman--is the true story of the 54th regiment of massachusetts , the first black fighting unit recruited by the north during the civil war . 	Translation	Positive	Negative	EmotionRationale
they are paid only  10 a month , whereas their white counterparts earn thirteen , and , for a long time , they have to go without shoes , guns , or uniforms . 	they are paid only  10 a month , whereas their white counterparts earn thirteen , and , for a long time , they have to go without shoes , guns , or uniforms .	1	-2	 they[0] are[0] paid[0] only[0] 10[0] a[0] month[0] whereas[0] their[0] white[0] counterparts[0] earn[0] thirteen[0] and[0] for[0] a[0] long[0] time[0] they[0] have[0] to[0] go[0] without[0] shoes[0] guns[-1] or[0] uniforms[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to make matters worse , the white military hierarchy is extremely reluctant to allow the blacks into action , preferring instead to use them for manual labor . 	to make matters worse , the white military hierarchy is extremely reluctant to allow the blacks into action , preferring instead to use them for manual labor .	1	-4	 to[0] make[0] matters[0] worse[-2] the[0] white[0] military[0] hierarchy[0] is[0] extremely[0] reluctant[-1][-2 LastWordBoosterStrength] to[0] allow[0] the[0] blacks[0] into[0] action[0] preferring[0] instead[0] to[0] use[0] them[0] for[0] manual[0] labor[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
eventually , however , the regiment receives its boots , uniforms , rifles , and right to fight , thanks to the stubborn resolve of colonel shaw . 	eventually , however , the regiment receives its boots , uniforms , rifles , and right to fight , thanks to the stubborn resolve of colonel shaw .	2	-3	 eventually[0] however[0] the[0] regiment[0] receives[0] its[0] boots[0] uniforms[0] rifles[0] and[0] right[0] to[0] fight[-2] thanks[1] to[0] the[0] stubborn[-2] resolve[1] of[0] colonel[0] shaw[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
shaw has absolute faith in his soldiers , and he fights tooth and nail to get them what they deserve , even if it means threatening a general with blackmail . 	shaw has absolute faith in his soldiers , and he fights tooth and nail to get them what they deserve , even if it means threatening a general with blackmail .	2	-3	 shaw[0] has[0] absolute[0] faith[1] in[0] his[0] soldiers[0] and[0] he[0] fights[-2] tooth[0] and[0] nail[0] to[0] get[0] them[0] what[0] they[0] deserve[0] even[0] if[0] it[0] means[0] threatening[-2] a[0] general[0] with[0] blackmail[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
broderick , in fact , is most convincing in the scenes where shaw stands up for the regiment . 	broderick , in fact , is most convincing in the scenes where shaw stands up for the regiment .	1	-1	 broderick[0] in[0] fact[0] is[0] most[0] convincing[0] in[0] the[0] scenes[0] where[0] shaw[0] stands[0] up[0] for[0] the[0] regiment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , however , broderick's uneven performance is , in many respects , the weak link in the movie . 	unfortunately , however , broderick's uneven performance is , in many respects , the weak link in the movie .	3	-2	 unfortunately[-1] however[0] broderick's[0] uneven[-1] performance[0] is[0] in[0] many[0] respects[2] the[0] weak[-1] link[0] in[0] the[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in an effort to look more mature , broderick sports a mustache and a goatee , and throughout the film he slips in and out of a phony boston accent . 	in an effort to look more mature , broderick sports a mustache and a goatee , and throughout the film he slips in and out of a phony boston accent .	1	-1	 in[0] an[0] effort[0] to[0] look[0] more[0] mature[0] broderick[0] sports[0] a[0] mustache[0] and[0] a[0] goatee[0] and[0] throughout[0] the[0] film[0] he[0] slips[0] in[0] and[0] out[0] of[0] a[0] phony[0] boston[0] accent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is never altogether convincing as shaw since much of the time his emotions seem forced . 	he is never altogether convincing as shaw since much of the time his emotions seem forced .	1	-1	 he[0] is[0] never[0] altogether[0] convincing[0] as[0] shaw[0] since[0] much[0] of[0] the[0] time[0] his[0] emotions[0] seem[0] forced[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film places too much weight on broderick's character and not enough on the black soldiers , who are more intriguing . 	the film places too much weight on broderick's character and not enough on the black soldiers , who are more intriguing .	1	-1	 the[0] film[0] places[0] too[0] much[0] weight[0] on[0] broderick's[0] character[0] and[0] not[0] enough[0] on[0] the[0] black[0] soldiers[0] who[0] are[0] more[0] intriguing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
glory regains lost ground with its harrowing depiction of war . 	glory regains lost ground with its harrowing depiction of war .	2	-3	 glory[1] regains[0] lost[0] ground[0] with[0] its[0] harrowing[0] depiction[0] of[0] war[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie shows the devastation of war without resorting to the unnecessarily graphic gore which marred born on the fourth of july . 	the movie shows the devastation of war without resorting to the unnecessarily graphic gore which marred born on the fourth of july .	1	-5	 the[0] movie[0] shows[0] the[0] devastation[-4] of[0] war[-2] without[0] resorting[0] to[0] the[0] unnecessarily[-1] graphic[0] gore[0] which[0] marred[0] born[0] on[0] the[0] fourth[0] of[0] july[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
glory does not try to rattle you with nauseating blood and guts . 	glory does not try to rattle you with nauseating blood and guts .	2	-1	 glory[1] does[0] not[0] try[0] to[0] rattle[0] you[0] with[0] nauseating[0] blood[0] and[0] guts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
except for a few bullet wounds and one exploding head , the film , for the most part , leaves the gore to your imagination , which is not to say that the battle scenes in glory are timid . 	except for a few bullet wounds and one exploding head , the film , for the most part , leaves the gore to your imagination , which is not to say that the battle scenes in glory are timid .	2	-2	 except[0] for[0] a[0] few[0] bullet[-1] wounds[-1] and[0] one[0] exploding[0] head[0] the[0] film[0] for[0] the[0] most[0] part[0] leaves[0] the[0] gore[0] to[0] your[0] imagination[0] which[0] is[0] not[0] to[0] say[0] that[0] the[0] battle[-1] scenes[0] in[0] glory[1] are[0] timid[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
to the contrary , they are chaotic and horrifying ; it's just that director edward zwick ( the co-creator of " thirtysomething " ) films them with far more subtlety and restraint than oliver stone could ever muster . 	to the contrary , they are chaotic and horrifying ; it's just that director edward zwick ( the co-creator of " thirtysomething " ) films them with far more subtlety and restraint than oliver stone could ever muster .	1	-4	 to[0] the[0] contrary[-1] they[0] are[0] chaotic[-1] and[0] horrifying[-3] it's[0] just[0] that[0] director[0] edward[0] zwick[0] the[0] co[0] creator[0] of[0] thirtysomething[0] films[0] them[0] with[0] far[0] more[0] subtlety[0] and[0] restraint[0] than[0] oliver[0] stone[0] could[0] ever[0] muster[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the key to glory is the group dynamic among the black soldiers . 	the key to glory is the group dynamic among the black soldiers .	2	-1	 the[0] key[0] to[0] glory[1] is[0] the[0] group[0] dynamic[1] among[0] the[0] black[0] soldiers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie depicts some of ( but not enough of ) their customs and rituals . 	the movie depicts some of ( but not enough of ) their customs and rituals .	1	-1	 the[0] movie[0] depicts[0] some[0] of[0] but[0] not[0] enough[0] of[0] their[0] customs[0] and[0] rituals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in one scene , for example , the soldiers motivate themselves by singing prayers around the campfire . 	in one scene , for example , the soldiers motivate themselves by singing prayers around the campfire .	1	-1	 in[0] one[0] scene[0] for[0] example[0] the[0] soldiers[0] motivate[0] themselves[0] by[0] singing[0] prayers[0] around[0] the[0] campfire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
each man has a chance to relay a few words of inspiration . 	each man has a chance to relay a few words of inspiration .	3	-1	 each[0] man[0] has[0] a[0] chance[0] to[0] relay[0] a[0] few[0] words[0] of[0] inspiration[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a couple of the movie's most touching moments involve young black children looking up to the black soldiers with awe , disbelief and pride . 	a couple of the movie's most touching moments involve young black children looking up to the black soldiers with awe , disbelief and pride .	2	-2	 a[0] couple[0] of[0] the[0] movie's[0] most[0] touching[0] moments[0] involve[0] young[0] black[0] children[0] looking[0] up[0] to[0] the[0] black[0] soldiers[0] with[0] awe[0] disbelief[-1] and[0] pride[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the regiment's greatest triumph comes when the soldiers distinguish themselves in battle , thereby earning the respect of their white peers and earning the honor of leading the climactic assault on fort wagner . 	the regiment's greatest triumph comes when the soldiers distinguish themselves in battle , thereby earning the respect of their white peers and earning the honor of leading the climactic assault on fort wagner .	4	-3	 the[0] regiment's[0] greatest[2] triumph[2][+1 MultiplePositiveWords] comes[0] when[0] the[0] soldiers[0] distinguish[0] themselves[0] in[0] battle[-1] thereby[0] earning[0] the[0] respect[2] of[0] their[0] white[0] peers[0] and[0] earning[0] the[0] honor[0] of[0] leading[0] the[0] climactic[0] assault[-2] on[0] fort[0] wagner[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
like any war film , glory has its share of gloom and despair , but ultimately it proves to be a truly uplifting experience and an important history lesson , a valuable reminder that despite what the history books say ( or , more precisely , what they do not say ) , blacks played a critically important role in the north's victory over the south--forever changing the evolution of america . 	like any war film , glory has its share of gloom and despair , but ultimately it proves to be a truly uplifting experience and an important history lesson , a valuable reminder that despite what the history books say ( or , more precisely , what they do not say ) , blacks played a critically important role in the north's victory over the south-forever changing the evolution of america .	2	-4	 like[1] any[0] war[-2] film[0] glory[1] has[0] its[0] share[0] of[0] gloom[-2] and[0] despair[-3] but[0] ultimately[0] it[0] proves[0] to[0] be[0] a[0] truly[1] uplifting[0] experience[0] and[0] an[0] important[0] history[0] lesson[0] a[0] valuable[1] reminder[0] that[0] despite[0] what[0] the[0] history[0] books[0] say[0] or[0] more[0] precisely[0] what[0] they[0] do[0] not[0] say[0] blacks[0] played[0] a[0] critically[-1] important[0] role[0] in[0] the[0] north's[0] victory[0] over[0] the[0] south[0] forever[0] changing[0] the[0] evolution[0] of[0] america[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
