this sunday afternoon i had the priviledge of attending a private screening at the sony astor cinema in new york city , of james cameron's most heralded film , titanic . 	Translation	Positive	Negative	EmotionRationale
the film begins with a modern day excavation of sorts of the sunken titanic . 	the film begins with a modern day excavation of sorts of the sunken titanic .	1	-1	 the[0] film[0] begins[0] with[0] a[0] modern[0] day[0] excavation[0] of[0] sorts[0] of[0] the[0] sunken[0] titanic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we see actual footage of the sunken ship , as cammeron had set up special cameras to film the wreckage on the ocean floor . 	we see actual footage of the sunken ship , as cammeron had set up special cameras to film the wreckage on the ocean floor .	2	-2	 we[0] see[0] actual[0] footage[0] of[0] the[0] sunken[0] ship[0] as[0] cammeron[0] had[0] set[0] up[0] special[1] cameras[0] to[0] film[0] the[0] wreckage[-1] on[0] the[0] ocean[0] floor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bill paxton leads the expedition , in search of sunken treasure . 	bill paxton leads the expedition , in search of sunken treasure .	2	-1	 bill[0] paxton[0] leads[0] the[0] expedition[0] in[0] search[0] of[0] sunken[0] treasure[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what he finds instead , leads him to a mysterious old woman who recounts her tale of the titanic voyage . 	what he finds instead , leads him to a mysterious old woman who recounts her tale of the titanic voyage .	1	-1	 what[0] he[0] finds[0] instead[0] leads[0] him[0] to[0] a[0] mysterious[0] old[0] woman[0] who[0] recounts[0] her[0] tale[0] of[0] the[0] titanic[0] voyage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we meet rose ( kate winslet ) , a young woman , who comes from an upper-class family . 	we meet rose ( kate winslet ) , a young woman , who comes from an upper-class family .	1	-1	 we[0] meet[0] rose[0] kate[0] winslet[0] a[0] young[0] woman[0] who[0] comes[0] from[0] an[0] upper[0] class[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rose is to be wed to a man she does not love . 	rose is to be wed to a man she does not love .	1	-3	 rose[0] is[0] to[0] be[0] wed[0] to[0] a[0] man[0] she[0] does[0] not[0] love[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we meet jack ( leonardo dicaprio ) , a young man , who comes from a poor financial background , and wins a ticket aboard the titanic , in a poker game . 	we meet jack ( leonardo dicaprio ) , a young man , who comes from a poor financial background , and wins a ticket aboard the titanic , in a poker game .	1	-2	 we[0] meet[0] jack[0] leonardo[0] dicaprio[0] a[0] young[0] man[0] who[0] comes[0] from[0] a[0] poor[-1] financial[0] background[0] and[0] wins[0] a[0] ticket[0] aboard[0] the[0] titanic[0] in[0] a[0] poker[0] game[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the two meet under interesting circumstances , and the love story begins . 	the two meet under interesting circumstances , and the love story begins .	3	-1	 the[0] two[0] meet[0] under[0] interesting[1] circumstances[0] and[0] the[0] love[2] story[0] begins[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
add in a jealous fiance , and a not-so-nice law officer played by david warner , and you have a story that , well , gets a bit overplayed and oversappy . 	add in a jealous fiance , and a not-so-nice law officer played by david warner , and you have a story that , well , gets a bit overplayed and oversappy .	1	-3	 add[0] in[0] a[0] jealous[-2] fiance[0] and[0] a[0] not[0] so[0] nice[1][NegatedDueToPreviousWord] law[0] officer[0] played[0] by[0] david[0] warner[0] and[0] you[0] have[0] a[0] story[0] that[0] well[0] gets[0] a[0] bit[0] overplayed[0] and[0] oversappy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i must add , at this point , that the most likeable character in the movie is played by kathy bates , as a woman with " new money " who is a lot less uptight than the other rich folk on the ship . 	i must add , at this point , that the most likeable character in the movie is played by kathy bates , as a woman with " new money " who is a lot less uptight than the other rich folk on the ship .	3	-3	 i[0] must[0] add[0] at[0] this[0] point[0] that[0] the[0] most[0] likeable[2] character[0] in[0] the[0] movie[0] is[0] played[0] by[0] kathy[0] bates[0] as[0] a[0] woman[0] with[0] new[0] money[0] who[0] is[0] a[0] lot[0] less[0] uptight[-2] than[0] the[0] other[0] rich[0] folk[0] on[0] the[0] ship[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
she is a pleasure to see on screen . 	she is a pleasure to see on screen .	3	-1	 she[0] is[0] a[0] pleasure[2] to[0] see[0] on[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when the ship does hit the iceberg at exactly 1 : 40 into the film , and eventually sinks , you never really feel for any of these characters . 	when the ship does hit the iceberg at exactly 1 : 40 into the film , and eventually sinks , you never really feel for any of these characters .	1	-1	 when[0] the[0] ship[0] does[0] hit[0] the[0] iceberg[0] at[0] exactly[0] 1[0] 40[0] into[0] the[0] film[0] and[0] eventually[0] sinks[0] you[0] never[0] really[0] feel[0] for[0] any[0] of[0] these[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is just loaded with unlikeable rich snobs and other folk you never really get a grasp on . 	the film is just loaded with unlikeable rich snobs and other folk you never really get a grasp on .	1	-3	 the[0] film[0] is[0] just[0] loaded[0] with[0] unlikeable[0] rich[0] snobs[-2] and[0] other[0] folk[0] you[0] never[0] really[0] get[0] a[0] grasp[0] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the effects are tremendous . 	the effects are tremendous .	1	-1	 the[0] effects[0] are[0] tremendous[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the roars of gears and pumps in the engine room , to a doomed ship cracking at the seams , this is an effects picture that looks and sounds like no other . 	from the roars of gears and pumps in the engine room , to a doomed ship cracking at the seams , this is an effects picture that looks and sounds like no other .	2	-2	 from[0] the[0] roars[0] of[0] gears[0] and[0] pumps[0] in[0] the[0] engine[0] room[0] to[0] a[0] doomed[-1] ship[0] cracking[0] at[0] the[0] seams[0] this[0] is[0] an[0] effects[0] picture[0] that[0] looks[0] and[0] sounds[0] like[1] no[0] other[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we saw titanic in dolby digital surround , and by far , it is the best sounding movie i have ever seen . 	we saw titanic in dolby digital surround , and by far , it is the best sounding movie i have ever seen .	2	-1	 we[0] saw[0] titanic[0] in[0] dolby[0] digital[0] surround[0] and[0] by[0] far[0] it[0] is[0] the[0] best[1] sounding[0] movie[0] i[0] have[0] ever[0] seen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
my friend commented it was the best sound mix he has ever heard . 	my friend commented it was the best sound mix he has ever heard .	2	-1	 my[0] friend[1] commented[0] it[0] was[0] the[0] best[1] sound[0] mix[0] he[0] has[0] ever[0] heard[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when people are in the water , at film's end , you are surrounded by the voices of lost soles . 	when people are in the water , at film's end , you are surrounded by the voices of lost soles .	1	-1	 when[0] people[0] are[0] in[0] the[0] water[0] at[0] film's[0] end[0] you[0] are[0] surrounded[0] by[0] the[0] voices[0] of[0] lost[0] soles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
titanic runs far too long . 	titanic runs far too long .	1	-1	 titanic[0] runs[0] far[0] too[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is 3 hours and 15 minutes in length . 	the movie is 3 hours and 15 minutes in length .	1	-1	 the[0] movie[0] is[0] 3[0] hours[0] and[0] 15[0] minutes[0] in[0] length[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , while most of the first 2 . 5 hours runs very fast and well-paced , the final 45 minutes almost comes to a sudden stop , and you realize that this sappy love story has to finish itself out before the movie finally ends . 	and , while most of the first 2 .<br> 5 hours runs very fast and well-paced , the final 45 minutes almost comes to a sudden stop , and you realize that this sappy love story has to finish itself out before the movie finally ends .	3	-1	 and[0] while[0] most[0] of[0] the[0] first[0] 2[0] [[Sentence=-1,1=word max, 1-5]] 5[0] hours[0] runs[0] very[0] fast[0] and[0] well[0] paced[0] the[0] final[0] 45[0] minutes[0] almost[0] comes[0] to[0] a[0] sudden[0] stop[0] and[0] you[0] realize[0] that[0] this[0] sappy[0] love[2] story[0] has[0] to[0] finish[0] itself[0] out[0] before[0] the[0] movie[0] finally[0] ends[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
don't get me wrong about titanic . . . . it's 	don't get me wrong about titanic .<br> .<br> .<br> .<br> it's	1	-2	 don't[0] get[0] me[0] wrong[-1] about[0] titanic[0] [[Sentence=-2,1=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
not a bad as i am making it out to be . 	not a bad as i am making it out to be .	2	-1	 not[0] a[0] bad[-1][NegatedDueToPreviousWord] as[0] i[0] am[0] making[0] it[0] out[0] to[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it really is an exceptionaly well-made film . 	it really is an exceptionaly well-made film .	1	-1	 it[0] really[0] is[0] an[0] exceptionaly[0] well[0] made[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the costumes and sets are incredible , and true to the time period . 	the costumes and sets are incredible , and true to the time period .	2	-1	 the[0] costumes[0] and[0] sets[0] are[0] incredible[0] and[0] true[1] to[0] the[0] time[0] period[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the ship is painstakingly created exactly true to form , as we see actual pictures of the modern-day wreckage , transformed into the movie depiction . 	the ship is painstakingly created exactly true to form , as we see actual pictures of the modern-day wreckage , transformed into the movie depiction .	2	-2	 the[0] ship[0] is[0] painstakingly[0] created[0] exactly[0] true[1] to[0] form[0] as[0] we[0] see[0] actual[0] pictures[0] of[0] the[0] modern[0] day[0] wreckage[-1] transformed[0] into[0] the[0] movie[0] depiction[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this film will certainly win on effects , costume , set design and sound . 	this film will certainly win on effects , costume , set design and sound .	1	-1	 this[0] film[0] will[0] certainly[0] win[0] on[0] effects[0] costume[0] set[0] design[0] and[0] sound[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cameron has certainly made his best film to date . 	cameron has certainly made his best film to date .	2	-1	 cameron[0] has[0] certainly[0] made[0] his[0] best[1] film[0] to[0] date[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , titanic is not a best picture candidate . 	unfortunately , titanic is not a best picture candidate .	1	-2	 unfortunately[-1] titanic[0] is[0] not[0] a[0] best[1][NegatedDueToPreviousWord] picture[0] candidate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it just doesn't have a strong supporting story . 	it just doesn't have a strong supporting story .	2	-1	 it[0] just[0] doesn't[0] have[0] a[0] strong[0] supporting[1] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's an exceptional disaster film with sappy filler inside . 	it's an exceptional disaster film with sappy filler inside .	1	-2	 it's[0] an[0] exceptional[0] disaster[-1] film[0] with[0] sappy[0] filler[0] inside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it just doesn't have the emotional impact that i suspect mr . cameron was shooting for . 	it just doesn't have the emotional impact that i suspect mr .<br> cameron was shooting for .	1	-2	 it[0] just[0] doesn't[0] have[0] the[0] emotional[-1] impact[0] that[0] i[0] suspect[-1] mr[0] [[Sentence=-2,1=word max, 1-5]] cameron[0] was[0] shooting[-1] for[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i predict that titanic will open to likeable reviews . 	i predict that titanic will open to likeable reviews .	3	-1	 i[0] predict[0] that[0] titanic[0] will[0] open[0] to[0] likeable[2] reviews[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is a film worth seeing . 	it is a film worth seeing .	1	-1	 it[0] is[0] a[0] film[0] worth[0] seeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i predict that it will only do moderately well at the box office . 	i predict that it will only do moderately well at the box office .	1	-1	 i[0] predict[0] that[0] it[0] will[0] only[0] do[0] moderately[0] well[0] at[0] the[0] box[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with its extreme running time , and lack of enough robust to get substantial word-of-mouth , i expect that it will do even better on home video . 	with its extreme running time , and lack of enough robust to get substantial word-of-mouth , i expect that it will do even better on home video .	1	-2	 with[0] its[0] extreme[0] running[0] time[0] and[0] lack[-1] of[0] enough[0] robust[0] to[0] get[0] substantial[0] word[0] of[0] mouth[0] i[0] expect[0] that[0] it[0] will[0] do[0] even[0] better[0] on[0] home[0] video[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this will certainly be the definitive ac3 movie for all you home theater enthusiasts . 	this will certainly be the definitive ac3 movie for all you home theater enthusiasts .	3	-1	 this[0] will[0] certainly[0] be[0] the[0] definitive[0] ac3[0] movie[0] for[0] all[0] you[0] home[0] theater[0] enthusiasts[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
titanic opens december 19th , and is released by paramount pictures and twentieth century-fox . 	titanic opens december 19th , and is released by paramount pictures and twentieth century-fox .	1	-1	 titanic[0] opens[0] december[0] 19th[0] and[0] is[0] released[0] by[0] paramount[0] pictures[0] and[0] twentieth[0] century[0] fox[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i give titanic 3 stars ( . 	i give titanic 3 stars ( .	1	-1	 i[0] give[0] titanic[0] 3[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's not bad . 	that's not bad .	2	-1	 that's[0] not[0] bad[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ron epstein 	ron epstein	1	-1	 ron[0] epstein[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
riginally posted in home theater forum     	riginally posted in home theater forum    	1	-1	 riginally[0] posted[0] in[0] home[0] theater[0] forum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
