in wonder boys michael douglas plays an aged writer \ professor with such lived-in naturalism that i believe it may be his best performance . 	Translation	Positive	Negative	EmotionRationale
he reminds me of the self-imposed outcast film director , jim jarmusch ( dead man , ghost dog ) . 	he reminds me of the self-imposed outcast film director , jim jarmusch ( dead man , ghost dog ) .	1	-3	 he[0] reminds[0] me[0] of[0] the[0] self[0] imposed[-1] outcast[-1] film[0] director[0] jim[0] jarmusch[0] dead[-2] man[0] ghost[0] dog[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
whenever i happen to catch jarmusch in an interview i see the man speaking in a toneless manner ( the monotonous drawl supposedly masking depth or contempt for his interviewer ) , exclusively dressed in black , and with his spiked hair dyed snow white . 	whenever i happen to catch jarmusch in an interview i see the man speaking in a toneless manner ( the monotonous drawl supposedly masking depth or contempt for his interviewer ) , exclusively dressed in black , and with his spiked hair dyed snow white .	1	-4	 whenever[0] i[0] happen[0] to[0] catch[0] jarmusch[0] in[0] an[0] interview[0] i[0] see[0] the[0] man[0] speaking[0] in[0] a[0] toneless[0] manner[0] the[0] monotonous[-1] drawl[0] supposedly[0] masking[0] depth[0] or[0] contempt[-3] for[0] his[0] interviewer[0] exclusively[0] dressed[0] in[0] black[0] and[0] with[0] his[0] spiked[0] hair[0] dyed[0] snow[0] white[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
leer is similar , a guy who equates quirks with depth . 	leer is similar , a guy who equates quirks with depth .	1	-1	 leer[0] is[0] similar[0] a[0] guy[0] who[0] equates[0] quirks[0] with[0] depth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tobey maguire fits well in the role . 	tobey maguire fits well in the role .	1	-1	 tobey[0] maguire[0] fits[0] well[0] in[0] the[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with his round , sweet-eerie face he resembles bud cort from harold and maude . 	with his round , sweet-eerie face he resembles bud cort from harold and maude .	2	-1	 with[0] his[0] round[0] sweet[1] eerie[0] face[0] he[0] resembles[0] bud[0] cort[0] from[0] harold[0] and[0] maude[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but unlike cort , maguire is easier to warm up to ; he's a messed up kid reaching for artistic credibility . 	but unlike cort , maguire is easier to warm up to ; he's a messed up kid reaching for artistic credibility .	1	-1	 but[0] unlike[0] cort[0] maguire[0] is[0] easier[0] to[0] warm[0] up[0] to[0] he's[0] a[0] messed[0] up[0] kid[0] reaching[0] for[0] artistic[0] credibility[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
katie holmes plays hannah , a beautiful , talented writing student just itching to get in grady's pants . 	katie holmes plays hannah , a beautiful , talented writing student just itching to get in grady's pants .	3	-1	 katie[0] holmes[0] plays[1] hannah[0] a[0] beautiful[2] talented[1] writing[0] student[0] just[0] itching[0] to[0] get[0] in[0] grady's[0] pants[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is a plot line i had trouble with . 	this is a plot line i had trouble with .	1	-2	 this[0] is[0] a[0] plot[0] line[0] i[0] had[0] trouble[-1] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
douglas , in his old age , is beginning to resemble jerry springer , a man who has actually paid for sex on numerous documented occasions . 	douglas , in his old age , is beginning to resemble jerry springer , a man who has actually paid for sex on numerous documented occasions .	1	-1	 douglas[0] in[0] his[0] old[0] age[0] is[0] beginning[0] to[0] resemble[0] jerry[0] springer[0] a[0] man[0] who[0] has[0] actually[0] paid[0] for[0] sex[0] on[0] numerous[0] documented[0] occasions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at first i found it extremely difficult to believe that someone as beautiful as hannah would desire grady ( maybe it's because i'm jealous , and wish holmes was throwing herself at me , after all i may just be a lowly internet critic but at least i still have all my teeth ) , then i think of douglas's real life companion , the breathtaking catherine zeta jones . 	at first i found it extremely difficult to believe that someone as beautiful as hannah would desire grady ( maybe it's because i'm jealous , and wish holmes was throwing herself at me , after all i may just be a lowly internet critic but at least i still have all my teeth ) , then i think of douglas's real life companion , the breathtaking catherine zeta jones .	3	-4	 at[0] first[0] i[0] found[0] it[0] extremely[0] difficult[-1][-2 LastWordBoosterStrength] to[0] believe[0] that[0] someone[0] as[0] beautiful[2] as[0] hannah[0] would[0] desire[0] grady[0] maybe[0] it's[0] because[0] i'm[0] jealous[-2] and[0] wish[0] holmes[0] was[0] throwing[0] herself[0] at[0] me[0] after[0] all[0] i[0] may[0] just[0] be[0] a[0] lowly[-1] internet[0] critic[-1] but[0] at[0] least[0] i[0] still[0] have[0] all[0] my[0] teeth[0] then[0] i[0] think[0] of[0] douglas's[0] real[0] life[0] companion[0] the[0] breathtaking[0] catherine[0] zeta[0] jones[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
seeing those two together looks a lot like a kidnapping . 	seeing those two together looks a lot like a kidnapping .	2	-1	 seeing[0] those[0] two[0] together[0] looks[0] a[0] lot[0] like[1] a[0] kidnapping[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
suddenly my mind has shifted from the task at hand ( that being reviewing this completely wonderful movie ) and i'm pontificating on why the hell jones would desire douglas . 	suddenly my mind has shifted from the task at hand ( that being reviewing this completely wonderful movie ) and i'm pontificating on why the hell jones would desire douglas .	4	-2	 suddenly[0] my[0] mind[0] has[0] shifted[0] from[0] the[0] task[0] at[0] hand[0] that[0] being[0] reviewing[0] this[0] completely[0] wonderful[2][1 LastWordBoosterStrength] movie[0] and[0] i'm[0] pontificating[0] on[0] why[0] the[0] hell[-1] jones[0] would[0] desire[0] douglas[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
there is a movie in there somewhere . 	there is a movie in there somewhere .	1	-1	 there[0] is[0] a[0] movie[0] in[0] there[0] somewhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
grady , rather chivalrously if you ask me , resists the charms of hannah for sara gaskell ( a droll frances mcdormand ) , who is his age , but also married to another professor . 	grady , rather chivalrously if you ask me , resists the charms of hannah for sara gaskell ( a droll frances mcdormand ) , who is his age , but also married to another professor .	2	-1	 grady[0] rather[0] chivalrously[0] if[0] you[0] ask[0] me[0] resists[0] the[0] charms[1] of[0] hannah[0] for[0] sara[0] gaskell[0] a[0] droll[0] frances[0] mcdormand[0] who[0] is[0] his[0] age[0] but[0] also[0] married[0] to[0] another[0] professor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
okay , maybe not so chivalrous . 	okay , maybe not so chivalrous .	1	-1	 okay[0] maybe[0] not[0] so[0] chivalrous[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a great line in the film spoken by douglas about sara where he says , " she was a junkie for the printed word . 	there is a great line in the film spoken by douglas about sara where he says , " she was a junkie for the printed word .	3	-1	 there[0] is[0] a[0] great[2] line[0] in[0] the[0] film[0] spoken[0] by[0] douglas[0] about[0] sara[0] where[0] he[0] says[0] she[0] was[0] a[0] junkie[0] for[0] the[0] printed[0] word[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
lucky for me i manufactured her drug of choice " . 	lucky for me i manufactured her drug of choice " .	2	-1	 lucky[1] for[0] me[0] i[0] manufactured[0] her[0] drug[0] of[0] choice[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
robert downy j . r plays a bisexual editor who makes his entrance with a towering transvestite on his arm . 	robert downy j .<br> are plays a bisexual editor who makes his entrance with a towering transvestite on his arm .	2	-1	 robert[0] downy[0] j[0] [[Sentence=-1,1=word max, 1-5]] r[0] plays[1] a[0] bisexual[0] editor[0] who[0] makes[0] his[0] entrance[0] with[0] a[0] towering[0] transvestite[0] on[0] his[0] arm[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
downy has mastered the gleefully dry hyper articulate wit of many a hipster intellectual . 	downy has mastered the gleefully dry hyper articulate wit of many a hipster intellectual .	1	-1	 downy[0] has[0] mastered[0] the[0] gleefully[0] dry[0] hyper[0] articulate[0] wit[0] of[0] many[0] a[0] hipster[0] intellectual[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's arrogant but completely likeable in his utter arrogance . 	he's arrogant but completely likeable in his utter arrogance .	4	-3	 he's[0] arrogant[-2] but[0] completely[0] likeable[2][1 LastWordBoosterStrength] in[0] his[0] utter[0] arrogance[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the actor is perfectly cast here , and remains a joyous movie presence somewhere between a typical tom hanksian comic leading man and edgy character actor . 	the actor is perfectly cast here , and remains a joyous movie presence somewhere between a typical tom hanksian comic leading man and edgy character actor .	3	-1	 the[0] actor[0] is[0] perfectly[1] cast[0] here[0] and[0] remains[0] a[0] joyous[2] movie[0] presence[0] somewhere[0] between[0] a[0] typical[0] tom[0] hanksian[0] comic[0] leading[0] man[0] and[0] edgy[0] character[0] actor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i wish wonder boys had more of him . 	i wish wonder boys had more of him .	1	-1	 i[0] wish[0] wonder[0] boys[0] had[0] more[0] of[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
searching for a plot among the elements of wonder boys would be pointless , for it meanders through its running time , but that's part of its charm . 	searching for a plot among the elements of wonder boys would be pointless , for it meanders through its running time , but that's part of its charm .	2	-2	 searching[0] for[0] a[0] plot[0] among[0] the[0] elements[0] of[0] wonder[0] boys[0] would[0] be[0] pointless[-1] for[0] it[0] meanders[0] through[0] its[0] running[0] time[0] but[0] that's[0] part[0] of[0] its[0] charm[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and maybe i'm a bit biased towards the film because it takes place in a haven of literary academia , a place i'm greatly fond of , and a place rarely explored in american cinema . 	and maybe i'm a bit biased towards the film because it takes place in a haven of literary academia , a place i'm greatly fond of , and a place rarely explored in american cinema .	4	-1	 and[0] maybe[0] i'm[0] a[0] bit[0] biased[0] towards[0] the[0] film[0] because[0] it[0] takes[0] place[0] in[0] a[0] haven[0] of[0] literary[0] academia[0] a[0] place[0] i'm[0] greatly[2] fond[2][+1 MultiplePositiveWords] of[0] and[0] a[0] place[0] rarely[0] explored[0] in[0] american[0] cinema[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
everyone has a sub-genre ( be it war films , westerns , dance movies ) that they happen to be privy to . 	everyone has a sub-genre ( be it war films , westerns , dance movies ) that they happen to be privy to .	1	-3	 everyone[0] has[0] a[0] sub[0] genre[0] be[0] it[0] war[-2] films[0] westerns[0] dance[0] movies[0] that[0] they[0] happen[0] to[0] be[0] privy[0] to[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm privy to films about literary types i . e . 	i'm privy to films about literary types i .<br> e .	1	-1	 i'm[0] privy[0] to[0] films[0] about[0] literary[0] types[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those individuals enthralled by the written word , and if you are not so inclined it may be wise to knock my above grade down about half a notch . 	those individuals enthralled by the written word , and if you are not so inclined it may be wise to knock my above grade down about half a notch .	1	-1	 those[0] individuals[0] enthralled[0] by[0] the[0] written[0] word[0] and[0] if[0] you[0] are[0] not[0] so[0] inclined[0] it[0] may[0] be[0] wise[0] to[0] knock[0] my[0] above[0] grade[0] down[0] about[0] half[0] a[0] notch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the direction by curtis hanson is more akin to a european film with its leisurely pace and situations that grow from the characters , rather than generic mapped out story points . 	the direction by curtis hanson is more akin to a european film with its leisurely pace and situations that grow from the characters , rather than generic mapped out story points .	1	-1	 the[0] direction[0] by[0] curtis[0] hanson[0] is[0] more[0] akin[0] to[0] a[0] european[0] film[0] with[0] its[0] leisurely[0] pace[0] and[0] situations[0] that[0] grow[0] from[0] the[0] characters[0] rather[0] than[0] generic[0] mapped[0] out[0] story[0] points[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sometimes the dialogue is too clever , but that's a problem i wish i found with films more often . 	sometimes the dialogue is too clever , but that's a problem i wish i found with films more often .	1	-2	 sometimes[0] the[0] dialogue[0] is[0] too[0] clever[0] but[0] that's[0] a[0] problem[-1] i[0] wish[0] i[0] found[0] with[0] films[0] more[0] often[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another minor quibble is that early on the film seems a bit too introverted , like its characters , but as the story progresses it begins to open up . 	another minor quibble is that early on the film seems a bit too introverted , like its characters , but as the story progresses it begins to open up .	2	-2	 another[0] minor[0] quibble[-1] is[0] that[0] early[0] on[0] the[0] film[0] seems[0] a[0] bit[0] too[0] introverted[0] like[1] its[0] characters[0] but[0] as[0] the[0] story[0] progresses[0] it[0] begins[0] to[0] open[0] up[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for me wonder boys works as subtle drama because of its insight into artistic types , and as a low-key comedy for its chuckle-worthy throwaway gags . 	for me wonder boys works as subtle drama because of its insight into artistic types , and as a low-key comedy for its chuckle-worthy throwaway gags .	3	-2	 for[0] me[0] wonder[0] boys[0] works[0] as[0] subtle[0] drama[0] because[0] of[0] its[0] insight[0] into[0] artistic[0] types[0] and[0] as[0] a[0] low[-1] key[0] comedy[0] for[0] its[0] chuckle[2] worthy[0] throwaway[0] gags[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the gags are like those in the great robert altman ( m * a * s * h , the long goodbye ) movies , where jokes exist as asides on the fringes , like jokes in life often do . 	the gags are like those in the great robert altman ( m * a * s * h , the long goodbye ) movies , where jokes exist as asides on the fringes , like jokes in life often do .	3	-1	 the[0] gags[0] are[0] like[1] those[0] in[0] the[0] great[2] robert[0] altman[0] m[0] a[0] s[0] h[0] the[0] long[0] goodbye[0] movies[0] where[0] jokes[1] exist[0] as[0] asides[0] on[0] the[0] fringes[0] like[1] jokes[1] in[0] life[0] often[0] do[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the broader comedy such as the killing of a blind dog , and incessant smoking of marijuana isn't ineffective but not nearly as memorable as the little things . 	the broader comedy such as the killing of a blind dog , and incessant smoking of marijuana isn't ineffective but not nearly as memorable as the little things .	2	-2	 the[0] broader[0] comedy[0] such[0] as[0] the[0] killing[-1] of[0] a[0] blind[-1] dog[0] and[0] incessant[-1] smoking[0] of[0] marijuana[0] isn't[0] ineffective[-1][NegatedDueToPreviousWord] but[0] not[0] nearly[0] as[0] memorable[0] as[0] the[0] little[0] things[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
curtis hanson , who before his last film , la confidential , toiled about with exploitation fare like losin' it ( an early tom cruise sex comedy ) and the hand the rocks the cradle , has graduated to more meaningful films . 	curtis hanson , who before his last film , la confidential , toiled about with exploitation fare like losin' it ( an early tom cruise sex comedy ) and the hand the rocks the cradle , has graduated to more meaningful films .	2	-1	 curtis[0] hanson[0] who[0] before[0] his[0] last[0] film[0] la[0] confidential[0] toiled[0] about[0] with[0] exploitation[0] fare[0] like[1] losin'[0] it[0] an[0] early[0] tom[0] cruise[0] sex[0] comedy[0] and[0] the[0] hand[0] the[0] rocks[0] the[0] cradle[0] has[0] graduated[0] to[0] more[0] meaningful[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he directs wonder boys in an appropriately dour style , the comedy coming from the false gloom his characters put up . 	he directs wonder boys in an appropriately dour style , the comedy coming from the false gloom his characters put up .	1	-3	 he[0] directs[0] wonder[0] boys[0] in[0] an[0] appropriately[0] dour[0] style[0] the[0] comedy[0] coming[0] from[0] the[0] false[0] gloom[-2] his[0] characters[0] put[0] up[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the morose crooning of leonard cohen would seem an odd song for the background of any party , but in a wonder boys party , it fits . 	the morose crooning of leonard cohen would seem an odd song for the background of any party , but in a wonder boys party , it fits .	1	-1	 the[0] morose[0] crooning[0] of[0] leonard[0] cohen[0] would[0] seem[0] an[0] odd[0] song[0] for[0] the[0] background[0] of[0] any[0] party[0] but[0] in[0] a[0] wonder[0] boys[0] party[0] it[0] fits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is like a piece of literature put up on the big screen . 	the film is like a piece of literature put up on the big screen .	2	-1	 the[0] film[0] is[0] like[1] a[0] piece[0] of[0] literature[0] put[0] up[0] on[0] the[0] big[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's the cinematic equivalent to a good read , novelistic in its approach with themes rarely found in american movies . 	it's the cinematic equivalent to a good read , novelistic in its approach with themes rarely found in american movies .	2	-1	 it's[0] the[0] cinematic[0] equivalent[0] to[0] a[0] good[1] read[0] novelistic[0] in[0] its[0] approach[0] with[0] themes[0] rarely[0] found[0] in[0] american[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
many will find it slight , but i found much to savor among its subtleties . 	many will find it slight , but i found much to savor among its subtleties .	1	-1	 many[0] will[0] find[0] it[0] slight[0] but[0] i[0] found[0] much[0] to[0] savor[0] among[0] its[0] subtleties[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
