richard linklater's " slacker , " made in 1991 for a budget of only $23 , 000 , immerses itself in the twentysomething , college-town culture of austin , texas . 	Translation	Positive	Negative	EmotionRationale
for the most part , however , the best moments are the ones involving the slightly unhinged types . 	for the most part , however , the best moments are the ones involving the slightly unhinged types .	2	-1	 for[0] the[0] most[0] part[0] however[0] the[0] best[1] moments[0] are[0] the[0] ones[0] involving[0] the[0] slightly[0] unhinged[0] types[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
near the beginning , a paranoid man follows a pedestrian for several blocks , warning him about government conspiracies involving everything from global warming to secret colonization of mars . 	near the beginning , a paranoid man follows a pedestrian for several blocks , warning him about government conspiracies involving everything from global warming to secret colonization of mars .	1	-3	 near[0] the[0] beginning[0] a[0] paranoid[-2] man[0] follows[0] a[0] pedestrian[0] for[0] several[0] blocks[-1] warning[0] him[0] about[0] government[0] conspiracies[0] involving[0] everything[0] from[0] global[0] warming[0] to[0] secret[0] colonization[0] of[0] mars[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another man seems to be collecting televisions , keeping at least fifteen sets running at the same time and playing tapes of a graduate student who recorded himself having a nervous breakdown and destroying the camera . 	another man seems to be collecting televisions , keeping at least fifteen sets running at the same time and playing tapes of a graduate student who recorded himself having a nervous breakdown and destroying the camera .	2	-3	 another[0] man[0] seems[0] to[0] be[0] collecting[0] televisions[0] keeping[0] at[0] least[0] fifteen[0] sets[0] running[0] at[0] the[0] same[0] time[0] and[0] playing[1] tapes[0] of[0] a[0] graduate[0] student[0] who[0] recorded[0] himself[0] having[0] a[0] nervous[-2] breakdown[-1] and[0] destroying[-2] the[0] camera[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and in a scene that drew a big laugh from everyone present when i saw the film , a man tries to achieve closure after a failed relationship by reciting poetry on a bridge and then throwing a typewriter into the creek below . 	and in a scene that drew a big laugh from everyone present when i saw the film , a man tries to achieve closure after a failed relationship by reciting poetry on a bridge and then throwing a typewriter into the creek below .	2	-3	 and[0] in[0] a[0] scene[0] that[0] drew[0] a[0] big[0] laugh[1] from[0] everyone[0] present[0] when[0] i[0] saw[0] the[0] film[0] a[0] man[0] tries[0] to[0] achieve[0] closure[0] after[0] a[0] failed[-2] relationship[0] by[0] reciting[0] poetry[0] on[0] a[0] bridge[0] and[0] then[0] throwing[0] a[0] typewriter[0] into[0] the[0] creek[0] below[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the only problem with " slacker " is that it starts to run out of steam towards the end . 	the only problem with " slacker " is that it starts to run out of steam towards the end .	1	-2	 the[0] only[0] problem[-1] with[0] slacker[0] is[0] that[0] it[0] starts[0] to[0] run[0] out[0] of[0] steam[0] towards[0] the[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since linklater only spends a few minutes with each character , the introduction of the new characters gets repetitive after a while . 	since linklater only spends a few minutes with each character , the introduction of the new characters gets repetitive after a while .	1	-1	 since[0] linklater[0] only[0] spends[0] a[0] few[0] minutes[0] with[0] each[0] character[0] the[0] introduction[0] of[0] the[0] new[0] characters[0] gets[0] repetitive[0] after[0] a[0] while[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are only so many times you can hear , " hey , what's going on ? " 	there are only so many times you can hear , " hey , what's going on ?<br> "	2	-1	 there[0] are[0] only[0] so[0] many[0] times[0] you[0] can[0] hear[0] hey[1] what's[0] going[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " not much , what are you up to ? " 	 " not much , what are you up to ?<br> "	1	-1	 not[0] much[0] what[0] are[0] you[0] up[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " nothing really , just hanging around , " before it gets on your nerves ; the film might well have benefited from a slightly slower pace and a little bit more characterization . 	 " nothing really , just hanging around , " before it gets on your nerves ; the film might well have benefited from a slightly slower pace and a little bit more characterization .	1	-1	 nothing[0] really[0] just[0] hanging[0] around[0] before[0] it[0] gets[0] on[0] your[0] nerves[0] the[0] film[0] might[0] well[0] have[0] benefited[0] from[0] a[0] slightly[0] slower[0] pace[0] and[0] a[0] little[0] bit[0] more[0] characterization[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the dialogue in the second half of the film is by and large not quite as interesting as that in the first half ; a jfk buff , for example , seems like a pale imitation of the previous conspiracy theorist , and many of the characters just generally aren't as weird or unique . 	and the dialogue in the second half of the film is by and large not quite as interesting as that in the first half ; a jfk buff , for example , seems like a pale imitation of the previous conspiracy theorist , and many of the characters just generally aren't as weird or unique .	2	-2	 and[0] the[0] dialogue[0] in[0] the[0] second[0] half[0] of[0] the[0] film[0] is[0] by[0] and[0] large[0] not[0] quite[0] as[0] interesting[1] as[0] that[0] in[0] the[0] first[0] half[0] a[0] jfk[0] buff[0] for[0] example[0] seems[0] like[1] a[0] pale[0] imitation[0] of[0] the[0] previous[0] conspiracy[-1] theorist[0] and[0] many[0] of[0] the[0] characters[0] just[0] generally[0] aren't[0] as[0] weird[-1][NegatedDueToPreviousWord] or[0] unique[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead of depicting a city populated by mostly normal people and then showing us the strangeness that we might not have noticed at first , linklater shows us the oddballs first , then stops and reminds us that ordinary people live there too . 	instead of depicting a city populated by mostly normal people and then showing us the strangeness that we might not have noticed at first , linklater shows us the oddballs first , then stops and reminds us that ordinary people live there too .	1	-1	 instead[0] of[0] depicting[0] a[0] city[0] populated[0] by[0] mostly[0] normal[0] people[0] and[0] then[0] showing[0] us[0] the[0] strangeness[0] that[0] we[0] might[0] not[0] have[0] noticed[0] at[0] first[0] linklater[0] shows[0] us[0] the[0] oddballs[0] first[0] then[0] stops[0] and[0] reminds[0] us[0] that[0] ordinary[0] people[0] live[0] there[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " slacker " is a good film and a wonderfully offbeat and entertaining comedy , whatever its flaws , and its status as a cult classic is well-deserved . 	 " slacker " is a good film and a wonderfully offbeat and entertaining comedy , whatever its flaws , and its status as a cult classic is well-deserved .	3	-1	 slacker[0] is[0] a[0] good[1] film[0] and[0] a[0] wonderfully[2] offbeat[0] and[0] entertaining[0] comedy[0] whatever[0] its[0] flaws[0] and[0] its[0] status[0] as[0] a[0] cult[0] classic[0] is[0] well[0] deserved[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i just can't help but think it might have been even better if linklater had slowed down a little bit and filmed these scenes in reverse order . 	i just can't help but think it might have been even better if linklater had slowed down a little bit and filmed these scenes in reverse order .	1	-1	 i[0] just[0] can't[0] help[0] but[0] think[0] it[0] might[0] have[0] been[0] even[0] better[0] if[0] linklater[0] had[0] slowed[0] down[0] a[0] little[0] bit[0] and[0] filmed[0] these[0] scenes[0] in[0] reverse[0] order[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
