after a stylistic detour with mrs . 	Translation	Positive	Negative	EmotionRationale
in short , rudolph has created a world that it's worth spending two hours in . 	in short , rudolph has created a world that it's worth spending two hours in .	1	-1	 in[0] short[0] rudolph[0] has[0] created[0] a[0] world[0] that[0] it's[0] worth[0] spending[0] two[0] hours[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
afterglow introduces us to two unhappily married couples . 	afterglow introduces us to two unhappily married couples .	1	-3	 afterglow[0] introduces[0] us[0] to[0] two[0] unhappily[-2] married[0] couples[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jeffrey byron ( jonny lee miller ) is a cold , seemingly-heartless businessman who is sexually indifferent to his young wife , marianne ( lara flynn boyle ) . 	jeffrey byron ( jonny lee miller ) is a cold , seemingly-heartless businessman who is sexually indifferent to his young wife , marianne ( lara flyn boyle ) .	1	-3	 jeffrey[0] byron[0] jonny[0] lee[0] miller[0] is[0] a[0] cold[-1] seemingly[0] heartless[-2] businessman[0] who[0] is[0] sexually[0] indifferent[-1] to[0] his[0] young[0] wife[0] marianne[0] lara[0] flynn/flyn[0] boyle[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for her part , marianne is so obsessed with having a baby that she never attempts to interact with her husband on a human level . 	for her part , marianne is so obsessed with having a baby that she never attempts to interact with her husband on a human level .	2	-3	 for[0] her[0] part[0] marianne[0] is[0] so[0] obsessed[-2] with[0] having[0] a[0] baby[1] that[0] she[0] never[0] attempts[0] to[0] interact[0] with[0] her[0] husband[0] on[0] a[0] human[0] level[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
all she's interested in is seducing him during those few days when she's ovulating . 	all she's interested in is seducing him during those few days when she's ovulating .	2	-1	 all[0] she's[0] interested[1] in[0] is[0] seducing[0] him[0] during[0] those[0] few[0] days[0] when[0] she's[0] ovulating[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after he refuses to make love , she decides to find someone else to play the role of sperm donor . 	after he refuses to make love , she decides to find someone else to play the role of sperm donor .	3	-2	 after[0] he[0] refuses[-1] to[0] make[0] love[2] she[0] decides[0] to[0] find[0] someone[0] else[0] to[0] play[0] the[0] role[0] of[0] sperm[0] donor[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the other couple , lucky ( nick nolte ) and phyllis mann ( julie christie ) , are an older pair , but they're no more content than jeffrey and marianne . 	the other couple , lucky ( nick nolte ) and phyllis man ( julie christie ) , are an older pair , but they're no more content than jeffrey and marianne .	2	-1	 the[0] other[0] couple[0] lucky[1] nick[0] nolte[0] and[0] phyllis[0] mann/man[0] julie[0] christie[0] are[0] an[0] older[0] pair[0] but[0] they're[0] no[0] more[0] content[0] than[0] jeffrey[0] and[0] marianne[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a mysterious fracture in their past relationship has driven them apart . 	a mysterious fracture in their past relationship has driven them apart .	1	-2	 a[0] mysterious[0] fracture[-1] in[0] their[0] past[0] relationship[0] has[0] driven[0] them[0] apart[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they remain married as a matter of convenience , but , since phyllis won't allow lucky to touch her , they have an unspoken agreement whereby he can fool around as much as he wants provided that no lasting bond is established as a result of these affairs . 	they remain married as a matter of convenience , but , since phyllis won't allow lucky to touch her , they have an unspoken agreement whereby he can fool around as much as he wants provided that no lasting bond is established as a result of these affairs .	1	-2	 they[0] remain[0] married[0] as[0] a[0] matter[0] of[0] convenience[0] but[0] since[0] phyllis[0] won't[0] allow[0] lucky[1][NegatedDueToPreviousWord] to[0] touch[0] her[0] they[0] have[0] an[0] unspoken[0] agreement[0] whereby[0] he[0] can[0] fool[-1] around[0] as[0] much[0] as[0] he[0] wants[0] provided[0] that[0] no[0] lasting[0] bond[0] is[0] established[0] as[0] a[0] result[0] of[0] these[0] affairs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the landscape of emotional pain between them is palpable . 	the landscape of emotional pain between them is palpable .	1	-4	 the[0] landscape[0] of[0] emotional[-1] pain[-3] between[0] them[0] is[0] palpable[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the four characters begin interacting when marianne hires lucky as a handyman to fix up the inside of the apartment she shares with jeffrey . 	the four characters begin interacting when marianne hires lucky as a handyman to fix up the inside of the apartment she shares with jeffrey .	2	-1	 the[0] four[0] characters[0] begin[0] interacting[0] when[0] marianne[0] hires[0] lucky[1] as[0] a[0] handyman[0] to[0] fix[0] up[0] the[0] inside[0] of[0] the[0] apartment[0] she[0] shares[0] with[0] jeffrey[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the two of them are immediately attracted to one another , and it doesn't take long before they're lounging together , naked , in her pool . 	the two of them are immediately attracted to one another , and it doesn't take long before they're lounging together , naked , in her pool .	2	-1	 the[0] two[0] of[0] them[0] are[0] immediately[0] attracted[1] to[0] one[0] another[0] and[0] it[0] doesn't[0] take[0] long[0] before[0] they're[0] lounging[0] together[0] naked[0] in[0] her[0] pool[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile , jeffrey , who is captivated by older women , runs into phyllis in a hotel bar , is smitten , and invites her to accompany him on a weekend retreat to the mountains . 	meanwhile , jeffrey , who is captivated by older women , runs into phyllis in a hotel bar , is smitten , and invites her to accompany him on a weekend retreat to the mountains .	1	-2	 meanwhile[0] jeffrey[0] who[0] is[0] captivated[0] by[0] older[0] women[0] runs[0] into[0] phyllis[0] in[0] a[0] hotel[0] bar[0] is[0] smitten[0] and[0] invites[0] her[0] to[0] accompany[0] him[0] on[0] a[0] weekend[0] retreat[-1] to[0] the[0] mountains[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the romantic couplings of the characters are interesting in that they illustrate the multiple faces of love . 	the romantic couplings of the characters are interesting in that they illustrate the multiple faces of love .	4	-1	 the[0] romantic[3] couplings[0] of[0] the[0] characters[0] are[0] interesting[1] in[0] that[0] they[0] illustrate[0] the[0] multiple[0] faces[0] of[0] love[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
sex means something different to everyone ? to jeffrey , it's an unpleasant chore , a loss of control ; to marianne , it's a means to a maternal end ; to lucky , it's an enjoyable distraction that blocks out his marital troubles ; and to phyllis , it's a method of establishing or denying emotional closeness . 	sex means something different to everyone ?<br> to jeffrey , it's an unpleasant chore , a loss of control ; to marianne , it's a means to a maternal end ; to lucky , it's an enjoyable distraction that blocks out his marital troubles ; and to phyllis , it's a method of establishing or denying emotional closeness .	3	-4	 sex[0] means[0] something[0] different[0] to[0] everyone[0] [[Sentence=-1,1=word max, 1-5]] to[0] jeffrey[0] it's[0] an[0] unpleasant[-2] chore[-2][-1 MultiplePositiveWords] a[0] loss[-2] of[0] control[0] to[0] marianne[0] it's[0] a[0] means[0] to[0] a[0] maternal[0] end[0] to[0] lucky[1] it's[0] an[0] enjoyable[2] distraction[-1] that[0] blocks[-1] out[0] his[0] marital[0] troubles[-1] and[0] to[0] phyllis[0] it's[0] a[0] method[0] of[0] establishing[0] or[0] denying[0] emotional[-1] closeness[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
ultimately , none of these characters appears to love anyone else as much as they love themselves . 	ultimately , none of these characters appears to love anyone else as much as they love themselves .	3	-1	 ultimately[0] none[0] of[0] these[0] characters[0] appears[0] to[0] love[2] anyone[0] else[0] as[0] much[0] as[0] they[0] love[2] themselves[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the greatest strength of the film lies not in the script , but in the performances . 	the greatest strength of the film lies not in the script , but in the performances .	3	-3	 the[0] greatest[2] strength[0] of[0] the[0] film[0] lies[-2] not[0] in[0] the[0] script[0] but[0] in[0] the[0] performances[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jonny lee miller is perfect as the selfish , callous , suit-and-tie businessman . 	jonny lee miller is perfect as the selfish , callous , suit-and-tie businessman .	2	-5	 jonny[0] lee[0] miller[0] is[0] perfect[1] as[0] the[0] selfish[-3] callous[-3][-1 MultiplePositiveWords] suit[0] and[0] tie[0] businessman[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
those who recall him as sickboy in trainspotting will find that he is almost unrecognizable here as the image of conformity . 	those who recall him as sickboy in trainspotting will find that he is almost unrecognizable here as the image of conformity .	1	-1	 those[0] who[0] recall[0] him[0] as[0] sickboy[0] in[0] trainspotting[0] will[0] find[0] that[0] he[0] is[0] almost[0] unrecognizable[0] here[0] as[0] the[0] image[0] of[0] conformity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lara flynn boyle , who wasn't impressive in rudolph's equinox , is greatly improved , making marianne a jumble of sexiness and vulnerability . 	lara flyn boyle , who wasn't impressive in rudolph's equinox , is greatly improved , making marianne a jumble of sexiness and vulnerability .	3	-3	 lara[0] flynn/flyn[0] boyle[0] who[0] wasn't[0] impressive[1] in[0] rudolph's[0] equinox[0] is[0] greatly[2] improved[1] making[0] marianne[0] a[0] jumble[0] of[0] sexiness[0] and[0] vulnerability[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
nick nolte is delightful as the uninhibited lucky , and he manages to deliver some of rudolph's most pregnant lines with practiced ease . 	nick nolte is delightful as the uninhibited lucky , and he manages to deliver some of rudolph's most pregnant lines with practiced ease .	3	-1	 nick[0] nolte[0] is[0] delightful[2] as[0] the[0] uninhibited[0] lucky[1] and[0] he[0] manages[0] to[0] deliver[0] some[0] of[0] rudolph's[0] most[0] pregnant[0] lines[0] with[0] practiced[0] ease[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the clear standout , however , is julie christie , who is nothing short of delicious as the world-weary phyllis . 	the clear standout , however , is julie christie , who is nothing short of delicious as the world-weary phyllis .	3	-1	 the[0] clear[0] standout[0] however[0] is[0] julie[0] christie[0] who[0] is[0] nothing[0] short[0] of[0] delicious[2] as[0] the[0] world[0] weary[0] phyllis[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her often wry , occasionally cutting asides are the source of much of the film's humor , and there's hardly ever a moment when she doesn't steal the spotlight from her co-stars . 	her often wry , occasionally cutting asides are the source of much of the film's humor , and there's hardly ever a moment when she doesn't steal the spotlight from her co-stars .	3	-3	 her[0] often[0] wry[0] occasionally[0] cutting[0] asides[0] are[0] the[0] source[-1] of[0] much[0] of[0] the[0] film's[0] humor[2] and[0] there's[0] hardly[0] ever[0] a[0] moment[0] when[0] she[0] doesn't[0] steal[-2] the[0] spotlight[0] from[0] her[0] co[0] stars[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i don't know if afterglow is the film to convert rudolph- detractors , but it seems that this movie is a little more accessible than some of the director's earlier productions . 	i don't know if afterglow is the film to convert rudolph- detractors , but it seems that this movie is a little more accessible than some of the director's earlier productions .	1	-2	 i[0] don't[0] know[0] if[0] afterglow[0] is[0] the[0] film[0] to[0] convert[0] rudolph[0] detractors[-1] but[0] it[0] seems[0] that[0] this[0] movie[0] is[0] a[0] little[0] more[0] accessible[0] than[0] some[0] of[0] the[0] director's[0] earlier[0] productions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
enough of his trademark style remains , however , to reassure his supporters . 	enough of his trademark style remains , however , to reassure his supporters .	2	-1	 enough[0] of[0] his[0] trademark[0] style[0] remains[0] however[0] to[0] reassure[1] his[0] supporters[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
afterglow is basically a four-pronged character study . 	afterglow is basically a four-pronged character study .	1	-1	 afterglow[0] is[0] basically[0] a[0] four[0] pronged[0] character[0] study[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is not especially compelling , but the character interaction is , and that's the real reason to see this motion picture . 	the plot is not especially compelling , but the character interaction is , and that's the real reason to see this motion picture .	1	-1	 the[0] plot[0] is[0] not[0] especially[0] compelling[0] but[0] the[0] character[0] interaction[0] is[0] and[0] that's[0] the[0] real[0] reason[0] to[0] see[0] this[0] motion[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rudolph has painted an able picture of the non-romantic side of love -- the one that has more to do with tolerance and familiarity than with affection and attraction . 	rudolph has painted an able picture of the non-romantic side of love - the one that has more to do with tolerance and familiarity than with affection and attraction .	4	-1	 rudolph[0] has[0] painted[0] an[0] able[0] picture[0] of[0] the[0] non[0] romantic[3] side[0] of[0] love[2] the[0] one[0] that[0] has[0] more[0] to[0] do[0] with[0] tolerance[1] and[0] familiarity[0] than[0] with[0] affection[2] and[0] attraction[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
