meet joe black is your classic boy-meets-girl , boy-likes-girl , boy-gets-killed-in-horrible-accident , supernatural-entity-takes-over-boy's-body , supernatural-entity-falls-in-love-with-girl story . 	Translation	Positive	Negative	EmotionRationale
the romantic angle works well , though , surprisingly , the interactions between joe black and william parrish are more interesting than those with his daughter . 	the romantic angle works well , though , surprisingly , the interactions between joe black and william parish are more interesting than those with his daughter .	4	-1	 the[0] romantic[3] angle[0] works[0] well[0] though[0] surprisingly[0] the[0] interactions[0] between[0] joe[0] black[0] and[0] william[0] parrish/parish[0] are[0] more[0] interesting[1] than[0] those[0] with[0] his[0] daughter[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this is most likely due to anthony hopkins , who once again displays his superb acting skills . 	this is most likely due to anthony hopkins , who once again displays his superb acting skills .	1	-1	 this[0] is[0] most[0] likely[0] due[0] to[0] anthony[0] hopkins[0] who[0] once[0] again[0] displays[0] his[0] superb[0] acting[0] skills[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
william is a desperate man who has had a seemingly ideal life , and doesn't want to let it go . 	william is a desperate man who has had a seemingly ideal life , and doesn't want to let it go .	1	-3	 william[0] is[0] a[0] desperate[-2] man[0] who[0] has[0] had[0] a[0] seemingly[0] ideal[0] life[0] and[0] doesn't[0] want[0] to[0] let[0] it[0] go[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by contrast , claire forlani is merely the romantic interest . 	by contrast , claire forlani is merely the romantic interest .	4	-1	 by[0] contrast[0] claire[0] forlani[0] is[0] merely[0] the[0] romantic[3] interest[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
she gets to show joe the ropes of love , but is hardly as interesting a character . 	she gets to show joe the ropes of love , but is hardly as interesting a character .	3	-1	 she[0] gets[0] to[0] show[0] joe[0] the[0] ropes[0] of[0] love[2] but[0] is[0] hardly[0] as[0] interesting[1] a[0] character[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as joe black , brad pitt seems a bit stilted . 	as joe black , brad pit seems a bit stilted .	1	-1	 as[0] joe[0] black[0] brad[0] pitt/pit[0] seems[0] a[0] bit[0] stilted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
granted , he's supposed to be out-of-place , but the overly formal technique used by pitt begins to distract from the role . 	granted , he's supposed to be out-of-place , but the overly formal technique used by pit begins to distract from the role .	1	-2	 granted[0] he's[0] supposed[0] to[0] be[0] out[0] of[0] place[0] but[0] the[0] overly[0] formal[0] technique[0] used[0] by[0] pitt/pit[0] begins[0] to[0] distract[-1] from[0] the[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , he is able to hold his own , and over the course of the three hours , his character begins to grow on you . 	still , he is able to hold his own , and over the course of the three hours , his character begins to grow on you .	1	-1	 still[0] he[0] is[0] able[0] to[0] hold[0] his[0] own[0] and[0] over[0] the[0] course[0] of[0] the[0] three[0] hours[0] his[0] character[0] begins[0] to[0] grow[0] on[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main character who seems out of place here is drew ( jake weber ) , an ambitious executive in williams' company who is joe black's main rival for susan's affections . 	the main character who seems out of place here is drew ( jake weber ) , an ambitious executive in williams' company who is joe black's main rival for susan's affections .	3	-2	 the[0] main[0] character[0] who[0] seems[0] out[0] of[0] place[0] here[0] is[0] drew[0] jake[0] weber[0] an[0] ambitious[0] executive[0] in[0] williams'[0] company[0] who[0] is[0] joe[0] black's[0] main[0] rival[-1] for[0] susan's[0] affections[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
weber plays the character with a hammy relish reminiscent of snidley whiplash . 	weber plays the character with a hammy relish reminiscent of snidley whiplash .	2	-1	 weber[0] plays[1] the[0] character[0] with[0] a[0] hammy[0] relish[0] reminiscent[0] of[0] snidley[0] whiplash[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this cartoonish foil an aberration in a film filled many more dimensional characters . 	this cartoonish foil an aberration in a film filled many more dimensional characters .	1	-1	 this[0] cartoonish[0] foil[0] an[0] aberration[0] in[0] a[0] film[0] filled[0] many[0] more[0] dimensional[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supernatural elements of the film are handled murkily , but never distractingly so . 	the supernatural elements of the film are handled murkily , but never distractingly so .	2	-1	 the[0] supernatural[0] elements[0] of[0] the[0] film[0] are[0] handled[0] murkily[0] but[0] never[0] distractingly[-1][NegatedDueToPreviousWord] so[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we never learn what is the exact nature of death , or why he's never done something like this before . 	we never learn what is the exact nature of death , or why he's never done something like this before .	2	-3	 we[0] never[0] learn[0] what[0] is[0] the[0] exact[0] nature[0] of[0] death[-2] or[0] why[0] he's[0] never[0] done[0] something[0] like[1] this[0] before[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it actually gets a bit creepy when death talks to the dying in their own voices/accents . 	it actually gets a bit creepy when death talks to the dying in their own voices/accents .	1	-3	 it[0] actually[0] gets[0] a[0] bit[0] creepy[0] when[0] death[-2] talks[0] to[0] the[0] dying[-1] in[0] their[0] own[0] voices/accents[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( his initial conversations with hopkins sound shockingly like hannibal lecter . . . ) 	 ( his initial conversations with hopkins sound shockingly like hannibal lecter .<br> .<br> .<br> )	2	-3	 his[0] initial[0] conversations[0] with[0] hopkins[0] sound[0] shockingly[-2] like[1] hannibal[0] lecter[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and the ultimate resolution to one of the film's supernatural problems seems , well , somewhat superficial . 	and the ultimate resolution to one of the film's supernatural problems seems , well , somewhat superficial .	1	-2	 and[0] the[0] ultimate[0] resolution[0] to[0] one[0] of[0] the[0] film's[0] supernatural[0] problems[-1] seems[0] well[0] somewhat[0] superficial[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , even with the film's length , it was a pleasant time at the movies , something you wouldn't necessarily expect from a film about death . . . but one which meet joe black delivers anyhow . 	still , even with the film's length , it was a pleasant time at the movies , something you wouldn't necessarily expect from a film about death .<br> .<br> .<br> but one which meet joe black delivers anyhow .	3	-3	 still[0] even[0] with[0] the[0] film's[0] length[0] it[0] was[0] a[0] pleasant[2] time[0] at[0] the[0] movies[0] something[0] you[0] wouldn't[0] necessarily[0] expect[0] from[0] a[0] film[0] about[0] death[-2] [[Sentence=-3,3=word max, 1-5]] but[0] one[0] which[0] meet[0] joe[0] black[0] delivers[0] anyhow[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
