what do you get when you slap together a movie based on a story by the legendary george lucas , directed by virtuoso director steven spielberg , and starring one of the biggest box-office stars in the world , harrison ford ? 	Translation	Positive	Negative	EmotionRationale
little known facts about this film and its stars : this picture was nominated for eight 1981 oscar nominations , including best picture . 	little known facts about this film and its stars : this picture was nominated for eight 1981 oscar nominations , including best picture .	2	-1	 little[0] known[0] facts[0] about[0] this[0] film[0] and[0] its[0] stars[0] this[0] picture[0] was[0] nominated[0] for[0] eight[0] 1981[0] oscar[0] nominations[0] including[0] best[1] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it lost that award to chariots of fire , but did manage to win for best art direction , best special effects , best film editing and best sound . 	it lost that award to chariots of fire , but did manage to win for best art direction , best special effects , best film editing and best sound .	2	-1	 it[0] lost[0] that[0] award[0] to[0] chariots[0] of[0] fire[0] but[0] did[0] manage[0] to[0] win[0] for[0] best[1] art[0] direction[0] best[1] special[1] effects[0] best[1] film[0] editing[0] and[0] best[1] sound[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
actor tom selleck was originally cast as indiana jones , but was committed to his hit tv show , " magnum p . i . " . 	actor tom selleck was originally cast as indiana jones , but was committed to his hit tv show , " magnum p .<br> i .<br> " .	1	-1	 actor[0] tom[0] selleck[0] was[0] originally[0] cast[0] as[0] indiana[0] jones[0] but[0] was[0] committed[0] to[0] his[0] hit[0] tv[0] show[0] magnum[0] p[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in filming the well of souls sequence , the producers scoured every pet shop in london and the south of england for every snake they could lay their hands on . 	in filming the well of souls sequence , the producers scoured every pet shop in london and the south of england for every snake they could lay their hands on .	1	-1	 in[0] filming[0] the[0] well[0] of[0] souls[0] sequence[0] the[0] producers[0] scoured[0] every[0] pet[0] shop[0] in[0] london[0] and[0] the[0] south[0] of[0] england[0] for[0] every[0] snake[0] they[0] could[0] lay[0] their[0] hands[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hence there are snakes that are identifiable from many different geographical areas . 	hence there are snakes that are identifiable from many different geographical areas .	1	-1	 hence[0] there[0] are[0] snakes[0] that[0] are[0] identifiable[0] from[0] many[0] different[0] geographical[0] areas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , once all the snakes were on set , it became clear that there were not nearly enough of them , so spielberg had several hoses cut into lengths , and these were used as well . 	however , once all the snakes were on set , it became clear that there were not nearly enough of them , so spielberg had several hoses cut into lengths , and these were used as well .	1	-1	 however[0] once[0] all[0] the[0] snakes[0] were[0] on[0] set[0] it[0] became[0] clear[0] that[0] there[0] were[0] not[0] nearly[0] enough[0] of[0] them[0] so[0] spielberg[0] had[0] several[0] hoses[0] cut[0] into[0] lengths[0] and[0] these[0] were[0] used[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
looking closely , you can tell which are the real snakes and which are not . 	looking closely , you can tell which are the real snakes and which are not .	1	-1	 looking[0] closely[0] you[0] can[0] tell[0] which[0] are[0] the[0] real[0] snakes[0] and[0] which[0] are[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an early draft of the script had indy travelling to shanghai to recover a piece of the staff of ra . 	an early draft of the script had indy travelling to shanghai to recover a piece of the staff of ra .	1	-1	 an[0] early[0] draft[0] of[0] the[0] script[0] had[0] indy[0] travelling[0] to[0] shanghai[0] to[0] recover[0] a[0] piece[0] of[0] the[0] staff[0] of[0] ra[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during his escape from the museum where it was housed , he sheltered from machine gun fire behind a giant rolling gong . 	during his escape from the museum where it was housed , he sheltered from machine gun fire behind a giant rolling gong .	1	-2	 during[0] his[0] escape[0] from[0] the[0] museum[0] where[0] it[0] was[0] housed[0] he[0] sheltered[0] from[0] machine[0] gun[-1] fire[0] behind[0] a[0] giant[0] rolling[0] gong[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also in the same script , indy and marion flee the chaos caused by the opening of the ark in a wild mine-cart chase sequence . 	also in the same script , indy and marion flee the chaos caused by the opening of the ark in a wild mine-cart chase sequence .	1	-2	 also[0] in[0] the[0] same[0] script[0] indy[0] and[0] marion[0] flee[-1] the[0] chaos[-1] caused[0] by[0] the[0] opening[0] of[0] the[0] ark[0] in[0] a[0] wild[0] mine[0] cart[0] chase[-1] sequence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both of these scenes were cut from the script , but ended up in 1984's indiana jones and the temple of doom . 	both of these scenes were cut from the script , but ended up in 1984's indiana jones and the temple of doom .	1	-2	 both[0] of[0] these[0] scenes[0] were[0] cut[0] from[0] the[0] script[0] but[0] ended[0] up[0] in[0] 1984's[0] indiana[0] jones[0] and[0] the[0] temple[0] of[0] doom[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film begins with a shot of a peak in the jungle which is reminiscent of the paramount pictures logo . 	this film begins with a shot of a peak in the jungle which is reminiscent of the paramount pictures logo .	1	-2	 this[0] film[0] begins[0] with[0] a[0] shot[-1] of[0] a[0] peak[0] in[0] the[0] jungle[0] which[0] is[0] reminiscent[0] of[0] the[0] paramount[0] pictures[0] logo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the same type of opening is present in its sequels . 	the same type of opening is present in its sequels .	1	-1	 the[0] same[0] type[0] of[0] opening[0] is[0] present[0] in[0] its[0] sequels[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jock's airplane at the beginning of the film has the registration number " ob-cpo " . 	jock's airplane at the beginning of the film has the registration number " ob-cpo " .	1	-1	 jock's[0] airplane[0] at[0] the[0] beginning[0] of[0] the[0] film[0] has[0] the[0] registration[0] number[0] ob[0] cpo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a reference to obi-wan and c-3po from george lucas' star wars ( 9 . 5/10 ) . 	this is a reference to obi-wan and c-3po from george lucas' star wars ( 9 .<br> 5/10 ) .	1	-3	 this[0] is[0] a[0] reference[0] to[0] obi[0] wan[0] and[0] c[0] -3po[0] from[0] george[0] lucas'[0] star[0] wars[-2] 9[0] [[Sentence=-3,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
also , the hieroglyphics in the well of souls include engravings of r2-d2 and c-3po . 	also , the hieroglyphics in the well of souls include engravings of r2-d2 and c-3po .	1	-1	 also[0] the[0] hieroglyphics[0] in[0] the[0] well[0] of[0] souls[0] include[0] engravings[0] of[0] r2[0] d2[0] and[0] c[0] -3po[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they can be seen on a post to the right of indy and sallah as they remove the ark . 	they can be seen on a post to the right of indy and sallah as they remove the ark .	1	-1	 they[0] can[0] be[0] seen[0] on[0] a[0] post[0] to[0] the[0] right[0] of[0] indy[0] and[0] sallah[0] as[0] they[0] remove[0] the[0] ark[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script originally included a long fight between a swordsman and indiana with his whip . 	the script originally included a long fight between a swordsman and indiana with his whip .	1	-3	 the[0] script[0] originally[0] included[0] a[0] long[0] fight[-2] between[0] a[0] swordsman[0] and[0] indiana[0] with[0] his[0] whip[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as legend has it , actor harrison ford was suffering diarrhea at the time , and asked if the scene could be shortened . 	as legend has it , actor harrison ford was suffering diarrhea at the time , and asked if the scene could be shortened .	1	-4	 as[0] legend[0] has[0] it[0] actor[0] harrison[0] ford[0] was[0] suffering[-3] diarrhea[0] at[0] the[0] time[0] and[0] asked[0] if[0] the[0] scene[0] could[0] be[0] shortened[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
spielberg said the only way he could shorten it was if indy pulled out his gun and just shot the guy . 	spielberg said the only way he could shorten it was if indy pulled out his gun and just shot the guy .	1	-2	 spielberg[0] said[0] the[0] only[0] way[0] he[0] could[0] shorten[0] it[0] was[0] if[0] indy[0] pulled[0] out[0] his[0] gun[-1] and[0] just[0] shot[-1][--1 LastWordBoosterStrength] the[0] guy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the entire crew laughed and that's how it was filmed . 	the entire crew laughed and that's how it was filmed .	2	-1	 the[0] entire[0] crew[0] laughed[1] and[0] that's[0] how[0] it[0] was[0] filmed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when indy first falls in the well of souls and is face to face with the cobra , you can see the snake's reflection on the glass dividing it and harrison ford , also some fingerprints and stuff like that . 	when indy first falls in the well of souls and is face to face with the cobra , you can see the snake's reflection on the glass dividing it and harrison ford , also some fingerprints and stuff like that .	2	-1	 when[0] indy[0] first[0] falls[0] in[0] the[0] well[0] of[0] souls[0] and[0] is[0] face[0] to[0] face[0] with[0] the[0] cobra[0] you[0] can[0] see[0] the[0] snake's[0] reflection[0] on[0] the[0] glass[0] dividing[0] it[0] and[0] harrison[0] ford[0] also[0] some[0] fingerprints[0] and[0] stuff[0] like[1] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when indy is dragging along the ground , hanging onto the nazi soldier's truck with the ark inside , you can see the pad that he's being dragged on . 	when indy is dragging along the ground , hanging onto the nazi soldier's truck with the ark inside , you can see the pad that he's being dragged on .	1	-2	 when[0] indy[0] is[0] dragging[0] along[0] the[0] ground[0] hanging[0] onto[0] the[0] nazi[-1] soldier's[0] truck[0] with[0] the[0] ark[0] inside[0] you[0] can[0] see[0] the[0] pad[0] that[0] he's[0] being[0] dragged[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
