even if i did not know that director and co-writers james wong and jeffrey reddick of the creepy final destination helped create the hit television show the x-files , i would have inevitably made a connection . 	Translation	Positive	Negative	EmotionRationale
alex has been having some dreams that the airplane which will take his class on a trip to paris will crash , leaving no survivors . 	alex has been having some dreams that the airplane which will take his class on a trip to paris will crash , leaving no survivors .	1	-1	 alex[0] has[0] been[0] having[0] some[0] dreams[0] that[0] the[0] airplane[0] which[0] will[0] take[0] his[0] class[0] on[0] a[0] trip[0] to[0] paris[0] will[0] crash[0] leaving[0] no[0] survivors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alex begins to realize that his dreams are a little too real and eventually gets himself and six others kicked off the plane right before it takes off . 	alex begins to realize that his dreams are a little too real and eventually gets himself and six others kicked off the plane right before it takes off .	1	-2	 alex[0] begins[0] to[0] realize[0] that[0] his[0] dreams[0] are[0] a[0] little[0] too[0] real[0] and[0] eventually[0] gets[0] himself[0] and[0] six[0] others[0] kicked[-1] off[0] the[0] plane[0] right[0] before[0] it[0] takes[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shortly after , the plane does indeed crash leaving some of the seven survivors confused and others feeling immortal . 	shortly after , the plane does indeed crash leaving some of the seven survivors confused and others feeling immortal .	2	-2	 shortly[0] after[0] the[0] plane[0] does[0] indeed[0] crash[0] leaving[0] some[0] of[0] the[0] seven[0] survivors[0] confused[-1] and[0] others[0] feeling[0] immortal[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , death isn't through with them yet . 	however , death isn't through with them yet .	1	-3	 however[0] death[-2] isn't[0] through[0] with[0] them[0] yet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it gradually kills off the seven one by one , leaving those currently still alive frantically trying to trick death again . 	it gradually kills off the seven one by one , leaving those currently still alive frantically trying to trick death again .	1	-3	 it[0] gradually[0] kills[0] off[0] the[0] seven[0] one[0] by[0] one[0] leaving[0] those[0] currently[0] still[0] alive[0] frantically[-1] trying[0] to[0] trick[-1] death[-2] again[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot allows for some of the most creative , original death scenes i have seen in a while . 	the plot allows for some of the most creative , original death scenes i have seen in a while .	1	-3	 the[0] plot[0] allows[0] for[0] some[0] of[0] the[0] most[0] creative[0] original[0] death[-2] scenes[0] i[0] have[0] seen[0] in[0] a[0] while[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
some scenes build up the perfect amount of tension until an elaborate climax , others are so unexpected they will leave your jaw wide open in shock . 	some scenes build up the perfect amount of tension until an elaborate climax , others are so unexpected they will leave your jaw wide open in shock .	2	-3	 some[0] scenes[0] build[0] up[0] the[0] perfect[1] amount[0] of[0] tension[-2] until[0] an[0] elaborate[0] climax[0] others[0] are[0] so[0] unexpected[0] they[0] will[0] leave[0] your[0] jaw[0] wide[0] open[0] in[0] shock[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
creativity and originality are two adjectives lacking in most horror films nowadays but final destination is not like most horror films . 	creativity and originality are two adjectives lacking in most horror films nowadays but final destination is not like most horror films .	1	-4	 creativity[0] and[0] originality[0] are[0] two[0] adjectives[0] lacking[0] in[0] most[0] horror[-3] films[0] nowadays[0] but[0] final[0] destination[0] is[0] not[0] like[1][NegatedDueToPreviousWord] most[0] horror[-3] films[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sure , it has your traditional share of jerks and outsiders ( ali larter's character is particularly annoying ) , but the shocks , from the beginning to the end , are extremely entertaining . 	sure , it has your traditional share of jerks and outsiders ( ali larter's character is particularly annoying ) , but the shocks , from the beginning to the end , are extremely entertaining .	1	-3	 sure[0] it[0] has[0] your[0] traditional[0] share[0] of[0] jerks[-2] and[0] outsiders[-1] ali[0] larter's[0] character[0] is[0] particularly[0] annoying[-2] but[0] the[0] shocks[-2] from[0] the[0] beginning[0] to[0] the[0] end[0] are[0] extremely[0] entertaining[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also director wong has the sense not to take the movie too seriously . 	also director wong has the sense not to take the movie too seriously .	1	-1	 also[0] director[0] wong[0] has[0] the[0] sense[0] not[0] to[0] take[0] the[0] movie[0] too[0] seriously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he knows its just another entertaining guilty pleasure that won't win any academy awards ( not even a golden globe ) . 	he knows its just another entertaining guilty pleasure that won't win any academy awards ( not even a golden globe ) .	3	-4	 he[0] knows[0] its[0] just[0] another[0] entertaining[0] guilty[-3] pleasure[2] that[0] won't[0] win[0] any[0] academy[0] awards[0] not[0] even[0] a[0] golden[0] globe[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the myriad of inside jokes and gags ( the characters are named after famous horror directors , one character who plays a jerk is named carter , like x-files creator chris carter , and a song by john denver , who died in a plane crash , plays whenever death is near ) show this movie is a bunch of guys having a good time making a movie . 	the myriad of inside jokes and gags ( the characters are named after famous horror directors , one character who plays a jerk is named carter , like x-files creator chris carter , and a song by john denver , who died in a plane crash , plays whenever death is near ) show this movie is a bunch of guys having a good time making a movie .	2	-4	 the[0] myriad[0] of[0] inside[0] jokes[1] and[0] gags[0] the[0] characters[0] are[0] named[0] after[0] famous[0] horror[-3] directors[0] one[0] character[0] who[0] plays[1] a[0] jerk[-2] is[0] named[0] carter[0] like[1] x[1] files[0] creator[0] chris[0] carter[0] and[0] a[0] song[0] by[0] john[0] denver[0] who[0] died[0] in[0] a[0] plane[0] crash[0] plays[1] whenever[0] death[-2] is[0] near[0] show[0] this[0] movie[0] is[0] a[0] bunch[0] of[0] guys[0] having[0] a[0] good[1] time[0] making[0] a[0] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and from this , i had a great time watching the movie . 	and from this , i had a great time watching the movie .	3	-1	 and[0] from[0] this[0] i[0] had[0] a[0] great[2] time[0] watching[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
