after hearing reviews for woody allen's upteenth movie in history , " celebrity , " range from terribly boring to just so-so , my heart lept when the opening images of the film closely resembled that of " manhattan , " my personal favorite from my personal favorite director of all time . 	Translation	Positive	Negative	EmotionRationale
 " everyone says i love you " was more of a great idea than a great film . 	 " everyone says i love you " was more of a great idea than a great film .	3	-1	 everyone[0] says[0] i[0] love[2] you[0] was[0] more[0] of[0] a[0] great[2] idea[0] than[0] a[0] great[2] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even " deconstructing harry " is admittingly cheap in a way , even if it does top as one of his most truly hilarious films . 	even " deconstructing harry " is admittingly cheap in a way , even if it does top as one of his most truly hilarious films .	3	-2	 even[0] deconstructing[0] harry[0] is[0] admittingly[0] cheap[-1] in[0] a[0] way[0] even[0] if[0] it[0] does[0] top[0] as[0] one[0] of[0] his[0] most[0] truly[1] hilarious[2] films[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if anything , the reception of " celebrity " by everyone should tip allen off to the fact that this time , it's not the audience and critics who are wrong about how wonderful his film is : it's him . 	if anything , the reception of " celebrity " by everyone should tip allen off to the fact that this time , it's not the audience and critics who are wrong about how wonderful his film is : it's him .	3	-2	 if[0] anything[0] the[0] reception[0] of[0] celebrity[0] by[0] everyone[0] should[0] tip[0] allen[0] off[0] to[0] the[0] fact[0] that[0] this[0] time[0] it's[0] not[0] the[0] audience[0] and[0] critics[0] who[0] are[0] wrong[-1] about[0] how[0] wonderful[2] his[0] film[0] is[0] it's[0] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " celebrity " is , yes , a good film , but it's only marginally satisfying as a woody allen film . 	 " celebrity " is , yes , a good film , but it's only marginally satisfying as a woody allen film .	2	-1	 celebrity[0] is[0] yes[0] a[0] good[1] film[0] but[0] it's[0] only[0] marginally[0] satisfying[1] as[0] a[0] woody[0] allen[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead of creating the great woody allen world , he's created a world out of a subject he knows only a bit about . 	instead of creating the great woody allen world , he's created a world out of a subject he knows only a bit about .	3	-1	 instead[0] of[0] creating[0] the[0] great[2] woody[0] allen[0] world[0] he's[0] created[0] a[0] world[0] out[0] of[0] a[0] subject[0] he[0] knows[0] only[0] a[0] bit[0] about[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and he's fashioned a film that is based almost entirely on his uninformed philosophy of celebrities , so that it plays like a series of skits with minor connections . 	and he's fashioned a film that is based almost entirely on his uninformed philosophy of celebrities , so that it plays like a series of skits with minor connections .	2	-2	 and[0] he's[0] fashioned[0] a[0] film[0] that[0] is[0] based[0] almost[0] entirely[0] on[0] his[0] uninformed[-1] philosophy[0] of[0] celebrities[0] so[0] that[0] it[0] plays[1] like[1] a[0] series[0] of[0] skits[0] with[0] minor[0] connections[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's like " la dolce vita " without the accuracy , the right amount of wit , and the correct personal crisis . 	it's like " la dolce vita " without the accuracy , the right amount of wit , and the correct personal crisis .	2	-3	 it's[0] like[1] la[0] dolce[0] vita[0] without[0] the[0] accuracy[0] the[0] right[0] amount[0] of[0] wit[0] and[0] the[0] correct[0] personal[0] crisis[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
woody , becoming more insecure in his old age , choses to drop the woody allen character in on the world of celebrities , and then hang him and all his flaws up for scrutiny , and does this by casting not himself but brit actor kenneth branagh in the lead . 	woody , becoming more insecure in his old age , choses to drop the woody allen character in on the world of celebrities , and then hang him and all his flaws up for scrutiny , and does this by casting not himself but brit actor kenneth branagh in the lead .	1	-2	 woody[0] becoming[0] more[0] insecure[-1] in[0] his[0] old[0] age[0] choses[0] to[0] drop[-1] the[0] woody[0] allen[0] character[0] in[0] on[0] the[0] world[0] of[0] celebrities[0] and[0] then[0] hang[-1] him[0] and[0] all[0] his[0] flaws[0] up[0] for[0] scrutiny[0] and[0] does[0] this[0] by[0] casting[0] not[0] himself[0] but[0] brit[0] actor[0] kenneth[0] branagh[0] in[0] the[0] lead[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
much has been said about his performance - dead on but irritating , makes one yearn for the real thing , blah blah blah - but to anyone who actually knows the woody allen character knows that branagh's performance , though featuring some of the same mannerisms ( stuttering , whining , lots o' hand gestures ) , is hardly a warts-and-all impersonation . 	much has been said about his performance - dead on but irritating , makes one yearn for the real thing , blah blah blah - but to anyone who actually knows the woody allen character knows that branagh's performance , though featuring some of the same mannerisms ( stuttering , whining , lots o' hand gestures ) , is hardly a warts-and-all impersonation .	1	-3	 much[0] has[0] been[0] said[0] about[0] his[0] performance[0] dead[-2] on[0] but[0] irritating[-2] makes[0] one[0] yearn[-1] for[0] the[0] real[0] thing[0] blah[-1] blah[-1] blah[-1] but[0] to[0] anyone[0] who[0] actually[0] knows[0] the[0] woody[0] allen[0] character[0] knows[0] that[0] branagh's[0] performance[0] though[0] featuring[0] some[0] of[0] the[0] same[0] mannerisms[0] stuttering[-1] whining[-2] lots[0] o'[0] hand[0] gestures[0] is[0] hardly[0] a[0] warts[0] and[0] all[0] impersonation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
branagh brings along with him little of the woody allen charm , which actually allows for his character's flaws to be more apparent . 	branagh brings along with him little of the woody allen charm , which actually allows for his character's flaws to be more apparent .	2	-1	 branagh[0] brings[0] along[0] with[0] him[0] little[0] of[0] the[0] woody[0] allen[0] charm[1] which[0] actually[0] allows[0] for[0] his[0] character's[0] flaws[0] to[0] be[0] more[0] apparent[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
woody's a flawed guy , and we know it , but we love him anyway , because he's really funny and really witty and really intelligent . 	woody's a flawed guy , and we know it , but we love him anyway , because he's really funny and really witty and really intelligent .	3	-1	 woody's[0] a[0] flawed[0] guy[0] and[0] we[0] know[0] it[0] but[0] we[0] love[2] him[0] anyway[0] because[0] he's[0] really[0] funny[1][1 LastWordBoosterStrength] and[0] really[0] witty[0] and[0] really[0] intelligent[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
branagh's allen is a bit more flat-out bad , but with the same charm so that , yes , we like him , but we're still not sure if he's really a good person or not . 	branagh's allen is a bit more flat-out bad , but with the same charm so that , yes , we like him , but we're still not sure if he's really a good person or not .	2	-2	 branagh's[0] allen[0] is[0] a[0] bit[0] more[0] flat[0] out[0] bad[-1] but[0] with[0] the[0] same[0] charm[1] so[0] that[0] yes[0] we[0] like[1] him[0] but[0] we're[0] still[0] not[0] sure[0] if[0] he's[0] really[0] a[0] good[1] person[0] or[0] not[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his character , lee simon , is first seen on the set of the aforementioned movie , hits on extra actress winona ryder , then goes off to interview griffith , who takes him to her childhood home where he makes a pass at her , and she denies him . . . sorta . 	his character , lee simon , is first seen on the set of the aforementioned movie , hits on extra actress winona ryder , then goes off to interview griffith , who takes him to her childhood home where he makes a pass at her , and she denies him .<br> .<br> .<br> sorta .	1	-1	 his[0] character[0] lee[0] simon[0] is[0] first[0] seen[0] on[0] the[0] set[0] of[0] the[0] aforementioned[0] movie[0] hits[0] on[0] extra[0] actress[0] winona[0] ryder[0] then[0] goes[0] off[0] to[0] interview[0] griffith[0] who[0] takes[0] him[0] to[0] her[0] childhood[0] home[0] where[0] he[0] makes[0] a[0] pass[0] at[0] her[0] and[0] she[0] denies[0] him[0] [[Sentence=-1,1=word max, 1-5]] sorta[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we then learn , through flashbacks , that lee has been sucked into trying to be a celebrity thanks to a mid-life crisis and an appearance at his high school reunion . 	we then learn , through flashbacks , that lee has been sucked into trying to be a celebrity thanks to a mid-life crisis and an appearance at his high school reunion .	2	-3	 we[0] then[0] learn[0] through[0] flashbacks[0] that[0] lee[0] has[0] been[0] sucked[-1] into[0] trying[0] to[0] be[0] a[0] celebrity[0] thanks[1] to[0] a[0] mid[0] life[0] crisis[-2] and[0] an[0] appearance[0] at[0] his[0] high[0] school[0] reunion[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he has since quit his job as a travel journalist and become a gossip journalist of sorts , covering movie sets and places where celebrities congregate , so that he can meet them , and maybe sell his script ( a bank robbery movie " but with a deep personal crisis " ) . 	he has since quit his job as a travel journalist and become a gossip journalist of sorts , covering movie sets and places where celebrities congregate , so that he can meet them , and maybe sell his script ( a bank robbery movie " but with a deep personal crisis " ) .	1	-3	 he[0] has[0] since[0] quit[-1] his[0] job[0] as[0] a[0] travel[0] journalist[0] and[0] become[0] a[0] gossip[0] journalist[0] of[0] sorts[0] covering[0] movie[0] sets[0] and[0] places[0] where[0] celebrities[0] congregate[0] so[0] that[0] he[0] can[0] meet[0] them[0] and[0] maybe[0] sell[0] his[0] script[0] a[0] bank[0] robbery[-1] movie[0] but[0] with[0] a[0] deep[0] personal[0] crisis[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as such , he has divorced his wife of several years ( allen regular judy davis ) , and continues on a quest for sexual happiness , boucing from girlfriend to girlfriend and fling to fling over the course of the film . 	as such , he has divorced his wife of several years ( allen regular judy davis ) , and continues on a quest for sexual happiness , boucing from girlfriend to girlfriend and fling to fling over the course of the film .	3	-2	 as[0] such[0] he[0] has[0] divorced[-1] his[0] wife[0] of[0] several[0] years[0] allen[0] regular[0] judy[0] davis[0] and[0] continues[0] on[0] a[0] quest[0] for[0] sexual[0] happiness[2] boucing[0] from[0] girlfriend[0] to[0] girlfriend[0] and[0] fling[0] to[0] fling[0] over[0] the[0] course[0] of[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
after griffith comes his escapades with a model ( charlize theron ) who is " polymorphously perverse " ( glad to see allen is using new jokes , ha ha ) , who takes him for a wild ride not different from that of the anita ekberg segment of " la dolce vita . " 	after griffith comes his escapades with a model ( charlize theron ) who is " polymorphously perverse " ( glad to see allen is using new jokes , ha ha ) , who takes him for a wild ride not different from that of the anita ekberg segment of " la dolce vita .<br> "	2	-2	 after[0] griffith[0] comes[0] his[0] escapades[0] with[0] a[0] model[0] charlize[0] theron[0] who[0] is[0] polymorphously[0] perverse[-1] glad[1] to[0] see[0] allen[0] is[0] using[0] new[0] jokes[1] ha[1] ha[1] who[0] takes[0] him[0] for[0] a[0] wild[0] ride[0] not[0] different[0] from[0] that[0] of[0] the[0] anita[0] ekberg[0] segment[0] of[0] la[0] dolce[0] vita[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
following are his safe relationship with smart working woman famke janssen , a relationship that almost assures him success , and his continued escapades with ryder , whom he fancies most of all . 	following are his safe relationship with smart working woman famke janssen , a relationship that almost assures him success , and his continued escapades with ryder , whom he fancies most of all .	3	-1	 following[0] are[0] his[0] safe[1] relationship[0] with[0] smart[1] working[0] woman[0] famke[0] janssen[0] a[0] relationship[0] that[0] almost[0] assures[0] him[0] success[2] and[0] his[0] continued[0] escapades[0] with[0] ryder[0] whom[0] he[0] fancies[0] most[0] of[0] all[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his story is juxtaposed with that of davis , who flips out , but stumbles onto happiness when she runs into a handsome , friendly tv exec ( joe mantegna ) who lands her a job that furthers her career to national status . 	his story is juxtaposed with that of davis , who flips out , but stumbles onto happiness when she runs into a handsome , friendly tv exec ( joe mantegna ) who lands her a job that furthers her career to national status .	3	-1	 his[0] story[0] is[0] juxtaposed[0] with[0] that[0] of[0] davis[0] who[0] flips[0] out[0] but[0] stumbles[0] onto[0] happiness[2] when[0] she[0] runs[0] into[0] a[0] handsome[1] friendly[1] tv[0] exec[0] joe[0] mantegna[0] who[0] lands[0] her[0] a[0] job[0] that[0] furthers[0] her[0] career[0] to[0] national[0] status[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while lee is fumbling about , selfishly trying to ensure his own happiness , davis becomes happy ( " i've become the kind of woman i've always hated . . . and 	while lee is fumbling about , selfishly trying to ensure his own happiness , davis becomes happy ( " i've become the kind of woman i've always hated .<br> .<br> .<br> and	3	-4	 while[0] lee[0] is[0] fumbling[0] about[0] selfishly[-3] trying[0] to[0] ensure[0] his[0] own[0] happiness[2] davis[0] becomes[0] happy[1] i've[0] become[0] the[0] kind[1] of[0] woman[0] i've[0] always[0] hated[-3] [[Sentence=-4,3=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[3,-4 max of sentences]]]
i'm loving it . " ) 	i'm loving it .<br> " )	4	-1	 i'm[0] loving[3] it[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
without doing a thing . 	without doing a thing .	1	-1	 without[0] doing[0] a[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result is a film of highs and mediums . 	the result is a film of highs and mediums .	1	-1	 the[0] result[0] is[0] a[0] film[0] of[0] highs[0] and[0] mediums[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mediums are what take up most of the film , with sitations and scenes which don't exactly work but you can't help but pat allen on the back for trying . 	the mediums are what take up most of the film , with sitations and scenes which don't exactly work but you can't help but pat allen on the back for trying .	1	-1	 the[0] mediums[0] are[0] what[0] take[0] up[0] most[0] of[0] the[0] film[0] with[0] sitations[0] and[0] scenes[0] which[0] don't[0] exactly[0] work[0] but[0] you[0] can't[0] help[0] but[0] pat[0] allen[0] on[0] the[0] back[0] for[0] trying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but other places are really great scenes . 	but other places are really great scenes .	4	-1	 but[0] other[0] places[0] are[0] really[0] great[2][1 LastWordBoosterStrength] scenes[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the opening . 	the opening .	1	-1	 the[0] opening[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sequence with theron , which is so good that i wished it hadn't ended . 	the sequence with theron , which is so good that i wished it hadn't ended .	2	-1	 the[0] sequence[0] with[0] theron[0] which[0] is[0] so[0] good[1] that[0] i[0] wished[0] it[0] hadn't[0] ended[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a banana scene with bebe neuwirth ( droll as ever ) . 	a banana scene with bebe neuwirth ( droll as ever ) .	1	-1	 a[0] banana[0] scene[0] with[0] bebe[0] neuwirth[0] droll[0] as[0] ever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , perhaps the best sequence : a romp with hot-as-hell teen idol , brandon darrow , played by none other than leo dicaprio , who is so un-dicaprio-esque that if any of this fans could sit through this film , they'd never look at him the same way . 	and , perhaps the best sequence : a romp with hot-as-hell teen idol , brandon darrow , played by none other than leo dicaprio , who is so un-dicaprio-esque that if any of this fans could sit through this film , they'd never look at him the same way .	2	-2	 and[0] perhaps[0] the[0] best[1] sequence[0] a[0] romp[0] with[0] hot[0] as[0] hell[-1] teen[0] idol[0] brandon[0] darrow[0] played[0] by[0] none[0] other[0] than[0] leo[0] dicaprio[0] who[0] is[0] so[0] un[0] dicaprio[0] esque[0] that[0] if[0] any[0] of[0] this[0] fans[0] could[0] sit[0] through[0] this[0] film[0] they'd[0] never[0] look[0] at[0] him[0] the[0] same[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he ignites the screen with intensity , and spares nothing in showing his character as narcissistically tyrannical , and totally heartbreaking for lee , who comes to him to talk about his script that he has read , and finds himself on a wild all-day ride with him . 	he ignites the screen with intensity , and spares nothing in showing his character as narcissistically tyrannical , and totally heartbreaking for lee , who comes to him to talk about his script that he has read , and finds himself on a wild all-day ride with him .	1	-5	 he[0] ignites[0] the[0] screen[0] with[0] intensity[0] and[0] spares[0] nothing[0] in[0] showing[0] his[0] character[0] as[0] narcissistically[0] tyrannical[0] and[0] totally[0] heartbreaking[-3][-1 LastWordBoosterStrength] for[0] lee[0] who[0] comes[0] to[0] him[0] to[0] talk[0] about[0] his[0] script[0] that[0] he[0] has[0] read[0] and[0] finds[0] himself[0] on[0] a[0] wild[0] all[0] day[0] ride[0] with[0] him[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
they go to atlantic city to watch a fight , they gamble , and they wind up in his hotel room , where darrow gets it on with his flame ( gretchen mol ) and he lends him one of the leftover groupies . 	they go to atlantic city to watch a fight , they gamble , and they wind up in his hotel room , where darrow gets it on with his flame ( gretchen mol ) and he lends him one of the leftover groupies .	1	-3	 they[0] go[0] to[0] atlantic[0] city[0] to[0] watch[0] a[0] fight[-2] they[0] gamble[-1] and[0] they[0] wind[0] up[0] in[0] his[0] hotel[0] room[0] where[0] darrow[0] gets[0] it[0] on[0] with[0] his[0] flame[-2] gretchen[0] mol[0] and[0] he[0] lends[0] him[0] one[0] of[0] the[0] leftover[0] groupies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
allen's writing in these scenes are so good that just for them , i'd almost recommend the film . 	allen's writing in these scenes are so good that just for them , i'd almost recommend the film .	2	-1	 allen's[0] writing[0] in[0] these[0] scenes[0] are[0] so[0] good[1] that[0] just[0] for[0] them[0] i'd[0] almost[0] recommend[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
almost . 	almost .	1	-1	 almost[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what i really liked about this film is despite the fact that it's a mess , despite the fact that what this film really needs is a good old fashioned rewrite by allen himself , it's still a smart and insightful film . 	but what i really liked about this film is despite the fact that it's a mess , despite the fact that what this film really needs is a good old fashioned rewrite by allen himself , it's still a smart and insightful film .	4	-1	 but[0] what[0] i[0] really[0] liked[2][1 LastWordBoosterStrength] about[0] this[0] film[0] is[0] despite[0] the[0] fact[0] that[0] it's[0] a[0] mess[0] despite[0] the[0] fact[0] that[0] what[0] this[0] film[0] really[0] needs[0] is[0] a[0] good[1] old[0] fashioned[0] rewrite[0] by[0] allen[0] himself[0] it's[0] still[0] a[0] smart[1] and[0] insightful[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
though some of the jokes are either stale or misplaced ( some seem too cartoonish , even for this environment ) , allen still manages to get across that this film is not exactly about celebrities , as it may seem to be ( if it were , it'd be extremely out-of-touch ) , but about those who want to be celebrities , and how they equate celebrity-hood with happiness . 	though some of the jokes are either stale or misplaced ( some seem too cartoonish , even for this environment ) , allen still manages to get across that this film is not exactly about celebrities , as it may seem to be ( if it were , it'd be extremely out-of-touch ) , but about those who want to be celebrities , and how they equate celebrity-hood with happiness .	3	-2	 though[0] some[0] of[0] the[0] jokes[1] are[0] either[0] stale[-1] or[0] misplaced[0] some[0] seem[0] too[0] cartoonish[0] even[0] for[0] this[0] environment[0] allen[0] still[0] manages[0] to[0] get[0] across[0] that[0] this[0] film[0] is[0] not[0] exactly[0] about[0] celebrities[0] as[0] it[0] may[0] seem[0] to[0] be[0] if[0] it[0] were[0] it'd[0] be[0] extremely[0] out[0] of[0] touch[0] but[0] about[0] those[0] who[0] want[0] to[0] be[0] celebrities[0] and[0] how[0] they[0] equate[0] celebrity[0] hood[0] with[0] happiness[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we never get close enough to the actual celebrities to see if they're really happy ( they may appear to be on the surface . . . ) , but we do get close enough to lee and davis' character . 	we never get close enough to the actual celebrities to see if they're really happy ( they may appear to be on the surface .<br> .<br> .<br> ) , but we do get close enough to lee and davis' character .	3	-1	 we[0] never[0] get[0] close[0] enough[0] to[0] the[0] actual[0] celebrities[0] to[0] see[0] if[0] they're[0] really[0] happy[1][1 LastWordBoosterStrength] they[0] may[0] appear[0] to[0] be[0] on[0] the[0] surface[0] [[Sentence=-1,3=word max, 1-5]] but[0] we[0] do[0] get[0] close[0] enough[0] to[0] lee[0] and[0] davis'[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
lee is obsessed with the phenomenon , while davis takes is at arm's length , and never gets too involved in what it is , and soon becomes one herself . 	lee is obsessed with the phenomenon , while davis takes is at arm's length , and never gets too involved in what it is , and soon becomes one herself .	1	-3	 lee[0] is[0] obsessed[-2] with[0] the[0] phenomenon[0] while[0] davis[0] takes[0] is[0] at[0] arm's[0] length[0] and[0] never[0] gets[0] too[0] involved[0] in[0] what[0] it[0] is[0] and[0] soon[0] becomes[0] one[0] herself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
besides , it's witty , and it does have the one thing that no other film has but allen's : that great woody allen feel . 	besides , it's witty , and it does have the one thing that no other film has but allen's : that great woody allen feel .	3	-1	 besides[0] it's[0] witty[0] and[0] it[0] does[0] have[0] the[0] one[0] thing[0] that[0] no[0] other[0] film[0] has[0] but[0] allen's[0] that[0] great[2] woody[0] allen[0] feel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
