the police negotiator is the person with the entirely unenviable job of going into ground zero and attempting to talk a dangerous criminal out of doing whatever he or she intends to do . 	Translation	Positive	Negative	EmotionRationale
faced with the scorn of most of the police department , and under close scrutiny by the media , roman is forced to turn in his badge in one of those typical scenes in the captain's office . 	faced with the scorn of most of the police department , and under close scrutiny by the media , roman is forced to turn in his badge in one of those typical scenes in the captain's office .	1	-2	 faced[0] with[0] the[0] scorn[-1] of[0] most[0] of[0] the[0] police[0] department[0] and[0] under[0] close[0] scrutiny[0] by[0] the[0] media[0] roman[0] is[0] forced[0] to[0] turn[0] in[0] his[0] badge[0] in[0] one[0] of[0] those[0] typical[0] scenes[0] in[0] the[0] captain's[0] office[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't quite remember if the captain actually said , " i hate to do this , but . . . " , 	i don't quite remember if the captain actually said , " i hate to do this , but .<br> .<br> .<br> " ,	1	-4	 i[0] don't[0] quite[0] remember[0] if[0] the[0] captain[0] actually[0] said[0] i[0] hate[-3] to[0] do[0] this[0] but[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although it wouldn't surprise me if he did . 	although it wouldn't surprise me if he did .	1	-1	 although[0] it[0] wouldn't[0] surprise[0] me[0] if[0] he[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luckily , the film soon shakes off the conventionalism and concentrates on the interesting premise mentioned above . 	luckily , the film soon shakes off the conventionalism and concentrates on the interesting premise mentioned above .	3	-2	 luckily[2] the[0] film[0] soon[0] shakes[-1] off[0] the[0] conventionalism[0] and[0] concentrates[0] on[0] the[0] interesting[1] premise[0] mentioned[0] above[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
after being offered a take-it-or-leave-it deal by the district attorney , roman resolves to prove his innocence by walking into the office of internal affairs inspector niebaum ( j . t . 	after being offered a take-it-or-leave-it deal by the district attorney , roman resolves to prove his innocence by walking into the office of internal affairs inspector niebaum ( j .<br> t .	2	-1	 after[0] being[0] offered[0] a[0] take[0] it[0] or[0] leave[0] it[0] deal[0] by[0] the[0] district[0] attorney[0] roman[0] resolves[1] to[0] prove[0] his[0] innocence[1] by[0] walking[0] into[0] the[0] office[0] of[0] internal[0] affairs[0] inspector[0] niebaum[0] j[0] [[Sentence=-1,2=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
walsh ) , taking him and others hostage , and proclaiming he has been framed . 	walsh ) , taking him and others hostage , and proclaiming he has been framed .	1	-1	 walsh[0] taking[0] him[0] and[0] others[0] hostage[0] and[0] proclaiming[0] he[0] has[0] been[0] framed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although roman's actions seem forced due to the compressed nature of his motivational build-up , gray redeems himself by involving us with the negotiations between roman and fellow police negotiator chris sabian ( kevin spacey ) which soon ensue . 	although roman's actions seem forced due to the compressed nature of his motivational build-up , gray redeems himself by involving us with the negotiations between roman and fellow police negotiator chris sabian ( kevin spacey ) which soon ensue .	1	-1	 although[0] roman's[0] actions[0] seem[0] forced[0] due[0] to[0] the[0] compressed[0] nature[0] of[0] his[0] motivational[0] build[0] up[0] gray[0] redeems[0] himself[0] by[0] involving[0] us[0] with[0] the[0] negotiations[0] between[0] roman[0] and[0] fellow[0] police[0] negotiator[0] chris[0] sabian[0] kevin[0] spacey[0] which[0] soon[0] ensue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackson , while a superb actor , is miscast in the role of roman . 	jackson , while a superb actor , is miscast in the role of roman .	1	-1	 jackson[0] while[0] a[0] superb[0] actor[0] is[0] miscast[0] in[0] the[0] role[0] of[0] roman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actor has become so popular , and so often identified as a protagonist ( notable exceptions can be found , such as in jackie brown ) , that we as an audience have a difficult time believing he will carry out his threats . 	the actor has become so popular , and so often identified as a protagonist ( notable exceptions can be found , such as in jackie brown ) , that we as an audience have a difficult time believing he will carry out his threats .	1	-3	 the[0] actor[0] has[0] become[0] so[0] popular[0] and[0] so[0] often[0] identified[0] as[0] a[0] protagonist[0] notable[0] exceptions[0] can[0] be[0] found[0] such[0] as[0] in[0] jackie[0] brown[0] that[0] we[0] as[0] an[0] audience[0] have[0] a[0] difficult[-1] time[0] believing[0] he[0] will[0] carry[0] out[0] his[0] threats[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the script also clearly sets him up as the good guy who is only trying to prove his innocence . 	the script also clearly sets him up as the good guy who is only trying to prove his innocence .	2	-1	 the[0] script[0] also[0] clearly[0] sets[0] him[0] up[0] as[0] the[0] good[1] guy[0] who[0] is[0] only[0] trying[0] to[0] prove[0] his[0] innocence[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how can we believe he's going to shoot a hostage , no matter if the hostage tried to kill him earlier ? 	how can we believe he's going to shoot a hostage , no matter if the hostage tried to kill him earlier ?	1	-2	 how[0] can[0] we[0] believe[0] he's[0] going[0] to[0] shoot[-1] a[0] hostage[0] no[0] matter[0] if[0] the[0] hostage[0] tried[0] to[0] kill[-1] him[0] earlier[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , this preconception saps the film of some of it's would-be suspenseful moments , and anything good left in those scenes is largely attributed to jackson's acting ability . 	unfortunately , this preconception saps the film of some of it's would-be suspenseful moments , and anything good left in those scenes is largely attributed to jackson's acting ability .	2	-2	 unfortunately[-1] this[0] preconception[0] saps[0] the[0] film[0] of[0] some[0] of[0] it's[0] would[0] be[0] suspenseful[0] moments[0] and[0] anything[0] good[1] left[0] in[0] those[0] scenes[0] is[0] largely[0] attributed[0] to[0] jackson's[0] acting[0] ability[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
almost every time he's in a scene , jackson steals it without looking back . 	almost every time he's in a scene , jackson steals it without looking back .	1	-3	 almost[0] every[0] time[0] he's[0] in[0] a[0] scene[0] jackson[0] steals[-2] it[0] without[0] looking[0] back[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when spacey appears , the film has already run about a third of its course . 	when spacey appears , the film has already run about a third of its course .	1	-1	 when[0] spacey[0] appears[0] the[0] film[0] has[0] already[0] run[0] about[0] a[0] third[0] of[0] its[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his is an interesting character . 	his is an interesting character .	2	-1	 his[0] is[0] an[0] interesting[1] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
made out to be some kind of negotiating superman , our first look at him has him hopelessly trying to get his family moving to set out on vacation . 	made out to be some kind of negotiating superman , our first look at him has him hopelessly trying to get his family moving to set out on vacation .	1	-4	 made[0] out[0] to[0] be[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] negotiating[0] superman[0] our[0] first[0] look[0] at[0] him[0] has[0] him[0] hopelessly[-3] trying[0] to[0] get[0] his[0] family[0] moving[0] to[0] set[0] out[0] on[0] vacation[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " i can talk a man out of blowing up the sears tower , but i can't talk my wife out of the bedroom or my daughter off the phone , " he says . 	 " i can talk a man out of blowing up the sears tower , but i can't talk my wife out of the bedroom or my daughter off the phone , " he says .	1	-1	 i[0] can[0] talk[0] a[0] man[0] out[0] of[0] blowing[0] up[0] the[0] sears[0] tower[0] but[0] i[0] can't[0] talk[0] my[0] wife[0] out[0] of[0] the[0] bedroom[0] or[0] my[0] daughter[0] off[0] the[0] phone[0] he[0] says[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he gets the call to action , however , he quickly changes gears and becomes the man we expect him to be . 	when he gets the call to action , however , he quickly changes gears and becomes the man we expect him to be .	1	-1	 when[0] he[0] gets[0] the[0] call[0] to[0] action[0] however[0] he[0] quickly[0] changes[0] gears[0] and[0] becomes[0] the[0] man[0] we[0] expect[0] him[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon , his character has to negotiate not only with roman , but also with the swat commander ( david morse ) who is itching to send in a team to take roman out , all the while keeping wary of the fbi agents who are waiting to take over the operation , should negotiations fail . 	soon , his character has to negotiate not only with roman , but also with the swat commander ( david morse ) who is itching to send in a team to take roman out , all the while keeping wary of the fbi agents who are waiting to take over the operation , should negotiations fail .	1	-3	 soon[0] his[0] character[0] has[0] to[0] negotiate[0] not[0] only[0] with[0] roman[0] but[0] also[0] with[0] the[0] swat[0] commander[0] david[0] morse[0] who[0] is[0] itching[0] to[0] send[0] in[0] a[0] team[0] to[0] take[0] roman[0] out[0] all[0] the[0] while[0] keeping[0] wary[-1] of[0] the[0] fbi[0] agents[0] who[0] are[0] waiting[0] to[0] take[0] over[0] the[0] operation[0] should[0] negotiations[0] fail[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this complex set of pressures are reflected well in sabian the negotiator and spacey the actor . 	this complex set of pressures are reflected well in sabian the negotiator and spacey the actor .	1	-2	 this[0] complex[0] set[0] of[0] pressures[-1] are[0] reflected[0] well[0] in[0] sabian[0] the[0] negotiator[0] and[0] spacey[0] the[0] actor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the second protagonist , spacey measures up nicely . 	as the second protagonist , spacey measures up nicely .	2	-1	 as[0] the[0] second[0] protagonist[0] spacey[0] measures[0] up[0] nicely[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gray really lucked out with this cast . 	gray really lucked out with this cast .	4	-1	 gray[0] really[0] lucked[2][1 LastWordBoosterStrength] out[0] with[0] this[0] cast[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
david morse as commander beck , ron rifkin as commander frost , and john spencer as police chief al travis are all more than competent , and can hold their own in scenes with jackson and spacey . 	david morse as commander beck , ron rifkin as commander frost , and john spencer as police chief al travis are all more than competent , and can hold their own in scenes with jackson and spacey .	1	-1	 david[0] morse[0] as[0] commander[0] beck[0] ron[0] rifkin[0] as[0] commander[0] frost[0] and[0] john[0] spencer[0] as[0] police[0] chief[0] al[0] travis[0] are[0] all[0] more[0] than[0] competent[0] and[0] can[0] hold[0] their[0] own[0] in[0] scenes[0] with[0] jackson[0] and[0] spacey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only problem is the bit of typecasting that results from these choices : morse played a similar role in the rock , rifkin played the d . a . 	the only problem is the bit of typecasting that results from these choices : morse played a similar role in the rock , rifkin played the d .<br> a .	2	-2	 the[0] only[0] problem[-1] is[0] the[0] bit[0] of[0] typecasting[0] that[0] results[0] from[0] these[0] choices[0] morse[0] played[0] a[0] similar[0] role[0] in[0] the[0] rock[1] rifkin[0] played[0] the[0] d[0] [[Sentence=-2,2=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
in l . a . confidential , and spencer played a police detective in cop land . 	in l .<br> a .<br> confidential , and spencer played a police detective in cop land .	1	-1	 in[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] confidential[0] and[0] spencer[0] played[0] a[0] police[0] detective[0] in[0] cop[0] land[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the level of acting , however , this can be forgiven . 	with the level of acting , however , this can be forgiven .	2	-1	 with[0] the[0] level[0] of[0] acting[0] however[0] this[0] can[0] be[0] forgiven[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also in the supporting cast , paul giamatti as rudy , one of the hostages , is notable for the comic relief he provides . 	also in the supporting cast , paul giamatti as rudy , one of the hostages , is notable for the comic relief he provides .	2	-1	 also[0] in[0] the[0] supporting[1] cast[0] paul[0] giamatti[0] as[0] rudy[0] one[0] of[0] the[0] hostages[0] is[0] notable[0] for[0] the[0] comic[0] relief[1] he[0] provides[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his character is initially so slimy , and giamatti himself just looks so shifty , that you expect to laugh before he even says anything . 	his character is initially so slimy , and giamatti himself just looks so shifty , that you expect to laugh before he even says anything .	2	-1	 his[0] character[0] is[0] initially[0] so[0] slimy[0] and[0] giamatti[0] himself[0] just[0] looks[0] so[0] shifty[0] that[0] you[0] expect[0] to[0] laugh[1] before[0] he[0] even[0] says[0] anything[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fortunately , this doesn't distract from the seriousness of the rest of the film , but instead provides some nice breathers from the level of tension which gray manages to sustain throughout . 	fortunately , this doesn't distract from the seriousness of the rest of the film , but instead provides some nice breathers from the level of tension which gray manages to sustain throughout .	1	-3	 fortunately[0] this[0] doesn't[0] distract[-1] from[0] the[0] seriousness[-1] of[0] the[0] rest[0] of[0] the[0] film[0] but[0] instead[0] provides[0] some[0] nice[1][-1 LastWordBoosterStrength] breathers[0] from[0] the[0] level[0] of[0] tension[-2] which[0] gray[0] manages[0] to[0] sustain[0] throughout[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
j . t . walsh , as the suspicious internal affairs inspector , clocks in with one of his final performances . 	j .<br> t .<br> walsh , as the suspicious internal affairs inspector , clocks in with one of his final performances .	1	-2	 j[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]] walsh[0] as[0] the[0] suspicious[-1] internal[0] affairs[0] inspector[0] clocks[0] in[0] with[0] one[0] of[0] his[0] final[0] performances[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sadly , the talented but underrated actor passed away in late february of this year , and the soon to be released pleasantville will mark his last film . 	sadly , the talented but underrated actor passed away in late february of this year , and the soon to be released pleasantville will mark his last film .	3	-2	 sadly[-1] the[0] talented[1] but[0] underrated[0] actor[0] passed[0] away[0] in[0] late[0] february[0] of[0] this[0] year[0] and[0] the[0] soon[0] to[0] be[0] released[0] pleasantville[2] will[0] mark[0] his[0] last[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
walsh appeared in dozens of movies such as good morning vietnam , backdraft , and nixon . 	walsh appeared in dozens of movies such as good morning vietnam , backdraft , and nixon .	2	-1	 walsh[0] appeared[0] in[0] dozens[0] of[0] movies[0] such[0] as[0] good[1] morning[0] vietnam[0] backdraft[0] and[0] nixon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for one of his best performances , check out sling blade , in which he plays a mental patient sharing a ward with billy bob thornton . 	for one of his best performances , check out sling blade , in which he plays a mental patient sharing a ward with billy bob thornton .	2	-1	 for[0] one[0] of[0] his[0] best[1] performances[0] check[0] out[0] sling[0] blade[0] in[0] which[0] he[0] plays[1] a[0] mental[0] patient[0] sharing[0] a[0] ward[0] with[0] billy[0] bob[0] thornton[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when jack nicholson accepted his best actor oscar in march , walsh was one of the men to whom he credited his success ( the actors performed together in a few good men ) . 	when jack nicholson accepted his best actor oscar in march , walsh was one of the men to whom he credited his success ( the actors performed together in a few good men ) .	3	-1	 when[0] jack[0] nicholson[0] accepted[0] his[0] best[1] actor[0] oscar[0] in[0] march[0] walsh[0] was[0] one[0] of[0] the[0] men[0] to[0] whom[0] he[0] credited[0] his[0] success[2] the[0] actors[0] performed[0] together[0] in[0] a[0] few[0] good[1] men[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the negotiator is actually dedicated to walsh , and while inspector niebaum may not have been his best role , it certainly characterizes the type of character for which walsh had become most famous for playing . 	the negotiator is actually dedicated to walsh , and while inspector niebaum may not have been his best role , it certainly characterizes the type of character for which walsh had become most famous for playing .	2	-1	 the[0] negotiator[0] is[0] actually[0] dedicated[0] to[0] walsh[0] and[0] while[0] inspector[0] niebaum[0] may[0] not[0] have[0] been[0] his[0] best[1] role[0] it[0] certainly[0] characterizes[0] the[0] type[0] of[0] character[0] for[0] which[0] walsh[0] had[0] become[0] most[0] famous[0] for[0] playing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the end , the negotiator has a plotline that parallels it's reality . 	in the end , the negotiator has a plotline that parallels it's reality .	1	-1	 in[0] the[0] end[0] the[0] negotiator[0] has[0] a[0] plotline[0] that[0] parallels[0] it's[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're served with the premise that two equally deft negotiators are battling each other to resolve the conflict in the manner which will suit each of them best . 	we're served with the premise that two equally deft negotiators are battling each other to resolve the conflict in the manner which will suit each of them best .	2	-2	 we're[0] served[0] with[0] the[0] premise[0] that[0] two[0] equally[0] deft[0] negotiators[0] are[0] battling[0] each[0] other[0] to[0] resolve[1] the[0] conflict[-1] in[0] the[0] manner[0] which[0] will[0] suit[0] each[0] of[0] them[0] best[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as an audience , we're also given a situation where two wonderfully talented actors are thrown into a movie , and we'd like to see if one will dominate the film . 	as an audience , we're also given a situation where two wonderfully talented actors are thrown into a movie , and we'd like to see if one will dominate the film .	3	-2	 as[0] an[0] audience[0] we're[0] also[0] given[0] a[0] situation[0] where[0] two[0] wonderfully[2] talented[1] actors[0] are[0] thrown[0] into[0] a[0] movie[0] and[0] we'd[0] like[1] to[0] see[0] if[0] one[0] will[0] dominate[-1] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
both provide some pretty good entertainment . 	both provide some pretty good entertainment .	2	-1	 both[0] provide[0] some[0] pretty[2][-1 LastWordBoosterStrength] good[1] entertainment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
