gordon fleming ( peter mullan ) is in a bind . 	Translation	Positive	Negative	EmotionRationale
gordo's nephew , jeff ( brendan sexton iii ) , suffers from night phobia and is afraid to venture into the dark bowels of the hospital . 	gordo's nephew , jeff ( brendan sexton i ) , suffers from night phobia and is afraid to venture into the dark bowels of the hospital .	2	-4	 gordo's[0] nephew[0] jeff[0] brendan[0] sexton[0] iii/i[0][+0.6 MultipleLetters] suffers[-3] from[0] night[0] phobia[-2] and[0] is[0] afraid[-3] to[0] venture[0] into[0] the[0] dark[0] bowels[0] of[0] the[0] hospital[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as the agreed upon week draws to an end , hank mysteriously disappears from the workplace after a nocturnal confrontation with someone ( something ? ) in the hospital . 	as the agreed upon week draws to an end , hank mysteriously disappears from the workplace after a nocturnal confrontation with someone ( something ?<br> ) in the hospital .	1	-3	 as[0] the[0] agreed[0] upon[0] week[0] draws[0] to[0] an[0] end[0] hank[0] mysteriously[0] disappears[0] from[0] the[0] workplace[0] after[0] a[0] nocturnal[0] confrontation[-2] with[0] someone[0] something[0] [[Sentence=-3,1=word max, 1-5]] in[0] the[0] hospital[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
tensions mount and distrust build among the rest as they watch their chance for the bonus start to slip away . 	tensions mount and distrust build among the rest as they watch their chance for the bonus start to slip away .	1	-3	 tensions[-2] mount[0] and[0] distrust[-1] build[0] among[0] the[0] rest[0] as[0] they[0] watch[0] their[0] chance[0] for[0] the[0] bonus[0] start[0] to[0] slip[0] away[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but , there is more , much more , at stake as the hospital and its history of insanity weigh on them all . 	but , there is more , much more , at stake as the hospital and its history of insanity weigh on them all .	1	-1	 but[0] there[0] is[0] more[0] much[0] more[0] at[0] stake[0] as[0] the[0] hospital[0] and[0] its[0] history[0] of[0] insanity[0] weigh[0] on[0] them[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't want to give away too much of the story of " session 9 , " so i'll stop there . 	i don't want to give away too much of the story of " session 9 , " so i'll stop there .	1	-1	 i[0] don't[0] want[0] to[0] give[0] away[0] too[0] much[0] of[0] the[0] story[0] of[0] session[0] 9[0] so[0] i'll[0] stop[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what we have here is a spooky horror flick that uses none of the jump-out-at-you-from-the-dark cheap shots that have become part and parcel with horror films since the advent of " halloween " and " friday the thirteenth . " 	what we have here is a spooky horror flick that uses none of the jump-out-at-you-from-the-dark cheap shots that have become part and parcel with horror films since the advent of " halloween " and " friday the thirteenth .<br> "	1	-4	 what[0] we[0] have[0] here[0] is[0] a[0] spooky[0] horror[-3] flick[0] that[0] uses[0] none[0] of[0] the[0] jump[0] out[0] at[0] you[0] from[0] the[0] dark[0] cheap[-1] shots[0] that[0] have[0] become[0] part[0] and[0] parcel[0] with[0] horror[-3] films[0] since[0] the[0] advent[0] of[0] halloween[0] and[0] friday[0] the[0] thirteenth[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there is no cat leaping out of the dark or the shock of suddenly seeing oneself in a strategically placed mirror . 	there is no cat leaping out of the dark or the shock of suddenly seeing oneself in a strategically placed mirror .	1	-3	 there[0] is[0] no[0] cat[0] leaping[0] out[0] of[0] the[0] dark[0] or[0] the[0] shock[-2] of[0] suddenly[0] seeing[0] oneself[0] in[0] a[0] strategically[0] placed[0] mirror[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with the exception of one shadowy and chilling image at one point spooky interlude in the film , there is little that you can get your arms around as far as what , specifically , is " frightening . " 	with the exception of one shadowy and chilling image at one point spooky interlude in the film , there is little that you can get your arms around as far as what , specifically , is " frightening .<br> "	1	-4	 with[0] the[0] exception[0] of[0] one[0] shadowy[0] and[0] chilling[0] image[0] at[0] one[0] point[0] spooky[0] interlude[0] in[0] the[0] film[0] there[0] is[0] little[0] that[0] you[0] can[0] get[0] your[0] arms[0] around[0] as[0] far[0] as[0] what[0] specifically[0] is[0] frightening[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as i watched " session 9 " i became aware of the subtle things that built up during the story that make it a true horror movie . 	as i watched " session 9 " i became aware of the subtle things that built up during the story that make it a true horror movie .	2	-4	 as[0] i[0] watched[0] session[0] 9[0] i[0] became[0] aware[0] of[0] the[0] subtle[0] things[0] that[0] built[0] up[0] during[0] the[0] story[0] that[0] make[0] it[0] a[0] true[1] horror[-3] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the striking high-definition video camera work by uta briesewitz ( who worked with the director , brad anderson , on his " next stop wonderland " ) helps to build up tension with close-ups , fluid camera movement and odd angles in a way that would make alfred hitchcock proud . 	the striking high-definition video camera work by uta briesewitz ( who worked with the director , brad anderson , on his " next stop wonderland " ) helps to build up tension with close-ups , fluid camera movement and odd angles in a way that would make alfred hitchcock proud .	2	-3	 the[0] striking[0] high[0] definition[0] video[0] camera[0] work[0] by[0] uta[0] briesewitz[0] who[0] worked[0] with[0] the[0] director[0] brad[0] anderson[0] on[0] his[0] next[0] stop[0] wonderland[0] helps[0] to[0] build[0] up[0] tension[-2] with[0] close[0] ups[0] fluid[0] camera[0] movement[0] and[0] odd[0] angles[0] in[0] a[0] way[0] that[0] would[0] make[0] alfred[0] hitchcock[0] proud[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
music , too , is used to intense effect , joining with the camera to make simple scenes frightening , even horrifying . 	music , too , is used to intense effect , joining with the camera to make simple scenes frightening , even horrifying .	1	-4	 music[0] too[0] is[0] used[0] to[0] intense[0] effect[0] joining[0] with[0] the[0] camera[0] to[0] make[0] simple[0] scenes[0] frightening[-3] even[0] horrifying[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
couple these tech feats with an intelligent story that uses elements of " the shining , " " the blair witch project " and , even " the texas chainsaw massacre " and you get a decent , intriguing horror flick . 	couple these tech feats with an intelligent story that uses elements of " the shining , " " the blair witch project " and , even " the texas chainsaw massacre " and you get a decent , intriguing horror flick .	2	-4	 couple[0] these[0] tech[0] feats[0] with[0] an[0] intelligent[1] story[0] that[0] uses[0] elements[0] of[0] the[0] shining[0] the[0] blair[0] witch[0] project[0] and[0] even[0] the[0] texas[0] chainsaw[0] massacre[-1] and[0] you[0] get[0] a[0] decent[0] intriguing[0] horror[-3] flick[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
additionally , the brilliant decision to shoot at danvers state hospital gives the film another starring character , the institution itself , which lends even more chills to the equation . 	additionally , the brilliant decision to shoot at danvers state hospital gives the film another starring character , the institution itself , which lends even more chills to the equation .	2	-2	 additionally[0] the[0] brilliant[1] decision[0] to[0] shoot[-1] at[0] danvers[0] state[0] hospital[0] gives[0] the[0] film[0] another[0] starring[0] character[0] the[0] institution[0] itself[0] which[0] lends[0] even[0] more[0] chills[0] to[0] the[0] equation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
acting is another factor that raises " session 9 " above the usual dreck presented in recent horror hits like " scream , " " i know what you did last summer " and their sequels . 	acting is another factor that raises " session 9 " above the usual dreck presented in recent horror hits like " scream , " " i know what you did last summer " and their sequels .	2	-4	 acting[0] is[0] another[0] factor[0] that[0] raises[0] session[0] 9[0] above[0] the[0] usual[0] dreck[0] presented[0] in[0] recent[0] horror[-3] hits[0] like[1] scream[-3] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] and[0] their[0] sequels[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
those films took good-looking , though generic , young actors and actresses and put them to use to build up a body count , substituting mayhem for real horror . 	those films took good-looking , though generic , young actors and actresses and put them to use to build up a body count , substituting mayhem for real horror .	2	-4	 those[0] films[0] took[0] good[1] looking[0] though[0] generic[0] young[0] actors[0] and[0] actresses[0] and[0] put[0] them[0] to[0] use[0] to[0] build[0] up[0] a[0] body[0] count[0] substituting[0] mayhem[0] for[0] real[0] horror[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
anderson opted , instead , to use mature , experienced actors like peter mullan and david caruso to fill his characters' shoes and the difference in casting quality is notable . 	anderson opted , instead , to use mature , experienced actors like peter mullan and david caruso to fill his characters' shoes and the difference in casting quality is notable .	2	-1	 anderson[0] opted[0] instead[0] to[0] use[0] mature[0] experienced[0] actors[0] like[1] peter[0] mullan[0] and[0] david[0] caruso[0] to[0] fill[0] his[0] characters'[0] shoes[0] and[0] the[0] difference[0] in[0] casting[0] quality[0] is[0] notable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mullan , in particular , puts an arc on his character , gordon , as the troubled guy who slowly and inexorably falls under the pressures of family , job and , finally , danvers state hospital . 	mullan , in particular , puts an arc on his character , gordon , as the troubled guy who slowly and inexorably falls under the pressures of family , job and , finally , danvers state hospital .	1	-2	 mullan[0] in[0] particular[0] puts[0] an[0] arc[0] on[0] his[0] character[0] gordon[0] as[0] the[0] troubled[-1] guy[0] who[0] slowly[0] and[0] inexorably[0] falls[0] under[0] the[0] pressures[-1] of[0] family[0] job[0] and[0] finally[0] danvers[0] state[0] hospital[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of the small cast fit the bill as people , not just fodder for the mayhem . 	the rest of the small cast fit the bill as people , not just fodder for the mayhem .	1	-1	 the[0] rest[0] of[0] the[0] small[0] cast[0] fit[0] the[0] bill[0] as[0] people[0] not[0] just[0] fodder[0] for[0] the[0] mayhem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
david caruso , as gordo's senior man and near equal in the business , shows just how good an actor he is . 	david caruso , as gordo's senior man and near equal in the business , shows just how good an actor he is .	2	-1	 david[0] caruso[0] as[0] gordo's[0] senior[0] man[0] and[0] near[0] equal[0] in[0] the[0] business[0] shows[0] just[0] how[0] good[1] an[0] actor[0] he[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he made the jump from tv's " nypd blue " to film far too soon and his decisions in the roles he took ( i'll never forget the horrendous " jade " ) were less than star making . 	he made the jump from tv's " nypd blue " to film far too soon and his decisions in the roles he took ( i'll never forget the horrendous " jade " ) were less than star making .	1	-4	 he[0] made[0] the[0] jump[0] from[0] tv's[0] nypd[0] blue[0] to[0] film[0] far[0] too[0] soon[0] and[0] his[0] decisions[0] in[0] the[0] roles[0] he[0] took[0] i'll[0] never[0] forget[0] the[0] horrendous[-3] jade[0] were[0] less[0] than[0] star[0] making[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he rolls his sleeves up and does the job well here . 	he rolls his sleeves up and does the job well here .	1	-1	 he[0] rolls[0] his[0] sleeves[0] up[0] and[0] does[0] the[0] job[0] well[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gevedon , lucas and sexton are more than fodder , too . 	gevedon , lucas and sexton are more than fodder , too .	1	-1	 gevedon[0] lucas[0] and[0] sexton[0] are[0] more[0] than[0] fodder[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only problem with " session 9 " lay in the uninspired ending . 	the only problem with " session 9 " lay in the uninspired ending .	1	-2	 the[0] only[0] problem[-1] with[0] session[0] 9[0] lay[0] in[0] the[0] uninspired[0] ending[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it takes on a fairly conventional finale that covers old ground and is a bit of a disappointment after the terrific ( and inspired ) build up . 	it takes on a fairly conventional finale that covers old ground and is a bit of a disappointment after the terrific ( and inspired ) build up .	4	-2	 it[0] takes[0] on[0] a[0] fairly[0] conventional[0] finale[0] that[0] covers[0] old[0] ground[0] and[0] is[0] a[0] bit[0] of[0] a[0] disappointment[-1] after[0] the[0] terrific[3] and[0] inspired[2] build[0] up[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the pleasure is getting there and i wish that anderson and gevedon had kept up the steam they had so ably built during the bulk of the film 	the pleasure is getting there and i wish that anderson and gevedon had kept up the steam they had so ably built during the bulk of the film	3	-1	 the[0] pleasure[2] is[0] getting[0] there[0] and[0] i[0] wish[0] that[0] anderson[0] and[0] gevedon[0] had[0] kept[0] up[0] the[0] steam[0] they[0] had[0] so[0] ably[0] built[0] during[0] the[0] bulk[0] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " session 9 " is an unusual feat . 	 " session 9 " is an unusual feat .	1	-1	 session[0] 9[0] is[0] an[0] unusual[0] feat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is scary , doesn't use cheap tricks and raises goose bumps with its intelligently rendered , subtle horror . 	it is scary , doesn't use cheap tricks and raises goose bumps with its intelligently rendered , subtle horror .	2	-4	 it[0] is[0] scary[-3] doesn't[0] use[0] cheap[-1] tricks[-1] and[0] raises[0] goose[0] bumps[0] with[0] its[0] intelligently[1] rendered[0] subtle[0] horror[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
because of the local interest of danvers , it should do well with the northeast crowd . 	because of the local interest of danvers , it should do well with the northeast crowd .	2	-1	 because[0] of[0] the[0] local[0] interest[1] of[0] danvers[0] it[0] should[0] do[0] well[0] with[0] the[0] northeast[0] crowd[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i hope it gets the national distribution it deserves . 	i hope it gets the national distribution it deserves .	3	-1	 i[0] hope[2] it[0] gets[0] the[0] national[0] distribution[0] it[0] deserves[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i give it a b  . 	i give it a b  .	1	-1	 i[0] give[0] it[0] a[0] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
