a fully loaded entertainment review - website coming in july ! 	Translation	Positive	Negative	EmotionRationale
he is forced to move back in with his family after he can no longer support himself , and there the comedy truly picks up . 	he is forced to move back in with his family after he can no longer support himself , and there the comedy truly picks up .	2	-1	 he[0] is[0] forced[0] to[0] move[0] back[0] in[0] with[0] his[0] family[0] after[0] he[0] can[0] no[0] longer[0] support[1] himself[0] and[0] there[0] the[0] comedy[0] truly[1] picks[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
franken wrote all of the characters not just as cliches or stereotypes , but as sharply-drawn , real people . 	franken wrote all of the characters not just as cliches or stereotypes , but as sharply-drawn , real people .	1	-1	 franken[0] wrote[0] all[0] of[0] the[0] characters[0] not[0] just[0] as[0] cliches[0] or[0] stereotypes[0] but[0] as[0] sharply[0] drawn[0] real[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although smalley's dad has always imbibed too much , stuart can still recall times when his father seemed like an okay guy . 	although smalley's dad has always imbibed too much , stuart can still recall times when his father seemed like an okay guy .	2	-1	 although[0] smalley's[0] dad[0] has[0] always[0] imbibed[0] too[0] much[0] stuart[0] can[0] still[0] recall[0] times[0] when[0] his[0] father[0] seemed[0] like[1] an[0] okay[0] guy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , after an accident towards the end of the movie , both stuart and the audience learn that there is more to his mother than previously thought . 	also , after an accident towards the end of the movie , both stuart and the audience learn that there is more to his mother than previously thought .	1	-2	 also[0] after[0] an[0] accident[-1] towards[0] the[0] end[0] of[0] the[0] movie[0] both[0] stuart[0] and[0] the[0] audience[0] learn[0] that[0] there[0] is[0] more[0] to[0] his[0] mother[0] than[0] previously[0] thought[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although filled with small , very funny scenes , stuart saves his family also has its share of dramatic moments , especially towards the conclusion . 	although filled with small , very funny scenes , stuart saves his family also has its share of dramatic moments , especially towards the conclusion .	3	-1	 although[0] filled[0] with[0] small[0] very[0] funny[1][1 LastWordBoosterStrength] scenes[0] stuart[0] saves[1] his[0] family[0] also[0] has[0] its[0] share[0] of[0] dramatic[0] moments[0] especially[0] towards[0] the[0] conclusion[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for a lightweight comedy , it handles these scenes especially well , often better than many so-called " serious dramas " of today . 	for a lightweight comedy , it handles these scenes especially well , often better than many so-called " serious dramas " of today .	1	-2	 for[0] a[0] lightweight[0] comedy[0] it[0] handles[0] these[0] scenes[0] especially[0] well[0] often[0] better[0] than[0] many[0] so[0] called[0] serious[-1] dramas[0] of[0] today[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all the more amazing is that such a movie comes from a saturday night live sketch that is essentially a one-joke bit . 	all the more amazing is that such a movie comes from a saturday night live sketch that is essentially a one-joke bit .	3	-1	 all[0] the[0] more[0] amazing[2] is[0] that[0] such[0] a[0] movie[0] comes[0] from[0] a[0] saturday[0] night[0] live[0] sketch[0] that[0] is[0] essentially[0] a[0] one[0] joke[1] bit[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you feel like renting a comedy , and you haven't seen this film , i definitely recommend you try this one out . 	if you feel like renting a comedy , and you haven't seen this film , i definitely recommend you try this one out .	2	-1	 if[0] you[0] feel[0] like[1] renting[0] a[0] comedy[0] and[0] you[0] haven't[0] seen[0] this[0] film[0] i[0] definitely[0] recommend[0] you[0] try[0] this[0] one[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you'll laugh . . . you'll 	you'll laugh .<br> .<br> .<br> you'll	2	-1	 you'll[0] laugh[1] [[Sentence=-1,2=word max, 1-5]] you'll[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
cry . . . . it's 	cry .<br> .<br> .<br> .<br> it's	1	-4	 cry[-3] [[Sentence=-4,1=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
all there . 	all there .	1	-1	 all[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
