for example , in happy gilmore , sandler plays a rookie golfer trying to beat a self-confident jerk of a pro . 	Translation	Positive	Negative	EmotionRationale
first of all , the chemistry between sandler and barrymore is effective . 	first of all , the chemistry between sandler and barrymore is effective .	1	-1	 first[0] of[0] all[0] the[0] chemistry[0] between[0] sandler[0] and[0] barrymore[0] is[0] effective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually , it's not so much the chemistry between the two as it is each one's own romantic tension . 	actually , it's not so much the chemistry between the two as it is each one's own romantic tension .	4	-3	 actually[0] it's[0] not[0] so[0] much[0] the[0] chemistry[0] between[0] the[0] two[0] as[0] it[0] is[0] each[0] one's[0] own[0] romantic[3] tension[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
sandler captures the forlorn sleepwalking look of a jilted man , struck with an unattainable love . 	sandler captures the forlorn sleepwalking look of a jilted man , struck with an unattainable love .	3	-3	 sandler[0] captures[-1] the[0] forlorn[-2] sleepwalking[0] look[0] of[0] a[0] jilted[0] man[0] struck[-1] with[0] an[0] unattainable[0] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
barrymore is charming as the girl next door looking for someone serious to settle down with . 	barrymore is charming as the girl next door looking for someone serious to settle down with .	2	-2	 barrymore[0] is[0] charming[1] as[0] the[0] girl[0] next[0] door[0] looking[0] for[0] someone[0] serious[-1] to[0] settle[0] down[0] with[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sparks don't fly when they kiss , but they both seem right for each other . 	sparks don't fly when they kiss , but they both seem right for each other .	3	-1	 sparks[0] don't[0] fly[0] when[0] they[0] kiss[2] but[0] they[0] both[0] seem[0] right[0] for[0] each[0] other[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
second , their love is mature . 	second , their love is mature .	3	-1	 second[0] their[0] love[2] is[0] mature[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they are not driven by passionate sexual attraction - they're a cute couple , but neither sandler nor barrymore is centerfold material . 	they are not driven by passionate sexual attraction - they're a cute couple , but neither sandler nor barrymore is centerfold material .	3	-1	 they[0] are[0] not[0] driven[0] by[0] passionate[2] sexual[0] attraction[1] they're[0] a[0] cute[1] couple[0] but[0] neither[0] sandler[0] nor[0] barrymore[0] is[0] centerfold[0] material[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead , they are both looking for someone meaningful , someone to settle down with , someone to grow old with . 	instead , they are both looking for someone meaningful , someone to settle down with , someone to grow old with .	1	-1	 instead[0] they[0] are[0] both[0] looking[0] for[0] someone[0] meaningful[0] someone[0] to[0] settle[0] down[0] with[0] someone[0] to[0] grow[0] old[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at a wedding , robbie comforts a kid throwing up in a dumpster while julia sits by . 	at a wedding , robbie comforts a kid throwing up in a dumpster while julia sits by .	2	-2	 at[0] a[0] wedding[0] robbie[0] comforts[1] a[0] kid[0] throwing[0] up[0] in[0] a[0] dumpster[-1] while[0] julia[0] sits[0] by[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the repulsing situation is taken in stride , as if the two were already parents , caring for their sick child . 	the repulsing situation is taken in stride , as if the two were already parents , caring for their sick child .	3	-2	 the[0] repulsing[0] situation[0] is[0] taken[0] in[0] stride[0] as[0] if[0] the[0] two[0] were[0] already[0] parents[0] caring[2] for[0] their[0] sick[-1] child[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the ? 80s soundtrack and references play a big part in this movie . 	the ?<br> 80s soundtrack and references play a big part in this movie .	1	-1	 the[0] [[Sentence=-1,1=word max, 1-5]] 80s[0] soundtrack[0] and[0] references[0] play[0] a[0] big[0] part[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other critics liked this movie in part because of the '80s soundtrack . 	other critics liked this movie in part because of the '80s soundtrack .	3	-1	 other[0] critics[0] liked[2] this[0] movie[0] in[0] part[0] because[0] of[0] the[0] '80s[0] soundtrack[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i liked it in spite of the soundtrack . 	i liked it in spite of the soundtrack .	3	-4	 i[0] liked[2] it[0] in[0] spite[-3] of[0] the[0] soundtrack[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
often , the music and references felt forced . 	often , the music and references felt forced .	1	-1	 often[0] the[0] music[0] and[0] references[0] felt[0] forced[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , robbie tells his ex-fianc ? to " get out of my van halen t-shirt before you jinx the band and they break up . " 	for example , robbie tells his ex-fianc ?<br> to " get out of my van halen t-shirt before you jinx the band and they break up .<br> "	1	-1	 for[0] example[0] robbie[0] tells[0] his[0] ex[0] fianc[0] [[Sentence=-1,1=word max, 1-5]] to[0] get[0] out[0] of[0] my[0] van[0] halen[0] t[0] shirt[0] before[0] you[0] jinx[0] the[0] band[0] and[0] they[0] break[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( ha ha ha . 	 ( ha ha ha .	2	-1	 ha[1] ha[1] ha[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
get it ? 	get it ?	1	-1	 get[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
david lee roth did leave van halen ! ) 	david lee roth did leave van halen !<br> )	1	-1	 david[0] lee[0] roth[0] did[0] leave[0] van[0] halen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or how about when sammy ( allen covert ) , robbie's chauffeur friend , shows up at a party wearing a michael jackson jacket and - get this - a single silver glove . 	or how about when sammy ( allen covert ) , robbie's chauffeur friend , shows up at a party wearing a michael jackson jacket and - get this - a single silver glove .	2	-2	 or[0] how[0] about[0] when[0] sammy[0] allen[0] covert[-1] robbie's[0] chauffeur[0] friend[1] shows[0] up[0] at[0] a[0] party[0] wearing[0] a[0] michael[0] jackson[0] jacket[0] and[0] get[0] this[0] a[0] single[0] silver[0] glove[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( that's exactly what mj used to wear all the time ! ) . 	 ( that's exactly what mj used to wear all the time !<br> ) .	1	-1	 that's[0] exactly[0] what[0] mj[0] used[0] to[0] wear[0] all[0] the[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , making fun of generalizations about a past era is too easy to be rewarding . 	unfortunately , making fun of generalizations about a past era is too easy to be rewarding .	2	-2	 unfortunately[-1] making[0] fun[1] of[0] generalizations[0] about[0] a[0] past[0] era[0] is[0] too[0] easy[0] to[0] be[0] rewarding[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's not to say the movie isn't funny . 	that's not to say the movie isn't funny .	1	-2	 that's[0] not[0] to[0] say[0] the[0] movie[0] isn't[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
screenwriter tim herlihy has written for sandler before ( billy madison and happy gilmore ) , and the two make a good combination . 	screenwriter tim herlihy has written for sandler before ( billy madison and happy gilmore ) , and the two make a good combination .	2	-1	 screenwriter[0] tim[0] herlihy[0] has[0] written[0] for[0] sandler[0] before[0] billy[0] madison[0] and[0] happy[1] gilmore[0] and[0] the[0] two[0] make[0] a[0] good[1] combination[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
herlihy knows what sort of jokes sandler is good at and has tailored the script to his straight-faced , smart-aleck style . 	herlihy knows what sort of jokes sandler is good at and has tailored the script to his straight-faced , smart-aleck style .	2	-1	 herlihy[0] knows[0] what[0] sort[0] of[0] jokes[1] sandler[0] is[0] good[1] at[0] and[0] has[0] tailored[0] the[0] script[0] to[0] his[0] straight[0] faced[0] smart[1] aleck[0] style[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
let's hope herlihy and sandler stick together for a few more projects because this movie really won me over . 	let's hope herlihy and sandler stick together for a few more projects because this movie really won me over .	3	-1	 let's[0] hope[2] herlihy[0] and[0] sandler[0] stick[0] together[0] for[0] a[0] few[0] more[0] projects[0] because[0] this[0] movie[0] really[0] won[0] me[0] over[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with barrymore's charm and sandler's heart , it was hard to go wrong . 	with barrymore's charm and sandler's heart , it was hard to go wrong .	2	-2	 with[0] barrymore's[0] charm[1] and[0] sandler's[0] heart[0] it[0] was[0] hard[0] to[0] go[0] wrong[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
