three things i learned from " being john malkovich " : when getting on the elevator for your first day of work on the 7 1/2th floor of a building , always bring your crowbar ; don't stand in the way of your wife's actualization as a man ; and , whenever entering a portal into the mind of another human being , wear old clothes , because , hey , it's muddy in there . 	Translation	Positive	Negative	EmotionRationale
the white-hot director of the beastie boy's " sabotage , " an award-winning parody of '70s tv cop shows , as well as numerous other music videos and commercials , eschews typical mtv flash for his feature film debut . 	the white-hot director of the beastie boy's " sabotage , " an award-winning parody of '70s tv cop shows , as well as numerous other music videos and commercials , eschews typical mtv flash for his feature film debut .	2	-2	 the[0] white[0] hot[0] director[0] of[0] the[0] beastie[0] boy's[0] sabotage[-1] an[0] award[0] winning[1] parody[0] of[0] '70s[0] tv[0] cop[0] shows[0] as[0] well[0] as[0] numerous[0] other[0] music[0] videos[0] and[0] commercials[0] eschews[0] typical[0] mtv[0] flash[0] for[0] his[0] feature[0] film[0] debut[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jonze wisely realized that a storyline this unusual is most effectively presented in a low-key style . 	jonze wisely realized that a storyline this unusual is most effectively presented in a low-key style .	1	-2	 jonze[0] wisely[0] realized[0] that[0] a[0] storyline[0] this[0] unusual[0] is[0] most[0] effectively[0] presented[0] in[0] a[0] low[-1] key[0] style[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his flat , matter-of-fact approach works perfectly . 	his flat , matter-of-fact approach works perfectly .	2	-1	 his[0] flat[0] matter[0] of[0] fact[0] approach[0] works[0] perfectly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and then there's the cast . 	and then there's the cast .	1	-1	 and[0] then[0] there's[0] the[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john cusack plays control freak craig schwartz , a street performer who periodically gets decked by parents objecting to his remarkably expressive , but decidedly erotic puppet shows . 	john cusack plays control freak craig schwartz , a street performer who periodically gets decked by parents objecting to his remarkably expressive , but decidedly erotic puppet shows .	2	-2	 john[0] cusack[0] plays[1] control[0] freak[-1] craig[0] schwartz[0] a[0] street[0] performer[0] who[0] periodically[0] gets[0] decked[0] by[0] parents[0] objecting[0] to[0] his[0] remarkably[0] expressive[0] but[0] decidedly[0] erotic[0] puppet[0] shows[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
over the years , his marriage to obsessive pet store employee lotte ( cameron diaz ) has devolved . 	over the years , his marriage to obsessive pet store employee lotte ( cameron diaz ) has devolved .	1	-3	 over[0] the[0] years[0] his[0] marriage[0] to[0] obsessive[-2] pet[0] store[0] employee[0] lotte[0] cameron[0] diaz[0] has[0] devolved[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
once passionate lovers , the two are now little more than courteous roommates . 	once passionate lovers , the two are now little more than courteous roommates .	5	-1	 once[0] passionate[2] lovers[3][+1 MultiplePositiveWords] the[0] two[0] are[0] now[0] little[0] more[0] than[0] courteous[2] roommates[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
financially strapped , craig takes a job as an entry-level file clerk at lestercorp , located on the 7 1/2th floor of a manhattan building . 	financially strapped , craig takes a job as an entry-level file clerk at lestercorp , located on the 7 1/2th floor of a manhattan building .	1	-1	 financially[0] strapped[0] craig[0] takes[0] a[0] job[0] as[0] an[0] entry[0] level[0] file[0] clerk[0] at[0] lestercorp[0] located[0] on[0] the[0] 7[0] 1/2th[0] floor[0] of[0] a[0] manhattan[0] building[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
navigating around dr . lester ( orson bean ) , his 105 year-old boss and floris ( mary kay place ) , lester's dotty secretary , craig tries to settle into his new position , but two things keep him distracted . 	navigating around dr .<br> lester ( orson bean ) , his 105 year-old boss and floris ( mary kay place ) , lester's dotty secretary , craig tries to settle into his new position , but two things keep him distracted .	1	-2	 navigating[0] around[0] dr[0] [[Sentence=-1,1=word max, 1-5]] lester[0] orson[0] bean[0] his[0] 105[0] year[0] old[0] boss[0] and[0] floris[0] mary[0] kay[0] place[0] lester's[0] dotty[0] secretary[0] craig[0] tries[0] to[0] settle[0] into[0] his[0] new[0] position[0] but[0] two[0] things[0] keep[0] him[0] distracted[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first , there's the beautiful and imperious maxine ( catherine keener ) , who delights in tormenting craig over his obvious lust for her . 	first , there's the beautiful and imperious maxine ( catherine keener ) , who delights in tormenting craig over his obvious lust for her .	3	-1	 first[0] there's[0] the[0] beautiful[2] and[0] imperious[0] maxine[0] catherine[0] keener[0] who[0] delights[2] in[0] tormenting[0] craig[0] over[0] his[0] obvious[0] lust[0] for[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and then there's the hole behind the file cabinet , which turns out to be a portal into the mind of actor john malkovich . 	and then there's the hole behind the file cabinet , which turns out to be a portal into the mind of actor john malkovich .	1	-1	 and[0] then[0] there's[0] the[0] hole[0] behind[0] the[0] file[0] cabinet[0] which[0] turns[0] out[0] to[0] be[0] a[0] portal[0] into[0] the[0] mind[0] of[0] actor[0] john[0] malkovich[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
craig learns that anyone who enters the portal gets whooshed into the subconscious of malkovich , where they can experience life from his point of view ( with enough concentration , you can even influence his actions ) . 	craig learns that anyone who enters the portal gets whooshed into the subconscious of malkovich , where they can experience life from his point of view ( with enough concentration , you can even influence his actions ) .	1	-1	 craig[0] learns[0] that[0] anyone[0] who[0] enters[0] the[0] portal[0] gets[0] whooshed[0] into[0] the[0] subconscious[0] of[0] malkovich[0] where[0] they[0] can[0] experience[0] life[0] from[0] his[0] point[0] of[0] view[0] with[0] enough[0] concentration[0] you[0] can[0] even[0] influence[0] his[0] actions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after 15 minutes , the visitor gets ejected and unceremoniously dumped in a ditch on the side of the new jersey turnpike . 	after 15 minutes , the visitor gets ejected and unceremoniously dumped in a ditch on the side of the new jersey turnpike .	1	-2	 after[0] 15[0] minutes[0] the[0] visitor[0] gets[0] ejected[0] and[0] unceremoniously[0] dumped[-1] in[0] a[0] ditch[0] on[0] the[0] side[0] of[0] the[0] new[0] jersey[0] turnpike[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then things get a little weird . 	then things get a little weird .	1	-2	 then[0] things[0] get[0] a[0] little[0] weird[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by the way , if you're concerned that i gave away too much of the plot , rest assured - - i barely scratched the surface . 	by the way , if you're concerned that i gave away too much of the plot , rest assured - - i barely scratched the surface .	1	-2	 by[0] the[0] way[0] if[0] you're[0] concerned[-1] that[0] i[0] gave[0] away[0] too[0] much[0] of[0] the[0] plot[0] rest[0] assured[0] i[0] barely[0] scratched[0] the[0] surface[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the most satisfying aspects of the fable is that kaufman is not content to simply milk laughs from his bizarre set-up . 	one of the most satisfying aspects of the fable is that kaufman is not content to simply milk laughs from his bizarre set-up .	2	-2	 one[0] of[0] the[0] most[0] satisfying[1] aspects[0] of[0] the[0] fable[0] is[0] that[0] kaufman[0] is[0] not[0] content[0] to[0] simply[0] milk[0] laughs[1] from[0] his[0] bizarre[-1] set[0] up[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead , he crawls into the dark premise as completely as craig crawls into malkovich , rummaging around and toying with the various philosophical implications of compromising another person's identity . 	instead , he crawls into the dark premise as completely as craig crawls into malkovich , rummaging around and toying with the various philosophical implications of compromising another person's identity .	1	-1	 instead[0] he[0] crawls[0] into[0] the[0] dark[0] premise[0] as[0] completely[0] as[0] craig[0] crawls[0] into[0] malkovich[0] rummaging[0] around[0] and[0] toying[0] with[0] the[0] various[0] philosophical[0] implications[0] of[0] compromising[0] another[0] person's[0] identity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he also examines the consequences of the malko-visits to craig , lotte , maxine and , of course , john malkovich himself . 	he also examines the consequences of the malko-visits to craig , lotte , maxine and , of course , john malkovich himself .	1	-1	 he[0] also[0] examines[0] the[0] consequences[0] of[0] the[0] malko[0] visits[0] to[0] craig[0] lotte[0] maxine[0] and[0] of[0] course[0] john[0] malkovich[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the performances are superb . 	the performances are superb .	1	-1	 the[0] performances[0] are[0] superb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
malkovich ( best known to mainstream audiences for his work in " dangerous liaisons , " " in the line of fire , " and as head psychopath in the guilty-pleasure " con air " ) tweaks his own image in a dandy self-deprecating turn . 	malkovich ( best known to mainstream audiences for his work in " dangerous liaisons , " " in the line of fire , " and as head psychopath in the guilty-pleasure " con air " ) tweaks his own image in a dandy self-deprecating turn .	3	-4	 malkovich[0] best[1] known[0] to[0] mainstream[0] audiences[0] for[0] his[0] work[0] in[0] dangerous[-1] liaisons[0] in[0] the[0] line[0] of[0] fire[0] and[0] as[0] head[0] psychopath[0] in[0] the[0] guilty[-3] pleasure[2] con[0] air[0] tweaks[0] his[0] own[0] image[0] in[0] a[0] dandy[0] self[0] deprecating[0] turn[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
far from his effete , vaguely reptilian persona , this malkovich is just another schlub , drinking with his pals and trying to get laid ( incidentally , charlie sheen also plays himself in a hilarious parody of his well-earned bad boy reputation ) . 	far from his effete , vaguely reptilian persona , this malkovich is just another schlub , drinking with his pals and trying to get laid ( incidentally , charlie sheen also plays himself in a hilarious parody of his well-earned bad boy reputation ) .	3	-2	 far[0] from[0] his[0] effete[0] vaguely[-1] reptilian[0] persona[0] this[0] malkovich[0] is[0] just[0] another[0] schlub[0] drinking[0] with[0] his[0] pals[0] and[0] trying[0] to[0] get[0] laid[0] incidentally[0] charlie[0] sheen[0] also[0] plays[1] himself[0] in[0] a[0] hilarious[2] parody[0] of[0] his[0] well[0] earned[0] bad[-1] boy[0] reputation[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as always , john cusack nails his part , handily pulling viewers along even as craig's actions become unconscionable . 	as always , john cusack nails his part , handily pulling viewers along even as craig's actions become unconscionable .	1	-1	 as[0] always[0] john[0] cusack[0] nails[0] his[0] part[0] handily[0] pulling[0] viewers[0] along[0] even[0] as[0] craig's[0] actions[0] become[0] unconscionable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the big surprises come from catherine keener and cameron diaz , both playing against type . 	the big surprises come from catherine keener and cameron diaz , both playing against type .	2	-2	 the[0] big[0] surprises[0] come[0] from[0] catherine[0] keener[0] and[0] cameron[0] diaz[0] both[0] playing[1] against[-1] type[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kenner , usually cast in icy subordinate roles , is terrific as a highly intelligent , extremely manipulative femme fatale . 	kenner , usually cast in icy subordinate roles , is terrific as a highly intelligent , extremely manipulative femme fatale .	4	-4	 kenner[0] usually[0] cast[0] in[0] icy[0] subordinate[0] roles[0] is[0] terrific[3] as[0] a[0] highly[0] intelligent[1] extremely[0] manipulative[-1][-2 LastWordBoosterStrength] femme[0] fatale[-2] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
cameron diaz , barely recognizable under a mess of brown , curly hair , sheds her perpetually sunny smile and draws big laughs as a woman thrown into extreme sexual confusion after taking a ride in malkovich . 	cameron diaz , barely recognizable under a mess of brown , curly hair , sheds her perpetually sunny smile and draws big laughs as a woman thrown into extreme sexual confusion after taking a ride in malkovich .	3	-2	 cameron[0] diaz[0] barely[0] recognizable[0] under[0] a[0] mess[0] of[0] brown[0] curly[0] hair[0] sheds[0] her[0] perpetually[0] sunny[1] smile[2] and[0] draws[0] big[0] laughs[1] as[0] a[0] woman[0] thrown[0] into[0] extreme[0] sexual[0] confusion[-1] after[0] taking[0] a[0] ride[0] in[0] malkovich[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " being john malkovich " stumbles towards the end , as jonze and kaufman try too hard to resolve the various subplots . 	 " being john malkovich " stumbles towards the end , as jonze and kaufman try too hard to resolve the various subplots .	2	-1	 being[0] john[0] malkovich[0] stumbles[0] towards[0] the[0] end[0] as[0] jonze[0] and[0] kaufman[0] try[0] too[0] hard[0] to[0] resolve[1] the[0] various[0] subplots[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
additional characters and increasingly complex explanations lead to a cluttered finale . 	additional characters and increasingly complex explanations lead to a cluttered finale .	1	-2	 additional[0] characters[0] and[0] increasingly[0] complex[0] explanations[0] lead[0] to[0] a[0] cluttered[-1] finale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
regardless , this contemporary " alice in wonderland " is a real treat . 	regardless , this contemporary " alice in wonderland " is a real treat .	2	-2	 regardless[-1] this[0] contemporary[0] alice[0] in[0] wonderland[0] is[0] a[0] real[0] treat[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i enjoyed watching " being john malkovich , " but only later , after reflecting on the film , did its resonance fully hit me . 	i enjoyed watching " being john malkovich , " but only later , after reflecting on the film , did its resonance fully hit me .	3	-1	 i[0] enjoyed[2] watching[0] being[0] john[0] malkovich[0] but[0] only[0] later[0] after[0] reflecting[0] on[0] the[0] film[0] did[0] its[0] resonance[0] fully[0] hit[0] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at one point , craig says , " do you know what a metaphysical can of worms this portal is ? " 	at one point , craig says , " do you know what a metaphysical can of worms this portal is ?<br> "	1	-1	 at[0] one[0] point[0] craig[0] says[0] do[0] you[0] know[0] what[0] a[0] metaphysical[0] can[0] of[0] worms[0] this[0] portal[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
truer words were never spoken . 	truer words were never spoken .	2	-1	 truer[1] words[0] were[0] never[0] spoken[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
