sometimes i find 19th century british costume dramas a little hard to relate to . 	Translation	Positive	Negative	EmotionRationale
kate finds that she's not so sure she really wants her merton falling in love with and marrying anyone else . 	kate finds that she's not so sure she really wants her merton falling in love with and marrying anyone else .	3	-1	 kate[0] finds[0] that[0] she's[0] not[0] so[0] sure[0] she[0] really[0] wants[0] her[0] merton[0] falling[0] in[0] love[2] with[0] and[0] marrying[0] anyone[0] else[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the brilliant scheme proves to be painful to all involved . 	the brilliant scheme proves to be painful to all involved .	2	-4	 the[0] brilliant[1] scheme[0] proves[0] to[0] be[0] painful[-3] to[0] all[0] involved[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
without revealing the details , suffice it to say that the situation ends badly . 	without revealing the details , suffice it to say that the situation ends badly .	1	-2	 without[0] revealing[0] the[0] details[0] suffice[0] it[0] to[0] say[0] that[0] the[0] situation[0] ends[0] badly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the title refers to the object of merton's vain hope that something might lift him from his predicament . 	the title refers to the object of merton's vain hope that something might lift him from his predicament .	3	-3	 the[0] title[0] refers[0] to[0] the[0] object[0] of[0] merton's[0] vain[-2] hope[2] that[0] something[0] might[0] lift[0] him[0] from[0] his[0] predicament[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
one is left with feelings of regret and despair . 	one is left with feelings of regret and despair .	1	-4	 one[0] is[0] left[0] with[0] feelings[0] of[0] regret[-1] and[0] despair[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what started as such a promising relationship was damaged by greed , anger , and jealousy . 	what started as such a promising relationship was damaged by greed , anger , and jealousy .	2	-5	 what[0] started[0] as[0] such[0] a[0] promising[1] relationship[0] was[0] damaged[0] by[0] greed[-2] anger[-3][-1 MultiplePositiveWords] and[0] jealousy[-2] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
an interesting thought struck me after the movie was over , and that is that the wings of the dove almost fits the story line of a film noir . 	an interesting thought struck me after the movie was over , and that is that the wings of the dove almost fits the story line of a film noir .	2	-2	 an[0] interesting[1] thought[0] struck[-1] me[0] after[0] the[0] movie[0] was[0] over[0] and[0] that[0] is[0] that[0] the[0] wings[0] of[0] the[0] dove[0] almost[0] fits[0] the[0] story[0] line[0] of[0] a[0] film[0] noir[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a couple conspires to cheat someone out of their money so they can live happily ever after . 	a couple conspires to cheat someone out of their money so they can live happily ever after .	3	-3	 a[0] couple[0] conspires[-1] to[0] cheat[-2] someone[0] out[0] of[0] their[0] money[0] so[0] they[0] can[0] live[0] happily[2] ever[0] after[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
their involvement in the deception makes each less attractive to the other , and after a few things go wrong , the whole idea seems like an awful life-ruining mistake . 	their involvement in the deception makes each less attractive to the other , and after a few things go wrong , the whole idea seems like an awful life-ruining mistake .	2	-4	 their[0] involvement[0] in[0] the[0] deception[-1] makes[0] each[0] less[0] attractive[1] to[0] the[0] other[0] and[0] after[0] a[0] few[0] things[0] go[0] wrong[-1] the[0] whole[0] idea[0] seems[0] like[1] an[0] awful[-3] life[0] ruining[-1] mistake[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i wouldn't call the wings of the dove a film noir , but the comparison is interesting . 	i wouldn't call the wings of the dove a film noir , but the comparison is interesting .	2	-1	 i[0] wouldn't[0] call[0] the[0] wings[0] of[0] the[0] dove[0] a[0] film[0] noir[0] but[0] the[0] comparison[0] is[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as i have acknowledged before , i am not a wonderful judge of acting , but i liked the performances from roache and elliot . 	as i have acknowledged before , i am not a wonderful judge of acting , but i liked the performances from roache and elliot .	3	-3	 as[0] i[0] have[0] acknowledged[0] before[0] i[0] am[0] not[0] a[0] wonderful[2][NegatedDueToPreviousWord] judge[0] of[0] acting[0] but[0] i[0] liked[2] the[0] performances[0] from[0] roache[0] and[0] elliot[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
roache successfully conveyed his character's ambivalence toward millie : near the end , he hugs her , at first staring into space , as if he's thinking about his plan with kate , then giving that up to fully embrace millie . 	roache successfully conveyed his character's ambivalence toward millie : near the end , he hugs her , at first staring into space , as if he's thinking about his plan with kate , then giving that up to fully embrace millie .	3	-1	 roache[0] successfully[2] conveyed[0] his[0] character's[0] ambivalence[0] toward[0] millie[0] near[0] the[0] end[0] he[0] hugs[2] her[0] at[0] first[0] staring[0] into[0] space[0] as[0] if[0] he's[0] thinking[0] about[0] his[0] plan[0] with[0] kate[0] then[0] giving[0] that[0] up[0] to[0] fully[0] embrace[0] millie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
millie's part didn't require as much range , but elliot gave her the necessary bubbly personality that made her irresistible . 	millie's part didn't require as much range , but elliot gave her the necessary bubbly personality that made her irresistible .	1	-1	 millie's[0] part[0] didn't[0] require[0] as[0] much[0] range[0] but[0] elliot[0] gave[0] her[0] the[0] necessary[0] bubbly[0] personality[0] that[0] made[0] her[0] irresistible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i will probably file away the wings of the dove in the same low-traffic corner of my mind as sense and sensibility and persuasion . 	i will probably file away the wings of the dove in the same low-traffic corner of my mind as sense and sensibility and persuasion .	1	-2	 i[0] will[0] probably[0] file[0] away[0] the[0] wings[0] of[0] the[0] dove[0] in[0] the[0] same[0] low[-1] traffic[0] corner[0] of[0] my[0] mind[0] as[0] sense[0] and[0] sensibility[0] and[0] persuasion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their settings are far removed from my personal experience - geographically , historically , and socially . 	their settings are far removed from my personal experience - geographically , historically , and socially .	1	-1	 their[0] settings[0] are[0] far[0] removed[0] from[0] my[0] personal[0] experience[0] geographically[0] historically[0] and[0] socially[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , the movies are well made and the stories inevitably win me over . 	still , the movies are well made and the stories inevitably win me over .	1	-1	 still[0] the[0] movies[0] are[0] well[0] made[0] and[0] the[0] stories[0] inevitably[0] win[0] me[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
