originally entitled dancing about architecture ( i . e . 	Translation	Positive	Negative	EmotionRationale
even dennis quaid manages to step outside of his overacting shoes in this film , and offers a convincing show of a man lost within his own imagination . 	even dennis quaid manages to step outside of his overacting shoes in this film , and offers a convincing show of a man lost within his own imagination .	1	-1	 even[0] dennis[0] quaid[0] manages[0] to[0] step[0] outside[0] of[0] his[0] overacting[0] shoes[0] in[0] this[0] film[0] and[0] offers[0] a[0] convincing[0] show[0] of[0] a[0] man[0] lost[0] within[0] his[0] own[0] imagination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only piece of this puzzle which left me somewhat detached , was the part surrounding jay mohr , the man dying from aids , and his mother , ellen burstyn . 	the only piece of this puzle which left me somewhat detached , was the part surrounding jay mohr , the man dying from aids , and his mother , ellen burstyn .	1	-2	 the[0] only[0] piece[0] of[0] this[0] puzzle/puzle[0] which[0] left[0] me[0] somewhat[0] detached[0] was[0] the[0] part[0] surrounding[0] jay[0] mohr[0] the[0] man[0] dying[-1] from[0] aids[0] and[0] his[0] mother[0] ellen[0] burstyn[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the actors were fine , but somehow , the piece seemed out of place within the realm of everything else . 	the actors were fine , but somehow , the piece seemed out of place within the realm of everything else .	3	-1	 the[0] actors[0] were[0] fine[2] but[0] somehow[0] the[0] piece[0] seemed[0] out[0] of[0] place[0] within[0] the[0] realm[0] of[0] everything[0] else[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the ending of this film was also a little too saccharine for me , but i guess that's just hollywood . 	the ending of this film was also a little too saccharine for me , but i guess that's just hollywood .	1	-1	 the[0] ending[0] of[0] this[0] film[0] was[0] also[0] a[0] little[0] too[0] saccharine[0] for[0] me[0] but[0] i[0] guess[0] that's[0] just[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is actually a lot like your friends and neigbors ( 5 . 5/10 ) and happiness ( 4 . 5/10 ) in concept and style , but its complete anthesis in regards to character relatibility and likeness . 	this film is actually a lot like your friends and neigbors ( 5 .<br> 5/10 ) and happiness ( 4 .<br> 5/10 ) in concept and style , but its complete anthesis in regards to character relatibility and likeness .	3	-1	 this[0] film[0] is[0] actually[0] a[0] lot[0] like[1] your[0] friends[1] and[0] neigbors[0] 5[0] [[Sentence=-1,2=word max, 1-5]] 5/10[0] and[0] happiness[2] 4[0] [[Sentence=-1,3=word max, 1-5]] 5/10[0] in[0] concept[0] and[0] style[0] but[0] its[0] complete[0] anthesis[0] in[0] regards[0] to[0] character[0] relatibility[0] and[0] likeness[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
the characters in those films were too unique and inhuman for anyone to care , as opposed to this film , which offers rich and believable characters , living real lives and talking about real issues in today's relationships . 	the characters in those films were too unique and inhuman for anyone to care , as opposed to this film , which offers rich and believable characters , living real lives and talking about real issues in today's relationships .	2	-3	 the[0] characters[0] in[0] those[0] films[0] were[0] too[0] unique[0] and[0] inhuman[-2] for[0] anyone[0] to[0] care[1] as[0] opposed[0] to[0] this[0] film[0] which[0] offers[0] rich[0] and[0] believable[0] characters[0] living[0] real[0] lives[0] and[0] talking[0] about[0] real[0] issues[0] in[0] today's[0] relationships[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
all in all , this movie offers many interesting characters , talking and living genuine and engaging love lives , wonderful performances by its solid cast , too sweet of an ending , but an enjoyable and rewatchable movie nonetheless . 	all in all , this movie offers many interesting characters , talking and living genuine and engaging love lives , wonderful performances by its solid cast , too sweet of an ending , but an enjoyable and rewatchable movie nonetheless .	3	-1	 all[0] in[0] all[0] this[0] movie[0] offers[0] many[0] interesting[1] characters[0] talking[0] and[0] living[0] genuine[0] and[0] engaging[0] love[2] lives[0] wonderful[2] performances[0] by[0] its[0] solid[0] cast[0] too[0] sweet[1] of[0] an[0] ending[0] but[0] an[0] enjoyable[2] and[0] rewatchable[0] movie[0] nonetheless[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
little known facts about this film and its stars : according to a story in the london sunday mirror , sean connery asked for only  60 , 000 for his role in this movie , as compared to his usual fee of  14 million , because he liked the script so much . 	little known facts about this film and its stars : according to a story in the london sunday mirror , sean connery asked for only  60 , 00 for his role in this movie , as compared to his usual fee of  14 million , because he liked the script so much .	3	-1	 little[0] known[0] facts[0] about[0] this[0] film[0] and[0] its[0] stars[0] according[0] to[0] a[0] story[0] in[0] the[0] london[0] sunday[0] mirror[0] sean[0] connery[0] asked[0] for[0] only[0] 60[0] 000/00[0] for[0] his[0] role[0] in[0] this[0] movie[0] as[0] compared[0] to[0] his[0] usual[0] fee[0] of[0] 14[0] million[0] because[0] he[0] liked[2] the[0] script[0] so[0] much[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on top of that , he convinced his co-stars ( including gena rowlands , gillian anderson , ellen burstyn , et al . ) to do the same . 	on top of that , he convinced his co-stars ( including gena rowlands , gillian anderson , ellen burstyn , et al .<br> ) to do the same .	1	-1	 on[0] top[0] of[0] that[0] he[0] convinced[0] his[0] co[0] stars[0] including[0] gena[0] rowlands[0] gillian[0] anderson[0] ellen[0] burstyn[0] et[0] al[0] [[Sentence=-1,1=word max, 1-5]] to[0] do[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is director/writer willard carroll second real foray into the world of " adult films " . 	this is director/writer willard carroll second real foray into the world of " adult films " .	1	-1	 this[0] is[0] director/writer[0] willard[0] carroll[0] second[0] real[0] foray[0] into[0] the[0] world[0] of[0] adult[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before this , he had written and produced many children's movies . 	before this , he had written and produced many children's movies .	1	-1	 before[0] this[0] he[0] had[0] written[0] and[0] produced[0] many[0] children's[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gillian anderson stands 5'2 . 	gillian anderson stands 5'2 .	1	-1	 gillian[0] anderson[0] stands[0] 5'2[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
angelina jolie's full name is angelina jolie voight . 	angelina jolie's full name is angelina jolie voight .	1	-1	 angelina[0] jolie's[0] full[0] name[0] is[0] angelina[0] jolie[0] voight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is actor jon voight's daughter . 	she is actor jon voight's daughter .	1	-1	 she[0] is[0] actor[0] jon[0] voight's[0] daughter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she has trained and performed at the lee strasberg theatre institute . 	she has trained and performed at the lee strasberg theatre institute .	1	-1	 she[0] has[0] trained[0] and[0] performed[0] at[0] the[0] lee[0] strasberg[0] theatre[0] institute[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she divorced actor jonny lee miller of trainspotting ( 8 . 5/10 ) 	she divorced actor jonny lee miller of trainspotting ( 8 .<br> 5/10 )	1	-2	 she[0] divorced[-1] actor[0] jonny[0] lee[0] miller[0] of[0] trainspotting[0] 8[0] [[Sentence=-2,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
fame in 1997 . 	fame in 1997 .	1	-1	 fame[0] in[0] 1997[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they were married in 1995 . 	they were married in 1995 .	1	-1	 they[0] were[0] married[0] in[0] 1995[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actor ryan phillippe's full name is matthew ryan phillippe . 	actor ryan phillippe's full name is matthew ryan phillippe .	1	-1	 actor[0] ryan[0] phillippe's[0] full[0] name[0] is[0] matthew[0] ryan[0] phillippe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he stands 5'9 , and spent his childhood in new castle , delaware . 	he stands 5'9 , and spent his childhood in new castle , delaware .	1	-1	 he[0] stands[0] 5'9[0] and[0] spent[0] his[0] childhood[0] in[0] new[0] castle[0] delaware[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his acting career started on tv's " one life to live " . 	his acting career started on tv's " one life to live " .	1	-1	 his[0] acting[0] career[0] started[0] on[0] tv's[0] one[0] life[0] to[0] live[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he portrayed daytime television's first gay teenager . 	he portrayed daytime television's first gay teenager .	1	-2	 he[0] portrayed[0] daytime[0] television's[0] first[0] gay[-1] teenager[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jon stewart's full name is jonathan stewart leibowitz . 	jon stewart's full name is jonathan stewart leibowitz .	1	-1	 jon[0] stewart's[0] full[0] name[0] is[0] jonathan[0] stewart[0] leibowitz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film was originally entitled if they only knew and dancing about architecture . 	this film was originally entitled if they only knew and dancing about architecture .	1	-1	 this[0] film[0] was[0] originally[0] entitled[0] if[0] they[0] only[0] knew[0] and[0] dancing[0] about[0] architecture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watch for movie posters from swingers ( 8 . 5/10 ) , 	watch for movie posters from swingers ( 8 .<br> 5/10 ) ,	1	-1	 watch[0] for[0] movie[0] posters[0] from[0] swingers[0] 8[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chasing amy ( 7/10 ) and the texas chainsaw massacre ( 8/10 ) at the movie theatre where the characters of joan and keenan go on their first date . 	chasing amy ( 7/10 ) and the texas chainsaw massacre ( 8/10 ) at the movie theatre where the characters of joan and keenan go on their first date .	1	-2	 chasing[0] amy[0] 7/10[0] and[0] the[0] texas[0] chainsaw[0] massacre[-1] 8/10[0] at[0] the[0] movie[0] theatre[0] where[0] the[0] characters[0] of[0] joan[0] and[0] keenan[0] go[0] on[0] their[0] first[0] date[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
