in some respects , rush hour is the ultimate exercise in cliched filmmaking . 	Translation	Positive	Negative	EmotionRationale
jackie chan is lee , the straight laced inspector who is imported to help deal with a kidnapping case , while chris tucker is carter , the loudmouthed , destructive cop that is  promoted' to the fbi to help him . 	jackie chan is lee , the straight laced inspector who is imported to help deal with a kidnapping case , while chris tucker is carter , the loudmouthed , destructive cop that is  promoted' to the fbi to help him .	1	-1	 jackie[0] chan[0] is[0] lee[0] the[0] straight[0] laced[0] inspector[0] who[0] is[0] imported[0] to[0] help[0] deal[0] with[0] a[0] kidnapping[0] case[0] while[0] chris[0] tucker[0] is[0] carter[0] the[0] loudmouthed[0] destructive[0] cop[0] that[0] is[0] promoted'[0] to[0] the[0] fbi[0] to[0] help[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or , at least , so he thinks ( also another classic notion in action films : the fbi must always get in the way of our heroes ) . 	or , at least , so he thinks ( also another classic notion in action films : the fbi must always get in the way of our heroes ) .	3	-1	 or[0] at[0] least[0] so[0] he[0] thinks[0] also[0] another[0] classic[0] notion[0] in[0] action[0] films[0] the[0] fbi[0] must[0] always[0] get[0] in[0] the[0] way[0] of[0] our[0] heroes[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite the necessary conventions of action films , rush hour is some of the most fun you'll spend and hour and forty minutes watching . 	despite the necessary conventions of action films , rush hour is some of the most fun you'll spend and hour and forty minutes watching .	2	-1	 despite[0] the[0] necessary[0] conventions[0] of[0] action[0] films[0] rush[0] hour[0] is[0] some[0] of[0] the[0] most[0] fun[1] you'll[0] spend[0] and[0] hour[0] and[0] forty[0] minutes[0] watching[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jackie chan continues to be one of the most exciting martial artists on the big screen , continuing to perform his own stunts and dazzling audiences with his flashy kicks and punches . 	jackie chan continues to be one of the most exciting martial artists on the big screen , continuing to perform his own stunts and dazling audiences with his flashy kicks and punches .	3	-2	 jackie[0] chan[0] continues[0] to[0] be[0] one[0] of[0] the[0] most[0] exciting[2] martial[0] artists[0] on[0] the[0] big[0] screen[0] continuing[0] to[0] perform[0] his[0] own[0] stunts[0] and[0] dazzling/dazling[0] audiences[0] with[0] his[0] flashy[0] kicks[-1] and[0] punches[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
chris tucker , familiar from his whiny , annoying role in the fifth element is more palatable , complementing jackie chan's straight-laced character . 	chris tucker , familiar from his whiny , annoying role in the fifth element is more palatable , complementing jackie chan's straight-laced character .	2	-3	 chris[0] tucker[0] familiar[0] from[0] his[0] whiny[0] annoying[-2] role[0] in[0] the[0] fifth[0] element[0] is[0] more[0] palatable[1] complementing[0] jackie[0] chan's[0] straight[0] laced[0] character[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
however , jackie chan still maintains his comic-slapstick edge , as expected of him and his films . 	however , jackie chan still maintains his comic-slapstick edge , as expected of him and his films .	1	-2	 however[0] jackie[0] chan[0] still[0] maintains[0] his[0] comic[0] slapstick[-1] edge[0] as[0] expected[0] of[0] him[0] and[0] his[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perfectly downplaying the  fish-out-of-water' routine through his character's attempts at mixing into american culture , he makes up for the down time his character experiences . 	perfectly downplaying the  fish-out-of-water' routine through his character's attempts at mixing into american culture , he makes up for the down time his character experiences .	2	-1	 perfectly[1] downplaying[0] the[0] fish[0] out[0] of[0] water'[0] routine[0] through[0] his[0] character's[0] attempts[0] at[0] mixing[0] into[0] american[0] culture[0] he[0] makes[0] up[0] for[0] the[0] down[0] time[0] his[0] character[0] experiences[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when he is in action , however , you'll be amused and dazzled . 	when he is in action , however , you'll be amused and dazled .	2	-1	 when[0] he[0] is[0] in[0] action[0] however[0] you'll[0] be[0] amused[1] and[0] dazzled/dazled[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still being inventive in the use of objects to beat people up ( in this case , a steering wheel , a serving tray , and a barstool ) , jackie chan proves to be the pioneer of slapstick kung fu . 	still being inventive in the use of objects to beat people up ( in this case , a steering wheel , a serving tray , and a barstool ) , jackie chan proves to be the pioneer of slapstick kung fu .	1	-2	 still[0] being[0] inventive[0] in[0] the[0] use[0] of[0] objects[0] to[0] beat[0] people[0] up[0] in[0] this[0] case[0] a[0] steering[0] wheel[0] a[0] serving[0] tray[0] and[0] a[0] barstool[0] jackie[0] chan[0] proves[0] to[0] be[0] the[0] pioneer[0] of[0] slapstick[-1] kung[0] fu[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chris tucker's character may come across as irritating , yet is also humorous . 	chris tucker's character may come across as irritating , yet is also humorous .	3	-3	 chris[0] tucker's[0] character[0] may[0] come[0] across[0] as[0] irritating[-2] yet[0] is[0] also[0] humorous[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
since he's not a physical actor to the level of jackie chan , he uses his main weapon : his mouth ( hence , the tagline ,  fastest hands in the east meets the fastest mouth in the west' ) . 	since he's not a physical actor to the level of jackie chan , he uses his main weapon : his mouth ( hence , the tagline ,  fastest hands in the east meets the fastest mouth in the west' ) .	1	-2	 since[0] he's[0] not[0] a[0] physical[0] actor[0] to[0] the[0] level[0] of[0] jackie[0] chan[0] he[0] uses[0] his[0] main[0] weapon[-1] his[0] mouth[0] hence[0] the[0] tagline[0] fastest[0] hands[0] in[0] the[0] east[0] meets[0] the[0] fastest[0] mouth[0] in[0] the[0] west'[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while dialogue is not necessarily shakespeare , it is appropriate for the film and still very funny . 	while dialogue is not necessarily shakespeare , it is appropriate for the film and still very funny .	3	-1	 while[0] dialogue[0] is[0] not[0] necessarily[0] shakespeare[0] it[0] is[0] appropriate[0] for[0] the[0] film[0] and[0] still[0] very[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while not necessarily poignant , attempts at character development and growth between characters come off surprisingly well . 	while not necessarily poignant , attempts at character development and growth between characters come off surprisingly well .	1	-1	 while[0] not[0] necessarily[0] poignant[0] attempts[0] at[0] character[0] development[0] and[0] growth[0] between[0] characters[0] come[0] off[0] surprisingly[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lee's  knowledge' of american pop culture (  that's the beach boys ! ' ) 	lee's  knowledge' of american pop culture (  that's the beach boys !<br> ' )	1	-1	 lee's[0] knowledge'[0] of[0] american[0] pop[0] culture[0] that's[0] the[0] beach[0] boys[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when contrasted against carter's lack of knowledge of chinese culture makes for an interesting scene where lee teaches carter the kung fu disarming trick , while carter teaches lee hip-hop dance moves . 	when contrasted against carter's lack of knowledge of chinese culture makes for an interesting scene where lee teaches carter the kung fu disarming trick , while carter teaches lee hip-hop dance moves .	2	-2	 when[0] contrasted[0] against[-1] carter's[0] lack[-1] of[0] knowledge[0] of[0] chinese[0] culture[0] makes[0] for[0] an[0] interesting[1] scene[0] where[0] lee[0] teaches[0] carter[0] the[0] kung[0] fu[0] disarming[0] trick[-1] while[0] carter[0] teaches[0] lee[0] hip[0] hop[0] dance[0] moves[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while rush hour is not at the same level as police story 3 and 4 ( known in north america as supercop and jackie chan's first strike , respectively ) , it more than makes up for the poorly received films operation condor and mr . nice guy . 	while rush hour is not at the same level as police story 3 and 4 ( known in north america as supercop and jackie chan's first strike , respectively ) , it more than makes up for the poorly received films operation condor and mr .<br> nice guy .	3	-2	 while[0] rush[0] hour[0] is[0] not[0] at[0] the[0] same[0] level[0] as[0] police[0] story[0] 3[0] and[0] 4[0] known[0] in[0] north[0] america[0] as[0] supercop[0] and[0] jackie[0] chan's[0] first[0] strike[-1] respectively[2] it[0] more[0] than[0] makes[0] up[0] for[0] the[0] poorly[-1] received[0] films[0] operation[0] condor[0] and[0] mr[0] [[Sentence=-2,3=word max, 1-5]] nice[1] guy[0] [[Sentence=-1,2=word max, 1-5]][[[3,-2 max of sentences]]]
with its appropriate mixture of high kicks and lots of laughs , it makes for a fun film . 	with its appropriate mixture of high kicks and lots of laughs , it makes for a fun film .	2	-2	 with[0] its[0] appropriate[0] mixture[0] of[0] high[0] kicks[-1] and[0] lots[0] of[0] laughs[1] it[0] makes[0] for[0] a[0] fun[1] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as well , it is a true departure from jackie chan films , as it is missing one common element : a whiny female co-star . 	as well , it is a true departure from jackie chan films , as it is missing one common element : a whiny female co-star .	2	-1	 as[0] well[0] it[0] is[0] a[0] true[1] departure[0] from[0] jackie[0] chan[0] films[0] as[0] it[0] is[0] missing[0] one[0] common[0] element[0] a[0] whiny[0] female[0] co[0] star[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
