this reviewer is ignorant of what hands were responsible for delivering the original version of the abyss in 1989 . 	Translation	Positive	Negative	EmotionRationale
this crisis is mirrored in the confines of the now isolated underwater rig , with the trigger-happy and increasingly paranoid lieutenant coffey at odds with the crew about how do deal with the mysterious goings-on around them . 	this crisis is mirrored in the confines of the now isolated underwater rig , with the trigger-happy and increasingly paranoid lieutenant coffey at odds with the crew about how do deal with the mysterious goings-on around them .	2	-3	 this[0] crisis[-2] is[0] mirrored[0] in[0] the[0] confines[0] of[0] the[0] now[0] isolated[-1] underwater[0] rig[0] with[0] the[0] trigger[0] happy[1] and[0] increasingly[0] paranoid[-2] lieutenant[0] coffey[0] at[0] odds[0] with[0] the[0] crew[0] about[0] how[0] do[0] deal[0] with[0] the[0] mysterious[0] goings[0] on[0] around[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the human drama is often riveting , with the principal players performing with an intensity that recalls the fine ensemble acting in cameron's aliens . 	the human drama is often riveting , with the principal players performing with an intensity that recalls the fine ensemble acting in cameron's aliens .	3	-1	 the[0] human[0] drama[0] is[0] often[0] riveting[0] with[0] the[0] principal[0] players[0] performing[0] with[0] an[0] intensity[0] that[0] recalls[0] the[0] fine[2] ensemble[0] acting[0] in[0] cameron's[0] aliens[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the stunts , hardware , special effects and underwater cinematography are all outstanding . 	the stunts , hardware , special effects and underwater cinematography are all outstanding .	3	-1	 the[0] stunts[0] hardware[0] special[1] effects[0] and[0] underwater[0] cinematography[0] are[0] all[0] outstanding[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and so they should be : cameron's technical credentials are well established . 	and so they should be : cameron's technical credentials are well established .	1	-1	 and[0] so[0] they[0] should[0] be[0] cameron's[0] technical[0] credentials[0] are[0] well[0] established[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what ultimately makes the film so gripping is three intersecting plot strands : 1 ) the tension between old sparring partners lindsay and ex-hubby bud ; 2 ) the war of wills between the civilian crew and the navy divers as a series of escalating crisis' befall them ; and 3 ) the slowly unfolding revelation of what lies at the bottom of the three mile deep abyss . 	but what ultimately makes the film so gripping is three intersecting plot strands : 1 ) the tension between old sparring partners lindsay and ex-hubby bud ; 2 ) the war of wills between the civilian crew and the navy divers as a series of escalating crisis' befall them ; and 3 ) the slowly unfolding revelation of what lies at the bottom of the three mile deep abyss .	1	-3	 but[0] what[0] ultimately[0] makes[0] the[0] film[0] so[0] gripping[0] is[0] three[0] intersecting[0] plot[0] strands[0] 1[0] the[0] tension[-2] between[0] old[0] sparring[0] partners[0] lindsay[0] and[0] ex[0] hubby[0] bud[0] 2[0] the[0] war[-2] of[0] wills[0] between[0] the[0] civilian[0] crew[0] and[0] the[0] navy[0] divers[0] as[0] a[0] series[0] of[0] escalating[0] crisis'[0] befall[0] them[0] and[0] 3[0] the[0] slowly[0] unfolding[0] revelation[0] of[0] what[0] lies[-2] at[0] the[0] bottom[0] of[0] the[0] three[0] mile[0] deep[0] abyss[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the abyss : special edition is an improvement on the original film in two major respects . 	the abyss : special edition is an improvement on the original film in two major respects .	3	-2	 the[0] abyss[-1] special[1] edition[0] is[0] an[0] improvement[1] on[0] the[0] original[0] film[0] in[0] two[0] major[0] respects[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
one is that it further fleshes out the relationship between bud and lindsay , a relationship at times touching , at others incredibly intense and volatile . 	one is that it further fleshes out the relationship between bud and lindsay , a relationship at times touching , at others incredibly intense and volatile .	1	-2	 one[0] is[0] that[0] it[0] further[0] fleshes[0] out[0] the[0] relationship[0] between[0] bud[0] and[0] lindsay[0] a[0] relationship[0] at[0] times[0] touching[0] at[0] others[0] incredibly[0] intense[0] and[0] volatile[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the second improvement is the restoration of some absolutely crucial scenes towards the film's end , when the aliens demonstrate their control over water with a terrifying and extraordinary display of power to a world on the brink of nuclear war . 	the second improvement is the restoration of some absolutely crucial scenes towards the film's end , when the aliens demonstrate their control over water with a terrifying and extraordinary display of power to a world on the brink of nuclear war .	2	-4	 the[0] second[0] improvement[1] is[0] the[0] restoration[0] of[0] some[0] absolutely[0] crucial[0] scenes[0] towards[0] the[0] film's[0] end[0] when[0] the[0] aliens[0] demonstrate[0] their[0] control[0] over[0] water[0] with[0] a[0] terrifying[-3] and[0] extraordinary[0] display[0] of[0] power[0] to[0] a[0] world[0] on[0] the[0] brink[0] of[0] nuclear[0] war[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
with the inclusion of these startling scenes , the story's climax is now given real weight . 	with the inclusion of these startling scenes , the story's climax is now given real weight .	1	-2	 with[0] the[0] inclusion[0] of[0] these[0] startling[-1] scenes[0] the[0] story's[0] climax[0] is[0] now[0] given[0] real[0] weight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why on earth were they left out of the original ? 	why on earth were they left out of the original ?	1	-1	 why[0] on[0] earth[0] were[0] they[0] left[0] out[0] of[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this reviewer finds it utterly incomprehensible . 	this reviewer finds it utterly incomprehensible .	1	-1	 this[0] reviewer[0] finds[0] it[0] utterly[0] incomprehensible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so then , we have 25 minutes of additional footage that's turned a decent underwater thriller into something quite magnificent . 	so then , we have 25 minutes of additional footage that's turned a decent underwater thriller into something quite magnificent .	4	-1	 so[0] then[0] we[0] have[0] 25[0] minutes[0] of[0] additional[0] footage[0] that's[0] turned[0] a[0] decent[0] underwater[0] thriller[1] into[0] something[0] quite[0] magnificent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i say " quite " because some flaws do remain . 	i say " quite " because some flaws do remain .	1	-1	 i[0] say[0] quite[0] because[0] some[0] flaws[0] do[0] remain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most grating is several moments of corny hollywood schmaltz - some new , some old - that may well have you reaching for the barf bag . 	the most grating is several moments of corny hollywood schmaltz - some new , some old - that may well have you reaching for the barf bag .	2	-2	 the[0] most[0] grating[1] is[0] several[0] moments[0] of[0] corny[0] hollywood[0] schmaltz[0] some[0] new[0] some[0] old[0] that[0] may[0] well[0] have[0] you[0] reaching[0] for[0] the[0] barf[-1] bag[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nonetheless , the abyss : special edition now stands this somewhat maligned film among james cameron's greatest achievements , alongside aliens and terminator 2 . see it and be moved , gripped and spellbound . 	nonetheless , the abyss : special edition now stands this somewhat maligned film among james cameron's greatest achievements , alongside aliens and terminator 2 .<br> see it and be moved , gripped and spellbound .	3	-2	 nonetheless[0] the[0] abyss[-1] special[1] edition[0] now[0] stands[0] this[0] somewhat[0] maligned[0] film[0] among[0] james[0] cameron's[0] greatest[2] achievements[0] alongside[0] aliens[0] and[0] terminator[0] 2[0] [[Sentence=-2,3=word max, 1-5]] see[0] it[0] and[0] be[0] moved[0] gripped[0] and[0] spellbound[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
