imagine this . 	Translation	Positive	Negative	EmotionRationale
and like those preceding it , spartacus and ben hur , gladiator has nearly everything going for it - a strong lead actor , a wonderful supporting cast , eye-catching special effects , and a great script . 	and like those preceding it , spartacus and ben hur , gladiator has nearly everything going for it - a strong lead actor , a wonderful supporting cast , eye-catching special effects , and a great script .	3	-1	 and[0] like[1] those[0] preceding[0] it[0] spartacus[0] and[0] ben[0] hur[0] gladiator[0] has[0] nearly[0] everything[0] going[0] for[0] it[0] a[0] strong[0] lead[0] actor[0] a[0] wonderful[2] supporting[1] cast[0] eye[0] catching[0] special[1] effects[0] and[0] a[0] great[2] script[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
since the two aforementioned films came out before the prime target viewers of gladiator ( teenagers to thirty-year-old males ) were around , a whole new genre may just be reborn and revisited . 	since the two aforementioned films came out before the prime target viewers of gladiator ( teenagers to thirty-year-old males ) were around , a whole new genre may just be reborn and revisited .	1	-1	 since[0] the[0] two[0] aforementioned[0] films[0] came[0] out[0] before[0] the[0] prime[0] target[0] viewers[0] of[0] gladiator[0] teenagers[0] to[0] thirty[0] year[0] old[0] males[0] were[0] around[0] a[0] whole[0] new[0] genre[0] may[0] just[0] be[0] reborn[0] and[0] revisited[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 from a weak beginning , the film starts off extremely gloomy and inauspicious . 	 from a weak beginning , the film starts off extremely gloomy and inauspicious .	1	-5	 from[0] a[0] weak[-1] beginning[0] the[0] film[0] starts[0] off[0] extremely[0] gloomy[-2][-2 LastWordBoosterStrength] and[0] inauspicious[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
rome's best general maximus ( russell crowe ) , who has helped the empire conquer nearly everywhere they have attempted , is currently ( in the year 180 a . d . that is ) waging a war against germania . 	rome's best general maximus ( russell crowe ) , who has helped the empire conquer nearly everywhere they have attempted , is currently ( in the year 180 a .<br> d .<br> that is ) waging a war against germania .	2	-3	 rome's[0] best[1] general[0] maximus[0] russell[0] crowe[0] who[0] has[0] helped[0] the[0] empire[0] conquer[0] nearly[0] everywhere[0] they[0] have[0] attempted[0] is[0] currently[0] in[0] the[0] year[0] 180[0] a[0] [[Sentence=-1,2=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] that[0] is[0] waging[0] a[0] war[-2] against[-1] germania[-1] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
scott shoots the gory battle in an awkward style , similar to that of saving private ryan but much less effective . 	scot shoots the gory battle in an awkward style , similar to that of saving private ryan but much less effective .	1	-2	 scott/scot[0] shoots[-1] the[0] gory[0] battle[-1] in[0] an[0] awkward[-1] style[0] similar[0] to[0] that[0] of[0] saving[0] private[0] ryan[0] but[0] much[0] less[0] effective[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's blurry , in slow motion , and the sound is muted . 	it's blurry , in slow motion , and the sound is muted .	1	-2	 it's[0] blurry[-1] in[0] slow[0] motion[0] and[0] the[0] sound[0] is[0] muted[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as soon as this artistic method began , it was hard to tell what was what and who was who . 	as soon as this artistic method began , it was hard to tell what was what and who was who .	1	-1	 as[0] soon[0] as[0] this[0] artistic[0] method[0] began[0] it[0] was[0] hard[0] to[0] tell[0] what[0] was[0] what[0] and[0] who[0] was[0] who[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a good thing scott stops this after the first twenty minutes or else gladiator would have been torture to watch . 	it's a good thing scot stops this after the first twenty minutes or else gladiator would have been torture to watch .	2	-4	 it's[0] a[0] good[1] thing[0] scott/scot[0] stops[0] this[0] after[0] the[0] first[0] twenty[0] minutes[0] or[0] else[0] gladiator[0] would[0] have[0] been[0] torture[-3] to[0] watch[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
instead , the general swears he will get out after this battle . 	instead , the general swears he will get out after this battle .	1	-2	 instead[0] the[0] general[0] swears[0] he[0] will[0] get[0] out[0] after[0] this[0] battle[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he wants to go back to his family and his crops , he wants a quiet life . 	he wants to go back to his family and his crops , he wants a quiet life .	1	-1	 he[0] wants[0] to[0] go[0] back[0] to[0] his[0] family[0] and[0] his[0] crops[0] he[0] wants[0] a[0] quiet[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , unexpectedly , he gets anything but that . 	but , unexpectedly , he gets anything but that .	1	-2	 but[0] unexpectedly[-1] he[0] gets[0] anything[0] but[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dying emperor of rome , marcus aurelius ( richard harris ) , decides to have maximus appointed new emperor of rome once he dies . 	the dying emperor of rome , marcus aurelius ( richard harris ) , decides to have maximus appointed new emperor of rome once he dies .	1	-2	 the[0] dying[-1] emperor[0] of[0] rome[0] marcus[0] aurelius[0] richard[0] harris[0] decides[0] to[0] have[0] maximus[0] appointed[0] new[0] emperor[0] of[0] rome[0] once[0] he[0] dies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he asks maximus to restore the republic by giving more power to the senators . 	he asks maximus to restore the republic by giving more power to the senators .	1	-1	 he[0] asks[0] maximus[0] to[0] restore[0] the[0] republic[0] by[0] giving[0] more[0] power[0] to[0] the[0] senators[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all of this does not go well for aurelius' son , commodus ( joaquin phoenix ) who was expecting his father to name him the new emperor . 	all of this does not go well for aurelius' son , commodus ( joaquin phoenix ) who was expecting his father to name him the new emperor .	1	-1	 all[0] of[0] this[0] does[0] not[0] go[0] well[0] for[0] aurelius'[0] son[0] commodus[0] joaquin[0] phoenix[0] who[0] was[0] expecting[0] his[0] father[0] to[0] name[0] him[0] the[0] new[0] emperor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jealous and upset , commodus kills his own father , names himself emperor , kills maximus' wife and son , and attempts to kill maximus . 	jealous and upset , commodus kills his own father , names himself emperor , kills maximus' wife and son , and attempts to kill maximus .	1	-3	 jealous[-2] and[0] upset[-2] commodus[0] kills[0] his[0] own[0] father[0] names[0] himself[0] emperor[0] kills[0] maximus'[0] wife[0] and[0] son[0] and[0] attempts[0] to[0] kill[-1] maximus[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but maximus is able to escape his own death and vows to kill commodus and fulfill marcus aurelius' wishes . 	but maximus is able to escape his own death and vows to kill commodus and fulfil marcus aurelius' wishes .	1	-3	 but[0] maximus[0] is[0] able[0] to[0] escape[0] his[0] own[0] death[-2] and[0] vows[0] to[0] kill[-1] commodus[0] and[0] fulfill/fulfil[0] marcus[0] aurelius'[0] wishes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now a slave , the only way he can win his own freedom and complete his goal is to become a winning gladiator , who eventually are released for their success . 	now a slave , the only way he can win his own freedom and complete his goal is to become a winning gladiator , who eventually are released for their success .	3	-1	 now[0] a[0] slave[0] the[0] only[0] way[0] he[0] can[0] win[0] his[0] own[0] freedom[0] and[0] complete[0] his[0] goal[0] is[0] to[0] become[0] a[0] winning[1] gladiator[0] who[0] eventually[0] are[0] released[0] for[0] their[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a story of betrayal and promises , gladiator is more than just a mindless action flick . 	a story of betrayal and promises , gladiator is more than just a mindless action flick .	2	-3	 a[0] story[0] of[0] betrayal[-2] and[0] promises[1] gladiator[0] is[0] more[0] than[0] just[0] a[0] mindless[0] action[0] flick[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you actually care about the characters , sometimes even the evil villain commodus , who is just a young man as determined to make rome one way as maximus is determined to make it the other way . 	you actually care about the characters , sometimes even the evil villain commodus , who is just a young man as determined to make rome one way as maximus is determined to make it the other way .	2	-4	 you[0] actually[0] care[1] about[0] the[0] characters[0] sometimes[0] even[0] the[0] evil[-2] villain[-2][-1 MultiplePositiveWords] commodus[0] who[0] is[0] just[0] a[0] young[0] man[0] as[0] determined[0] to[0] make[0] rome[0] one[0] way[0] as[0] maximus[0] is[0] determined[0] to[0] make[0] it[0] the[0] other[0] way[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
phoenix plays his character brilliantly . 	phoenix plays his character brilliantly .	2	-1	 phoenix[0] plays[1] his[0] character[0] brilliantly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
think of commodus as the percy wetmore ( of pant-wetter the green mile ) of the roman empire - a whiny , sleazy , " respect-me-because-my-father-was-a-good-man " brat who hates when he's not the center of attention . 	think of commodus as the percy wetmore ( of pant-wetter the green mile ) of the roman empire - a whiny , sleazy , " respect-me-because-my-father-was-a-good-man " brat who hates when he's not the center of attention .	3	-4	 think[0] of[0] commodus[0] as[0] the[0] percy[0] wetmore[0] of[0] pant[0] wetter[0] the[0] green[0] mile[0] of[0] the[0] roman[0] empire[0] a[0] whiny[0] sleazy[-2] respect[2] me[0] because[0] my[0] father[0] was[0] a[0] good[1] man[0] brat[-1] who[0] hates[-3] when[0] he's[0] not[0] the[0] center[0] of[0] attention[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
every scene we see commodus , he's either crying or he looks like he has just been crying . 	every scene we see commodus , he's either crying or he looks like he has just been crying .	2	-4	 every[0] scene[0] we[0] see[0] commodus[0] he's[0] either[0] crying[-3] or[0] he[0] looks[0] like[1] he[0] has[0] just[0] been[0] crying[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
phoenix has definitely matured as an actor since to die for , and gladiator shows he's more than just river's little brother . 	phoenix has definitely matured as an actor since to die for , and gladiator shows he's more than just river's little brother .	1	-1	 phoenix[0] has[0] definitely[0] matured[0] as[0] an[0] actor[0] since[0] to[0] die[0] for[0] and[0] gladiator[0] shows[0] he's[0] more[0] than[0] just[0] river's[0] little[0] brother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
crowe is also excellent as the film's grisly-faced hero . 	crowe is also excellent as the film's grisly-faced hero .	4	-1	 crowe[0] is[0] also[0] excellent[3] as[0] the[0] film's[0] grisly[0] faced[0] hero[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
maximus is one of the few characters in recent cinema who actually has emotions . 	maximus is one of the few characters in recent cinema who actually has emotions .	1	-1	 maximus[0] is[0] one[0] of[0] the[0] few[0] characters[0] in[0] recent[0] cinema[0] who[0] actually[0] has[0] emotions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this guy actually acts like a anyone in his situation would act , he's no invincible superhero who only blurts out one-liners , he ( believe it or not ) acts like a human being ! 	this guy actually acts like a anyone in his situation would act , he's no invincible superhero who only blurts out one-liners , he ( believe it or not ) acts like a human being !	2	-2	 this[0] guy[0] actually[0] acts[0] like[1] a[0] anyone[0] in[0] his[0] situation[0] would[0] act[0] he's[0] no[0] invincible[0] superhero[0] who[0] only[0] blurts[-1] out[0] one[0] liners[0] he[0] believe[0] it[0] or[0] not[0] acts[0] like[1][NegatedDueToPreviousWord] a[0] human[0] being[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the rest of the cast , including richard harris , djimon hounsou , walter hill , derek jacobi , and connie nielsen are also first rate . 	the rest of the cast , including richard harris , djimon hounsou , walter hill , derek jacobi , and connie nielsen are also first rate .	1	-1	 the[0] rest[0] of[0] the[0] cast[0] including[0] richard[0] harris[0] djimon[0] hounsou[0] walter[0] hill[0] derek[0] jacobi[0] and[0] connie[0] nielsen[0] are[0] also[0] first[0] rate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ridley scott , using outstanding special effects , has brilliantly recreated the roman coliseum , the loudness of the roman mob , and the city of rome in general . 	ridley scot , using outstanding special effects , has brilliantly recreated the roman coliseum , the loudness of the roman mob , and the city of rome in general .	3	-1	 ridley[0] scott/scot[0] using[0] outstanding[2] special[1] effects[0] has[0] brilliantly[1] recreated[0] the[0] roman[0] coliseum[0] the[0] loudness[0] of[0] the[0] roman[0] mob[0] and[0] the[0] city[0] of[0] rome[0] in[0] general[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the visuals are breathtaking and voluminous , like a cleopatra of the year 2000 . 	the visuals are breathtaking and voluminous , like a cleopatra of the year 200 .	2	-1	 the[0] visuals[0] are[0] breathtaking[0] and[0] voluminous[0] like[1] a[0] cleopatra[0] of[0] the[0] year[0] 2000/200[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the costuming is also wonderful from the detailed shields and armor to the exquisite dress of the upper-class politicians . 	the costuming is also wonderful from the detailed shields and armor to the exquisite dress of the upper-class politicians .	3	-1	 the[0] costuming[0] is[0] also[0] wonderful[2] from[0] the[0] detailed[0] shields[0] and[0] armor[0] to[0] the[0] exquisite[0] dress[0] of[0] the[0] upper[0] class[0] politicians[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gladiator is another movie you have to see on the big screen to get the most out of the experience . 	gladiator is another movie you have to see on the big screen to get the most out of the experience .	1	-1	 gladiator[0] is[0] another[0] movie[0] you[0] have[0] to[0] see[0] on[0] the[0] big[0] screen[0] to[0] get[0] the[0] most[0] out[0] of[0] the[0] experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along with u-571 , action fans should have plenty to see in theaters this week and should expect much more excitement to come this summer of 2000 . 	along with you-571 , action fans should have plenty to see in theaters this week and should expect much more excitement to come this summer of 200 .	3	-1	 along[0] with[0] u[0] -571[0] action[0] fans[0] should[0] have[0] plenty[0] to[0] see[0] in[0] theaters[0] this[0] week[0] and[0] should[0] expect[0] much[0] more[0] excitement[2] to[0] come[0] this[0] summer[0] of[0] 2000/200[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
