 " the endurance : shackleton's legendary antarctic expedition " 	Translation	Positive	Negative	EmotionRationale
this ordeal is followed by several attempts by shackleton to get back to elephant island to rescue the remaining crewmen . 	this ordeal is followed by several attempts by shackleton to get back to elephant island to rescue the remaining crewmen .	1	-3	 this[0] ordeal[-2] is[0] followed[0] by[0] several[0] attempts[0] by[0] shackleton[0] to[0] get[0] back[0] to[0] elephant[0] island[0] to[0] rescue[0] the[0] remaining[0] crewmen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the end , he is successful and everyone made it back home alive , only to be swallowed up by the ravages of the war . 	in the end , he is successful and everyone made it back home alive , only to be swallowed up by the ravages of the war .	3	-3	 in[0] the[0] end[0] he[0] is[0] successful[2] and[0] everyone[0] made[0] it[0] back[0] home[0] alive[0] only[0] to[0] be[0] swallowed[0] up[0] by[0] the[0] ravages[-1] of[0] the[0] war[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the title of this fascinating documentary , " the endurance , " is more than just the name of ship that carried the crew of brave men to the edge of the world . 	the title of this fascinating documentary , " the endurance , " is more than just the name of ship that carried the crew of brave men to the edge of the world .	3	-1	 the[0] title[0] of[0] this[0] fascinating[0] documentary[0] the[0] endurance[0] is[0] more[0] than[0] just[0] the[0] name[0] of[0] ship[0] that[0] carried[0] the[0] crew[0] of[0] brave[2] men[0] to[0] the[0] edge[0] of[0] the[0] world[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is also the description of the stamina and ability of every one of the men who survived 19-months of the toughest , most grueling conditions on the face of the earth . 	it is also the description of the stamina and ability of every one of the men who survived 19-months of the toughest , most grueling conditions on the face of the earth .	1	-2	 it[0] is[0] also[0] the[0] description[0] of[0] the[0] stamina[0] and[0] ability[0] of[0] every[0] one[0] of[0] the[0] men[0] who[0] survived[0] 19[0] months[0] of[0] the[0] toughest[-1] most[0] grueling[0] conditions[0] on[0] the[0] face[0] of[0] the[0] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the name of the film is a tribute to every member of the crew and to the ship that sheltered them for many month of frigid antarctic weather . 	the name of the film is a tribute to every member of the crew and to the ship that sheltered them for many month of frigid antarctic weather .	1	-2	 the[0] name[0] of[0] the[0] film[0] is[0] a[0] tribute[0] to[0] every[0] member[0] of[0] the[0] crew[0] and[0] to[0] the[0] ship[0] that[0] sheltered[0] them[0] for[0] many[0] month[0] of[0] frigid[-1] antarctic[0] weather[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it also describes the focused mental state of shackleton who never gave up on himself or his men . 	it also describes the focused mental state of shackleton who never gave up on himself or his men .	1	-1	 it[0] also[0] describes[0] the[0] focused[0] mental[0] state[0] of[0] shackleton[0] who[0] never[0] gave[0] up[0] on[0] himself[0] or[0] his[0] men[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with astonishing foresight , shackleton brought australian cinematographer and photographer frank hurley along on the journey . 	with astonishing foresight , shackleton brought australian cinematographer and photographer frank hurley along on the journey .	1	-1	 with[0] astonishing[0] foresight[0] shackleton[0] brought[0] australian[0] cinematographer[0] and[0] photographer[0] frank[0] hurley[0] along[0] on[0] the[0] journey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the filmed footage and photos are remarkable as they capture the ordeal of the men , day to day life , the affection all felt for their loyal sled dogs , the slow destruction of the endurance and the preparations to get off of the pack ice flow . 	the filmed footage and photos are remarkable as they capture the ordeal of the men , day to day life , the affection all felt for their loyal sled dogs , the slow destruction of the endurance and the preparations to get off of the pack ice flow .	3	-3	 the[0] filmed[0] footage[0] and[0] photos[0] are[0] remarkable[0] as[0] they[0] capture[-1] the[0] ordeal[-2] of[0] the[0] men[0] day[0] to[0] day[0] life[0] the[0] affection[2] all[0] felt[0] for[0] their[0] loyal[1] sled[0] dogs[0] the[0] slow[0] destruction[-1] of[0] the[0] endurance[0] and[0] the[0] preparations[0] to[0] get[0] off[0] of[0] the[0] pack[0] ice[0] flow[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
after the sinking of the ship , the remaining film stock , with the exception of a still camera and three rolls of film , had to be discarded so the continuing chronicle of the incredible journey gets less photo documentation as the ordeal plods on . 	after the sinking of the ship , the remaining film stock , with the exception of a still camera and three rolls of film , had to be discarded so the continuing chronicle of the incredible journey gets less photo documentation as the ordeal plods on .	1	-3	 after[0] the[0] sinking[0] of[0] the[0] ship[0] the[0] remaining[0] film[0] stock[0] with[0] the[0] exception[0] of[0] a[0] still[0] camera[0] and[0] three[0] rolls[0] of[0] film[0] had[0] to[0] be[0] discarded[0] so[0] the[0] continuing[0] chronicle[0] of[0] the[0] incredible[0] journey[0] gets[0] less[0] photo[0] documentation[0] as[0] the[0] ordeal[-2] plods[0] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
considering hurley was using relatively primitive photo technology in one of the world's harshest environments and captured so much on film is a feat unto itself . 	considering hurley was using relatively primitive photo technology in one of the world's harshest environments and captured so much on film is a feat unto itself .	1	-2	 considering[0] hurley[0] was[0] using[0] relatively[0] primitive[0] photo[0] technology[0] in[0] one[0] of[0] the[0] world's[0] harshest[0] environments[0] and[0] captured[-1] so[0] much[0] on[0] film[0] is[0] a[0] feat[0] unto[0] itself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( hurley created his own account of the shackleton expedition in his 1919 documentary , " south , " an interesting companion piece for " the endurance . " 	 ( hurley created his own account of the shackleton expedition in his 1919 documentary , " south , " an interesting companion piece for " the endurance .<br> "	2	-1	 hurley[0] created[0] his[0] own[0] account[0] of[0] the[0] shackleton[0] expedition[0] in[0] his[0] 1919[0] documentary[0] south[0] an[0] interesting[1] companion[0] piece[0] for[0] the[0] endurance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if shackleton's original idea , document his trek across the frigid southern continent , had been successful , it would have been considered a super human feat . 	if shackleton's original idea , document his trek across the frigid southern continent , had been successful , it would have been considered a super human feat .	3	-2	 if[0] shackleton's[0] original[0] idea[0] document[0] his[0] trek[0] across[0] the[0] frigid[-1] southern[0] continent[0] had[0] been[0] successful[2] it[0] would[0] have[0] been[0] considered[0] a[0] super[2] human[0] feat[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as you watch the story of " the endurance " unfold , you realize that the disastrous obstacles the sir ernest and his men faced and overcame were even greater accomplishments than the first intent . 	as you watch the story of " the endurance " unfold , you realize that the disastrous obstacles the sir ernest and his men faced and overcame were even greater accomplishments than the first intent .	3	-4	 as[0] you[0] watch[0] the[0] story[0] of[0] the[0] endurance[0] unfold[0] you[0] realize[0] that[0] the[0] disastrous[-3] obstacles[-1] the[0] sir[0] ernest[0] and[0] his[0] men[0] faced[0] and[0] overcame[0] were[0] even[0] greater[2] accomplishments[1] than[0] the[0] first[0] intent[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 ( shackleton's amazing 800-mile journey in an open boat is fodder for a rousing adventure story all by itself . ) 	 ( shackleton's amazing 800-mile journey in an open boat is fodder for a rousing adventure story all by itself .<br> )	3	-1	 shackleton's[0] amazing[2] 800[0] mile[0] journey[0] in[0] an[0] open[0] boat[0] is[0] fodder[0] for[0] a[0] rousing[0] adventure[0] story[0] all[0] by[0] itself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are a couple of minor nitpicks with this fine work , though . 	there are a couple of minor nitpicks with this fine work , though .	3	-1	 there[0] are[0] a[0] couple[0] of[0] minor[0] nitpicks[0] with[0] this[0] fine[2] work[0] though[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
actor liam neeson narrates the story , but his voice is too soft spoken and lilting for the dramatic tale . 	actor liam neeson narrates the story , but his voice is too soft spoken and lilting for the dramatic tale .	1	-1	 actor[0] liam[0] neeson[0] narrates[0] the[0] story[0] but[0] his[0] voice[0] is[0] too[0] soft[0] spoken[0] and[0] lilting[0] for[0] the[0] dramatic[0] tale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the nature of the ordeal also concentrates most of the visual material , both film and photo , in the documentary's first half . 	the nature of the ordeal also concentrates most of the visual material , both film and photo , in the documentary's first half .	1	-3	 the[0] nature[0] of[0] the[0] ordeal[-2] also[0] concentrates[0] most[0] of[0] the[0] visual[0] material[0] both[0] film[0] and[0] photo[0] in[0] the[0] documentary's[0] first[0] half[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the crew's adventure takes more drastic paths , hurley had less and less film stock available to chronicle the awesome events . 	as the crew's adventure takes more drastic paths , hurley had less and less film stock available to chronicle the awesome events .	3	-1	 as[0] the[0] crew's[0] adventure[0] takes[0] more[0] drastic[0] paths[0] hurley[0] had[0] less[0] and[0] less[0] film[0] stock[0] available[0] to[0] chronicle[0] the[0] awesome[2] events[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
helmer butler and his team fill in the blanks , but the treasure of " the endurance , " its film footage , is mostly relegated to the early months of the expedition . 	helmer butler and his team fill in the blanks , but the treasure of " the endurance , " its film footage , is mostly relegated to the early months of the expedition .	2	-1	 helmer[0] butler[0] and[0] his[0] team[0] fill[0] in[0] the[0] blanks[0] but[0] the[0] treasure[1] of[0] the[0] endurance[0] its[0] film[0] footage[0] is[0] mostly[0] relegated[0] to[0] the[0] early[0] months[0] of[0] the[0] expedition[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can't think of a true-life adventure that shows , better , the triumph of man over seemingly insurmountable odds . 	i can't think of a true-life adventure that shows , better , the triumph of man over seemingly insurmountable odds .	3	-1	 i[0] can't[0] think[0] of[0] a[0] true[1] life[0] adventure[0] that[0] shows[0] better[0] the[0] triumph[2] of[0] man[0] over[0] seemingly[0] insurmountable[0] odds[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " the endurance , " based on caroline alexander's book , is an eye-opening documentary that goes where few men have gone before and , even more remarkably , all 28 survivors lived to tell about it . 	 " the endurance , " based on caroline alexander's book , is an eye-opening documentary that goes where few men have gone before and , even more remarkably , all 28 survivors lived to tell about it .	1	-1	 the[0] endurance[0] based[0] on[0] caroline[0] alexander's[0] book[0] is[0] an[0] eye[0] opening[0] documentary[0] that[0] goes[0] where[0] few[0] men[0] have[0] gone[0] before[0] and[0] even[0] more[0] remarkably[0] all[0] 28[0] survivors[0] lived[0] to[0] tell[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i give it a b  . 	i give it a b  .	1	-1	 i[0] give[0] it[0] a[0] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
