james cmaeron's breakthrough feature was the first of his films to showcase his obsession with technology and more specfically technology run amok . 	Translation	Positive	Negative	EmotionRationale
children watch the flames in a burning television . 	children watch the flames in a burning television .	1	-2	 children[0] watch[0] the[0] flames[0] in[0] a[0] burning[-1] television[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the terminator arrives in 1984 an almost biblical lightning storm precedes him . 	when the terminator arrives in 1984 an almost biblical lightning storm precedes him .	1	-2	 when[0] the[0] terminator[0] arrives[0] in[0] 1984[0] an[0] almost[0] biblical[0] lightning[0] storm[-1] precedes[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even though the " future is not set , " there is no doubt about where the world is headed at the end of the movie : the machines will rise and the humans will have to struggle for their very existence . 	even though the " future is not set , " there is no doubt about where the world is headed at the end of the movie : the machines will rise and the humans will have to struggle for their very existence .	1	-2	 even[0] though[0] the[0] future[0] is[0] not[0] set[0] there[0] is[0] no[0] doubt[-1] about[0] where[0] the[0] world[0] is[0] headed[0] at[0] the[0] end[0] of[0] the[0] movie[0] the[0] machines[0] will[0] rise[0] and[0] the[0] humans[0] will[0] have[0] to[0] struggle[-1] for[0] their[0] very[0] existence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all sara can do is await it . 	all sara can do is await it .	1	-1	 all[0] sara[0] can[0] do[0] is[0] await[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( cameron doesn't wimp out like he does in terminator 2 ) 	 ( cameron doesn't wimp out like he does in terminator 2 )	2	-3	 cameron[0] doesn't[0] wimp[-2] out[0] like[1] he[0] does[0] in[0] terminator[0] 2[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the end of the world is the human race's own fault , too . 	the end of the world is the human race's own fault , too .	1	-2	 the[0] end[0] of[0] the[0] world[0] is[0] the[0] human[0] race's[0] own[0] fault[-1] too[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after all it is the humans that created in the evil machines in the first place . 	after all it is the humans that created in the evil machines in the first place .	1	-3	 after[0] all[0] it[0] is[0] the[0] humans[0] that[0] created[0] in[0] the[0] evil[-2] machines[0] in[0] the[0] first[0] place[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
back in 1984 , when the cold war was still in full effect , the film must have been seen as a very apt metaphor for nuclear war ( another obsession of cameron's ) . 	back in 1984 , when the cold war was still in full effect , the film must have been seen as a very apt metaphor for nuclear war ( another obsession of cameron's ) .	1	-3	 back[0] in[0] 1984[0] when[0] the[0] cold[-1] war[-2] was[0] still[0] in[0] full[0] effect[0] the[0] film[0] must[0] have[0] been[0] seen[0] as[0] a[0] very[0] apt[0] metaphor[0] for[0] nuclear[0] war[-2] another[0] obsession[-2] of[0] cameron's[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
these days , one can read a criticism of machine-like behavior in humans . 	these days , one can read a criticism of machine-like behavior in humans .	2	-2	 these[0] days[0] one[0] can[0] read[0] a[0] criticism[-1] of[0] machine[0] like[1] behavior[0] in[0] humans[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
true , humanizing touches are put into paul winfield's and lance henriksen's detective characters , but the terminator is also able to move through the city undetected . 	true , humanizing touches are put into paul winfield's and lance henriksen's detective characters , but the terminator is also able to move through the city undetected .	2	-1	 true[1] humanizing[0] touches[0] are[0] put[0] into[0] paul[0] winfield's[0] and[0] lance[0] henriksen's[0] detective[0] characters[0] but[0] the[0] terminator[0] is[0] also[0] able[0] to[0] move[0] through[0] the[0] city[0] undetected[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cameron also draw parallels between the mechanical efficiency between the terminator and reese when they first arrive in 1984 la . 	cameron also draw parallels between the mechanical efficiency between the terminator and reese when they first arrive in 1984 la .	1	-1	 cameron[0] also[0] draw[0] parallels[0] between[0] the[0] mechanical[0] efficiency[0] between[0] the[0] terminator[0] and[0] reese[0] when[0] they[0] first[0] arrive[0] in[0] 1984[0] la[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from a technical standpoint the terminator is very well done . 	from a technical standpoint the terminator is very well done .	1	-1	 from[0] a[0] technical[0] standpoint[0] the[0] terminator[0] is[0] very[0] well[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
arnold schwarzenegger is a perfect antagonist--unstoppable , merciless , obdurate . 	arnold schwarzenegger is a perfect antagonist-unstoppable , merciless , obdurate .	2	-2	 arnold[0] schwarzenegger[0] is[0] a[0] perfect[1] antagonist[-1] unstoppable[0] merciless[-1] obdurate[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we are not meant to empathize with this ultimate killing machine as we are in some of schwarzenegger's later works ( eg , commando ) , but fear him . 	we are not meant to empathize with this ultimate killing machine as we are in some of schwarzenegger's later works ( eg , commando ) , but fear him .	1	-4	 we[0] are[0] not[0] meant[0] to[0] empathize[0] with[0] this[0] ultimate[0] killing[-1] machine[0] as[0] we[0] are[0] in[0] some[0] of[0] schwarzenegger's[0] later[0] works[0] eg[0] commando[0] but[0] fear[-3] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
cameron and hurd's script basically depicts a one hour and forty-five minute chase , taking a few moments here and there to explain time travel and develop the romantic subplot . 	cameron and hurd's script basically depicts a one hour and forty-five minute chase , taking a few moments here and there to explain time travel and develop the romantic subplot .	4	-2	 cameron[0] and[0] hurd's[0] script[0] basically[0] depicts[0] a[0] one[0] hour[0] and[0] forty[0] five[0] minute[0] chase[-1] taking[0] a[0] few[0] moments[0] here[0] and[0] there[0] to[0] explain[0] time[0] travel[0] and[0] develop[0] the[0] romantic[3] subplot[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
while we do see the hackneyed dialogue cameron is now so well known for , there is also considerable suspense especially for the first time viewer who may be unsure of kyle reese's intentions . 	while we do see the hackneyed dialogue cameron is now so well known for , there is also considerable suspense especially for the first time viewer who may be unsure of kyle reese's intentions .	1	-1	 while[0] we[0] do[0] see[0] the[0] hackneyed[0] dialogue[0] cameron[0] is[0] now[0] so[0] well[0] known[0] for[0] there[0] is[0] also[0] considerable[0] suspense[0] especially[0] for[0] the[0] first[0] time[0] viewer[0] who[0] may[0] be[0] unsure[0] of[0] kyle[0] reese's[0] intentions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cameron directs the film at a rapid , kinetic pace . 	cameron directs the film at a rapid , kinetic pace .	1	-1	 cameron[0] directs[0] the[0] film[0] at[0] a[0] rapid[0] kinetic[0] pace[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
either the camera is moving or something within the frame is moving--usually both occurs . 	either the camera is moving or something within the frame is moving-usually both occurs .	1	-1	 either[0] the[0] camera[0] is[0] moving[0] or[0] something[0] within[0] the[0] frame[0] is[0] moving[0] usually[0] both[0] occurs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the violence is not particularly graphic ( temple of doom's heart-pull scene outgrosses the terminator's ) , but it is brutally staged making it that much more effective . 	the violence is not particularly graphic ( temple of doom's heart-pull scene outgrosses the terminator's ) , but it is brutally staged making it that much more effective .	1	-4	 the[0] violence[-3] is[0] not[0] particularly[0] graphic[0] temple[0] of[0] doom's[-1] heart[0] pull[0] scene[0] outgrosses[0] the[0] terminator's[0] but[0] it[0] is[0] brutally[-2] staged[0] making[0] it[0] that[0] much[0] more[0] effective[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for a low budget film , the terminator's special effects and art direction ( especially in 2029 la ) are remarkably well done . 	for a low budget film , the terminator's special effects and art direction ( especially in 2029 la ) are remarkably well done .	2	-2	 for[0] a[0] low[-1] budget[0] film[0] the[0] terminator's[0] special[1] effects[0] and[0] art[0] direction[0] especially[0] in[0] 2029[0] la[0] are[0] remarkably[0] well[0] done[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
special mention should be made of the stop motion effects work at the end of the film depicting the terminator endoskeleton . 	special mention should be made of the stop motion effects work at the end of the film depicting the terminator endoskeleton .	2	-1	 special[1] mention[0] should[0] be[0] made[0] of[0] the[0] stop[0] motion[0] effects[0] work[0] at[0] the[0] end[0] of[0] the[0] film[0] depicting[0] the[0] terminator[0] endoskeleton[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is some of the best stop motion i have ever seen . 	it is some of the best stop motion i have ever seen .	2	-1	 it[0] is[0] some[0] of[0] the[0] best[1] stop[0] motion[0] i[0] have[0] ever[0] seen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one thing that doesn't hold up after all the years , however , is linda hamilton's hairdo . 	one thing that doesn't hold up after all the years , however , is linda hamilton's hairdo .	1	-1	 one[0] thing[0] that[0] doesn't[0] hold[0] up[0] after[0] all[0] the[0] years[0] however[0] is[0] linda[0] hamilton's[0] hairdo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
