well i'll be damned . . . 	Translation	Positive	Negative	EmotionRationale
all of the main characters are compelling as they try and do whatever it is they need to do on their last night on earth . 	all of the main characters are compelling as they try and do whatever it is they need to do on their last night on earth .	1	-1	 all[0] of[0] the[0] main[0] characters[0] are[0] compelling[0] as[0] they[0] try[0] and[0] do[0] whatever[0] it[0] is[0] they[0] need[0] to[0] do[0] on[0] their[0] last[0] night[0] on[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
craig ( callum keith rennie ) tries to fulfill all his sexual fantasies , a gas company employee ( david cronenberg ) calls every customer letting them know the gas will be flowing until the very end and thanks them for their business , and patrick ( mckellar ) just wants to be by himself but isn't having much success . 	craig ( callum keith rennie ) tries to fulfil all his sexual fantasies , a gas company employee ( david cronenberg ) calls every customer letting them know the gas will be flowing until the very end and thanks them for their business , and patrick ( mckellar ) just wants to be by himself but isn't having much success .	3	-1	 craig[0] callum[0] keith[0] rennie[0] tries[0] to[0] fulfill/fulfil[0] all[0] his[0] sexual[0] fantasies[0] a[0] gas[0] company[0] employee[0] david[0] cronenberg[0] calls[0] every[0] customer[0] letting[0] them[0] know[0] the[0] gas[0] will[0] be[0] flowing[0] until[0] the[0] very[0] end[0] and[0] thanks[1] them[0] for[0] their[0] business[0] and[0] patrick[0] mckellar[0] just[0] wants[0] to[0] be[0] by[0] himself[0] but[0] isn't[0] having[0] much[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even minor characters keep popping up where you least expect them to , tying everyone even closer . 	even minor characters keep popping up where you least expect them to , tying everyone even closer .	1	-1	 even[0] minor[0] characters[0] keep[0] popping[0] up[0] where[0] you[0] least[0] expect[0] them[0] to[0] tying[0] everyone[0] even[0] closer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
things seemed a little hokey towards the beginning of the film , but ultimately everything comes together nicely ( although it's not a happy film . . . 	things seemed a little hokey towards the beginning of the film , but ultimately everything comes together nicely ( although it's not a happy film .<br> .<br> .	2	-2	 things[0] seemed[0] a[0] little[0] hokey[0] towards[0] the[0] beginning[0] of[0] the[0] film[0] but[0] ultimately[0] everything[0] comes[0] together[0] nicely[1] although[0] it's[0] not[0] a[0] happy[1][NegatedDueToPreviousWord] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
some moments are understandably gut-wrenching ) . 	some moments are understandably gut-wrenching ) .	1	-1	 some[0] moments[0] are[0] understandably[0] gut[0] wrenching[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story is enhanced by some unexpected humor and very realistic performances , particularly from sandra oh , whose character is just trying to get home to her husband before the end . 	the story is enhanced by some unexpected humor and very realistic performances , particularly from sandra oh , whose character is just trying to get home to her husband before the end .	3	-1	 the[0] story[0] is[0] enhanced[0] by[0] some[0] unexpected[0] humor[2] and[0] very[0] realistic[0] performances[0] particularly[0] from[0] sandra[0] oh[0] whose[0] character[0] is[0] just[0] trying[0] to[0] get[0] home[0] to[0] her[0] husband[0] before[0] the[0] end[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i have absolutely no problem that the reason for the end of the world is never given , nor does it bother me that the world is ending at exactly 12 midnight ( in toronto anyway ) . 	i have absolutely no problem that the reason for the end of the world is never given , nor does it bother me that the world is ending at exactly 12 midnight ( in toronto anyway ) .	1	-2	 i[0] have[0] absolutely[0] no[0] problem[-1] that[0] the[0] reason[0] for[0] the[0] end[0] of[0] the[0] world[0] is[0] never[0] given[0] nor[0] does[0] it[0] bother[-1] me[0] that[0] the[0] world[0] is[0] ending[0] at[0] exactly[0] 12[0] midnight[0] in[0] toronto[0] anyway[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but i do wonder why the sun never sets . 	but i do wonder why the sun never sets .	1	-1	 but[0] i[0] do[0] wonder[0] why[0] the[0] sun[0] never[0] sets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
come midnight , the sun is still shining brightly . 	come midnight , the sun is still shining brightly .	1	-1	 come[0] midnight[0] the[0] sun[0] is[0] still[0] shining[0] brightly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe the sun is crashing into the earth . . . 	maybe the sun is crashing into the earth .<br> .<br> .	1	-1	 maybe[0] the[0] sun[0] is[0] crashing[0] into[0] the[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who knows . 	who knows .	1	-1	 who[0] knows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , it's comforting to know that in mankind's final moments on the planet , people will still gang up on the street for the sheer purpose of pushing over a car or a bus ( that's not a shot at this film mind you . . . 	also , it's comforting to know that in mankind's final moments on the planet , people will still gang up on the street for the sheer purpose of pushing over a car or a bus ( that's not a shot at this film mind you .<br> .<br> .	2	-1	 also[0] it's[0] comforting[1] to[0] know[0] that[0] in[0] mankind's[0] final[0] moments[0] on[0] the[0] planet[0] people[0] will[0] still[0] gang[0] up[0] on[0] the[0] street[0] for[0] the[0] sheer[0] purpose[0] of[0] pushing[0] over[0] a[0] car[0] or[0] a[0] bus[0] that's[0] not[0] a[0] shot[-1][NegatedDueToPreviousWord] at[0] this[0] film[0] mind[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i know people are just stupid and truly would be out in the street tipping over cars ) . 	i know people are just stupid and truly would be out in the street tipping over cars ) .	2	-1	 i[0] know[0] people[0] are[0] just[0] stupid[-1][--1 LastWordBoosterStrength] and[0] truly[1] would[0] be[0] out[0] in[0] the[0] street[0] tipping[0] over[0] cars[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
last night is available on dvd from universal home video . 	last night is available on dvd from universal home video .	1	-1	 last[0] night[0] is[0] available[0] on[0] dvd[0] from[0] universal[0] home[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it contains the film in fullscreen format and includes the original theatrical trailer . 	it contains the film in fullscreen format and includes the original theatrical trailer .	1	-1	 it[0] contains[0] the[0] film[0] in[0] fullscreen[0] format[0] and[0] includes[0] the[0] original[0] theatrical[0] trailer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[r] 	[r]	1	-1	 [r][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
