lisa cholodenko's " high art , " is an intelligent , quiet drama . 	Translation	Positive	Negative	EmotionRationale
the film in no way is about lesbianism , but about love , which was a refreshing change of pace from the usual stereotypical portraits of homosexuality . 	the film in no way is about lesbianism , but about love , which was a refreshing change of pace from the usual stereotypical portraits of homosexuality .	3	-1	 the[0] film[0] in[0] no[0] way[0] is[0] about[0] lesbianism[0] but[0] about[0] love[2] which[0] was[0] a[0] refreshing[0] change[0] of[0] pace[0] from[0] the[0] usual[0] stereotypical[0] portraits[0] of[0] homosexuality[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as lucy and syd grow closer and closer together , we really do believe that they are falling in love with each other , even if the relationship might be doomed . 	as lucy and syd grow closer and closer together , we really do believe that they are falling in love with each other , even if the relationship might be doomed .	3	-2	 as[0] lucy[0] and[0] syd[0] grow[0] closer[0] and[0] closer[0] together[0] we[0] really[0] do[0] believe[0] that[0] they[0] are[0] falling[0] in[0] love[2] with[0] each[0] other[0] even[0] if[0] the[0] relationship[0] might[0] be[0] doomed[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
with this picture , ally sheedy's star has risen once again , thanks to her touching , nearly flawless portrtayal of lucy , a woman who , in the course of a decade , has found her life consumed almost entirely by drugs , which has taken away her once-blossoming career . 	with this picture , ally sheedy's star has risen once again , thanks to her touching , nearly flawless portrtayal of lucy , a woman who , in the course of a decade , has found her life consumed almost entirely by drugs , which has taken away her once-blossoming career .	2	-1	 with[0] this[0] picture[0] ally[0] sheedy's[0] star[0] has[0] risen[0] once[0] again[0] thanks[1] to[0] her[0] touching[0] nearly[0] flawless[1] portrtayal[0] of[0] lucy[0] a[0] woman[0] who[0] in[0] the[0] course[0] of[0] a[0] decade[0] has[0] found[0] her[0] life[0] consumed[0] almost[0] entirely[0] by[0] drugs[0] which[0] has[0] taken[0] away[0] her[0] once[0] blossoming[0] career[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her characted really is tragic , and one particular scene involving lucy and her mother , in which lucy admits to her that she has a drug problem , and her mother matter-of-factly responds by saying she can't help her , is heartbreaking . 	her characted really is tragic , and one particular scene involving lucy and her mother , in which lucy admits to her that she has a drug problem , and her mother matter-of-factly responds by saying she can't help her , is heartbreaking .	1	-4	 her[0] characted[0] really[0] is[0] tragic[-2] and[0] one[0] particular[0] scene[0] involving[0] lucy[0] and[0] her[0] mother[0] in[0] which[0] lucy[0] admits[0] to[0] her[0] that[0] she[0] has[0] a[0] drug[0] problem[-1] and[0] her[0] mother[0] matter[0] of[0] factly[0] responds[0] by[0] saying[0] she[0] can't[0] help[0] her[0] is[0] heartbreaking[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although not autobiographical , sheedy has had drug problems in her past , and i suspect she brought that knowledge of already being in lucy's footsteps to her role . 	although not autobiographical , sheedy has had drug problems in her past , and i suspect she brought that knowledge of already being in lucy's footsteps to her role .	1	-2	 although[0] not[0] autobiographical[0] sheedy[0] has[0] had[0] drug[0] problems[-1] in[0] her[0] past[0] and[0] i[0] suspect[-1] she[0] brought[0] that[0] knowledge[0] of[0] already[0] being[0] in[0] lucy's[0] footsteps[0] to[0] her[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also very good is radha mitchell as syd , who previously starred in the slight 1997 australian comedy , " love and other catastrophes , " wh caught me by surprise with her performance . 	also very good is radha mitchell as syd , who previously starred in the slight 1997 australian comedy , " love and other catastrophes , " wh caught me by surprise with her performance .	3	-1	 also[0] very[0] good[1][1 LastWordBoosterStrength] is[0] radha[0] mitchell[0] as[0] syd[0] who[0] previously[0] starred[0] in[0] the[0] slight[0] 1997[0] australian[0] comedy[0] love[2] and[0] other[0] catastrophes[0] wh[0] caught[0] me[0] by[0] surprise[0] with[0] her[0] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
easily being able to pass as christina ricci's older sister , mitchell obtains the same natural charisma that has made ricci so popular recently . 	easily being able to pass as christina ricci's older sister , mitchell obtains the same natural charisma that has made ricci so popular recently .	1	-1	 easily[0] being[0] able[0] to[0] pass[0] as[0] christina[0] ricci's[0] older[0] sister[0] mitchell[0] obtains[0] the[0] same[0] natural[0] charisma[0] that[0] has[0] made[0] ricci[0] so[0] popular[0] recently[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as accurate as almost every detail is in , " high art , " i wish the relationship had been more tightly written involving syd and james , who , played by gabriel mann , is left with a throwaway role . 	as accurate as almost every detail is in , " high art , " i wish the relationship had been more tightly written involving syd and james , who , played by gabriel man , is left with a throwaway role .	1	-1	 as[0] accurate[0] as[0] almost[0] every[0] detail[0] is[0] in[0] high[0] art[0] i[0] wish[0] the[0] relationship[0] had[0] been[0] more[0] tightly[0] written[0] involving[0] syd[0] and[0] james[0] who[0] played[0] by[0] gabriel[0] mann/man[0] is[0] left[0] with[0] a[0] throwaway[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the time he finds out about syd and lucy , he disappears from the film , and i wish there had been another scene where they confronted each other . 	by the time he finds out about syd and lucy , he disappears from the film , and i wish there had been another scene where they confronted each other .	1	-3	 by[0] the[0] time[0] he[0] finds[0] out[0] about[0] syd[0] and[0] lucy[0] he[0] disappears[0] from[0] the[0] film[0] and[0] i[0] wish[0] there[0] had[0] been[0] another[0] scene[0] where[0] they[0] confronted[-2] each[0] other[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is a very minor fault , however , in a film that is full of riches . 	this is a very minor fault , however , in a film that is full of riches .	1	-2	 this[0] is[0] a[0] very[0] minor[0] fault[-1] however[0] in[0] a[0] film[0] that[0] is[0] full[0] of[0] riches[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although many of the characters are stuck in a hopeless pit of despair , syd and lucy are intelligent people who recognize their problems . 	although many of the characters are stuck in a hopeless pit of despair , syd and lucy are intelligent people who recognize their problems .	2	-4	 although[0] many[0] of[0] the[0] characters[0] are[0] stuck[0] in[0] a[0] hopeless[-3] pit[0] of[0] despair[-3] syd[0] and[0] lucy[0] are[0] intelligent[1] people[0] who[0] recognize[0] their[0] problems[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the character of dominique ( anh duong ) , the " frame " editor who decides to give syd a chance with her ideas , was also written to be far more mature than expected . 	the character of dominique ( anh duong ) , the " frame " editor who decides to give syd a chance with her ideas , was also written to be far more mature than expected .	1	-1	 the[0] character[0] of[0] dominique[0] anh[0] duong[0] the[0] frame[0] editor[0] who[0] decides[0] to[0] give[0] syd[0] a[0] chance[0] with[0] her[0] ideas[0] was[0] also[0] written[0] to[0] be[0] far[0] more[0] mature[0] than[0] expected[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the one sex scene in the film was beautifully and originally done . 	and the one sex scene in the film was beautifully and originally done .	3	-1	 and[0] the[0] one[0] sex[0] scene[0] in[0] the[0] film[0] was[0] beautifully[2] and[0] originally[0] done[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for once , it did not invlove steaminess , or violent sexual activity , or gratuitous nudity , but focused on the actual characters , who love each other , and their insecurities involved in making the decision to actually have sex . 	for once , it did not invlove steaminess , or violent sexual activity , or gratuitous nudity , but focused on the actual characters , who love each other , and their insecurities involved in making the decision to actually have sex .	3	-3	 for[0] once[0] it[0] did[0] not[0] invlove[0] steaminess[0] or[0] violent[-2] sexual[0] activity[0] or[0] gratuitous[-1] nudity[0] but[0] focused[0] on[0] the[0] actual[0] characters[0] who[0] love[2] each[0] other[0] and[0] their[0] insecurities[-1] involved[0] in[0] making[0] the[0] decision[0] to[0] actually[0] have[0] sex[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " high art , " which won the screenwriting award at the 1998 sundance film festival , marks the superior feature film debut of cholodenko , as well as sheedy's strongest , and best , role to date . 	 " high art , " which won the screenwriting award at the 1998 sundance film festival , marks the superior feature film debut of cholodenko , as well as sheedy's strongest , and best , role to date .	3	-1	 high[0] art[0] which[0] won[0] the[0] screenwriting[0] award[0] at[0] the[0] 1998[0] sundance[0] film[0] festival[0] marks[0] the[0] superior[2] feature[0] film[0] debut[0] of[0] cholodenko[0] as[0] well[0] as[0] sheedy's[0] strongest[0] and[0] best[1] role[0] to[0] date[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
