linda fiorentino disappeared off the radar after a deservedly heralded turn in the cable pic the last seduction , and her being cast as dogma's lead is nothing short of inexplicable . 	Translation	Positive	Negative	EmotionRationale
it's a nasty , guiltily enjoyable little scene that asks , " how corrupt are you ? " . 	it's a nasty , guiltily enjoyable little scene that asks , " how corrupt are you ?<br> " .	3	-5	 it's[0] a[0] nasty[-2] guiltily[-3][-1 MultiplePositiveWords] enjoyable[2] little[0] scene[0] that[0] asks[0] how[0] corrupt[-2] are[0] you[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
wings of desire this ain't . 	wings of desire this ain't .	1	-1	 wings[0] of[0] desire[0] this[0] ain't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since debuting with clerks , smith has grown as a director , particularly in terms of working with actors . 	since debuting with clerks , smith has grown as a director , particularly in terms of working with actors .	1	-1	 since[0] debuting[0] with[0] clerks[0] smith[0] has[0] grown[0] as[0] a[0] director[0] particularly[0] in[0] terms[0] of[0] working[0] with[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( chris rock is this film's only weak link-between jokes , he's wooden . ) 	 ( chris rock is this film's only weak link-between jokes , he's wooden .<br> )	2	-2	 chris[0] rock[1] is[0] this[0] film's[0] only[0] weak[-1] link[0] between[0] jokes[1] he's[0] wooden[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his no-frills visual style hasn't changed much over the years , though ( dogma's widescreen compositions at least have blockbuster affectations ) , nor has his writing-his characters still sit around delivering one caustic , hilarious speech after another . 	his no-frills visual style hasn't changed much over the years , though ( dogma's widescreen compositions at least have blockbuster affectations ) , nor has his writing-his characters still sit around delivering one caustic , hilarious speech after another .	3	-2	 his[0] no[0] frills[0] visual[0] style[0] hasn't[0] changed[0] much[0] over[0] the[0] years[0] though[0] dogma's[0] widescreen[0] compositions[0] at[0] least[0] have[0] blockbuster[-1] affectations[-1] nor[0] has[0] his[0] writing[0] his[0] characters[0] still[0] sit[0] around[0] delivering[0] one[0] caustic[0] hilarious[2] speech[0] after[0] another[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
dogma chips away at big religious issues-namely , the hypocrisy that accompanies any organized system of beliefs-eloquently and articulately , but a few of the monologues sound too much like blatant exposition . 	dogma chips away at big religious issues-namely , the hypocrisy that accompanies any organized system of beliefs-eloquently and articulately , but a few of the monologues sound too much like blatant exposition .	2	-2	 dogma[0] chips[0] away[0] at[0] big[0] religious[0] issues[0] namely[0] the[0] hypocrisy[-1] that[0] accompanies[0] any[0] organized[0] system[0] of[0] beliefs[0] eloquently[0] and[0] articulately[0] but[0] a[0] few[0] of[0] the[0] monologues[0] sound[0] too[0] much[0] like[1] blatant[-1] exposition[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as well , the verbal introduction of each new person seems to take forever . 	as well , the verbal introduction of each new person seems to take forever .	1	-1	 as[0] well[0] the[0] verbal[0] introduction[0] of[0] each[0] new[0] person[0] seems[0] to[0] take[0] forever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
any movie with this much weighty talk would have a hard time maintaining momentum ( hurlyburly , anyone ? ) , and eventually dogma's pacing goes slack . 	any movie with this much weighty talk would have a hard time maintaining momentum ( hurlyburly , anyone ?<br> ) , and eventually dogma's pacing goes slack .	1	-1	 any[0] movie[0] with[0] this[0] much[0] weighty[0] talk[0] would[0] have[0] a[0] hard[0] time[0] maintaining[0] momentum[0] hurlyburly[0] anyone[0] [[Sentence=-1,1=word max, 1-5]] and[0] eventually[0] dogma's[0] pacing[0] goes[0] slack[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a long diatribe from bartleby late in the game , in which he laments the destiny of celestial beings , comes at a point when we've heard enough . 	a long diatribe from bartleby late in the game , in which he laments the destiny of celestial beings , comes at a point when we've heard enough .	1	-2	 a[0] long[0] diatribe[0] from[0] bartleby[0] late[0] in[0] the[0] game[0] in[0] which[0] he[0] laments[-1] the[0] destiny[0] of[0] celestial[0] beings[0] comes[0] at[0] a[0] point[0] when[0] we've[0] heard[0] enough[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because his change of heart ( bartleby is initially the good cop to loki's bad ) drives the climax , said rant is given a great deal of screen time . 	because his change of heart ( bartleby is initially the good cop to loki's bad ) drives the climax , said rant is given a great deal of screen time .	3	-2	 because[0] his[0] change[0] of[0] heart[0] bartleby[0] is[0] initially[0] the[0] good[1] cop[0] to[0] loki's[0] bad[-1] drives[0] the[0] climax[0] said[0] rant[0] is[0] given[0] a[0] great[2] deal[0] of[0] screen[0] time[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sure , affleck deserved a big moment ( damon steals their scenes together prior ) , but it ultimately makes the film and us feel bloated . 	sure , affleck deserved a big moment ( damon steals their scenes together prior ) , but it ultimately makes the film and us feel bloated .	1	-3	 sure[0] affleck[0] deserved[0] a[0] big[0] moment[0] damon[0] steals[-2] their[0] scenes[0] together[0] prior[0] but[0] it[0] ultimately[0] makes[0] the[0] film[0] and[0] us[0] feel[0] bloated[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like tarantino , smith was a video-age sponge who became a sample-mad indie filmmaker . 	like tarantino , smith was a video-age sponge who became a sample-mad indie filmmaker .	2	-2	 like[1] tarantino[0] smith[0] was[0] a[0] video[0] age[0] sponge[0] who[0] became[0] a[0] sample[0] mad[-1] indie[0] filmmaker[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
dogma pays welcome homage to an eclectic batch of movies , including indiana jones and the last crusade , with silent bob doing his best harrison ford , and weird science-a shit demon attacks our heroes ! 	dogma pays welcome homage to an eclectic batch of movies , including indiana jones and the last crusade , with silent bob doing his best harrison ford , and weird science-a shit demon attacks our heroes !	3	-3	 dogma[0] pays[0] welcome[1] homage[0] to[0] an[0] eclectic[0] batch[0] of[0] movies[0] including[0] indiana[0] jones[0] and[0] the[0] last[0] crusade[0] with[0] silent[0] bob[0] doing[0] his[0] best[1] harrison[0] ford[0] and[0] weird[-1] science[0] a[0] shit[-1] demon[-1] attacks[-2] our[0] heroes[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
smith also has a kitchen sink brand of humour : his dexterous maneuvering between the satirical ( a cardinal played by george carlin attempts to mount a publicity campaign with the slogan " catholicism wow ! " ) and the scatalogical ensures that no lover of comedy will leave dogma feeling malnourished . 	smith also has a kitchen sink brand of humour : his dexterous maneuvering between the satirical ( a cardinal played by george carlin attempts to mount a publicity campaign with the slogan " catholicism wow !<br> " ) and the scatalogical ensures that no lover of comedy will leave dogma feeling malnourished .	4	-1	 smith[0] also[0] has[0] a[0] kitchen[0] sink[0] brand[0] of[0] humour[2] his[0] dexterous[0] maneuvering[0] between[0] the[0] satirical[0] a[0] cardinal[0] played[0] by[0] george[0] carlin[0] attempts[0] to[0] mount[0] a[0] publicity[0] campaign[0] with[0] the[0] slogan[0] catholicism[0] wow[2] [[Sentence=-1,3=word max, 1-5]] and[0] the[0] scatalogical[0] ensures[0] that[0] no[0] lover[3] of[0] comedy[0] will[0] leave[0] dogma[0] feeling[0] malnourished[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i bust ( ed ? ) a gut on several occasions . 	i bust ( ed ?<br> ) a gut on several occasions .	1	-1	 i[0] bust[0] ed[0] [[Sentence=-1,1=word max, 1-5]] a[0] gut[0] on[0] several[0] occasions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
proceedings also get off on the right foot with the opening with the funniest disclaimer ever . 	proceedings also get off on the right foot with the opening with the funniest disclaimer ever .	2	-2	 proceedings[0] also[0] get[0] off[0] on[0] the[0] right[0] foot[0] with[0] the[0] opening[0] with[0] the[0] funniest[1] disclaimer[-1] ever[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's a disclaimer unlikely to put protestors at ease , for to read it , one actually has to see dogma . 	it's a disclaimer unlikely to put protestors at ease , for to read it , one actually has to see dogma .	1	-2	 it's[0] a[0] disclaimer[-1] unlikely[0] to[0] put[0] protestors[-1] at[0] ease[0] for[0] to[0] read[0] it[0] one[0] actually[0] has[0] to[0] see[0] dogma[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the prerelease ballyhoo is in the tradition of the last temptation of christ's , martin scorsese's 1988 adaptation of nikos kazantzakis' controversial novel , in that it is not directly linked to the picture's content but to rumours and heresy . 	the prerelease ballyhoo is in the tradition of the last temptation of christ's , martin scorsese's 1988 adaptation of nikos kazantzakis' controversial novel , in that it is not directly linked to the picture's content but to rumours and heresy .	1	-2	 the[0] prerelease[0] ballyhoo[0] is[0] in[0] the[0] tradition[0] of[0] the[0] last[0] temptation[-1] of[0] christ's[0] martin[0] scorsese's[0] 1988[0] adaptation[0] of[0] nikos[0] kazantzakis'[0] controversial[-1] novel[0] in[0] that[0] it[0] is[0] not[0] directly[0] linked[0] to[0] the[0] picture's[0] content[0] but[0] to[0] rumours[0] and[0] heresy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a famous anecdote about fletch director michael ritchie inviting picketers of the last temptation of christ into a screening on his dime , just so they could know for certain what they were rallying against . 	there's a famous anecdote about fletch director michael ritchie inviting picketers of the last temptation of christ into a screening on his dime , just so they could know for certain what they were rallying against .	1	-2	 there's[0] a[0] famous[0] anecdote[0] about[0] fletch[0] director[0] michael[0] ritchie[0] inviting[0] picketers[0] of[0] the[0] last[0] temptation[-1] of[0] christ[0] into[0] a[0] screening[0] on[0] his[0] dime[0] just[0] so[0] they[0] could[0] know[0] for[0] certain[0] what[0] they[0] were[0] rallying[0] against[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( not one of them had watched it . ) 	 ( not one of them had watched it .<br> )	1	-1	 not[0] one[0] of[0] them[0] had[0] watched[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every single person refused . 	every single person refused .	1	-2	 every[0] single[0] person[0] refused[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
smith and scorsese have a lot in common , and so do the two films in question , because both smith's bethany and scorsese's jesus are hollow shells without their faith . 	smith and scorsese have a lot in common , and so do the two films in question , because both smith's bethany and scorsese's jesus are hollow shells without their faith .	2	-2	 smith[0] and[0] scorsese[0] have[0] a[0] lot[0] in[0] common[0] and[0] so[0] do[0] the[0] two[0] films[0] in[0] question[0] because[0] both[0] smith's[0] bethany[0] and[0] scorsese's[0] jesus[0] are[0] hollow[-1] shells[0] without[0] their[0] faith[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in fact , dogma's denouement ( which follows a thrilling showdown that's worth the wait ) is a catholic love-in , a veritable recruitment poster . 	in fact , dogma's denouement ( which follows a thrilling showdown that's worth the wait ) is a catholic love-in , a veritable recruitment poster .	4	-1	 in[0] fact[0] dogma's[0] denouement[0] which[0] follows[0] a[0] thrilling[3] showdown[0] that's[0] worth[0] the[0] wait[0] is[0] a[0] catholic[0] love[2] in[0] a[0] veritable[0] recruitment[0] poster[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 ( i felt sentimental about a religion i don't belong to . 	 ( i felt sentimental about a religion i don't belong to .	3	-1	 i[0] felt[0] sentimental[2] about[0] a[0] religion[0] i[0] don't[0] belong[0] to[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now that's powerful filmmaking . ) smith is nothing if not sincere about his own devotion to god , and that spirituality shines through . 	now that's powerful filmmaking .<br> ) smith is nothing if not sincere about his own devotion to god , and that spirituality shines through .	3	-1	 now[0] that's[0] powerful[0] filmmaking[0] [[Sentence=-1,1=word max, 1-5]] smith[0] is[0] nothing[0] if[0] not[0] sincere[0] about[0] his[0] own[0] devotion[2] to[0] god[0] and[0] that[0] spirituality[0] shines[0] through[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's enough to make me forgive dogma for its editorial sins . 	it's enough to make me forgive dogma for its editorial sins .	2	-3	 it's[0] enough[0] to[0] make[0] me[0] forgive[1] dogma[0] for[0] its[0] editorial[0] sins[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
my religion is movies . 	my religion is movies .	1	-1	 my[0] religion[0] is[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the catholic league beats on dogma for imaginary crimes against a doctrine , in a roundabout way they're attacking what i live for : freedom of expression through celluloid . 	when the catholic league beats on dogma for imaginary crimes against a doctrine , in a roundabout way they're attacking what i live for : freedom of expression through celluloid .	1	-3	 when[0] the[0] catholic[0] league[0] beats[0] on[0] dogma[0] for[0] imaginary[0] crimes[-1] against[-1] a[0] doctrine[0] in[0] a[0] roundabout[-1] way[0] they're[0] attacking[-2] what[0] i[0] live[0] for[0] freedom[0] of[0] expression[0] through[0] celluloid[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i therefore feel that , although i'm no bible-thumper , i'm at least as qualified to criticize dogma as william donohue and his followers . 	i therefore feel that , although i'm no bible-thumper , i'm at least as qualified to criticize dogma as william donohue and his followers .	1	-2	 i[0] therefore[0] feel[0] that[0] although[0] i'm[0] no[0] bible[0] thumper[0] i'm[0] at[0] least[0] as[0] qualified[0] to[0] criticize[-1] dogma[0] as[0] william[0] donohue[0] and[0] his[0] followers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
