taking a few tips from the pulp fiction school of filmmaking , go is the new feature from the director of the cult hit swingers . 	Translation	Positive	Negative	EmotionRationale
he drags down slightly one of the funniest chapters , but the talent around him in that particular tale more than makes up for it . 	he drags down slightly one of the funniest chapters , but the talent around him in that particular tale more than makes up for it .	2	-1	 he[0] drags[0] down[0] slightly[0] one[0] of[0] the[0] funniest[1] chapters[0] but[0] the[0] talent[1] around[0] him[0] in[0] that[0] particular[0] tale[0] more[0] than[0] makes[0] up[0] for[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the real standout is sarah polley as the drug dealing checkout girl : her refreshing and deeply enjoyable performance makes the heavy going stories she is involved in much more entertaining . 	the real standout is sarah polley as the drug dealing checkout girl : her refreshing and deeply enjoyable performance makes the heavy going stories she is involved in much more entertaining .	3	-1	 the[0] real[0] standout[0] is[0] sarah[0] polley[0] as[0] the[0] drug[0] dealing[0] checkout[0] girl[0] her[0] refreshing[0] and[0] deeply[0] enjoyable[2] performance[0] makes[0] the[0] heavy[0] going[0] stories[0] she[0] is[0] involved[0] in[0] much[0] more[0] entertaining[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also entertaining timothy olyphant as the rather sinister drug dealer , who gives an nice evil performance . 	also entertaining timothy olyphant as the rather sinister drug dealer , who gives an nice evil performance .	2	-4	 also[0] entertaining[0] timothy[0] olyphant[0] as[0] the[0] rather[0] sinister[-3] drug[0] dealer[0] who[0] gives[0] an[0] nice[1] evil[-2] performance[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the script , written john august , is sharp and witty , with good dialogue and some funny jokes . 	the script , written john august , is sharp and witty , with good dialogue and some funny jokes .	2	-1	 the[0] script[0] written[0] john[0] august[0] is[0] sharp[0] and[0] witty[0] with[0] good[1] dialogue[0] and[0] some[0] funny[1][-1 LastWordBoosterStrength] jokes[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it starts off rather slow however , but in about twenty minutes the script has found it's footing and just keeps getting better . 	it starts off rather slow however , but in about twenty minutes the script has found it's footing and just keeps getting better .	1	-1	 it[0] starts[0] off[0] rather[0] slow[0] however[0] but[0] in[0] about[0] twenty[0] minutes[0] the[0] script[0] has[0] found[0] it's[0] footing[0] and[0] just[0] keeps[0] getting[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the stories are largely satisfying , although occasionally there's too much attention on one detail but not on another . 	the stories are largely satisfying , although occasionally there's too much attention on one detail but not on another .	2	-1	 the[0] stories[0] are[0] largely[0] satisfying[1] although[0] occasionally[0] there's[0] too[0] much[0] attention[0] on[0] one[0] detail[0] but[0] not[0] on[0] another[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , some of the endings seem a little forced and lucky . 	also , some of the endings seem a little forced and lucky .	2	-1	 also[0] some[0] of[0] the[0] endings[0] seem[0] a[0] little[0] forced[0] and[0] lucky[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still , the cast have a meaty script to get into and obviously enjoy it . 	still , the cast have a meaty script to get into and obviously enjoy it .	3	-1	 still[0] the[0] cast[0] have[0] a[0] meaty[0] script[0] to[0] get[0] into[0] and[0] obviously[0] enjoy[2] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it could of tried a little harder in some parts however , and these parts lag . 	it could of tried a little harder in some parts however , and these parts lag .	1	-1	 it[0] could[0] of[0] tried[0] a[0] little[0] harder[0] in[0] some[0] parts[0] however[0] and[0] these[0] parts[0] lag[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because this is a gen-xer movie , the obligatory rave soundtrack must accompany , and go's one is pretty decent . 	because this is a gen-xer movie , the obligatory rave soundtrack must accompany , and go's one is pretty decent .	3	-1	 because[0] this[0] is[0] a[0] gen[0] xer[0] movie[0] the[0] obligatory[0] rave[0] soundtrack[0] must[0] accompany[0] and[0] go's[0] one[0] is[0] pretty[2] decent[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unlike other gen-xers movies , go never allows the music to substitute for plot or dialogue , which is a plus . 	unlike other gen-xers movies , go never allows the music to substitute for plot or dialogue , which is a plus .	1	-1	 unlike[0] other[0] gen[0] xers[0] movies[0] go[0] never[0] allows[0] the[0] music[0] to[0] substitute[0] for[0] plot[0] or[0] dialogue[0] which[0] is[0] a[0] plus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
go is a very easy movie to absorb into , and the audience really starts feeling for these characters . 	go is a very easy movie to absorb into , and the audience really starts feeling for these characters .	1	-1	 go[0] is[0] a[0] very[0] easy[0] movie[0] to[0] absorb[0] into[0] and[0] the[0] audience[0] really[0] starts[0] feeling[0] for[0] these[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thankfully , they never become two dimensional characters who are bent and twisted throughout the movie to fit into the stories mechanics ( like the heroine in 10 things i hate about you . ) 	thankfully , they never become two dimensional characters who are bent and twisted throughout the movie to fit into the stories mechanics ( like the heroine in 10 things i hate about you .<br> )	3	-4	 thankfully[1] they[0] never[0] become[0] two[0] dimensional[0] characters[0] who[0] are[0] bent[0] and[0] twisted[0] throughout[0] the[0] movie[0] to[0] fit[0] into[0] the[0] stories[0] mechanics[0] like[1] the[0] heroine[2] in[0] 10[0] things[0] i[0] hate[-3] about[0] you[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
they are who they are and they stay that way . 	they are who they are and they stay that way .	1	-1	 they[0] are[0] who[0] they[0] are[0] and[0] they[0] stay[0] that[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
go is great fun , and a worthy follow up from the director of swingers . 	go is great fun , and a worthy follow up from the director of swingers .	3	-1	 go[0] is[0] great[2] fun[1] and[0] a[0] worthy[0] follow[0] up[0] from[0] the[0] director[0] of[0] swingers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ignore the fact that it steals from pulp fiction and very bad things , and just sit back and enjoy the rollercoaster ride . 	ignore the fact that it steals from pulp fiction and very bad things , and just sit back and enjoy the rollercoaster ride .	3	-3	 ignore[0] the[0] fact[0] that[0] it[0] steals[-2] from[0] pulp[0] fiction[0] and[0] very[0] bad[-1][-1 LastWordBoosterStrength] things[0] and[0] just[0] sit[0] back[0] and[0] enjoy[2] the[0] rollercoaster[0] ride[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
erm , go to go , i guess . 	erm , go to go , i guess .	1	-1	 erm[0] go[0] to[0] go[0] i[0] guess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
