full metal jacket , very much like every other hard-hitting film about the vietnam war , is an shocking , emotional depiction of the war that effected almost everyone in america . 	Translation	Positive	Negative	EmotionRationale
pyle then receives punishment from his fellow recruits , and things take a turn for the worst . 	pyle then receives punishment from his fellow recruits , and things take a turn for the worst .	1	-3	 pyle[0] then[0] receives[0] punishment[-1] from[0] his[0] fellow[0] recruits[0] and[0] things[0] take[0] a[0] turn[0] for[0] the[0] worst[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
pyle proves that not everyone is emotionally , physically , and mentally cut out for the life of a marine . 	pyle proves that not everyone is emotionally , physically , and mentally cut out for the life of a marine .	1	-1	 pyle[0] proves[0] that[0] not[0] everyone[0] is[0] emotionally[0] physically[0] and[0] mentally[0] cut[0] out[0] for[0] the[0] life[0] of[0] a[0] marine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after graduation , joker is sent over to the height of the action in order to document the war , which is his service . 	after graduation , joker is sent over to the height of the action in order to document the war , which is his service .	2	-3	 after[0] graduation[0] joker[1] is[0] sent[0] over[0] to[0] the[0] height[0] of[0] the[0] action[0] in[0] order[0] to[0] document[0] the[0] war[-2] which[0] is[0] his[0] service[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he is not a member of the infantry , and it is unclear if he will ever actually find himself in combat . 	he is not a member of the infantry , and it is unclear if he will ever actually find himself in combat .	1	-2	 he[0] is[0] not[0] a[0] member[0] of[0] the[0] infantry[0] and[0] it[0] is[0] unclear[-1] if[0] he[0] will[0] ever[0] actually[0] find[0] himself[0] in[0] combat[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when he sets out on a documenting mission , this question becomes very clear from the start . 	when he sets out on a documenting mission , this question becomes very clear from the start .	1	-1	 when[0] he[0] sets[0] out[0] on[0] a[0] documenting[0] mission[0] this[0] question[0] becomes[0] very[0] clear[0] from[0] the[0] start[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joker joins up with a platoon , along with his hometown friend cowboy ( arliss howard ) , and follows their everyday actions , interviewing and filmming them along the way . 	joker joins up with a platoon , along with his hometown friend cowboy ( arliss howard ) , and follows their everyday actions , interviewing and filming them along the way .	2	-1	 joker[1] joins[0] up[0] with[0] a[0] platoon[0] along[0] with[0] his[0] hometown[0] friend[1] cowboy[0] arliss[0] howard[0] and[0] follows[0] their[0] everyday[0] actions[0] interviewing[0] and[0] filmming/filming[0] them[0] along[0] the[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he also soon finds himself in a position in which he must fight , or die . 	he also soon finds himself in a position in which he must fight , or die .	1	-3	 he[0] also[0] soon[0] finds[0] himself[0] in[0] a[0] position[0] in[0] which[0] he[0] must[0] fight[-2] or[0] die[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
again , as in the tradition of vietnam war films , full metal jacket can be debated as to whether it is an anti-war film or not . 	again , as in the tradition of vietnam war films , full metal jacket can be debated as to whether it is an anti-war film or not .	1	-3	 again[0] as[0] in[0] the[0] tradition[0] of[0] vietnam[0] war[-2] films[0] full[0] metal[0] jacket[0] can[0] be[0] debated[0] as[0] to[0] whether[0] it[0] is[0] an[0] anti[0] war[-2] film[0] or[0] not[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a few of the more powerful scenes toward the end will leave you to decide . 	a few of the more powerful scenes toward the end will leave you to decide .	1	-1	 a[0] few[0] of[0] the[0] more[0] powerful[0] scenes[0] toward[0] the[0] end[0] will[0] leave[0] you[0] to[0] decide[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
full metal jacket succeeds extremely well in documenting the life of a young man in vietnam , as have others in the past . 	full metal jacket succeeds extremely well in documenting the life of a young man in vietnam , as have others in the past .	3	-1	 full[0] metal[0] jacket[0] succeeds[2] extremely[0] well[0] in[0] documenting[0] the[0] life[0] of[0] a[0] young[0] man[0] in[0] vietnam[0] as[0] have[0] others[0] in[0] the[0] past[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this film , in different ways , also can be viewed as more powerful than others . 	this film , in different ways , also can be viewed as more powerful than others .	1	-1	 this[0] film[0] in[0] different[0] ways[0] also[0] can[0] be[0] viewed[0] as[0] more[0] powerful[0] than[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that , again , is up for debate and depends on your opinion . 	that , again , is up for debate and depends on your opinion .	1	-1	 that[0] again[0] is[0] up[0] for[0] debate[0] and[0] depends[0] on[0] your[0] opinion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one thing is for sure , however ; no one ever wants to experience the absolute hell that these soldiers are subjected to . 	one thing is for sure , however ; no one ever wants to experience the absolute hell that these soldiers are subjected to .	1	-2	 one[0] thing[0] is[0] for[0] sure[0] however[0] no[0] one[0] ever[0] wants[0] to[0] experience[0] the[0] absolute[0] hell[-1] that[0] these[0] soldiers[0] are[0] subjected[0] to[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , many did . 	unfortunately , many did .	1	-2	 unfortunately[-1] many[0] did[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
