the promotion for fear and loathing in las vegas ? has made the film out to be a comedy , and for about the first hour or so it seems like it might be one . 	Translation	Positive	Negative	EmotionRationale
thankfully , the script delivers it before too long , as duke , in a rare moment of lucidity , stops to recall how he was once an enthusiastic hippie , " riding the wave " of something that seemed special and important . 	thankfully , the script delivers it before too long , as duke , in a rare moment of lucidity , stops to recall how he was once an enthusiastic hippie , " riding the wave " of something that seemed special and important .	3	-1	 thankfully[1] the[0] script[0] delivers[0] it[0] before[0] too[0] long[0] as[0] duke[0] in[0] a[0] rare[0] moment[0] of[0] lucidity[0] stops[0] to[0] recall[0] how[0] he[0] was[0] once[0] an[0] enthusiastic[2] hippie[0] riding[0] the[0] wave[0] of[0] something[0] that[0] seemed[0] special[1] and[0] important[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now it's six years later and the wave has finally broken , as he puts it . 	now it's six years later and the wave has finally broken , as he puts it .	1	-2	 now[0] it's[0] six[0] years[0] later[0] and[0] the[0] wave[0] has[0] finally[0] broken[-1] as[0] he[0] puts[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
materialistic culture is still alive and well and , for most of this film , right in his face in las vegas ; the " american dream " of which duke occasionally speaks is still just as shallow and phony as ever . 	materialistic culture is still alive and well and , for most of this film , right in his face in las vegas ; the " american dream " of which duke occasionally speaks is still just as shallow and phony as ever .	1	-2	 materialistic[0] culture[0] is[0] still[0] alive[0] and[0] well[0] and[0] for[0] most[0] of[0] this[0] film[0] right[0] in[0] his[0] face[0] in[0] las[0] vegas[0] the[0] american[0] dream[0] of[0] which[0] duke[0] occasionally[0] speaks[0] is[0] still[0] just[0] as[0] shallow[-1] and[0] phony[0] as[0] ever[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the social protesters have lost , and the more questionable aspects of the movement have turned ugly and left casualties such as duke to drift in a sea of drugs and disillusionment . 	the social protesters have lost , and the more questionable aspects of the movement have turned ugly and left casualties such as duke to drift in a sea of drugs and disillusionment .	1	-3	 the[0] social[0] protesters[-1] have[0] lost[0] and[0] the[0] more[0] questionable[-1] aspects[0] of[0] the[0] movement[0] have[0] turned[0] ugly[-2] and[0] left[0] casualties[0] such[0] as[0] duke[0] to[0] drift[0] in[0] a[0] sea[0] of[0] drugs[0] and[0] disillusionment[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in many ways , fear and loathing is gilliam's most reality-based film ; all of his others , with the exception of the fisher king , have made use of some sort of fantasy or science-fiction plot elements . 	in many ways , fear and loathing is gilliam's most reality-based film ; all of his others , with the exception of the fisher king , have made use of some sort of fantasy or science-fiction plot elements .	1	-4	 in[0] many[0] ways[0] fear[-3] and[0] loathing[0] is[0] gilliam's[0] most[0] reality[0] based[0] film[0] all[0] of[0] his[0] others[0] with[0] the[0] exception[0] of[0] the[0] fisher[0] king[0] have[0] made[0] use[0] of[0] some[0] sort[0] of[0] fantasy[0] or[0] science[0] fiction[0] plot[0] elements[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
yet it is his off-the-wall masterpiece brazil ? to which this film bears the most visual resemblance . 	yet it is his off-the-wall masterpiece brazil ?<br> to which this film bears the most visual resemblance .	1	-1	 yet[0] it[0] is[0] his[0] off[0] the[0] wall[0] masterpiece[0] brazil[0] [[Sentence=-1,1=word max, 1-5]] to[0] which[0] this[0] film[0] bears[0] the[0] most[0] visual[0] resemblance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the protagonist of brazil found himself alternately surrounded by a plastic , soulless society and the constant chaos of totalitarian police inspections and terrorist attacks , and similarly duke's world is composed of the artificial , empty glam of las vegas and the bizarre anarchy of his drug hallucinations . 	the protagonist of brazil found himself alternately surrounded by a plastic , soulless society and the constant chaos of totalitarian police inspections and terrorist attacks , and similarly duke's world is composed of the artificial , empty glam of las vegas and the bizarre anarchy of his drug hallucinations .	1	-4	 the[0] protagonist[0] of[0] brazil[0] found[0] himself[0] alternately[0] surrounded[0] by[0] a[0] plastic[0] soulless[0] society[0] and[0] the[0] constant[0] chaos[-1] of[0] totalitarian[0] police[0] inspections[0] and[0] terrorist[-2] attacks[-2][-1 MultiplePositiveWords] and[0] similarly[0] duke's[0] world[0] is[0] composed[0] of[0] the[0] artificial[0] empty[0] glam[0] of[0] las[0] vegas[0] and[0] the[0] bizarre[-1] anarchy[-1] of[0] his[0] drug[0] hallucinations[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unlike the protagonist of brazil , however , duke is not a particularly admirable figure , and neither is gonzo . 	unlike the protagonist of brazil , however , duke is not a particularly admirable figure , and neither is gonzo .	3	-1	 unlike[0] the[0] protagonist[0] of[0] brazil[0] however[0] duke[0] is[0] not[0] a[0] particularly[0] admirable[2] figure[0] and[0] neither[0] is[0] gonzo[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
during the latter half of the film , their trips turn nastier and the consequences worse , eventually building up to an incident an a diner in which gonzo crudely frightens and humiliates a waitress , while duke , though he doesn't seem to approve , doesn't do anything to stop it either . 	during the latter half of the film , their trips turn nastier and the consequences worse , eventually building up to an incident an a diner in which gonzo crudely frightens and humiliates a waitress , while duke , though he doesn't seem to approve , doesn't do anything to stop it either .	1	-4	 during[0] the[0] latter[0] half[0] of[0] the[0] film[0] their[0] trips[0] turn[0] nastier[-2] and[0] the[0] consequences[0] worse[-2] eventually[0] building[0] up[0] to[0] an[0] incident[0] an[0] a[0] diner[0] in[0] which[0] gonzo[0] crudely[-1] frightens[-3] and[0] humiliates[-3] a[0] waitress[0] while[0] duke[0] though[0] he[0] doesn't[0] seem[0] to[0] approve[0] doesn't[0] do[0] anything[0] to[0] stop[0] it[0] either[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
by the time this scene takes place , they don't seem like hippies or peaceniks or protesters or anything of the sort any more ; they just seem like a couple of stoned jerks in a diner . 	by the time this scene takes place , they don't seem like hippies or peaceniks or protesters or anything of the sort any more ; they just seem like a couple of stoned jerks in a diner .	2	-3	 by[0] the[0] time[0] this[0] scene[0] takes[0] place[0] they[0] don't[0] seem[0] like[1][NegatedDueToPreviousWord] hippies[0] or[0] peaceniks[0] or[0] protesters[-1] or[0] anything[0] of[0] the[0] sort[0] any[0] more[0] they[0] just[0] seem[0] like[1] a[0] couple[0] of[0] stoned[0] jerks[-2] in[0] a[0] diner[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
duke seems to realize at some level that he's become something he doesn't like , but he's either too apathetic or too defeated to do anything to change . 	duke seems to realize at some level that he's become something he doesn't like , but he's either too apathetic or too defeated to do anything to change .	2	-2	 duke[0] seems[0] to[0] realize[0] at[0] some[0] level[0] that[0] he's[0] become[0] something[0] he[0] doesn't[0] like[1] but[0] he's[0] either[0] too[0] apathetic[-1] or[0] too[0] defeated[0] to[0] do[0] anything[0] to[0] change[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this film has taken a critical drubbing from many who view it as an essentially pointless film that simply throws one trip scene after another at the audience . 	this film has taken a critical drubbing from many who view it as an essentially pointless film that simply throws one trip scene after another at the audience .	1	-2	 this[0] film[0] has[0] taken[0] a[0] critical[-1] drubbing[0] from[0] many[0] who[0] view[0] it[0] as[0] an[0] essentially[0] pointless[-1] film[0] that[0] simply[0] throws[0] one[0] trip[0] scene[0] after[0] another[0] at[0] the[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while gilliam may have overdone it in a few places , i think he and his co-writers deserve more credit than that . 	while gilliam may have overdone it in a few places , i think he and his co-writers deserve more credit than that .	1	-1	 while[0] gilliam[0] may[0] have[0] overdone[0] it[0] in[0] a[0] few[0] places[0] i[0] think[0] he[0] and[0] his[0] co[0] writers[0] deserve[0] more[0] credit[0] than[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's plenty of substance here , particularly in the second half ; its observations about the broken and defeated rebels from the '60s and the objects of their rebellion just aren't usually very pleasant . 	there's plenty of substance here , particularly in the second half ; its observations about the broken and defeated rebels from the '60s and the objects of their rebellion just aren't usually very pleasant .	1	-4	 there's[0] plenty[0] of[0] substance[0] here[0] particularly[0] in[0] the[0] second[0] half[0] its[0] observations[0] about[0] the[0] broken[-1] and[0] defeated[0] rebels[-1] from[0] the[0] '60s[0] and[0] the[0] objects[0] of[0] their[0] rebellion[-1] just[0] aren't[0] usually[0] very[0] pleasant[2][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unlike , say , brazil ? or the fisher king , both of which feature a character who dares to let himself dream in a repressive environment , fear and loathing in las vegas ? shows us someone who's given up on his dreams and resorts to the quick fix of drugs . 	unlike , say , brazil ?<br> or the fisher king , both of which feature a character who dares to let himself dream in a repressive environment , fear and loathing in las vegas ?<br> shows us someone who's given up on his dreams and resorts to the quick fix of drugs .	1	-4	 unlike[0] say[0] brazil[0] [[Sentence=-1,1=word max, 1-5]] or[0] the[0] fisher[0] king[0] both[0] of[0] which[0] feature[0] a[0] character[0] who[0] dares[0] to[0] let[0] himself[0] dream[0] in[0] a[0] repressive[-1] environment[0] fear[-3] and[0] loathing[0] in[0] las[0] vegas[0] [[Sentence=-4,1=word max, 1-5]] shows[0] us[0] someone[0] who's[0] given[0] up[0] on[0] his[0] dreams[0] and[0] resorts[0] to[0] the[0] quick[0] fix[0] of[0] drugs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
in its own psychedelic , whacked-out way , it's sad and regretful , but i think it's also a bit of a kick in the pants , a challenge to find an alternative between chemically-induced withdrawal and the equally addictive drug of vegas-style materialism . 	in its own psychedelic , whacked-out way , it's sad and regretful , but i think it's also a bit of a kick in the pants , a challenge to find an alternative between chemically-induced withdrawal and the equally addictive drug of vegas-style materialism .	1	-4	 in[0] its[0] own[0] psychedelic[0] whacked[0] out[0] way[0] it's[0] sad[-3] and[0] regretful[-1] but[0] i[0] think[0] it's[0] also[0] a[0] bit[0] of[0] a[0] kick[-1] in[0] the[0] pants[0] a[0] challenge[-1] to[0] find[0] an[0] alternative[0] between[0] chemically[0] induced[0] withdrawal[0] and[0] the[0] equally[0] addictive[-1] drug[0] of[0] vegas[0] style[0] materialism[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
indeed , duke himself admits at one point that he's never learned to accept that you can get higher without drugs than with them . 	indeed , duke himself admits at one point that he's never learned to accept that you can get higher without drugs than with them .	1	-1	 indeed[0] duke[0] himself[0] admits[0] at[0] one[0] point[0] that[0] he's[0] never[0] learned[0] to[0] accept[0] that[0] you[0] can[0] get[0] higher[0] without[0] drugs[0] than[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not sure if he's any closer to accepting it by the end or not , but i suspect the audience will get the idea . 	i'm not sure if he's any closer to accepting it by the end or not , but i suspect the audience will get the idea .	1	-2	 i'm[0] not[0] sure[0] if[0] he's[0] any[0] closer[0] to[0] accepting[0] it[0] by[0] the[0] end[0] or[0] not[0] but[0] i[0] suspect[-1] the[0] audience[0] will[0] get[0] the[0] idea[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
