for those of us who weren't yet born when the 1960's rock 'n' rolled around , monterey pop affords an affectionate glimpse of the music that influenced our parents to be hippies . 	Translation	Positive	Negative	EmotionRationale
you can tell just by watching these first few moments that this show isn't about vanity , it's about playing the music you love to those who have an appreciation for it , a two-way street . 	you can tell just by watching these first few moments that this show isn't about vanity , it's about playing the music you love to those who have an appreciation for it , a two-way street .	3	-1	 you[0] can[0] tell[0] just[0] by[0] watching[0] these[0] first[0] few[0] moments[0] that[0] this[0] show[0] isn't[0] about[0] vanity[-1][NegatedDueToPreviousWord] it's[0] about[0] playing[1] the[0] music[0] you[0] love[2] to[0] those[0] who[0] have[0] an[0] appreciation[1] for[0] it[0] a[0] two[0] way[0] street[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this interaction between audience and performer continues throughout the film and becomes infectious to the audience . 	this interaction between audience and performer continues throughout the film and becomes infectious to the audience .	1	-2	 this[0] interaction[0] between[0] audience[0] and[0] performer[0] continues[0] throughout[0] the[0] film[0] and[0] becomes[0] infectious[-1] to[0] the[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's impossible to tear your eyes away from janis joplin as she belts out her ballad about love being a ball and chain . 	it's impossible to tear your eyes away from janis joplin as she belts out her ballad about love being a ball and chain .	3	-2	 it's[0] impossible[0] to[0] tear[-1] your[0] eyes[0] away[0] from[0] janis[0] joplin[0] as[0] she[0] belts[0] out[0] her[0] ballad[0] about[0] love[2] being[0] a[0] ball[0] and[0] chain[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and while the lyrics to " wild thing " may not be all that complicated , watching jimi hendrix mime having sex with his guitar is as captivating as otis redding singing about love . 	and while the lyrics to " wild thing " may not be all that complicated , watching jimi hendrix mime having sex with his guitar is as captivating as otis redding singing about love .	3	-2	 and[0] while[0] the[0] lyrics[0] to[0] wild[0] thing[0] may[0] not[0] be[0] all[0] that[0] complicated[-1] watching[0] jimi[0] hendrix[0] mime[0] having[0] sex[0] with[0] his[0] guitar[0] is[0] as[0] captivating[0] as[0] otis[0] redding[0] singing[0] about[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even if you don't recognize every band you see on stage , you can imagine being as enthralled by their work as the public sitting in those seats . 	even if you don't recognize every band you see on stage , you can imagine being as enthralled by their work as the public sitting in those seats .	1	-1	 even[0] if[0] you[0] don't[0] recognize[0] every[0] band[0] you[0] see[0] on[0] stage[0] you[0] can[0] imagine[0] being[0] as[0] enthralled[0] by[0] their[0] work[0] as[0] the[0] public[0] sitting[0] in[0] those[0] seats[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only drawback to the film is the ending , which unfortunately i must reveal . 	the only drawback to the film is the ending , which unfortunately i must reveal .	1	-2	 the[0] only[0] drawback[0] to[0] the[0] film[0] is[0] the[0] ending[0] which[0] unfortunately[-1] i[0] must[0] reveal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all the other bands , big names then and still today , got approximately 7 to 10 minutes of screen time . 	all the other bands , big names then and still today , got approximately 7 to 10 minutes of screen time .	1	-1	 all[0] the[0] other[0] bands[0] big[0] names[0] then[0] and[0] still[0] today[0] got[0] approximately[0] 7[0] to[0] 10[0] minutes[0] of[0] screen[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in contrast , the last band on camera , a wholly forgettable one , gets an entire 18 minutes of screen time . 	in contrast , the last band on camera , a wholly forgettable one , gets an entire 18 minutes of screen time .	1	-1	 in[0] contrast[0] the[0] last[0] band[0] on[0] camera[0] a[0] wholly[0] forgettable[0] one[0] gets[0] an[0] entire[0] 18[0] minutes[0] of[0] screen[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a film that's only 78 minutes long , that's too large of a chunk , especially when previous acts are much more stimulating . 	for a film that's only 78 minutes long , that's too large of a chunk , especially when previous acts are much more stimulating .	1	-1	 for[0] a[0] film[0] that's[0] only[0] 78[0] minutes[0] long[0] that's[0] too[0] large[0] of[0] a[0] chunk[0] especially[0] when[0] previous[0] acts[0] are[0] much[0] more[0] stimulating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all in all , monterey pop is a precious , rare look at a time period that still holds sway over us . 	all in all , monterey pop is a precious , rare look at a time period that still holds sway over us .	3	-1	 all[0] in[0] all[0] monterey[0] pop[0] is[0] a[0] precious[2] rare[0] look[0] at[0] a[0] time[0] period[0] that[0] still[0] holds[0] sway[0] over[0] us[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the variety of music , as well as the beautifully shot performances , are easy to become immersed in . 	the variety of music , as well as the beautifully shot performances , are easy to become immersed in .	3	-2	 the[0] variety[0] of[0] music[0] as[0] well[0] as[0] the[0] beautifully[2] shot[-1] performances[0] are[0] easy[0] to[0] become[0] immersed[0] in[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if there was ever any question as to why most of these bands were so popular , this is quickly dispelled . 	if there was ever any question as to why most of these bands were so popular , this is quickly dispelled .	1	-2	 if[0] there[0] was[0] ever[0] any[0] question[0] as[0] to[0] why[0] most[0] of[0] these[0] bands[0] were[0] so[0] popular[0] this[0] is[0] quickly[0] dispelled[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's almost depressing to think that music this moving doesn't get made much anymore . 	it's almost depressing to think that music this moving doesn't get made much anymore .	1	-4	 it's[0] almost[0] depressing[-3] to[0] think[0] that[0] music[0] this[0] moving[0] doesn't[0] get[0] made[0] much[0] anymore[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
instead we're stuck with * nsync , the backstreet boys , and jennifer lopez , all of whom should have stuck with modeling . 	instead we're stuck with * nsync , the backstreet boys , and jennifer lopez , all of whom should have stuck with modeling .	1	-1	 instead[0] we're[0] stuck[0] with[0] nsync[0] the[0] backstreet[0] boys[0] and[0] jennifer[0] lopez[0] all[0] of[0] whom[0] should[0] have[0] stuck[0] with[0] modeling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
