at first glance , it appears that the home alone movies are brainless slapstick intended for those with minds of 8-year olds . 	Translation	Positive	Negative	EmotionRationale
the ultimate punishment comes from mom ( catherine o'hara ) who sends him up to the spare bedroom in the attic for the night . 	the ultimate punishment comes from mom ( catherine o'hara ) who sends him up to the spare bedroom in the attic for the night .	1	-2	 the[0] ultimate[0] punishment[-1] comes[0] from[0] mom[0] catherine[0] o'hara[0] who[0] sends[0] him[0] up[0] to[0] the[0] spare[0] bedroom[0] in[0] the[0] attic[0] for[0] the[0] night[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on his way up the stairs , he tells her that " families suck " and that he hopes never to see any of his family again . 	on his way up the stairs , he tells her that " families suck " and that he hopes never to see any of his family again .	2	-2	 on[0] his[0] way[0] up[0] the[0] stairs[0] he[0] tells[0] her[0] that[0] families[0] suck[-1] and[0] that[0] he[0] hopes[1] never[0] to[0] see[0] any[0] of[0] his[0] family[0] again[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that night the power goes out , knocking out the alarm clocks , so the mcalisters wake up in a big hurry to get to the airport . 	that night the power goes out , knocking out the alarm clocks , so the mcalisters wake up in a big hurry to get to the airport .	1	-3	 that[0] night[0] the[0] power[0] goes[0] out[0] knocking[0] out[0] the[0] alarm[-2] clocks[0] so[0] the[0] mcalisters[0] wake[0] up[0] in[0] a[0] big[0] hurry[0] to[0] get[0] to[0] the[0] airport[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in a surprisingly plausible setup , kevin is mistakenly accounted for , and the family heads off without him . 	in a surprisingly plausible setup , kevin is mistakenly accounted for , and the family heads off without him .	1	-2	 in[0] a[0] surprisingly[0] plausible[0] setup[0] kevin[0] is[0] mistakenly[-1] accounted[0] for[0] and[0] the[0] family[0] heads[0] off[0] without[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's interesting that , in a subtle way , his parents never noticed him missing because of their deliberate desire to separate themselves from their children . 	it's interesting that , in a subtle way , his parents never noticed him missing because of their deliberate desire to separate themselves from their children .	2	-1	 it's[0] interesting[1] that[0] in[0] a[0] subtle[0] way[0] his[0] parents[0] never[0] noticed[0] him[0] missing[0] because[0] of[0] their[0] deliberate[0] desire[0] to[0] separate[0] themselves[0] from[0] their[0] children[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
first they delegate the headcount to an older sibling , and second , they put all the kids in coach while they fly first class . 	first they delegate the headcount to an older sibling , and second , they put all the kids in coach while they fly first class .	1	-1	 first[0] they[0] delegate[0] the[0] headcount[0] to[0] an[0] older[0] sibling[0] and[0] second[0] they[0] put[0] all[0] the[0] kids[0] in[0] coach[0] while[0] they[0] fly[0] first[0] class[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're two-thirds of the way across the atlantic before they realize they are missing a child . 	they're two-thirds of the way across the atlantic before they realize they are missing a child .	1	-1	 they're[0] two[0] thirds[0] of[0] the[0] way[0] across[0] the[0] atlantic[0] before[0] they[0] realize[0] they[0] are[0] missing[0] a[0] child[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , kevin believes that somehow his wish has come true . 	meanwhile , kevin believes that somehow his wish has come true .	2	-1	 meanwhile[0] kevin[0] believes[0] that[0] somehow[0] his[0] wish[0] has[0] come[0] true[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's finally rid of his family ! 	he's finally rid of his family !	1	-2	 he's[0] finally[0] rid[-1] of[0] his[0] family[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
life is a dream come true . 	life is a dream come true .	2	-1	 life[0] is[0] a[0] dream[0] come[0] true[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he can jump on the beds , watch r-rated movies , eat gobs of ice cream and potato chips , and dig through his big brother's secret box . 	he can jump on the beds , watch are-rated movies , eat gobs of ice cream and potato chips , and dig through his big brother's secret box .	1	-1	 he[0] can[0] jump[0] on[0] the[0] beds[0] watch[0] r[0] rated[0] movies[0] eat[0] gobs[0] of[0] ice[0] cream[0] and[0] potato[0] chips[0] and[0] dig[0] through[0] his[0] big[0] brother's[0] secret[0] box[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
slowly , the novelty wears off and he settles into the mundane . 	slowly , the novelty wears off and he settles into the mundane .	1	-2	 slowly[0] the[0] novelty[0] wears[0] off[0] and[0] he[0] settles[0] into[0] the[0] mundane[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he grooms himself , he does the laundry , he goes shopping ( " i bought some milk , eggs , and fabric softener " ) . 	he grooms himself , he does the laundry , he goes shopping ( " i bought some milk , eggs , and fabric softener " ) .	1	-1	 he[0] grooms[0] himself[0] he[0] does[0] the[0] laundry[0] he[0] goes[0] shopping[0] i[0] bought[0] some[0] milk[0] eggs[0] and[0] fabric[0] softener[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he also starts to miss his family , not just for their company , but for the security they bring . 	he also starts to miss his family , not just for their company , but for the security they bring .	2	-2	 he[0] also[0] starts[0] to[0] miss[-1] his[0] family[0] not[0] just[0] for[0] their[0] company[0] but[0] for[0] the[0] security[1] they[0] bring[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the furnace in the basement is a scary monster , the old man next door is a snow-shovel murderer , and two crooks are trying to break into his house . 	the furnace in the basement is a scary monster , the old man next door is a snow-shovel murderer , and two crooks are trying to break into his house .	1	-4	 the[0] furnace[0] in[0] the[0] basement[0] is[0] a[0] scary[-3] monster[-1] the[0] old[0] man[0] next[0] door[0] is[0] a[0] snow[0] shovel[0] murderer[-3] and[0] two[0] crooks[0] are[0] trying[0] to[0] break[0] into[0] his[0] house[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
macaulay culkin is cute but he isn't much of an actor . 	macaulay culkin is cute but he isn't much of an actor .	2	-1	 macaulay[0] culkin[0] is[0] cute[1] but[0] he[0] isn't[0] much[0] of[0] an[0] actor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still , we can see that kevin's character grows , thanks to some good direction and editing . 	still , we can see that kevin's character grows , thanks to some good direction and editing .	2	-1	 still[0] we[0] can[0] see[0] that[0] kevin's[0] character[0] grows[0] thanks[1] to[0] some[0] good[1][-1 LastWordBoosterStrength] direction[0] and[0] editing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for example , acting has little to do with the emotional impact of the scene where kevin searches out a seasonal santa at night , just as " santa " is getting in his car . 	for example , acting has little to do with the emotional impact of the scene where kevin searches out a seasonal santa at night , just as " santa " is getting in his car .	1	-2	 for[0] example[0] acting[0] has[0] little[0] to[0] do[0] with[0] the[0] emotional[-1] impact[0] of[0] the[0] scene[0] where[0] kevin[0] searches[0] out[0] a[0] seasonal[0] santa[0] at[0] night[0] just[0] as[0] santa[0] is[0] getting[0] in[0] his[0] car[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kevin asks the man to pass on his request - he wants his family back - to the real santa . 	kevin asks the man to pass on his request - he wants his family back - to the real santa .	1	-1	 kevin[0] asks[0] the[0] man[0] to[0] pass[0] on[0] his[0] request[0] he[0] wants[0] his[0] family[0] back[0] to[0] the[0] real[0] santa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he learned how to deal with the furnace . 	he learned how to deal with the furnace .	1	-1	 he[0] learned[0] how[0] to[0] deal[0] with[0] the[0] furnace[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you turn on the lights and it's not so scary anymore . 	you turn on the lights and it's not so scary anymore .	4	-1	 you[0] turn[0] on[0] the[0] lights[0] and[0] it's[0] not[0] so[0] scary[-3][NegatedDueToPreviousWord] anymore[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he goes to a church one evening and there he sees the snow-shovel murderer , who actually turns out to be a nice man . 	he goes to a church one evening and there he sees the snow-shovel murderer , who actually turns out to be a nice man .	2	-4	 he[0] goes[0] to[0] a[0] church[0] one[0] evening[0] and[0] there[0] he[0] sees[0] the[0] snow[0] shovel[0] murderer[-3] who[0] actually[0] turns[0] out[0] to[0] be[0] a[0] nice[1] man[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
they talk about their fears and kevin learns that age alone does not make you less afraid . 	they talk about their fears and kevin learns that age alone does not make you less afraid .	1	-4	 they[0] talk[0] about[0] their[0] fears[-2] and[0] kevin[0] learns[0] that[0] age[0] alone[0] does[0] not[0] make[0] you[0] less[0] afraid[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
finally , in the last 20 minutes , kevin confronts his last fear - the bandits , head on ( literally ) . 	finally , in the last 20 minutes , kevin confronts his last fear - the bandits , head on ( literally ) .	1	-4	 finally[0] in[0] the[0] last[0] 20[0] minutes[0] kevin[0] confronts[-2] his[0] last[0] fear[-3] the[0] bandits[-1] head[0] on[0] literally[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this last act is full of violent comedic slapstick , and after the movie's genuine dramatic setup , it is dessert . 	this last act is full of violent comedic slapstick , and after the movie's genuine dramatic setup , it is dessert .	1	-3	 this[0] last[0] act[0] is[0] full[0] of[0] violent[-2] comedic[0] slapstick[-1] and[0] after[0] the[0] movie's[0] genuine[0] dramatic[0] setup[0] it[0] is[0] dessert[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a lot of fun , and it doesn't overwhelm the rest of the movie . 	it's a lot of fun , and it doesn't overwhelm the rest of the movie .	2	-3	 it's[0] a[0] lot[0] of[0] fun[1] and[0] it[0] doesn't[0] overwhelm[-2] the[0] rest[0] of[0] the[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
on the whole , home alone is a great holiday movie . 	on the whole , home alone is a great holiday movie .	3	-1	 on[0] the[0] whole[0] home[0] alone[0] is[0] a[0] great[2] holiday[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
john williams' original score has the sound and feel of holiday music without the disadvantage of being overplayed at the malls , and the christmas setting can put you in the mood for those family gatherings . 	john williams' original score has the sound and feel of holiday music without the disadvantage of being overplayed at the malls , and the christmas setting can put you in the mood for those family gatherings .	1	-2	 john[0] williams'[0] original[0] score[0] has[0] the[0] sound[0] and[0] feel[0] of[0] holiday[0] music[0] without[0] the[0] disadvantage[-1] of[0] being[0] overplayed[0] at[0] the[0] malls[0] and[0] the[0] christmas[0] setting[0] can[0] put[0] you[0] in[0] the[0] mood[0] for[0] those[0] family[0] gatherings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it does have its flaws . 	but it does have its flaws .	1	-1	 but[0] it[0] does[0] have[0] its[0] flaws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the smallest problem is that culkin doesn't act very well . 	the smallest problem is that culkin doesn't act very well .	1	-2	 the[0] smallest[0] problem[-1] is[0] that[0] culkin[0] doesn't[0] act[0] very[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as i said before , he is cute , but repeated viewings reveal more about how columbus covered himself than about culkin's insight into his character . 	as i said before , he is cute , but repeated viewings reveal more about how columbus covered himself than about culkin's insight into his character .	2	-1	 as[0] i[0] said[0] before[0] he[0] is[0] cute[1] but[0] repeated[0] viewings[0] reveal[0] more[0] about[0] how[0] columbus[0] covered[0] himself[0] than[0] about[0] culkin's[0] insight[0] into[0] his[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the biggest problem is that during the cartoony coda , the villains threaten kevin's life about five times . 	the biggest problem is that during the cartoony coda , the villains threaten kevin's life about five times .	1	-4	 the[0] biggest[0] problem[-1] is[0] that[0] during[0] the[0] cartoony[0] coda[0] the[0] villains[-2] threaten[-2][-1 MultiplePositiveWords] kevin's[0] life[0] about[0] five[0] times[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
instead of " i'm gonna get that kid " they say " i'm gonna kill that kid . " 	instead of " i'm gonna get that kid " they say " i'm gonna kill that kid .<br> "	1	-2	 instead[0] of[0] i'm[0] gonna[0] get[0] that[0] kid[0] they[0] say[0] i'm[0] gonna[0] kill[-1] that[0] kid[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some might argue that the tone is the same , but i strongly disagree . 	some might argue that the tone is the same , but i strongly disagree .	1	-2	 some[0] might[0] argue[-1][--1 LastWordBoosterStrength] that[0] the[0] tone[0] is[0] the[0] same[0] but[0] i[0] strongly[0] disagree[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mixing comedy with specific and viable threats of murder is a sociopathic faux-pas . 	mixing comedy with specific and viable threats of murder is a sociopathic faux-pas .	1	-4	 mixing[0] comedy[0] with[0] specific[0] and[0] viable[0] threats[-2] of[0] murder[-3] is[0] a[0] sociopathic[0] faux[0] pas[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i'll probably never see home alone 3 , and i wish i had skipped home alone 2 , but i do enjoy home alone almost every year . 	i'll probably never see home alone 3 , and i wish i had skipped home alone 2 , but i do enjoy home alone almost every year .	3	-1	 i'll[0] probably[0] never[0] see[0] home[0] alone[0] 3[0] and[0] i[0] wish[0] i[0] had[0] skipped[0] home[0] alone[0] 2[0] but[0] i[0] do[0] enjoy[2] home[0] alone[0] almost[0] every[0] year[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
don't let your impressions of the others detract from the original , which has much more to offer than cartoon slapstick . 	don't let your impressions of the others detract from the original , which has much more to offer than cartoon slapstick .	1	-2	 don't[0] let[0] your[0] impressions[0] of[0] the[0] others[0] detract[-1] from[0] the[0] original[0] which[0] has[0] much[0] more[0] to[0] offer[0] than[0] cartoon[0] slapstick[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
