until i saw the night of the hunter , it had been a long time since i had gasped while watching a movie . 	Translation	Positive	Negative	EmotionRationale
what about the brilliant baby stroller sequence from battleship potemkin ? 	what about the brilliant baby stroller sequence from battleship potemkin ?	2	-2	 what[0] about[0] the[0] brilliant[1] baby[1] stroller[0] sequence[0] from[0] battleship[-1] potemkin[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( no , i'm not blaming brian de palma entirely for this sampling problem . ) 	 ( no , i'm not blaming brian de palma entirely for this sampling problem .<br> )	2	-2	 no[0] i'm[0] not[0] blaming[-1][NegatedDueToPreviousWord] brian[0] de[0] palma[0] entirely[0] for[0] this[0] sampling[0] problem[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
yes , there are some visual elements that other directors seem to have borrowed from the night of the hunter . 	yes , there are some visual elements that other directors seem to have borrowed from the night of the hunter .	1	-2	 yes[0] there[0] are[0] some[0] visual[0] elements[0] that[0] other[0] directors[0] seem[0] to[0] have[0] borrowed[0] from[0] the[0] night[0] of[0] the[0] hunter[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
powell's " love " and " hate " knuckle tattoos obviously influenced spike lee in do the right thing ( remember radio raheem ? ) . 	powell's " love " and " hate " knuckle tattoos obviously influenced spike lee in do the right thing ( remember radio raheem ?<br> ) .	3	-4	 powell's[0] love[2] and[0] hate[-3] knuckle[0] tattoos[0] obviously[0] influenced[0] spike[0] lee[0] in[0] do[0] the[0] right[0] thing[0] remember[0] radio[0] raheem[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and powell's black suit , with black tie and white shirt , could have shaped quentin tarantino's early visual style . 	and powell's black suit , with black tie and white shirt , could have shaped quentin tarantino's early visual style .	1	-1	 and[0] powell's[0] black[0] suit[0] with[0] black[0] tie[0] and[0] white[0] shirt[0] could[0] have[0] shaped[0] quentin[0] tarantino's[0] early[0] visual[0] style[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seeing the night of the hunter for the first time , i was amazed at how much it crackled with wicked wit and fright and how much intensity was intact . 	seeing the night of the hunter for the first time , i was amazed at how much it crackled with wicked wit and fright and how much intensity was intact .	3	-4	 seeing[0] the[0] night[0] of[0] the[0] hunter[-1] for[0] the[0] first[0] time[0] i[0] was[0] amazed[2] at[0] how[0] much[0] it[0] crackled[0] with[0] wicked[2] wit[0] and[0] fright[-3] and[0] how[0] much[0] intensity[0] was[0] intact[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
you can now sign me up as president of the robert mitchum fan club . 	you can now sign me up as president of the robert mitchum fan club .	1	-1	 you[0] can[0] now[0] sign[0] me[0] up[0] as[0] president[0] of[0] the[0] robert[0] mitchum[0] fan[0] club[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he plays the role with a controlled malice that induces unease every time he appears . 	he plays the role with a controlled malice that induces unease every time he appears .	2	-4	 he[0] plays[1] the[0] role[0] with[0] a[0] controlled[0] malice[-3] that[0] induces[0] unease[-1] every[0] time[0] he[0] appears[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he's like the senior class president with an evil streak . 	he's like the senior class president with an evil streak .	2	-3	 he's[0] like[1] the[0] senior[0] class[0] president[0] with[0] an[0] evil[-2] streak[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if i ever need to stay awake , i'll just picture him crooning , " leaning . . . 	if i ever need to stay awake , i'll just picture him crooning , " leaning .<br> .<br> .	1	-1	 if[0] i[0] ever[0] need[0] to[0] stay[0] awake[0] i'll[0] just[0] picture[0] him[0] crooning[0] leaning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
leaning . . . . " 	leaning .<br> .<br> .<br> .<br> "	1	-1	 leaning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
any actor who wants to play a character with a touch of evil should study his performance the way a rabbinical student studies the torah . 	any actor who wants to play a character with a touch of evil should study his performance the way a rabbinical student studies the torah .	1	-3	 any[0] actor[0] who[0] wants[0] to[0] play[0] a[0] character[0] with[0] a[0] touch[0] of[0] evil[-2] should[0] study[0] his[0] performance[0] the[0] way[0] a[0] rabbinical[0] student[0] studies[0] the[0] torah[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and credit must be handed out to laughton and cinematographer stanley cortez , who create a series of haunting , surreal shadowy images over the rural depression-era backdrop . 	and credit must be handed out to laughton and cinematographer stanley cortez , who create a series of haunting , surreal shadowy images over the rural depression-era backdrop .	2	-4	 and[0] credit[0] must[0] be[0] handed[0] out[0] to[0] laughton[1] and[0] cinematographer[0] stanley[0] cortez[0] who[0] create[0] a[0] series[0] of[0] haunting[0] surreal[0] shadowy[0] images[0] over[0] the[0] rural[0] depression[-3] era[0] backdrop[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's a testament to both men that they're able to invigorate what has become a hackneyed storyline ( kids harassed by evil guardians ) by sticking to the old maxim that we're more scared by what we don't see . 	it's a testament to both men that they're able to invigorate what has become a hackneyed storyline ( kids harassed by evil guardians ) by sticking to the old maxim that we're more scared by what we don't see .	2	-4	 it's[0] a[0] testament[0] to[0] both[0] men[0] that[0] they're[0] able[0] to[0] invigorate[1] what[0] has[0] become[0] a[0] hackneyed[0] storyline[0] kids[0] harassed[-2] by[0] evil[-2] guardians[0] by[0] sticking[0] to[0] the[0] old[0] maxim[0] that[0] we're[0] more[0] scared[-3] by[0] what[0] we[0] don't[0] see[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
screenwriter and legendary film critic james agee does a beautiful job giving shape and substance to an array of supporting characters : the drunk birdie ( james gleason ) who's haunted by his wife , and the spoons ( evelyn varden and walt spoon ) whose marriage has become a verbal vaudeville act . 	screenwriter and legendary film critic james age does a beautiful job giving shape and substance to an array of supporting characters : the drunk birdie ( james gleason ) who's haunted by his wife , and the spoons ( evelyn varden and walt spoon ) whose marriage has become a verbal vaudeville act .	3	-2	 screenwriter[0] and[0] legendary[0] film[0] critic[-1] james[0] agee/age[0] does[0] a[0] beautiful[2] job[0] giving[0] shape[0] and[0] substance[0] to[0] an[0] array[0] of[0] supporting[1] characters[0] the[0] drunk[-1] birdie[0] james[0] gleason[0] who's[0] haunted[0] by[0] his[0] wife[0] and[0] the[0] spoons[0] evelyn[0] varden[0] and[0] walt[0] spoon[0] whose[0] marriage[0] has[0] become[0] a[0] verbal[0] vaudeville[0] act[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the only lapse is the movie's third act , when pearl and john run away from home and find a home with the motherly , bible-reading mrs . cooper ( lillian gish ) . 	the only lapse is the movie's third act , when pearl and john run away from home and find a home with the motherly , bible-reading mrs .<br> cooper ( lillian gish ) .	1	-2	 the[0] only[0] lapse[-1] is[0] the[0] movie's[0] third[0] act[0] when[0] pearl[0] and[0] john[0] run[0] away[0] from[0] home[0] and[0] find[0] a[0] home[0] with[0] the[0] motherly[0] bible[0] reading[0] mrs[0] [[Sentence=-2,1=word max, 1-5]] cooper[0] lillian[0] gish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
her showdown with powell is memorable -- a battle done with dueling hymns . 	her showdown with powell is memorable - a battle done with dueling hymns .	1	-2	 her[0] showdown[0] with[0] powell[0] is[0] memorable[0] a[0] battle[-1] done[0] with[0] dueling[0] hymns[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the whole segment feels a little rushed and underdone , but it's still a thrill seeing the queen of the silent film era handling a shotgun . 	however , the whole segment feels a little rushed and underdone , but it's still a thrill seeing the queen of the silent film era handling a shotgun .	4	-1	 however[0] the[0] whole[0] segment[0] feels[0] a[0] little[0] rushed[0] and[0] underdone[0] but[0] it's[0] still[0] a[0] thrill[3] seeing[0] the[0] queen[0] of[0] the[0] silent[0] film[0] era[0] handling[0] a[0] shotgun[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
do yourself favor and don't miss this if it comes to a nearby theater . 	do yourself favor and don't miss this if it comes to a nearby theater .	2	-1	 do[0] yourself[0] favor[1] and[0] don't[0] miss[-1][NegatedDueToPreviousWord] this[0] if[0] it[0] comes[0] to[0] a[0] nearby[0] theater[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
note : a series of revealing , but overlong , outtakes preceded the movie . 	note : a series of revealing , but overlong , outtakes preceded the movie .	1	-1	 note[0] a[0] series[0] of[0] revealing[0] but[0] overlong[0] outtakes[0] preceded[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the highlights included the legendary laughton ( who sounds eerily like mr . pitt from seinfeld ) running winters' lines with mitchum , and the adorable , tiny bruce having trouble descending a coal pile . 	the highlights included the legendary laughton ( who sounds eerily like mr .<br> pit from seinfeld ) running winters' lines with mitchum , and the adorable , tiny bruce having trouble descending a coal pile .	4	-2	 the[0] highlights[0] included[0] the[0] legendary[0] laughton[1] who[0] sounds[0] eerily[0] like[1] mr[0] [[Sentence=-1,2=word max, 1-5]] pitt/pit[0] from[0] seinfeld[0] running[0] winters'[0] lines[0] with[0] mitchum[0] and[0] the[0] adorable[3] tiny[0] bruce[0] having[0] trouble[-1] descending[0] a[0] coal[0] pile[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
hours more of such footage exists , as laughton liked to keep the cameras constantly rolling . 	hours more of such footage exists , as laughton liked to keep the cameras constantly rolling .	3	-1	 hours[0] more[0] of[0] such[0] footage[0] exists[0] as[0] laughton[1] liked[2] to[0] keep[0] the[0] cameras[0] constantly[0] rolling[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
screened as part of the 2001 new york film festival retrospectives ( feature story coming soon ) . 	screened as part of the 2001 new york film festival retrospectives ( feature story coming soon ) .	1	-1	 screened[0] as[0] part[0] of[0] the[0] 2001[0] new[0] york[0] film[0] festival[0] retrospectives[0] feature[0] story[0] coming[0] soon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
