when bulworth ended , i allowed myself a sigh of relief : ? it is possible for me to enjoy political satire . ? 	Translation	Positive	Negative	EmotionRationale
 " well , " he shouts , laughing , " isn't that obvious ? " 	 " well , " he shouts , laughing , " isn't that obvious ?<br> "	2	-1	 well[0] he[0] shouts[0] laughing[1] isn't[0] that[0] obvious[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story is propelled by a device in which bulworth puts out a contract on his own life ( he muses later that it's a bad thing to make decisions when you're suicidal ) ; he keeps seeing a man in sunglasses ( graham beckel ) whom he believes to be the hitman . 	the story is propelled by a device in which bulworth puts out a contract on his own life ( he muses later that it's a bad thing to make decisions when you're suicidal ) ; he keeps seeing a man in sunglasses ( graham beckel ) whom he believes to be the hitman .	1	-2	 the[0] story[0] is[0] propelled[0] by[0] a[0] device[0] in[0] which[0] bulworth[0] puts[0] out[0] a[0] contract[0] on[0] his[0] own[0] life[0] he[0] muses[0] later[0] that[0] it's[0] a[0] bad[-1] thing[0] to[0] make[0] decisions[0] when[0] you're[0] suicidal[0] he[0] keeps[0] seeing[0] a[0] man[0] in[0] sunglasses[0] graham[0] beckel[0] whom[0] he[0] believes[0] to[0] be[0] the[0] hitman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ? bulworth also meets nina ( halle berry ) with whom he becomes infatuated . 	 ?<br> bulworth also meets nina ( hale berry ) with whom he becomes infatuated .	1	-1	 bulworth[0] also[0] meets[0] nina[0] halle/hale[0] berry[0] with[0] whom[0] he[0] becomes[0] infatuated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? suddenly , in the short span of this weekend , bulworth's no-nonsense " truth in politics " methods become a national sensation , and he shoots ahead in the polls despite the fact that he's appearing on television wearing gang clothes and spewing more profanity than coherent sentences . 	 ?<br> suddenly , in the short span of this weekend , bulworth's no-nonsense " truth in politics " methods become a national sensation , and he shoots ahead in the polls despite the fact that he's appearing on television wearing gang clothes and spewing more profanity than coherent sentences .	2	-2	 suddenly[0] in[0] the[0] short[0] span[0] of[0] this[0] weekend[0] bulworth's[0] no[0] nonsense[-1] truth[1] in[0] politics[0] methods[0] become[0] a[0] national[0] sensation[0] and[0] he[0] shoots[-1] ahead[0] in[0] the[0] polls[0] despite[0] the[0] fact[0] that[0] he's[0] appearing[0] on[0] television[0] wearing[0] gang[0] clothes[0] and[0] spewing[-1] more[0] profanity[0] than[0] coherent[0] sentences[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
beatty's work on both sides of the camera is excellent . ? 	beatty's work on both sides of the camera is excellent .<br> ?	4	-1	 beatty's[0] work[0] on[0] both[0] sides[0] of[0] the[0] camera[0] is[0] excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
his script and direction are both extremely sharp , as is the surprisingly strong characterization of bulworth himself . ? 	his script and direction are both extremely sharp , as is the surprisingly strong characterization of bulworth himself .<br> ?	1	-1	 his[0] script[0] and[0] direction[0] are[0] both[0] extremely[0] sharp[0] as[0] is[0] the[0] surprisingly[0] strong[0] characterization[0] of[0] bulworth[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here is a man who's reached his limit , and his way of lashing back is by screwing over the entire political structure . ? 	here is a man who's reached his limit , and his way of lashing back is by screwing over the entire political structure .<br> ?	1	-1	 here[0] is[0] a[0] man[0] who's[0] reached[0] his[0] limit[0] and[0] his[0] way[0] of[0] lashing[0] back[0] is[0] by[0] screwing[0] over[0] the[0] entire[0] political[0] structure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i like that the film doesn't take a clear shot at any of the political parties or affiliations , but at politics in general and how everything is run by the rich ( although the anti-rich sentiments do get a bit tiresome by the end of the film ) . ? 	i like that the film doesn't take a clear shot at any of the political parties or affiliations , but at politics in general and how everything is run by the rich ( although the anti-rich sentiments do get a bit tiresome by the end of the film ) .<br> ?	2	-2	 i[0] like[1] that[0] the[0] film[0] doesn't[0] take[0] a[0] clear[0] shot[-1] at[0] any[0] of[0] the[0] political[0] parties[0] or[0] affiliations[0] but[0] at[0] politics[0] in[0] general[0] and[0] how[0] everything[0] is[0] run[0] by[0] the[0] rich[0] although[0] the[0] anti[0] rich[0] sentiments[0] do[0] get[0] a[0] bit[0] tiresome[-1] by[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
some of the segments are simply hilarious , such as a lengthy rap that he delivers at a luncheon dedicated to him . ? 	some of the segments are simply hilarious , such as a lengthy rap that he delivers at a luncheon dedicated to him .<br> ?	3	-1	 some[0] of[0] the[0] segments[0] are[0] simply[0] hilarious[2] such[0] as[0] a[0] lengthy[0] rap[0] that[0] he[0] delivers[0] at[0] a[0] luncheon[0] dedicated[0] to[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
much of the film is completely absurd , but that's the fun part about it . ? 	much of the film is completely absurd , but that's the fun part about it .<br> ?	2	-3	 much[0] of[0] the[0] film[0] is[0] completely[0] absurd[-1][-1 LastWordBoosterStrength] but[0] that's[0] the[0] fun[1] part[0] about[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's an angry , serious film at the core , but the package that beatty has created is so much more accessible than recent attempts in the genre . ? 	it's an angry , serious film at the core , but the package that beatty has created is so much more accessible than recent attempts in the genre .<br> ?	1	-4	 it's[0] an[0] angry[-3] serious[-1] film[0] at[0] the[0] core[0] but[0] the[0] package[0] that[0] beatty[0] has[0] created[0] is[0] so[0] much[0] more[0] accessible[0] than[0] recent[0] attempts[0] in[0] the[0] genre[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what adds to this feeling is beatty's portrayal of bulworth ; this is a performance that deserves recognition on a higher scale . 	what adds to this feeling is beatty's portrayal of bulworth ; this is a performance that deserves recognition on a higher scale .	1	-1	 what[0] adds[0] to[0] this[0] feeling[0] is[0] beatty's[0] portrayal[0] of[0] bulworth[0] this[0] is[0] a[0] performance[0] that[0] deserves[0] recognition[0] on[0] a[0] higher[0] scale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? beatty is so much fun to watch here -- he's always funny , but he's also subtle in ways that flesh out his character without dialogue or hugely noticeable actions . 	 ?<br> beatty is so much fun to watch here - he's always funny , but he's also subtle in ways that flesh out his character without dialogue or hugely noticeable actions .	2	-1	 beatty[0] is[0] so[0] much[0] fun[1] to[0] watch[0] here[0] he's[0] always[0] funny[1] but[0] he's[0] also[0] subtle[0] in[0] ways[0] that[0] flesh[0] out[0] his[0] character[0] without[0] dialogue[0] or[0] hugely[0] noticeable[0] actions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ? beatty is so good that bulworth , despite his shortcomings as a human being , is an entirely sympathetic and likable character almost from the beginning . 	 ?<br> beatty is so good that bulworth , despite his shortcomings as a human being , is an entirely sympathetic and likable character almost from the beginning .	2	-2	 beatty[0] is[0] so[0] good[1] that[0] bulworth[0] despite[0] his[0] shortcomings[-1] as[0] a[0] human[0] being[0] is[0] an[0] entirely[0] sympathetic[0] and[0] likable[0] character[0] almost[0] from[0] the[0] beginning[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the supporting cast is vast and colorful . ? 	the supporting cast is vast and colorful .<br> ?	2	-1	 the[0] supporting[1] cast[0] is[0] vast[0] and[0] colorful[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
berry is luminous , as always , and adds to her repertoire of solid supporting roles . ? 	berry is luminous , as always , and adds to her repertoire of solid supporting roles .<br> ?	2	-1	 berry[0] is[0] luminous[0] as[0] always[0] and[0] adds[0] to[0] her[0] repertoire[0] of[0] solid[0] supporting[1] roles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
don cheadle has a good role as a drug dealer who uses gun-toting toddlers to do his dirty work . ? 	don cheadle has a good role as a drug dealer who uses gun-toting toddlers to do his dirty work .<br> ?	2	-2	 don[0] cheadle[0] has[0] a[0] good[1] role[0] as[0] a[0] drug[0] dealer[0] who[0] uses[0] gun[-1] toting[0] toddlers[0] to[0] do[0] his[0] dirty[-1] work[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oliver platt is an actor who should be careful , for someday i fear he may induce a heart attack with the intensity of his acting ( though he's very funny to watch ) . ? paul sorvino adds the southern accent to his list of mastered inflections . 	oliver platt is an actor who should be careful , for someday i fear he may induce a heart attack with the intensity of his acting ( though he's very funny to watch ) .<br> ?<br> paul sorvino adds the southern accent to his list of mastered inflections .	3	-4	 oliver[0] platt[0] is[0] an[0] actor[0] who[0] should[0] be[0] careful[0] for[0] someday[0] i[0] fear[-3] he[0] may[0] induce[0] a[0] heart[0] attack[-2] with[0] the[0] intensity[0] of[0] his[0] acting[0] though[0] he's[0] very[0] funny[1][1 LastWordBoosterStrength] to[0] watch[0] [[Sentence=-4,3=word max, 1-5]] paul[0] sorvino[0] adds[0] the[0] southern[0] accent[0] to[0] his[0] list[0] of[0] mastered[0] inflections[0] [[Sentence=-1,1=word max, 1-5]][[[3,-4 max of sentences]]]
is bulworth offensive ? ? 	is bulworth offensive ?<br> ?	1	-3	 is[0] bulworth[0] offensive[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i suppose some may see it that way . ? 	i suppose some may see it that way .<br> ?	1	-1	 i[0] suppose[0] some[0] may[0] see[0] it[0] that[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i wasn't offended by the film , but then again , i hardly care about politics . ? 	i wasn't offended by the film , but then again , i hardly care about politics .<br> ?	2	-3	 i[0] wasn't[0] offended[-2] by[0] the[0] film[0] but[0] then[0] again[0] i[0] hardly[0] care[1] about[0] politics[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i think that people who find this film offensive will just be blindsided by the honesty of the story . ? 	i think that people who find this film offensive will just be blindsided by the honesty of the story .<br> ?	2	-3	 i[0] think[0] that[0] people[0] who[0] find[0] this[0] film[0] offensive[-2] will[0] just[0] be[0] blindsided[-1] by[0] the[0] honesty[1] of[0] the[0] story[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film isn't perfect , of course -- the ending didn't quite work for me , and the a few of the scenes between bulworth and nina feel forced ( although the eclectic dance sequence is fantastic ) . ? 	the film isn't perfect , of course - the ending didn't quite work for me , and the a few of the scenes between bulworth and nina feel forced ( although the eclectic dance sequence is fantastic ) .<br> ?	3	-2	 the[0] film[0] isn't[0] perfect[1][NegatedDueToPreviousWord] of[0] course[0] the[0] ending[0] didn't[0] quite[0] work[0] for[0] me[0] and[0] the[0] a[0] few[0] of[0] the[0] scenes[0] between[0] bulworth[0] and[0] nina[0] feel[0] forced[0] although[0] the[0] eclectic[0] dance[0] sequence[0] is[0] fantastic[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but these are minor quibbles about an otherwise brilliant film . ? 	but these are minor quibbles about an otherwise brilliant film .<br> ?	2	-1	 but[0] these[0] are[0] minor[0] quibbles[0] about[0] an[0] otherwise[0] brilliant[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bulworth is a smart , uproariously funny picture that proves to me that political satire can scratch far deeper than the surface . ? 	bulworth is a smart , uproariously funny picture that proves to me that political satire can scratch far deeper than the surface .<br> ?	2	-1	 bulworth[0] is[0] a[0] smart[1] uproariously[0] funny[1] picture[0] that[0] proves[0] to[0] me[0] that[0] political[0] satire[0] can[0] scratch[0] far[0] deeper[0] than[0] the[0] surface[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
