note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
while novice directors often demonstrate an unfortunate lack of restraint in terms of flamboyant camerawork which ultimately proves to be aggravating , impertinent and self-congratulatory ( case in point : marc rocco's unforgettable perpetual-motion helming of murder in the first ) , in boogie nights every zoom or pan by mr . anderson , be it slow and deliberate or energetically sharp , is purposeful and potent . 	while novice directors often demonstrate an unfortunate lack of restraint in terms of flamboyant camerawork which ultimately proves to be aggravating , impertinent and self-congratulatory ( case in point : marc rocco's unforgettable perpetual-motion helming of murder in the first ) , in boogie nights every zoom or pan by mr .<br> anderson , be it slow and deliberate or energetically sharp , is purposeful and potent .	2	-4	 while[0] novice[-1] directors[0] often[0] demonstrate[0] an[0] unfortunate[-1] lack[-1] of[0] restraint[0] in[0] terms[0] of[0] flamboyant[0] camerawork[0] which[0] ultimately[0] proves[0] to[0] be[0] aggravating[-2] impertinent[0] and[0] self[0] congratulatory[1] case[0] in[0] point[0] marc[0] rocco's[0] unforgettable[0] perpetual[0] motion[0] helming[0] of[0] murder[-3] in[0] the[0] first[0] in[0] boogie[0] nights[0] every[0] zoom[0] or[0] pan[0] by[0] mr[0] [[Sentence=-4,2=word max, 1-5]] anderson[0] be[0] it[0] slow[0] and[0] deliberate[0] or[0] energetically[0] sharp[0] is[0] purposeful[0] and[0] potent[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
it's a rarity and a delight to discover such a confidently assured work so early in a filmmaker's career -- boogie nights is only his second feature film , following up his debut feature from earlier this year , hard eight -- and although it's somewhat derivative ( his storytelling style is reminiscent of robert altman , while in terms of visuals he's clearly influenced by martin scorsese ) , at least he's borrowing from some of the best , and it's entirely effective within the context of this film . 	it's a rarity and a delight to discover such a confidently assured work so early in a filmmaker's career - boogie nights is only his second feature film , following up his debut feature from earlier this year , hard eight - and although it's somewhat derivative ( his storytelling style is reminiscent of robert altman , while in terms of visuals he's clearly influenced by martin scorsese ) , at least he's borrowing from some of the best , and it's entirely effective within the context of this film .	3	-1	 it's[0] a[0] rarity[0] and[0] a[0] delight[2] to[0] discover[0] such[0] a[0] confidently[1] assured[0] work[0] so[0] early[0] in[0] a[0] filmmaker's[0] career[0] boogie[0] nights[0] is[0] only[0] his[0] second[0] feature[0] film[0] following[0] up[0] his[0] debut[0] feature[0] from[0] earlier[0] this[0] year[0] hard[0] eight[0] and[0] although[0] it's[0] somewhat[0] derivative[0] his[0] storytelling[0] style[0] is[0] reminiscent[0] of[0] robert[0] altman[0] while[0] in[0] terms[0] of[0] visuals[0] he's[0] clearly[0] influenced[0] by[0] martin[0] scorsese[0] at[0] least[0] he's[0] borrowing[0] from[0] some[0] of[0] the[0] best[1] and[0] it's[0] entirely[0] effective[0] within[0] the[0] context[0] of[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while boogie nights is astonishingly polished from a technical perspective , in terms of sheer entertainment value it's also rollicking good fun , with a wickedly deadpan sense of humour . 	while boogie nights is astonishingly polished from a technical perspective , in terms of sheer entertainment value it's also rollicking good fun , with a wickedly deadpan sense of humour .	3	-1	 while[0] boogie[0] nights[0] is[0] astonishingly[0] polished[0] from[0] a[0] technical[0] perspective[0] in[0] terms[0] of[0] sheer[0] entertainment[0] value[1] it's[0] also[0] rollicking[0] good[1] fun[1] with[0] a[0] wickedly[2] deadpan[0] sense[0] of[0] humour[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film perfectly captures the essence of the disco period in terms of music , clothes , hairstyles , dance , idioms , and culture , aided immeasurably by impeccable production design by bob ziembicki and costume design by mark bridges , and boogie nights convincingly catapults the audience back to this recent , pre-aids-scare period in american history where uninhibited , free-wheeling lifestyles abounded . 	the film perfectly captures the essence of the disco period in terms of music , clothes , hairstyles , dance , idioms , and culture , aided immeasurably by impeccable production design by bob ziembicki and costume design by mark bridges , and boogie nights convincingly catapults the audience back to this recent , pre-aids-scare period in american history where uninhibited , free-wheeling lifestyles abounded .	2	-4	 the[0] film[0] perfectly[1] captures[-1] the[0] essence[0] of[0] the[0] disco[0] period[0] in[0] terms[0] of[0] music[0] clothes[0] hairstyles[0] dance[0] idioms[0] and[0] culture[0] aided[0] immeasurably[0] by[0] impeccable[0] production[0] design[0] by[0] bob[0] ziembicki[0] and[0] costume[0] design[0] by[0] mark[0] bridges[0] and[0] boogie[0] nights[0] convincingly[0] catapults[0] the[0] audience[0] back[0] to[0] this[0] recent[0] pre[0] aids[0] scare[-3] period[0] in[0] american[0] history[0] where[0] uninhibited[0] free[0] wheeling[0] lifestyles[0] abounded[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
while much of the film's humour pertains to the characters' obliviousness of now-outdated aspects of their lives then prevalent in society -- a prime example is part-time salesman buck swope's demo of a stereo system with an eight-track tape , and inviting a prospective customer to get 'freaky deaky' with the music -- it's elicited with an undercurrent not of ridicule , but of wistful reminiscence , and some the throwback elements in the film are strangely wondrous . 	while much of the film's humour pertains to the characters' obliviousness of now-outdated aspects of their lives then prevalent in society - a prime example is part-time salesman buck swope's demo of a stereo system with an eight-track tape , and inviting a prospective customer to get 'freaky deaky' with the music - it's elicited with an undercurrent not of ridicule , but of wistful reminiscence , and some the throwback elements in the film are strangely wondrous .	3	-1	 while[0] much[0] of[0] the[0] film's[0] humour[2] pertains[0] to[0] the[0] characters'[0] obliviousness[0] of[0] now[0] outdated[0] aspects[0] of[0] their[0] lives[0] then[0] prevalent[0] in[0] society[0] a[0] prime[0] example[0] is[0] part[0] time[0] salesman[0] buck[0] swope's[0] demo[0] of[0] a[0] stereo[0] system[0] with[0] an[0] eight[0] track[0] tape[0] and[0] inviting[0] a[0] prospective[0] customer[0] to[0] get[0] 'freaky[0] deaky'[0] with[0] the[0] music[0] it's[0] elicited[0] with[0] an[0] undercurrent[0] not[0] of[0] ridicule[-2][NegatedDueToPreviousWord] but[0] of[0] wistful[0] reminiscence[0] and[0] some[0] the[0] throwback[0] elements[0] in[0] the[0] film[0] are[0] strangely[0] wondrous[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a giant ensemble disco dance production number in a nightclub is funny , to be sure , but oddly magical , and the sequence which lovingly explores eddie/dirk's bedroom , completely adorned with posters and elements of iconic 1970s figures ( farrah fawcett , cheryl tiegs , bruce lee ) is breathtaking . 	a giant ensemble disco dance production number in a nightclub is funny , to be sure , but oddly magical , and the sequence which lovingly explores eddie/dirk's bedroom , completely adorned with posters and elements of iconic 1970s figures ( farrah fawcett , cheryl tiegs , bruce lee ) is breathtaking .	4	-1	 a[0] giant[0] ensemble[0] disco[0] dance[0] production[0] number[0] in[0] a[0] nightclub[0] is[0] funny[1] to[0] be[0] sure[0] but[0] oddly[0] magical[0] and[0] the[0] sequence[0] which[0] lovingly[3] explores[0] eddie/dirk's[0] bedroom[0] completely[0] adorned[0] with[0] posters[0] and[0] elements[0] of[0] iconic[0] 1970s[0] figures[0] farrah[0] fawcett[0] cheryl[0] tiegs[0] bruce[0] lee[0] is[0] breathtaking[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
ably supported by a well-selected collection of period music ( all of which purportedly came straight from mr . anderson's personal collection ) , there's a clear affection for the era in boogie nights . 	ably supported by a well-selected collection of period music ( all of which purportedly came straight from mr .<br> anderson's personal collection ) , there's a clear affection for the era in boogie nights .	3	-1	 ably[0] supported[1] by[0] a[0] well[0] selected[0] collection[0] of[0] period[0] music[0] all[0] of[0] which[0] purportedly[0] came[0] straight[0] from[0] mr[0] [[Sentence=-1,2=word max, 1-5]] anderson's[0] personal[0] collection[0] there's[0] a[0] clear[0] affection[2] for[0] the[0] era[0] in[0] boogie[0] nights[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's the period aspect and the playfully comic nostaligism of boogie nights which has been played up in its marketing campaign in deference of the pornography element of the storyline ; the film's promotional trailer markedly avoids any explicit reference to the adult film industry which unites its characters . 	it's the period aspect and the playfully comic nostaligism of boogie nights which has been played up in its marketing campaign in deference of the pornography element of the storyline ; the film's promotional trailer markedly avoids any explicit reference to the adult film industry which unites its characters .	2	-2	 it's[0] the[0] period[0] aspect[0] and[0] the[0] playfully[1] comic[0] nostaligism[0] of[0] boogie[0] nights[0] which[0] has[0] been[0] played[0] up[0] in[0] its[0] marketing[0] campaign[0] in[0] deference[0] of[0] the[0] pornography[0] element[0] of[0] the[0] storyline[0] the[0] film's[0] promotional[0] trailer[0] markedly[0] avoids[-1] any[0] explicit[0] reference[0] to[0] the[0] adult[0] film[0] industry[0] which[0] unites[0] its[0] characters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after the debacle with 1996's milos forman film , the people vs . 	after the debacle with 1996's milos forman film , the people vs .	1	-1	 after[0] the[0] debacle[0] with[0] 1996's[0] milos[0] forman[0] film[0] the[0] people[0] vs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
larry flynt , another finely-crafted work which was knocked off the market prematurely due to controversy regarding its pornography-related storyline , the new line marketing team faced a unique challenge with boogie nights in terms of attempting to deemphasize the relatively risque erotic picture element of the story in order to increase salability to the general public . 	larry flynt , another finely-crafted work which was knocked off the market prematurely due to controversy regarding its pornography-related storyline , the new line marketing team faced a unique challenge with boogie nights in terms of attempting to deemphasize the relatively risque erotic picture element of the story in order to increase salability to the general public .	1	-2	 larry[0] flynt[0] another[0] finely[0] crafted[0] work[0] which[0] was[0] knocked[0] off[0] the[0] market[0] prematurely[0] due[0] to[0] controversy[-1] regarding[0] its[0] pornography[0] related[0] storyline[0] the[0] new[0] line[0] marketing[0] team[0] faced[0] a[0] unique[0] challenge[-1] with[0] boogie[0] nights[0] in[0] terms[0] of[0] attempting[0] to[0] deemphasize[0] the[0] relatively[0] risque[0] erotic[0] picture[0] element[0] of[0] the[0] story[0] in[0] order[0] to[0] increase[0] salability[0] to[0] the[0] general[0] public[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , while boogie nights delves into the world of the adult film industry of two decades ago , it's hardly a lurid or seamy film -- given the subject matter , there's very little nudity , and virtually none of it can be construed as gratuitous -- and boogie nights smartly depicts erotic filmmaking not as a hotbed of carnality , but simply as a business . 	however , while boogie nights delves into the world of the adult film industry of two decades ago , it's hardly a lurid or seamy film - given the subject matter , there's very little nudity , and virtually none of it can be construed as gratuitous - and boogie nights smartly depicts erotic filmmaking not as a hotbed of carnality , but simply as a business .	2	-2	 however[0] while[0] boogie[0] nights[0] delves[0] into[0] the[0] world[0] of[0] the[0] adult[0] film[0] industry[0] of[0] two[0] decades[0] ago[0] it's[0] hardly[0] a[0] lurid[0] or[0] seamy[0] film[0] given[0] the[0] subject[0] matter[0] there's[0] very[0] little[0] nudity[0] and[0] virtually[0] none[0] of[0] it[0] can[0] be[0] construed[0] as[0] gratuitous[-1] and[0] boogie[0] nights[0] smartly[1] depicts[0] erotic[0] filmmaking[0] not[0] as[0] a[0] hotbed[0] of[0] carnality[0] but[0] simply[0] as[0] a[0] business[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the glimpses on the sets of jack horner's shoots reveal that while the films he makes are intended to titillate , there's a candid matter-of-factness in terms of sex ; his cast and crew are professionals who are merely doing a job , and it's refreshing that the obvious cliches of depravity and sinful lechery often linked to dismissive portraits of adult filmmaking , such as coercion or debauchery , are avoided . 	the glimpses on the sets of jack horner's shoots reveal that while the films he makes are intended to titillate , there's a candid matter-of-factness in terms of sex ; his cast and crew are professionals who are merely doing a job , and it's refreshing that the obvious cliches of depravity and sinful lechery often linked to dismissive portraits of adult filmmaking , such as coercion or debauchery , are avoided .	1	-4	 the[0] glimpses[0] on[0] the[0] sets[0] of[0] jack[0] horner's[0] shoots[-1] reveal[0] that[0] while[0] the[0] films[0] he[0] makes[0] are[0] intended[0] to[0] titillate[0] there's[0] a[0] candid[0] matter[0] of[0] factness[0] in[0] terms[0] of[0] sex[0] his[0] cast[0] and[0] crew[0] are[0] professionals[0] who[0] are[0] merely[0] doing[0] a[0] job[0] and[0] it's[0] refreshing[0] that[0] the[0] obvious[0] cliches[0] of[0] depravity[-3] and[0] sinful[-1] lechery[0] often[0] linked[0] to[0] dismissive[-1] portraits[0] of[0] adult[0] filmmaking[0] such[0] as[0] coercion[-2] or[0] debauchery[0] are[0] avoided[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if anything , boogie nights is more interested in the process of adult filmmaking than the adult films themselves . 	if anything , boogie nights is more interested in the process of adult filmmaking than the adult films themselves .	2	-1	 if[0] anything[0] boogie[0] nights[0] is[0] more[0] interested[1] in[0] the[0] process[0] of[0] adult[0] filmmaking[0] than[0] the[0] adult[0] films[0] themselves[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jack horner's dream is an honourable one -- he genuinely aspires to make a great film -- and to some degree boogie nights is reminiscent of ed wood ( albeit lacking a certain wistful innocence ) . 	jack horner's dream is an honourable one - he genuinely aspires to make a great film - and to some degree boogie nights is reminiscent of ed wood ( albeit lacking a certain wistful innocence ) .	3	-1	 jack[0] horner's[0] dream[0] is[0] an[0] honourable[1] one[0] he[0] genuinely[0] aspires[0] to[0] make[0] a[0] great[2] film[0] and[0] to[0] some[0] degree[0] boogie[0] nights[0] is[0] reminiscent[0] of[0] ed[0] wood[0] albeit[0] lacking[0] a[0] certain[0] wistful[0] innocence[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in both films , the world of quickie low-budget filmmaking is explored , and both jack horner and the version of ed wood by tim burton , scott alexander , and larry karaszewski share similar mindsets -- jack's retort of " there are shadows in light , baby " to his cinematographer's complaint about poor set lighting echoes back to ed wood's " it's not about the little details , it's about the big picture ! " 	in both films , the world of quickie low-budget filmmaking is explored , and both jack horner and the version of ed wood by tim burton , scot alexander , and larry karaszewski share similar mindsets - jack's retort of " there are shadows in light , baby " to his cinematographer's complaint about poor set lighting echoes back to ed wood's " it's not about the little details , it's about the big picture !<br> "	2	-2	 in[0] both[0] films[0] the[0] world[0] of[0] quickie[0] low[-1] budget[0] filmmaking[0] is[0] explored[0] and[0] both[0] jack[0] horner[0] and[0] the[0] version[0] of[0] ed[0] wood[0] by[0] tim[0] burton[0] scott/scot[0] alexander[0] and[0] larry[0] karaszewski[0] share[0] similar[0] mindsets[0] jack's[0] retort[0] of[0] there[0] are[0] shadows[0] in[0] light[0] baby[1] to[0] his[0] cinematographer's[0] complaint[-1] about[0] poor[-1] set[0] lighting[0] echoes[0] back[0] to[0] ed[0] wood's[0] it's[0] not[0] about[0] the[0] little[0] details[0] it's[0] about[0] the[0] big[0] picture[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rant when it is pointed out that his graveyard set for plan 9 from outer space appears patently false . 	rant when it is pointed out that his graveyard set for plan 9 from outer space appears patently false .	1	-3	 rant[0] when[0] it[0] is[0] pointed[0] out[0] that[0] his[0] graveyard[-2] set[0] for[0] plan[0] 9[0] from[0] outer[0] space[0] appears[0] patently[0] false[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in boogie nights and ed wood , the aspirations of the respective filmmakers' prove to be bemusing , not in their intentions -- there's nothing inherently silly in the goal of making an 'artistic' erotic picture -- but in the degree that they miss the mark . 	in boogie nights and ed wood , the aspirations of the respective filmmakers' prove to be bemusing , not in their intentions - there's nothing inherently silly in the goal of making an 'artistic' erotic picture - but in the degree that they miss the mark .	3	-2	 in[0] boogie[0] nights[0] and[0] ed[0] wood[0] the[0] aspirations[0] of[0] the[0] respective[2] filmmakers'[0] prove[0] to[0] be[0] bemusing[0] not[0] in[0] their[0] intentions[0] there's[0] nothing[0] inherently[0] silly[-1] in[0] the[0] goal[0] of[0] making[0] an[0] 'artistic'[0] erotic[0] picture[0] but[0] in[0] the[0] degree[0] that[0] they[0] miss[-1] the[0] mark[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
much like the humour lacing ed wood , the laughs involving jack horner are double-edged ; after viewing a hilarious excerpt from one of his latest films which hybridizes the james bond and porn genres , when jack breathes " this is the best work i've ever done " , it's genuinely funny , but given his utter sincerity , also possesses a tinge of sadness . 	much like the humour lacing ed wood , the laughs involving jack horner are double-edged ; after viewing a hilarious excerpt from one of his latest films which hybridizes the james bond and porn genres , when jack breathes " this is the best work i've ever done " , it's genuinely funny , but given his utter sincerity , also possesses a tinge of sadness .	3	-4	 much[0] like[1] the[0] humour[2] lacing[0] ed[0] wood[0] the[0] laughs[1] involving[0] jack[0] horner[0] are[0] double[0] edged[0] after[0] viewing[0] a[0] hilarious[2] excerpt[0] from[0] one[0] of[0] his[0] latest[0] films[0] which[0] hybridizes[0] the[0] james[0] bond[0] and[0] porn[0] genres[0] when[0] jack[0] breathes[0] this[0] is[0] the[0] best[1] work[0] i've[0] ever[0] done[0] it's[0] genuinely[0] funny[1] but[0] given[0] his[0] utter[0] sincerity[0] also[0] possesses[0] a[0] tinge[0] of[0] sadness[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
mr . anderson is at this point clearly a greater talent as a director than a screenwriter . 	mr .<br> anderson is at this point clearly a greater talent as a director than a screenwriter .	3	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] anderson[0] is[0] at[0] this[0] point[0] clearly[0] a[0] greater[2] talent[1] as[0] a[0] director[0] than[0] a[0] screenwriter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while boogie nights shows great inventiveness in staging , there really isn't any clever dialogue in the film , though a valid point certainly can be made that none of the film's characters particularly lend themselves to thoughtful verbal exchanges ; when one considers that the film's * protagonist * literally doesn't say a single insightful thing throughout the entire 152 minute running time , it's no wonder why the playfully inane " how much can you bench ? " 	while boogie nights shows great inventiveness in staging , there really isn't any clever dialogue in the film , though a valid point certainly can be made that none of the film's characters particularly lend themselves to thoughtful verbal exchanges ; when one considers that the film's * protagonist * literally doesn't say a single insightful thing throughout the entire 152 minute running time , it's no wonder why the playfully inane " how much can you bench ?<br> "	3	-2	 while[0] boogie[0] nights[0] shows[0] great[2] inventiveness[0] in[0] staging[0] there[0] really[0] isn't[0] any[0] clever[0] dialogue[0] in[0] the[0] film[0] though[0] a[0] valid[0] point[0] certainly[0] can[0] be[0] made[0] that[0] none[0] of[0] the[0] film's[0] characters[0] particularly[0] lend[0] themselves[0] to[0] thoughtful[1] verbal[0] exchanges[0] when[0] one[0] considers[0] that[0] the[0] film's[0] protagonist[0] literally[0] doesn't[0] say[0] a[0] single[0] insightful[0] thing[0] throughout[0] the[0] entire[0] 152[0] minute[0] running[0] time[0] it's[0] no[0] wonder[0] why[0] the[0] playfully[1] inane[-1] how[0] much[0] can[0] you[0] bench[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
banter between dirk and reed constitutes one of the film's finest exchanges . 	banter between dirk and reed constitutes one of the film's finest exchanges .	1	-1	 banter[0] between[0] dirk[0] and[0] reed[0] constitutes[0] one[0] of[0] the[0] film's[0] finest[0] exchanges[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and while mr . anderson creates a rich collection of fascinating characters , it's problematic that some of the the threads given to the film's characters are simply stale material -- julianne moore's child custody battle is fairly cliched stuff , better suited for a less risque and uninspired tv-movie version of her character's story , and far less interesting than the thread dealing with her woefully hackneyed filmmaking ambitions . 	and while mr .<br> anderson creates a rich collection of fascinating characters , it's problematic that some of the the threads given to the film's characters are simply stale material - julianne moore's child custody battle is fairly cliched stuff , better suited for a less risque and uninspired tv-movie version of her character's story , and far less interesting than the thread dealing with her woefully hackneyed filmmaking ambitions .	2	-3	 and[0] while[0] mr[0] [[Sentence=-1,1=word max, 1-5]] anderson[0] creates[0] a[0] rich[0] collection[0] of[0] fascinating[0] characters[0] it's[0] problematic[-1] that[0] some[0] of[0] the[0] the[0] threads[0] given[0] to[0] the[0] film's[0] characters[0] are[0] simply[0] stale[-1] material[0] julianne[0] moore's[0] child[0] custody[0] battle[-1] is[0] fairly[0] cliched[0] stuff[0] better[0] suited[0] for[0] a[0] less[0] risque[0] and[0] uninspired[0] tv[0] movie[0] version[0] of[0] her[0] character's[0] story[0] and[0] far[0] less[0] interesting[1] than[0] the[0] thread[0] dealing[0] with[0] her[0] woefully[-2] hackneyed[0] filmmaking[0] ambitions[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
