in `enemy at the gates' , jude law is a gifted russian sniper made hero by a political officer named danilov ( joseph fiennes ) who uses him in a propaganda newspaper to raise the hopes of the soldiers and people of stalingrad . 	Translation	Positive	Negative	EmotionRationale
either their eyes , teeth , skin , or a combination of other features looked too white and clean . 	either their eyes , teeth , skin , or a combination of other features looked too white and clean .	1	-1	 either[0] their[0] eyes[0] teeth[0] skin[0] or[0] a[0] combination[0] of[0] other[0] features[0] looked[0] too[0] white[0] and[0] clean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with dirt and blood all around , the blinding teeth or bright eyes of these actors divert attention from the action . 	with dirt and blood all around , the blinding teeth or bright eyes of these actors divert attention from the action .	1	-2	 with[0] dirt[-1] and[0] blood[0] all[0] around[0] the[0] blinding[-1] teeth[0] or[0] bright[0] eyes[0] of[0] these[0] actors[0] divert[0] attention[0] from[0] the[0] action[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that said , the players are mostly good in their roles , although i don't think ed harris was really trying . 	that said , the players are mostly good in their roles , although i don't think ed harris was really trying .	2	-1	 that[0] said[0] the[0] players[0] are[0] mostly[0] good[1] in[0] their[0] roles[0] although[0] i[0] don't[0] think[0] ed[0] harris[0] was[0] really[0] trying[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe he realized his role struck a difficult chord in one-notedom . 	maybe he realized his role struck a difficult chord in one-notedom .	1	-2	 maybe[0] he[0] realized[0] his[0] role[0] struck[-1] a[0] difficult[-1] chord[0] in[0] one[0] notedom[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while the film is technically about snipers , there are far too many predictable sniping scenes . 	while the film is technically about snipers , there are far too many predictable sniping scenes .	1	-1	 while[0] the[0] film[0] is[0] technically[0] about[0] snipers[0] there[0] are[0] far[0] too[0] many[0] predictable[0] sniping[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director jean-jacques annaud expects us to view each tense situation with jude and some cohort in a tight spot as edgy and exciting , but after about the sixth time , in which we realize that jude is not going to die , it's relatively pointless . 	director jean-jacques annaud expects us to view each tense situation with jude and some cohort in a tight spot as edgy and exciting , but after about the sixth time , in which we realize that jude is not going to die , it's relatively pointless .	3	-3	 director[0] jean[0] jacques[0] annaud[0] expects[0] us[0] to[0] view[0] each[0] tense[-2] situation[0] with[0] jude[0] and[0] some[0] cohort[0] in[0] a[0] tight[0] spot[0] as[0] edgy[0] and[0] exciting[2] but[0] after[0] about[0] the[0] sixth[0] time[0] in[0] which[0] we[0] realize[0] that[0] jude[0] is[0] not[0] going[0] to[0] die[0] it's[0] relatively[0] pointless[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
we get that he's talented , okay , let's move on . 	we get that he's talented , okay , let's move on .	2	-1	 we[0] get[0] that[0] he's[0] talented[1] okay[0] let's[0] move[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's the problem with  enemy at the gates' ; it just doesn't know when to stop . 	that's the problem with  enemy at the gates' ; it just doesn't know when to stop .	1	-2	 that's[0] the[0] problem[-1] with[0] enemy[-1] at[0] the[0] gates'[0] it[0] just[0] doesn't[0] know[0] when[0] to[0] stop[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
witness the wasted seventeen minutes that could have been spent elsewhere . 	witness the wasted seventeen minutes that could have been spent elsewhere .	1	-2	 witness[0] the[0] wasted[-1] seventeen[0] minutes[0] that[0] could[0] have[0] been[0] spent[0] elsewhere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
reestablishing his title as the most beautiful ( and often talented ) man on film , jude law carries the movie . 	reestablishing his title as the most beautiful ( and often talented ) man on film , jude law carries the movie .	3	-1	 reestablishing[0] his[0] title[0] as[0] the[0] most[0] beautiful[2] and[0] often[0] talented[1] man[0] on[0] film[0] jude[0] law[0] carries[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
without him , this costly production would have gone into the ground . 	without him , this costly production would have gone into the ground .	1	-2	 without[0] him[0] this[0] costly[-1] production[0] would[0] have[0] gone[0] into[0] the[0] ground[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story and acting are of good quality , but there's never a sense of authenticity or reality . 	the story and acting are of good quality , but there's never a sense of authenticity or reality .	2	-1	 the[0] story[0] and[0] acting[0] are[0] of[0] good[1] quality[0] but[0] there's[0] never[0] a[0] sense[0] of[0] authenticity[0] or[0] reality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
something about this war movie is undeniably modern , and it loses its feeling . 	something about this war movie is undeniably modern , and it loses its feeling .	1	-3	 something[0] about[0] this[0] war[-2] movie[0] is[0] undeniably[0] modern[0] and[0] it[0] loses[-1] its[0] feeling[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
strange enough , the screenplay is based on the true story of a real russian sniper . 	strange enough , the screenplay is based on the true story of a real russian sniper .	2	-1	 strange[0] enough[0] the[0] screenplay[0] is[0] based[0] on[0] the[0] true[1] story[0] of[0] a[0] real[0] russian[0] sniper[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
