denzel washington is among the many actors this holiday season to give very impressive milestone performances . 	Translation	Positive	Negative	EmotionRationale
denzel washington is the only reason to see this film for his inspirational and very depressing tour de force performance . 	denzel washington is the only reason to see this film for his inspirational and very depressing tour de force performance .	3	-5	 denzel[0] washington[0] is[0] the[0] only[0] reason[0] to[0] see[0] this[0] film[0] for[0] his[0] inspirational[2] and[0] very[0] depressing[-3][-1 LastWordBoosterStrength] tour[0] de[0] force[-1] performance[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
as rubin carter , we see a black man whose existence has been a punching bag for the white american court system . 	as rubin carter , we see a black man whose existence has been a punching bag for the white american court system .	1	-2	 as[0] rubin[0] carter[0] we[0] see[0] a[0] black[0] man[0] whose[0] existence[0] has[0] been[0] a[0] punching[-1] bag[0] for[0] the[0] white[0] american[0] court[0] system[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 from the age of eleven to twenty one he was sent to a juvenile prison for a crime he did not commit . 	 from the age of eleven to twenty one he was sent to a juvenile prison for a crime he did not commit .	1	-2	 from[0] the[0] age[0] of[0] eleven[0] to[0] twenty[0] one[0] he[0] was[0] sent[0] to[0] a[0] juvenile[0] prison[-1] for[0] a[0] crime[-1] he[0] did[0] not[0] commit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then after a successful marriage and boxing career , he was harshly imprisoned again for life after being framed for a triple murder . 	then after a successful marriage and boxing career , he was harshly imprisoned again for life after being framed for a triple murder .	3	-4	 then[0] after[0] a[0] successful[2] marriage[0] and[0] boxing[0] career[0] he[0] was[0] harshly[0] imprisoned[-1] again[0] for[0] life[0] after[0] being[0] framed[0] for[0] a[0] triple[0] murder[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
carter's second term in prison seemed almost inevitable when faced off against jealous , powerful white men who refused to let him succeed . 	carter's second term in prison seemed almost inevitable when faced off against jealous , powerful white men who refused to let him succeed .	3	-3	 carter's[0] second[0] term[0] in[0] prison[-1] seemed[0] almost[0] inevitable[0] when[0] faced[0] off[0] against[-1] jealous[-2] powerful[0] white[0] men[0] who[0] refused[-1] to[0] let[0] him[0] succeed[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
from these past experiences in jail , carter realized that he must make his case heard for all of america . 	from these past experiences in jail , carter realized that he must make his case heard for all of america .	1	-2	 from[0] these[0] past[0] experiences[0] in[0] jail[-1] carter[0] realized[0] that[0] he[0] must[0] make[0] his[0] case[0] heard[0] for[0] all[0] of[0] america[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after several court appeals , an autobiography , and many public marches for his freedom , carter remained locked in prison . 	after several court appeals , an autobiography , and many public marches for his freedom , carter remained locked in prison .	1	-2	 after[0] several[0] court[0] appeals[0] an[0] autobiography[0] and[0] many[0] public[0] marches[0] for[0] his[0] freedom[0] carter[0] remained[0] locked[0] in[0] prison[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was not until a young black boy from brooklyn being educated in toronto read carter's book in the 1980's , that a serious battle for freedom took place . 	it was not until a young black boy from brooklyn being educated in toronto read carter's book in the 1980's , that a serious battle for freedom took place .	1	-2	 it[0] was[0] not[0] until[0] a[0] young[0] black[0] boy[0] from[0] brooklyn[0] being[0] educated[0] in[0] toronto[0] read[0] carter's[0] book[0] in[0] the[0] 1980's[0] that[0] a[0] serious[-1] battle[-1] for[0] freedom[0] took[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the young boy and his three canadian guardians decide to dedicate all of their time to the case until carter is released . 	the young boy and his three canadian guardians decide to dedicate all of their time to the case until carter is released .	1	-1	 the[0] young[0] boy[0] and[0] his[0] three[0] canadian[0] guardians[0] decide[0] to[0] dedicate[0] all[0] of[0] their[0] time[0] to[0] the[0] case[0] until[0] carter[0] is[0] released[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the greatest scenes in the film are when carter begins to lose his mind after spending three months in isolation . 	the greatest scenes in the film are when carter begins to lose his mind after spending three months in isolation .	3	-2	 the[0] greatest[2] scenes[0] in[0] the[0] film[0] are[0] when[0] carter[0] begins[0] to[0] lose[-1] his[0] mind[0] after[0] spending[0] three[0] months[0] in[0] isolation[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
washington really shows the breakdown of carter when after swearing he would never go to jail again , he is unfairly framed at the height of his innocent career . 	washington really shows the breakdown of carter when after swearing he would never go to jail again , he is unfairly framed at the height of his innocent career .	2	-2	 washington[0] really[0] shows[0] the[0] breakdown[-1] of[0] carter[0] when[0] after[0] swearing[0] he[0] would[0] never[0] go[0] to[0] jail[-1] again[0] he[0] is[0] unfairly[-1] framed[0] at[0] the[0] height[0] of[0] his[0] innocent[1] career[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the devastation in washington's eyes show a man who has struggled to do the right thing his whole life only to be punished for it . 	the devastation in washington's eyes show a man who has struggled to do the right thing his whole life only to be punished for it .	1	-5	 the[0] devastation[-4] in[0] washington's[0] eyes[0] show[0] a[0] man[0] who[0] has[0] struggled[-1] to[0] do[0] the[0] right[0] thing[0] his[0] whole[0] life[0] only[0] to[0] be[0] punished[-1] for[0] it[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
in the hole , carter attempts to maintain emotional balance but he cannot . 	in the hole , carter attempts to maintain emotional balance but he cannot .	1	-2	 in[0] the[0] hole[0] carter[0] attempts[0] to[0] maintain[0] emotional[-1] balance[0] but[0] he[0] cannot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his anger is heightened to a point of no control . 	his anger is heightened to a point of no control .	1	-4	 his[0] anger[-3] is[0] heightened[0] to[0] a[0] point[0] of[0] no[0] control[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we see multiple carters , a violent angry one , a silent passive one , and a mediator . 	we see multiple carters , a violent angry one , a silent passive one , and a mediator .	1	-5	 we[0] see[0] multiple[0] carters[0] a[0] violent[-2] angry[-3][-1 MultiplePositiveWords] one[0] a[0] silent[0] passive[0] one[0] and[0] a[0] mediator[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
we see an emotional boxing match inside carter's head . 	we see an emotional boxing match inside carter's head .	1	-2	 we[0] see[0] an[0] emotional[-1] boxing[0] match[0] inside[0] carter's[0] head[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from this point in the hole to the end of the film , this fight continues . 	from this point in the hole to the end of the film , this fight continues .	1	-3	 from[0] this[0] point[0] in[0] the[0] hole[0] to[0] the[0] end[0] of[0] the[0] film[0] this[0] fight[-2] continues[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is very apparent at times which side is winning the battle and in some scenes there is a direct switch from angry to caring or the opposite . 	it is very apparent at times which side is winning the battle and in some scenes there is a direct switch from angry to caring or the opposite .	3	-4	 it[0] is[0] very[0] apparent[0] at[0] times[0] which[0] side[0] is[0] winning[1] the[0] battle[-1] and[0] in[0] some[0] scenes[0] there[0] is[0] a[0] direct[0] switch[0] from[0] angry[-3] to[0] caring[2] or[0] the[0] opposite[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
when carter sees that white canadians want to help him get out of prison , the angry carter at first erupts . 	when carter sees that white canadians want to help him get out of prison , the angry carter at first erupts .	1	-4	 when[0] carter[0] sees[0] that[0] white[0] canadians[0] want[0] to[0] help[0] him[0] get[0] out[0] of[0] prison[-1] the[0] angry[-3] carter[0] at[0] first[0] erupts[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
white people have been trying to hurt him his whole life , this reminder leads to anger in his head . 	white people have been trying to hurt him his whole life , this reminder leads to anger in his head .	1	-4	 white[0] people[0] have[0] been[0] trying[0] to[0] hurt[-2] him[0] his[0] whole[0] life[0] this[0] reminder[0] leads[0] to[0] anger[-3] in[0] his[0] head[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , as the film continues and the canadians continue to help carter we see the calm side him . 	however , as the film continues and the canadians continue to help carter we see the calm side him .	2	-1	 however[0] as[0] the[0] film[0] continues[0] and[0] the[0] canadians[0] continue[0] to[0] help[0] carter[0] we[0] see[0] the[0] calm[1] side[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he realizes that society is changing . 	he realizes that society is changing .	1	-1	 he[0] realizes[0] that[0] society[0] is[0] changing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that racism is decreasing and now carter wants to leave jail immediately and become a part of this world . 	that racism is decreasing and now carter wants to leave jail immediately and become a part of this world .	1	-2	 that[0] racism[-1] is[0] decreasing[0] and[0] now[0] carter[0] wants[0] to[0] leave[0] jail[-1] immediately[0] and[0] become[0] a[0] part[0] of[0] this[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
very rarely have i seen such determination to perfect his role as washington has done here . 	very rarely have i seen such determination to perfect his role as washington has done here .	2	-1	 very[0] rarely[0] have[0] i[0] seen[0] such[0] determination[0] to[0] perfect[1] his[0] role[0] as[0] washington[0] has[0] done[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if only the other actors had this same determination . 	if only the other actors had this same determination .	1	-1	 if[0] only[0] the[0] other[0] actors[0] had[0] this[0] same[0] determination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dan hedaya , ridiculously plays the man who sends carter to prison twice by forcing witnesses to lie and switching evidence around . 	dan hedaya , ridiculously plays the man who sends carter to prison twice by forcing witnesses to lie and switching evidence around .	2	-3	 dan[0] hedaya[0] ridiculously[-2] plays[1] the[0] man[0] who[0] sends[0] carter[0] to[0] prison[-1] twice[0] by[0] forcing[0] witnesses[0] to[0] lie[0] and[0] switching[0] evidence[0] around[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it felt like his character was taken straight out of a " scooby doo " episode ; he would have gotten away with it if it wasn't for those annoying little kids . 	it felt like his character was taken straight out of a " scooby do " episode ; he would have gotten away with it if it wasn't for those annoying little kids .	2	-3	 it[0] felt[0] like[1] his[0] character[0] was[0] taken[0] straight[0] out[0] of[0] a[0] scooby[0] doo/do[0] episode[0] he[0] would[0] have[0] gotten[0] away[0] with[0] it[0] if[0] it[0] wasn't[0] for[0] those[0] annoying[-2] little[0] kids[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " the kids " in this film are the three canadians who are terribly underused making their relationship with carter underdeveloped and unbelievable . 	 " the kids " in this film are the three canadians who are terribly underused making their relationship with carter underdeveloped and unbelievable .	1	-4	 the[0] kids[0] in[0] this[0] film[0] are[0] the[0] three[0] canadians[0] who[0] are[0] terribly[-3] underused[0] making[0] their[0] relationship[0] with[0] carter[0] underdeveloped[0] and[0] unbelievable[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the lawyers who help release carter also are underused , as is clancy brown as a kind prison guard ( the complete opposite of his character in " shawshank redemption " ) . 	the lawyers who help release carter also are underused , as is clancy brown as a kind prison guard ( the complete opposite of his character in " shawshank redemption " ) .	2	-2	 the[0] lawyers[0] who[0] help[0] release[0] carter[0] also[0] are[0] underused[0] as[0] is[0] clancy[0] brown[0] as[0] a[0] kind[1] prison[-1] guard[0] the[0] complete[0] opposite[0] of[0] his[0] character[0] in[0] shawshank[0] redemption[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is a great amount of talent in this supporting cast but it just never appears . 	there is a great amount of talent in this supporting cast but it just never appears .	3	-1	 there[0] is[0] a[0] great[2] amount[0] of[0] talent[1] in[0] this[0] supporting[1] cast[0] but[0] it[0] just[0] never[0] appears[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hedaya was superb in " clueless , " same for david paymer in " get shorty , " harris yulin in " ghostbusters " and liev schreiber in " the daytrippers . " 	hedaya was superb in " clueless , " same for david paymer in " get shorty , " harris yulin in " ghostbusters " and liev schreiber in " the daytrippers .<br> "	1	-1	 hedaya[0] was[0] superb[0] in[0] clueless[0] same[0] for[0] david[0] paymer[0] in[0] get[0] shorty[0] harris[0] yulin[0] in[0] ghostbusters[0] and[0] liev[0] schreiber[0] in[0] the[0] daytrippers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a mystery how this many actors signed on to such shallow roles . 	it is a mystery how this many actors signed on to such shallow roles .	1	-2	 it[0] is[0] a[0] mystery[0] how[0] this[0] many[0] actors[0] signed[0] on[0] to[0] such[0] shallow[-1] roles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the other hand , it is absolutely no mystery why denzel washington agreed to play rubin " hurricane " carter . 	on the other hand , it is absolutely no mystery why denzel washington agreed to play rubin " hurricane " carter .	1	-1	 on[0] the[0] other[0] hand[0] it[0] is[0] absolutely[0] no[0] mystery[0] why[0] denzel[0] washington[0] agreed[0] to[0] play[0] rubin[0] hurricane[0] carter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this role is about as far off from shallow as you can get . 	this role is about as far off from shallow as you can get .	1	-2	 this[0] role[0] is[0] about[0] as[0] far[0] off[0] from[0] shallow[-1] as[0] you[0] can[0] get[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
