i've always been told that there are two things in life that are unavoidable - death and taxes . 	Translation	Positive	Negative	EmotionRationale
this film brims with imagination , containing a lush imagery that shows the arcadia that is heaven and the bitterness and frightfulness that is hell . 	this film brims with imagination , containing a lush imagery that shows the arcadia that is heaven and the bitterness and frightfulness that is hell .	2	-4	 this[0] film[0] brims[0] with[0] imagination[0] containing[0] a[0] lush[0] imagery[0] that[0] shows[0] the[0] arcadia[0] that[0] is[0] heaven[1] and[0] the[0] bitterness[-1] and[0] frightfulness[-3] that[0] is[0] hell[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it seems that heaven and hell could very well be a product of our fantasies or nightmares . 	it seems that heaven and hell could very well be a product of our fantasies or nightmares .	2	-2	 it[0] seems[0] that[0] heaven[1] and[0] hell[-1] could[0] very[0] well[0] be[0] a[0] product[0] of[0] our[0] fantasies[0] or[0] nightmares[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's shape and look is as infinite as our imagination . 	it's shape and look is as infinite as our imagination .	1	-1	 it's[0] shape[0] and[0] look[0] is[0] as[0] infinite[0] as[0] our[0] imagination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as chris explores his new fantastic world and discovers things both amazing and wondrous , he also begins to learn more about himself . 	as chris explores his new fantastic world and discovers things both amazing and wondrous , he also begins to learn more about himself .	3	-1	 as[0] chris[0] explores[0] his[0] new[0] fantastic[2] world[0] and[0] discovers[0] things[0] both[0] amazing[2] and[0] wondrous[0] he[0] also[0] begins[0] to[0] learn[0] more[0] about[0] himself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
certain questions baffle him at first . 	certain questions baffle him at first .	1	-2	 certain[0] questions[0] baffle[-1] him[0] at[0] first[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why does his home in heaven ooze with paint ? 	why does his home in heaven ooze with paint ?	2	-1	 why[0] does[0] his[0] home[0] in[0] heaven[1] ooze[0] with[0] paint[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what is the significance of the asian stewardess ? 	what is the significance of the asian stewardess ?	1	-1	 what[0] is[0] the[0] significance[0] of[0] the[0] asian[0] stewardess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why does he have an all-too-willing guide ( cuba gooding , jr . ) to help him find annie ? 	why does he have an all-too-willing guide ( cuba gooding , jr .<br> ) to help him find annie ?	1	-1	 why[0] does[0] he[0] have[0] an[0] all[0] too[0] willing[0] guide[0] cuba[0] gooding[0] jr[0] [[Sentence=-1,1=word max, 1-5]] to[0] help[0] him[0] find[0] annie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but as he slowly begins to realize the answers , it makes him stronger and gives him a greater chance to save annie . 	but as he slowly begins to realize the answers , it makes him stronger and gives him a greater chance to save annie .	3	-1	 but[0] as[0] he[0] slowly[0] begins[0] to[0] realize[0] the[0] answers[0] it[0] makes[0] him[0] stronger[0] and[0] gives[0] him[0] a[0] greater[2] chance[0] to[0] save[1] annie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " dreams " is both visually and tellingly beautiful . 	 " dreams " is both visually and tellingly beautiful .	3	-1	 dreams[0] is[0] both[0] visually[0] and[0] tellingly[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
alas , i have one regret . 	alas , i have one regret .	1	-2	 alas[-1] i[0] have[0] one[0] regret[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie did well to gather more and more emotional speed , but the denouement was curiously unsatisfying . 	the movie did well to gather more and more emotional speed , but the denouement was curiously unsatisfying .	1	-2	 the[0] movie[0] did[0] well[0] to[0] gather[0] more[0] and[0] more[0] emotional[-1] speed[0] but[0] the[0] denouement[0] was[0] curiously[0] unsatisfying[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it seemed as if it was racing to some kind of great finish , but its intensity seemed to wane in its final moments . 	it seemed as if it was racing to some kind of great finish , but its intensity seemed to wane in its final moments .	3	-2	 it[0] seemed[0] as[0] if[0] it[0] was[0] racing[0] to[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] great[2] finish[0] but[0] its[0] intensity[0] seemed[0] to[0] wane[-1] in[0] its[0] final[0] moments[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , your eyes will still well up with tears and you'll find lots to savor . 	however , your eyes will still well up with tears and you'll find lots to savor .	1	-4	 however[0] your[0] eyes[0] will[0] still[0] well[0] up[0] with[0] tears[-3] and[0] you'll[0] find[0] lots[0] to[0] savor[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the storytelling is purposeful and well constructed . 	the storytelling is purposeful and well constructed .	1	-1	 the[0] storytelling[0] is[0] purposeful[0] and[0] well[0] constructed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the journey is imaginative . 	the journey is imaginative .	2	-1	 the[0] journey[0] is[0] imaginative[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and i was surprised by how much i enjoyed this film . 	and i was surprised by how much i enjoyed this film .	3	-1	 and[0] i[0] was[0] surprised[0] by[0] how[0] much[0] i[0] enjoyed[2] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
