i recall the trials and tribulations of my high school years . 	Translation	Positive	Negative	EmotionRationale
kevin is the only one with a steady girlfriend , but doesn't want to have sex until the time is just right . 	kevin is the only one with a steady girlfriend , but doesn't want to have sex until the time is just right .	1	-1	 kevin[0] is[0] the[0] only[0] one[0] with[0] a[0] steady[0] girlfriend[0] but[0] doesn't[0] want[0] to[0] have[0] sex[0] until[0] the[0] time[0] is[0] just[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what is the perfect time ? 	but what is the perfect time ?	2	-1	 but[0] what[0] is[0] the[0] perfect[1] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is just no way to know , and that frightens him . 	there is just no way to know , and that frightens him .	1	-4	 there[0] is[0] just[0] no[0] way[0] to[0] know[0] and[0] that[0] frightens[-3] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
oz is the big jock who decides that the way to score with the girls is to listen to them and to be more sensitive . 	oz is the big jock who decides that the way to score with the girls is to listen to them and to be more sensitive .	1	-1	 oz[0] is[0] the[0] big[0] jock[0] who[0] decides[0] that[0] the[0] way[0] to[0] score[0] with[0] the[0] girls[0] is[0] to[0] listen[0] to[0] them[0] and[0] to[0] be[0] more[0] sensitive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he joins up with a jazz choir and discovers that getting in touch with his feminine side has some tremendous advantages . 	he joins up with a jaz choir and discovers that getting in touch with his feminine side has some tremendous advantages .	1	-1	 he[0] joins[0] up[0] with[0] a[0] jazz/jaz[0] choir[0] and[0] discovers[0] that[0] getting[0] in[0] touch[0] with[0] his[0] feminine[0] side[0] has[0] some[0] tremendous[0] advantages[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finch is the phobic hermit who doesn't stand a chance with any girl . 	finch is the phobic hermit who doesn't stand a chance with any girl .	1	-3	 finch[0] is[0] the[0] phobic[-2] hermit[0] who[0] doesn't[0] stand[0] a[0] chance[0] with[0] any[0] girl[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so , he pays someone  200 to start spreading rumors about his prowess . 	so , he pays someone  200 to start spreading rumors about his prowess .	1	-1	 so[0] he[0] pays[0] someone[0] 200[0] to[0] start[0] spreading[0] rumors[0] about[0] his[0] prowess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suddenly , girls are lining up to go out with him . 	suddenly , girls are lining up to go out with him .	1	-1	 suddenly[0] girls[0] are[0] lining[0] up[0] to[0] go[0] out[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but among these friends , it is jim that is the most curious and the most fearful . 	but among these friends , it is jim that is the most curious and the most fearful .	2	-3	 but[0] among[0] these[0] friends[1] it[0] is[0] jim[0] that[0] is[0] the[0] most[0] curious[0] and[0] the[0] most[0] fearful[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when he has a chance to romp with a pretty exchange student , his inexperience comes shining through . 	when he has a chance to romp with a pretty exchange student , his inexperience comes shining through .	3	-1	 when[0] he[0] has[0] a[0] chance[0] to[0] romp[0] with[0] a[0] pretty[2] exchange[0] student[0] his[0] inexperience[0] comes[0] shining[0] through[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he has much to learn , and will do anything to seek out this kind of knowledge . 	he has much to learn , and will do anything to seek out this kind of knowledge .	2	-1	 he[0] has[0] much[0] to[0] learn[0] and[0] will[0] do[0] anything[0] to[0] seek[0] out[0] this[0] kind[1] of[0] knowledge[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this may include watching scrambled porn channels or experimenting with mom's apple pie in a scene that is completely shocking , raunchy , yet unbelievably funny . 	this may include watching scrambled porn channels or experimenting with mom's apple pie in a scene that is completely shocking , raunchy , yet unbelievably funny .	2	-4	 this[0] may[0] include[0] watching[0] scrambled[0] porn[0] channels[0] or[0] experimenting[0] with[0] mom's[0] apple[0] pie[0] in[0] a[0] scene[0] that[0] is[0] completely[0] shocking[-2][-1 LastWordBoosterStrength] raunchy[0] yet[0] unbelievably[-1] funny[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the one thing that i want to say about this film is that it well deserves its  r' rating . 	the one thing that i want to say about this film is that it well deserves its  r' rating .	1	-1	 the[0] one[0] thing[0] that[0] i[0] want[0] to[0] say[0] about[0] this[0] film[0] is[0] that[0] it[0] well[0] deserves[0] its[0] r'[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is stuff in here that is completely gross in the same manner that  there's something about mary' was gloriously ribald . 	there is stuff in here that is completely gross in the same manner that  there's something about mary' was gloriously ribald .	2	-3	 there[0] is[0] stuff[0] in[0] here[0] that[0] is[0] completely[0] gross[-1][-1 LastWordBoosterStrength] in[0] the[0] same[0] manner[0] that[0] there's[0] something[0] about[0] mary'[0] was[0] gloriously[1] ribald[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in fact , at first this film received a sinful nc-17 rating before a couple of more cuts finally brought it down to a teen-accessible rating . 	in fact , at first this film received a sinful nc-17 rating before a couple of more cuts finally brought it down to a teen-accessible rating .	1	-2	 in[0] fact[0] at[0] first[0] this[0] film[0] received[0] a[0] sinful[-1] nc[0] -17[0] rating[0] before[0] a[0] couple[0] of[0] more[0] cuts[0] finally[0] brought[0] it[0] down[0] to[0] a[0] teen[0] accessible[0] rating[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but i guess after seeing the no-holds-barred coarseness of south park , this seems tame by comparison . 	but i guess after seeing the no-holds-barred coarseness of south park , this seems tame by comparison .	1	-2	 but[0] i[0] guess[0] after[0] seeing[0] the[0] no[0] holds[0] barred[0] coarseness[-1] of[0] south[0] park[0] this[0] seems[0] tame[0] by[0] comparison[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
teens and anyone who can still remember their acne years are the ones that will laugh hardest . 	teens and anyone who can still remember their acne years are the ones that will laugh hardest .	2	-1	 teens[0] and[0] anyone[0] who[0] can[0] still[0] remember[0] their[0] acne[0] years[0] are[0] the[0] ones[0] that[0] will[0] laugh[1] hardest[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but unlike many teen sex comedies , there is a genuine intelligence at work here . 	but unlike many teen sex comedies , there is a genuine intelligence at work here .	1	-1	 but[0] unlike[0] many[0] teen[0] sex[0] comedies[0] there[0] is[0] a[0] genuine[0] intelligence[0] at[0] work[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are four normal boys who have a natural curiosity about sex . 	these are four normal boys who have a natural curiosity about sex .	1	-1	 these[0] are[0] four[0] normal[0] boys[0] who[0] have[0] a[0] natural[0] curiosity[0] about[0] sex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their plans of action are thoughtful and they think about the consequences . 	their plans of action are thoughtful and they think about the consequences .	2	-1	 their[0] plans[0] of[0] action[0] are[0] thoughtful[1] and[0] they[0] think[0] about[0] the[0] consequences[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they know what they want , yet temper it with responsibility . 	they know what they want , yet temper it with responsibility .	1	-3	 they[0] know[0] what[0] they[0] want[0] yet[0] temper[-2] it[0] with[0] responsibility[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but almost always , it's impossible to know how to fight the invisible monster , and it's these episodes that make  american pie' such a carnal delight to watch . 	but almost always , it's impossible to know how to fight the invisible monster , and it's these episodes that make  american pie' such a carnal delight to watch .	3	-3	 but[0] almost[0] always[0] it's[0] impossible[0] to[0] know[0] how[0] to[0] fight[-2] the[0] invisible[-1] monster[-1] and[0] it's[0] these[0] episodes[0] that[0] make[0] american[0] pie'[0] such[0] a[0] carnal[0] delight[2] to[0] watch[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
