warning : this review contains some spoilers for the 1964 film " fail-safe . " 	Translation	Positive	Negative	EmotionRationale
five u . s . bombers carrying nuclear warheads are ordered to set a routine course for moscow after an unidentified aircraft is spotted heading toward america . 	five you .<br> s .<br> bombers carrying nuclear warheads are ordered to set a routine course for moscow after an unidentified aircraft is spotted heading toward america .	1	-2	 five[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] bombers[-1] carrying[0] nuclear[0] warheads[0] are[0] ordered[0] to[0] set[0] a[0] routine[0] course[0] for[0] moscow[0] after[0] an[0] unidentified[0] aircraft[0] is[0] spotted[0] heading[0] toward[0] america[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the unidentified aircraft turns out to be a commercial airliner , but a mechanical failure strikes the military base that commands the bombers . 	the unidentified aircraft turns out to be a commercial airliner , but a mechanical failure strikes the military base that commands the bombers .	1	-3	 the[0] unidentified[0] aircraft[0] turns[0] out[0] to[0] be[0] a[0] commercial[0] airliner[0] but[0] a[0] mechanical[0] failure[-2] strikes[0] the[0] military[0] base[0] that[0] commands[0] the[0] bombers[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
suddenly out of contact , and with standing orders to remain on course until receiving new directives , the bomber pilots cannot be recalled , and they proceed to moscow with the intention of destroying it with a nuclear strike . 	suddenly out of contact , and with standing orders to remain on course until receiving new directives , the bomber pilots cannot be recalled , and they proceed to moscow with the intention of destroying it with a nuclear strike .	1	-3	 suddenly[0] out[0] of[0] contact[0] and[0] with[0] standing[0] orders[0] to[0] remain[0] on[0] course[0] until[0] receiving[0] new[0] directives[0] the[0] bomber[-1] pilots[0] cannot[0] be[0] recalled[0] and[0] they[0] proceed[0] to[0] moscow[0] with[0] the[0] intention[0] of[0] destroying[-2] it[0] with[0] a[0] nuclear[0] strike[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a great deal of " fail-safe " 's plot follows various characters as they attempt to devise ways of stopping the u . s . bombers from reaching russia's borders--at any cost . 	a great deal of " fail-safe " 's plot follows various characters as they attempt to devise ways of stopping the you .<br> s .<br> bombers from reaching russia's borders-at any cost .	3	-3	 a[0] great[2] deal[0] of[0] fail[-2] safe[1] 's[0] plot[0] follows[0] various[0] characters[0] as[0] they[0] attempt[0] to[0] devise[0] ways[0] of[0] stopping[0] the[0] u[0] [[Sentence=-3,3=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] bombers[-1] from[0] reaching[0] russia's[0] borders[0] at[0] any[0] cost[0] [[Sentence=-2,1=word max, 1-5]][[[3,-3 max of sentences]]]
the plot is compelling , and the story creates urgency and dread by painting the grimmest of worst case scenarios . 	the plot is compelling , and the story creates urgency and dread by painting the grimmest of worst case scenarios .	1	-4	 the[0] plot[0] is[0] compelling[0] and[0] the[0] story[0] creates[0] urgency[0] and[0] dread[-3] by[0] painting[0] the[0] grimmest[-2] of[0] worst[-2] case[0] scenarios[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the reality sets in quickly as one attempt to turn the bombers after another fails . 	the reality sets in quickly as one attempt to turn the bombers after another fails .	1	-3	 the[0] reality[0] sets[0] in[0] quickly[0] as[0] one[0] attempt[0] to[0] turn[0] the[0] bombers[-1] after[0] another[0] fails[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
general bogan ( frank overton ) , taking orders directly from the president of the united states himself ( henry fonda ) , is powerless--the fate of the world lies in the hands of an automated , pre-programmed system that may not be stoppable , simply because the creators of the war machines were too efficient in their task to make a no-win situation winnable . 	general bogan ( frank overton ) , taking orders directly from the president of the united states himself ( henry fonda ) , is powerless-the fate of the world lies in the hands of an automated , pre-programmed system that may not be stoppable , simply because the creators of the war machines were too efficient in their task to make a no-win situation winnable .	1	-3	 general[0] bogan[0] frank[0] overton[0] taking[0] orders[0] directly[0] from[0] the[0] president[0] of[0] the[0] united[0] states[0] himself[0] henry[0] fonda[0] is[0] powerless[-1] the[0] fate[0] of[0] the[0] world[0] lies[-2] in[0] the[0] hands[0] of[0] an[0] automated[0] pre[0] programmed[0] system[0] that[0] may[0] not[0] be[0] stoppable[0] simply[0] because[0] the[0] creators[0] of[0] the[0] war[-2] machines[0] were[0] too[0] efficient[0] in[0] their[0] task[0] to[0] make[0] a[0] no[0] win[0] situation[0] winnable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the events in " fail-safe " are fascinating because they're anything but predictable , but the real reason " fail-safe " works is because it understands more about nuclear war than what exists within the confines of its plot . 	the events in " fail-safe " are fascinating because they're anything but predictable , but the real reason " fail-safe " works is because it understands more about nuclear war than what exists within the confines of its plot .	2	-3	 the[0] events[0] in[0] fail[-2] safe[1] are[0] fascinating[0] because[0] they're[0] anything[0] but[0] predictable[0] but[0] the[0] real[0] reason[0] fail[-2] safe[1] works[0] is[0] because[0] it[0] understands[0] more[0] about[0] nuclear[0] war[-2] than[0] what[0] exists[0] within[0] the[0] confines[0] of[0] its[0] plot[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a key ingredient to the film is its ability to create an ongoing polemic about nuclear war , communism , the cold war , and the united states' role in all of it . 	a key ingredient to the film is its ability to create an ongoing polemic about nuclear war , communism , the cold war , and the united states' role in all of it .	1	-3	 a[0] key[0] ingredient[0] to[0] the[0] film[0] is[0] its[0] ability[0] to[0] create[0] an[0] ongoing[0] polemic[0] about[0] nuclear[0] war[-2] communism[0] the[0] cold[-1] war[-2] and[0] the[0] united[0] states'[0] role[0] in[0] all[0] of[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most of this is through the film's use of the character groeteschele ( walter matthau ) , an arrogant civilian theorist of nuclear weapons use who , incidentally , is on the president's advising staff for analyzing the statistical plausibility of waging a nuclear war . 	most of this is through the film's use of the character groeteschele ( walter matthau ) , an arrogant civilian theorist of nuclear weapons use who , incidentally , is on the president's advising staff for analyzing the statistical plausibility of waging a nuclear war .	1	-3	 most[0] of[0] this[0] is[0] through[0] the[0] film's[0] use[0] of[0] the[0] character[0] groeteschele[0] walter[0] matthau[0] an[0] arrogant[-2] civilian[0] theorist[0] of[0] nuclear[0] weapons[-1] use[0] who[0] incidentally[0] is[0] on[0] the[0] president's[0] advising[0] staff[0] for[0] analyzing[0] the[0] statistical[0] plausibility[0] of[0] waging[0] a[0] nuclear[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
many of the film's most pointed messages arise from discussions where groeteschele is one of the key voices . 	many of the film's most pointed messages arise from discussions where groeteschele is one of the key voices .	1	-1	 many[0] of[0] the[0] film's[0] most[0] pointed[0] messages[0] arise[0] from[0] discussions[0] where[0] groeteschele[0] is[0] one[0] of[0] the[0] key[0] voices[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
early in the film , he hosts a dinner party where he explains the importance of " strategy " in a nuclear assault to " minimize " casualties . 	early in the film , he hosts a dinner party where he explains the importance of " strategy " in a nuclear assault to " minimize " casualties .	1	-3	 early[0] in[0] the[0] film[0] he[0] hosts[0] a[0] dinner[0] party[0] where[0] he[0] explains[0] the[0] importance[0] of[0] strategy[0] in[0] a[0] nuclear[0] assault[-2] to[0] minimize[0] casualties[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " what's the difference between 60 million and 100 million dead ? " 	 " what's the difference between 60 million and 100 million dead ?<br> "	1	-3	 what's[0] the[0] difference[0] between[0] 60[0] million[0] and[0] 100[0] million[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a guest asks impatiently . 	a guest asks impatiently .	1	-2	 a[0] guest[0] asks[0] impatiently[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " forty million , " groeteschele responds wryly . 	 " forty million , " groeteschele responds wryly .	1	-1	 forty[0] million[0] groeteschele[0] responds[0] wryly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the problem with groeteschele's mindset is that he * believes * nuclear combat to be a viable method of war . 	the problem with groeteschele's mindset is that he * believes * nuclear combat to be a viable method of war .	1	-3	 the[0] problem[-1] with[0] groeteschele's[0] mindset[0] is[0] that[0] he[0] believes[0] nuclear[0] combat[-1] to[0] be[0] a[0] viable[0] method[0] of[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only difference to him between nuclear armageddon and conventional warfare is the raw data and the casualty totals . 	the only difference to him between nuclear armageddon and conventional warfare is the raw data and the casualty totals .	1	-3	 the[0] only[0] difference[0] to[0] him[0] between[0] nuclear[0] armageddon[0] and[0] conventional[0] warfare[-2] is[0] the[0] raw[0] data[0] and[0] the[0] casualty[-2] totals[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
groeteschele realizes that these weapons can destroy the world several times over . 	groeteschele realizes that these weapons can destroy the world several times over .	1	-3	 groeteschele[0] realizes[0] that[0] these[0] weapons[-1] can[0] destroy[-2] the[0] world[0] several[0] times[0] over[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yet his answer to the arms race is not to slow down and try to cool the situation off , as general black ( dan o'herlihy ) has often recommended . 	yet his answer to the arms race is not to slow down and try to cool the situation off , as general black ( dan o'herlihy ) has often recommended .	2	-1	 yet[0] his[0] answer[0] to[0] the[0] arms[0] race[0] is[0] not[0] to[0] slow[0] down[0] and[0] try[0] to[0] cool[1] the[0] situation[0] off[0] as[0] general[0] black[0] dan[0] o'herlihy[0] has[0] often[0] recommended[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on the contrary--according to groeteschele , that would lead to russia having * more * nuclear weapons than the u . s . , which would clearly put america at a disadvantage . 	on the contrary-according to groeteschele , that would lead to russia having * more * nuclear weapons than the you .<br> s .<br> , which would clearly put america at a disadvantage .	1	-2	 on[0] the[0] contrary[-1] according[0] to[0] groeteschele[0] that[0] would[0] lead[0] to[0] russia[0] having[0] more[0] nuclear[0] weapons[-1] than[0] the[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] which[0] would[0] clearly[0] put[0] america[0] at[0] a[0] disadvantage[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
such a stance was perhaps the central paradox and misguided practice of the arms race . 	such a stance was perhaps the central paradox and misguided practice of the arms race .	1	-1	 such[0] a[0] stance[0] was[0] perhaps[0] the[0] central[0] paradox[0] and[0] misguided[0] practice[0] of[0] the[0] arms[0] race[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " fail-safe " clearly sees it as one of the central issues of the cold war , and , likewise , it becomes a central theme in the film . 	 " fail-safe " clearly sees it as one of the central issues of the cold war , and , likewise , it becomes a central theme in the film .	2	-3	 fail[-2] safe[1] clearly[0] sees[0] it[0] as[0] one[0] of[0] the[0] central[0] issues[0] of[0] the[0] cold[-1] war[-2] and[0] likewise[0] it[0] becomes[0] a[0] central[0] theme[0] in[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
why continue to build such machines of mass destruction while already possessing enough of them to destroy the world several times over ? 	why continue to build such machines of mass destruction while already possessing enough of them to destroy the world several times over ?	1	-3	 why[0] continue[0] to[0] build[0] such[0] machines[0] of[0] mass[0] destruction[-1] while[0] already[0] possessing[0] enough[0] of[0] them[0] to[0] destroy[-2] the[0] world[0] several[0] times[0] over[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
is it wise ? 	is it wise ?	1	-1	 is[0] it[0] wise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it even logical ? 	is it even logical ?	1	-1	 is[0] it[0] even[0] logical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , not really . 	no , not really .	1	-1	 no[0] not[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although " fail-safe " is more about the issue of nuclear weapons than it is about the political ramifications of communism , there is a scene in the film that deals with communism in an intentionally superficial , one-sided sort of way . 	although " fail-safe " is more about the issue of nuclear weapons than it is about the political ramifications of communism , there is a scene in the film that deals with communism in an intentionally superficial , one-sided sort of way .	2	-3	 although[0] fail[-2] safe[1] is[0] more[0] about[0] the[0] issue[0] of[0] nuclear[0] weapons[-1] than[0] it[0] is[0] about[0] the[0] political[0] ramifications[0] of[0] communism[0] there[0] is[0] a[0] scene[0] in[0] the[0] film[0] that[0] deals[0] with[0] communism[0] in[0] an[0] intentionally[0] superficial[-1] one[0] sided[0] sort[0] of[0] way[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
again , this is achieved through groeteschele , who is easily the film's most important character in terms of the larger-theme significance . 	again , this is achieved through groeteschele , who is easily the film's most important character in terms of the larger-theme significance .	1	-1	 again[0] this[0] is[0] achieved[0] through[0] groeteschele[0] who[0] is[0] easily[0] the[0] film's[0] most[0] important[0] character[0] in[0] terms[0] of[0] the[0] larger[0] theme[0] significance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in addition to providing the central " pro-nuclear war " voice that the film warns against , he also makes key remarks about communists that show just how much fear and resentment people of the period were prone to when it came to communism . 	in addition to providing the central " pro-nuclear war " voice that the film warns against , he also makes key remarks about communists that show just how much fear and resentment people of the period were prone to when it came to communism .	1	-4	 in[0] addition[0] to[0] providing[0] the[0] central[0] pro[0] nuclear[0] war[-2] voice[0] that[0] the[0] film[0] warns[0] against[-1] he[0] also[0] makes[0] key[0] remarks[0] about[0] communists[0] that[0] show[0] just[0] how[0] much[0] fear[-3] and[0] resentment[-2] people[0] of[0] the[0] period[0] were[0] prone[0] to[0] when[0] it[0] came[0] to[0] communism[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the context the film uses suggests that this hatred was often glib . 	the context the film uses suggests that this hatred was often glib .	1	-4	 the[0] context[0] the[0] film[0] uses[0] suggests[0] that[0] this[0] hatred[-3] was[0] often[0] glib[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
one of groeteschele's " logical " trains of thought ventures so far into fantasy theoretical prediction that it's merely absurd . 	one of groeteschele's " logical " trains of thought ventures so far into fantasy theoretical prediction that it's merely absurd .	1	-2	 one[0] of[0] groeteschele's[0] logical[0] trains[0] of[0] thought[0] ventures[0] so[0] far[0] into[0] fantasy[0] theoretical[0] prediction[0] that[0] it's[0] merely[0] absurd[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he labels the average marxist an " unfeeling , calculating machine " that will do whatever it takes to preserve itself . 	he labels the average marxist an " unfeeling , calculating machine " that will do whatever it takes to preserve itself .	1	-2	 he[0] labels[0] the[0] average[0] marxist[0] an[0] unfeeling[-1] calculating[0] machine[0] that[0] will[0] do[0] whatever[0] it[0] takes[0] to[0] preserve[0] itself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
groeteschele takes it so far as to say that if the u . s . drops the warhead on moscow , the soviets will * instantly * surrender , for to retaliate would invite counter-measures that would further destroy russia's home soil--which must be preserved at all costs . 	groeteschele takes it so far as to say that if the you .<br> s .<br> drops the warhead on moscow , the soviets will * instantly * surrender , for to retaliate would invite counter-measures that would further destroy russia's home soil-which must be preserved at all costs .	1	-3	 groeteschele[0] takes[0] it[0] so[0] far[0] as[0] to[0] say[0] that[0] if[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] drops[0] the[0] warhead[0] on[0] moscow[0] the[0] soviets[0] will[0] instantly[0] surrender[0] for[0] to[0] retaliate[-1] would[0] invite[0] counter[0] measures[0] that[0] would[0] further[0] destroy[-2] russia's[0] home[0] soil[0] which[0] must[0] be[0] preserved[0] at[0] all[0] costs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
groeteschele seems to forget these people are human beings with emotions ; general black quickly reminds him that the soviets would attack out of revenge--as any normal person would . 	groeteschele seems to forget these people are human beings with emotions ; general black quickly reminds him that the soviets would attack out of revenge-as any normal person would .	1	-2	 groeteschele[0] seems[0] to[0] forget[0] these[0] people[0] are[0] human[0] beings[0] with[0] emotions[0] general[0] black[0] quickly[0] reminds[0] him[0] that[0] the[0] soviets[0] would[0] attack[-2][--1 LastWordBoosterStrength] out[0] of[0] revenge[-1] as[0] any[0] normal[0] person[0] would[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the irony here is groeteschele's own mechanical theorizing . 	the irony here is groeteschele's own mechanical theorizing .	1	-2	 the[0] irony[-1] here[0] is[0] groeteschele's[0] own[0] mechanical[0] theorizing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is so quick to judge the enemy that he doesn't even realize his own seemingly programmed thought patterns . 	he is so quick to judge the enemy that he doesn't even realize his own seemingly programmed thought patterns .	1	-2	 he[0] is[0] so[0] quick[0] to[0] judge[0] the[0] enemy[-1] that[0] he[0] doesn't[0] even[0] realize[0] his[0] own[0] seemingly[0] programmed[0] thought[0] patterns[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once the film makes it evident that turning the u . s . bombers will be impossible , the question becomes what the * consequences * of destroying moscow will be . 	once the film makes it evident that turning the you .<br> s .<br> bombers will be impossible , the question becomes what the * consequences * of destroying moscow will be .	1	-3	 once[0] the[0] film[0] makes[0] it[0] evident[0] that[0] turning[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] bombers[-1] will[0] be[0] impossible[0] the[0] question[0] becomes[0] what[0] the[0] consequences[0] of[0] destroying[-2] moscow[0] will[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
just how will the soviet union's leader react , and what can the president do to convey his best intentions ? 	just how will the soviet union's leader react , and what can the president do to convey his best intentions ?	2	-1	 just[0] how[0] will[0] the[0] soviet[0] union's[0] leader[0] react[0] and[0] what[0] can[0] the[0] president[0] do[0] to[0] convey[0] his[0] best[1] intentions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( just * how * does one pass off the deaths of millions of people as an * mishap * ? ) 	 ( just * how * does one pass off the deaths of millions of people as an * mishap * ?<br> )	1	-3	 just[0] how[0] does[0] one[0] pass[0] off[0] the[0] deaths[-2] of[0] millions[0] of[0] people[0] as[0] an[0] mishap[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with the help of his translator buck ( larry hagman ) , the president negotiates at length with the soviet leader , in scenes that prove amazingly taut and powerful in their simplicity , with lumet's long takes of fonda and hagman in the same frame , exchanging the dialog between the president and the soviet leader . 	with the help of his translator buck ( larry hagman ) , the president negotiates at length with the soviet leader , in scenes that prove amazingly taut and powerful in their simplicity , with lumet's long takes of fonda and hagman in the same frame , exchanging the dialog between the president and the soviet leader .	3	-1	 with[0] the[0] help[0] of[0] his[0] translator[0] buck[0] larry[0] hagman[0] the[0] president[0] negotiates[0] at[0] length[0] with[0] the[0] soviet[0] leader[0] in[0] scenes[0] that[0] prove[0] amazingly[2] taut[0] and[0] powerful[0] in[0] their[0] simplicity[0] with[0] lumet's[0] long[0] takes[0] of[0] fonda[0] and[0] hagman[0] in[0] the[0] same[0] frame[0] exchanging[0] the[0] dialog[0] between[0] the[0] president[0] and[0] the[0] soviet[0] leader[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
without getting into too much detail , i will say that the compromise they ultimately reach is very costly , yet necessary and as sensible as possible under the circumstances . 	without getting into too much detail , i will say that the compromise they ultimately reach is very costly , yet necessary and as sensible as possible under the circumstances .	1	-3	 without[0] getting[0] into[0] too[0] much[0] detail[0] i[0] will[0] say[0] that[0] the[0] compromise[0] they[0] ultimately[0] reach[0] is[0] very[0] costly[-1][-1 LastWordBoosterStrength] yet[0] necessary[0] and[0] as[0] sensible[0] as[0] possible[0] under[0] the[0] circumstances[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( that is , as sensible as a nuclear " incident " can probably be . ) 	 ( that is , as sensible as a nuclear " incident " can probably be .<br> )	1	-1	 that[0] is[0] as[0] sensible[0] as[0] a[0] nuclear[0] incident[0] can[0] probably[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it does accomplish what it must : it avoids an all-out war , something that simply isn't possible because of its all-too-real consequences . 	it does accomplish what it must : it avoids an all-out war , something that simply isn't possible because of its all-too-real consequences .	2	-3	 it[0] does[0] accomplish[1] what[0] it[0] must[0] it[0] avoids[-1] an[0] all[0] out[0] war[-2] something[0] that[0] simply[0] isn't[0] possible[0] because[0] of[0] its[0] all[0] too[0] real[0] consequences[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
dramatically , the ending is quite powerful , and the use of o'herlihy's character as the symbolic " matador " ( providing a bookend to the film by ending the story while tying into his dream sequence from the film's opening ) , is particularly appropriate . 	dramatically , the ending is quite powerful , and the use of o'herlihy's character as the symbolic " matador " ( providing a bookend to the film by ending the story while tying into his dream sequence from the film's opening ) , is particularly appropriate .	1	-1	 dramatically[0] the[0] ending[0] is[0] quite[0] powerful[0] and[0] the[0] use[0] of[0] o'herlihy's[0] character[0] as[0] the[0] symbolic[0] matador[0] providing[0] a[0] bookend[0] to[0] the[0] film[0] by[0] ending[0] the[0] story[0] while[0] tying[0] into[0] his[0] dream[0] sequence[0] from[0] the[0] film's[0] opening[0] is[0] particularly[0] appropriate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " fail-safe " is a production of a major hollywood studio ( released by columbia pictures ) , and it has the structure of a high-tension suspense thriller that one might expect from a hollywood film . 	 " fail-safe " is a production of a major hollywood studio ( released by columbia pictures ) , and it has the structure of a high-tension suspense thriller that one might expect from a hollywood film .	2	-3	 fail[-2] safe[1] is[0] a[0] production[0] of[0] a[0] major[0] hollywood[0] studio[0] released[0] by[0] columbia[0] pictures[0] and[0] it[0] has[0] the[0] structure[0] of[0] a[0] high[0] tension[-2] suspense[0] thriller[1] that[0] one[0] might[0] expect[0] from[0] a[0] hollywood[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
