after sixteen years francis ford copolla has again returned to his favorite project , making the third installment in the godfather-trilogy . 	Translation	Positive	Negative	EmotionRationale
but the corleones are about to find , as others have throughout history , that you cannot buy forgiveness . 	but the corleones are about to find , as others have throughout history , that you cannot buy forgiveness .	1	-2	 but[0] the[0] corleones[0] are[0] about[0] to[0] find[0] as[0] others[0] have[0] throughout[0] history[0] that[0] you[0] cannot[0] buy[0] forgiveness[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sure , you can do business with evil men inside the church , for all men are fallible and capable of sin . 	sure , you can do business with evil men inside the church , for all men are fallible and capable of sin .	1	-3	 sure[0] you[0] can[0] do[0] business[0] with[0] evil[-2] men[0] inside[0] the[0] church[0] for[0] all[0] men[0] are[0] fallible[0] and[0] capable[0] of[0] sin[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but god does not take payoffs . 	but god does not take payoffs .	1	-1	 but[0] god[0] does[0] not[0] take[0] payoffs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot of the movie , concocted by coppola and mario puzo in a screenplay inspired by headlines , brings the corleone family into the inner circles of corruption in the vatican . 	the plot of the movie , concocted by coppola and mario puzo in a screenplay inspired by headlines , brings the corleone family into the inner circles of corruption in the vatican .	3	-3	 the[0] plot[0] of[0] the[0] movie[0] concocted[0] by[0] coppola[0] and[0] mario[0] puzo[0] in[0] a[0] screenplay[0] inspired[2] by[0] headlines[0] brings[0] the[0] corleone[0] family[0] into[0] the[0] inner[0] circles[0] of[0] corruption[-2] in[0] the[0] vatican[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there is a moment in " godfather iii " where michael says : " all my life i have been trying to go up in society , where everything was legal . 	there is a moment in " godfather i " where michael says : " all my life i have been trying to go up in society , where everything was legal .	2	-1	 there[0] is[0] a[0] moment[0] in[0] godfather[0] iii/i[0][+0.6 MultipleLetters] where[0] michael[0] says[0] all[0] my[0] life[0] i[0] have[0] been[0] trying[0] to[0] go[0] up[0] in[0] society[0] where[0] everything[0] was[0] legal[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the higher i go , the crookier it becomes . . " 	but the higher i go , the crookier it becomes .<br> .<br> "	1	-1	 but[0] the[0] higher[0] i[0] go[0] the[0] crookier[0] it[0] becomes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
visually this film is as spectacular as the first two . 	visually this film is as spectacular as the first two .	1	-1	 visually[0] this[0] film[0] is[0] as[0] spectacular[0] as[0] the[0] first[0] two[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gordon willis' rich cinematography , carmine copolla's beautiful composition and alex tavoularis' wonderful art direction could not be better . 	gordon willis' rich cinematography , carmine copolla's beautiful composition and alex tavoularis' wonderful art direction could not be better .	3	-1	 gordon[0] willis'[0] rich[0] cinematography[0] carmine[0] copolla's[0] beautiful[2] composition[0] and[0] alex[0] tavoularis'[0] wonderful[2] art[0] direction[0] could[0] not[0] be[0] better[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but copolla's first two godfather-films were more famous for their deep , intellectual plots , tree dimensional characters and incredible acting , than for their visual perfection . 	but copolla's first two godfather-films were more famous for their deep , intellectual plots , tree dimensional characters and incredible acting , than for their visual perfection .	2	-1	 but[0] copolla's[0] first[0] two[0] godfather[0] films[0] were[0] more[0] famous[0] for[0] their[0] deep[0] intellectual[0] plots[0] tree[0] dimensional[0] characters[0] and[0] incredible[0] acting[0] than[0] for[0] their[0] visual[0] perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the third installment has only the plot and visuals . 	the third instalment has only the plot and visuals .	1	-1	 the[0] third[0] installment/instalment[0] has[0] only[0] the[0] plot[0] and[0] visuals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some characters could be much more developed and the acting , although good , never accomplishes to reach the same height of the first two films . 	some characters could be much more developed and the acting , although good , never accomplishes to reach the same height of the first two films .	2	-2	 some[0] characters[0] could[0] be[0] much[0] more[0] developed[0] and[0] the[0] acting[0] although[0] good[1] never[0] accomplishes[1][NegatedDueToPreviousWord] to[0] reach[0] the[0] same[0] height[0] of[0] the[0] first[0] two[0] films[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the biggest miscasting is sofia copolla , who is so unconvincing and unemotional that she manages to ruin several scenes throughout the movie , that could have been grander and more emotional . 	the biggest miscasting is sofia copolla , who is so unconvincing and unemotional that she manages to ruin several scenes throughout the movie , that could have been grander and more emotional .	2	-2	 the[0] biggest[0] miscasting[0] is[0] sofia[0] copolla[0] who[0] is[0] so[0] unconvincing[0] and[0] unemotional[0] that[0] she[0] manages[0] to[0] ruin[-1] several[0] scenes[0] throughout[0] the[0] movie[0] that[0] could[0] have[0] been[0] grander[1] and[0] more[0] emotional[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the best performance comes unsurprisingly from al pacino , who should have got a nomination for best actor at the oscars . 	the best performance comes unsurprisingly from al pacino , who should have got a nomination for best actor at the oscars .	2	-1	 the[0] best[1] performance[0] comes[0] unsurprisingly[0] from[0] al[0] pacino[0] who[0] should[0] have[0] got[0] a[0] nomination[0] for[0] best[1] actor[0] at[0] the[0] oscars[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
andy garcia is powerful as sonny's son , strong , focused and loyal . 	andy garcia is powerful as sonny's son , strong , focused and loyal .	2	-1	 andy[0] garcia[0] is[0] powerful[0] as[0] sonny's[0] son[0] strong[0] focused[0] and[0] loyal[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
violence is natural to him . 	violence is natural to him .	1	-4	 violence[-3] is[0] natural[0] to[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he suffers no pangs of conscience when he takes revenge on his family's behalf , and in this he is supposed to be strong in the uncomplicated way don vito corleone was . 	he suffers no pangs of conscience when he takes revenge on his family's behalf , and in this he is supposed to be strong in the uncomplicated way don vito corleone was .	1	-4	 he[0] suffers[-3] no[0] pangs[0] of[0] conscience[0] when[0] he[0] takes[0] revenge[-1] on[0] his[0] family's[0] behalf[0] and[0] in[0] this[0] he[0] is[0] supposed[0] to[0] be[0] strong[0] in[0] the[0] uncomplicated[0] way[0] don[0] vito[0] corleone[0] was[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however both kay ( diane keaton ) and connie ( talia shire ) are useless . 	however both kay ( diane keaton ) and connie ( talia shire ) are useless .	1	-3	 however[0] both[0] kay[0] diane[0] keaton[0] and[0] connie[0] talia[0] shire[0] are[0] useless[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and characters like vito corleone and tom hagen are really missed . 	and characters like vito corleone and tom hagen are really missed .	2	-3	 and[0] characters[0] like[1] vito[0] corleone[0] and[0] tom[0] hagen[0] are[0] really[0] missed[-1][-1 LastWordBoosterStrength] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the good part is that michael is again reunited with old friends , that you remember from the first and second films . 	the good part is that michael is again reunited with old friends , that you remember from the first and second films .	2	-1	 the[0] good[1] part[0] is[0] that[0] michael[0] is[0] again[0] reunited[0] with[0] old[0] friends[1] that[0] you[0] remember[0] from[0] the[0] first[0] and[0] second[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the third film michael has become almost like his father , vito in the first film and vincenzo resembles michael when he was much younger . 	in the third film michael has become almost like his father , vito in the first film and vincenzo resembles michael when he was much younger .	2	-1	 in[0] the[0] third[0] film[0] michael[0] has[0] become[0] almost[0] like[1] his[0] father[0] vito[0] in[0] the[0] first[0] film[0] and[0] vincenzo[0] resembles[0] michael[0] when[0] he[0] was[0] much[0] younger[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this parallel could be more interesting if vincenzo's character was more developed . 	this parallel could be more interesting if vincenzo's character was more developed .	2	-1	 this[0] parallel[0] could[0] be[0] more[0] interesting[1] if[0] vincenzo's[0] character[0] was[0] more[0] developed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
many have pointed out that making the third film , was unnecessary . 	many have pointed out that making the third film , was unnecessary .	1	-2	 many[0] have[0] pointed[0] out[0] that[0] making[0] the[0] third[0] film[0] was[0] unnecessary[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i disagree . 	i disagree .	1	-2	 i[0] disagree[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is a beautiful film of great importance , completing the tragic saga of the corleone family . 	it is a beautiful film of great importance , completing the tragic saga of the corleone family .	3	-3	 it[0] is[0] a[0] beautiful[2] film[0] of[0] great[2] importance[0] completing[0] the[0] tragic[-2] saga[-1] of[0] the[0] corleone[0] family[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the first film showed some horrible results of corleone's life . 	the first film showed some horrible results of corleone's life .	1	-3	 the[0] first[0] film[0] showed[0] some[0] horrible[-3][--1 LastWordBoosterStrength] results[0] of[0] corleone's[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it showed michael making a choice ; the second showed a man damning himself for his choices and feeling the impact of changing times . 	it showed michael making a choice ; the second showed a man damning himself for his choices and feeling the impact of changing times .	1	-2	 it[0] showed[0] michael[0] making[0] a[0] choice[0] the[0] second[0] showed[0] a[0] man[0] damning[-1] himself[0] for[0] his[0] choices[0] and[0] feeling[0] the[0] impact[0] of[0] changing[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a man desperately trying to keep his balance , focus , family and sanity , while everything is crashing all around him . 	a man desperately trying to keep his balance , focus , family and sanity , while everything is crashing all around him .	1	-3	 a[0] man[0] desperately[-2] trying[0] to[0] keep[0] his[0] balance[0] focus[0] family[0] and[0] sanity[0] while[0] everything[0] is[0] crashing[0] all[0] around[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the third film is a terrifying conclusion - a result of michael's life . 	the third film is a terrifying conclusion - a result of michael's life .	1	-4	 the[0] third[0] film[0] is[0] a[0] terrifying[-3] conclusion[0] a[0] result[0] of[0] michael's[0] life[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the life he chose for himself is like quicksand - one wrong step and you are doomed . 	the life he chose for himself is like quicksand - one wrong step and you are doomed .	2	-2	 the[0] life[0] he[0] chose[0] for[0] himself[0] is[0] like[1] quicksand[0] one[0] wrong[-1] step[0] and[0] you[0] are[0] doomed[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is no turning back . 	there is no turning back .	1	-1	 there[0] is[0] no[0] turning[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and no matter how hard you try to get out of it , to free yourself , no matter how powerful and wealthy you are , you are helpless - sinking deeper and deeper till it swallows you completely . 	and no matter how hard you try to get out of it , to free yourself , no matter how powerful and wealthy you are , you are helpless - sinking deeper and deeper till it swallows you completely .	1	-2	 and[0] no[0] matter[0] how[0] hard[0] you[0] try[0] to[0] get[0] out[0] of[0] it[0] to[0] free[0] yourself[0] no[0] matter[0] how[0] powerful[0] and[0] wealthy[0] you[0] are[0] you[0] are[0] helpless[-1] sinking[0] deeper[0] and[0] deeper[0] till[0] it[0] swallows[0] you[0] completely[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the beautifully directed last sequence is also the powerful climax of the film , when michael is sitting alone in his chair , left by everyone , surrounded by emptiness and memories of his friends and family members long dead . 	the beautifully directed last sequence is also the powerful climax of the film , when michael is sitting alone in his chair , left by everyone , surrounded by emptiness and memories of his friends and family members long dead .	3	-3	 the[0] beautifully[2] directed[0] last[0] sequence[0] is[0] also[0] the[0] powerful[0] climax[0] of[0] the[0] film[0] when[0] michael[0] is[0] sitting[0] alone[0] in[0] his[0] chair[0] left[0] by[0] everyone[0] surrounded[0] by[0] emptiness[-2] and[0] memories[0] of[0] his[0] friends[1] and[0] family[0] members[0] long[0] dead[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
here he dies - alone , miserable and unforgiven 	here he dies - alone , miserable and unforgiven	1	-3	 here[0] he[0] dies[0] alone[0] miserable[-2] and[0] unforgiven[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
