seen may 19 , 1999 at 5 p . m . at the crossgates cinema 18 ( guilderland , n . y . ) , theater #1 , with my brother john for $8 . 50 . 	Translation	Positive	Negative	EmotionRationale
george lucas , the creator of the series , has probably just assumed most people know the first-produced trilogy (  star wars , '  the empire strikes back' and  return of the jedi' ) is actually the second trilogy , chronologically . 	george lucas , the creator of the series , has probably just assumed most people know the first-produced trilogy (  star wars , '  the empire strikes back' and  return of the jedi' ) is actually the second trilogy , chronologically .	1	-3	 george[0] lucas[0] the[0] creator[0] of[0] the[0] series[0] has[0] probably[0] just[0] assumed[0] most[0] people[0] know[0] the[0] first[0] produced[0] trilogy[0] star[0] wars[-2] '[0] the[0] empire[0] strikes[0] back'[0] and[0] return[0] of[0] the[0] jedi'[0] is[0] actually[0] the[0] second[0] trilogy[0] chronologically[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in media interviews in the past he has explained why the movies were made out of order , but i can't recall his reasons . 	in media interviews in the past he has explained why the movies were made out of order , but i can't recall his reasons .	1	-1	 in[0] media[0] interviews[0] in[0] the[0] past[0] he[0] has[0] explained[0] why[0] the[0] movies[0] were[0] made[0] out[0] of[0] order[0] but[0] i[0] can't[0] recall[0] his[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with this new film he as writer and director has also assumed viewers are at least vaguely familiar with the storylines and significant plot points of the first trilogy ( err . . . 	with this new film he as writer and director has also assumed viewers are at least vaguely familiar with the storylines and significant plot points of the first trilogy ( er .<br> .<br> .	1	-2	 with[0] this[0] new[0] film[0] he[0] as[0] writer[0] and[0] director[0] has[0] also[0] assumed[0] viewers[0] are[0] at[0] least[0] vaguely[-1] familiar[0] with[0] the[0] storylines[0] and[0] significant[0] plot[0] points[0] of[0] the[0] first[0] trilogy[0] err/er[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
second trilogy . . . 	second trilogy .<br> .<br> .	1	-1	 second[0] trilogy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well you know what i mean ) . 	well you know what i mean ) .	1	-1	 well[0] you[0] know[0] what[0] i[0] mean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and in order for this review to be thorough many of those significant points must be mentioned which , unfortunately , may serve as spoilers so proceed with caution . 	and in order for this review to be thorough many of those significant points must be mentioned which , unfortunately , may serve as spoilers so proceed with caution .	1	-2	 and[0] in[0] order[0] for[0] this[0] review[0] to[0] be[0] thorough[0] many[0] of[0] those[0] significant[0] points[0] must[0] be[0] mentioned[0] which[0] unfortunately[-1] may[0] serve[0] as[0] spoilers[-1] so[0] proceed[0] with[0] caution[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
[critic's note #1 : it is one my personal policy not to intentionally analyze spoilers because i would like my reviews to be able to make sense to the reader both before and after viewing the film reviewed , but it would be nearly impossible to do the film justice here without breaking the rule . 	[critic's note #1 : it is one my personal policy not to intentionally analyze spoilers because i would like my reviews to be able to make sense to the reader both before and after viewing the film reviewed , but it would be nearly impossible to do the film justice here without breaking the rule .	1	-2	 [critic's[0] note[0] #1[0] it[0] is[0] one[0] my[0] personal[0] policy[0] not[0] to[0] intentionally[0] analyze[0] spoilers[-1] because[0] i[0] would[0] like[1][-1 LastWordBoosterStrength] my[0] reviews[0] to[0] be[0] able[0] to[0] make[0] sense[0] to[0] the[0] reader[0] both[0] before[0] and[0] after[0] viewing[0] the[0] film[0] reviewed[0] but[0] it[0] would[0] be[0] nearly[0] impossible[0] to[0] do[0] the[0] film[0] justice[0] here[0] without[0] breaking[0] the[0] rule[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
critic's note #2 : reviewing this film also breaks the universal critics' law of reviewing movies , which as roger ebert coined ,  it's not what a movie is about , but how it is about it . ' 	critic's note #2 : reviewing this film also breaks the universal critics' law of reviewing movies , which as roger ebert coined ,  it's not what a movie is about , but how it is about it .<br> '	1	-1	 critic's[0] note[0] #2[0] reviewing[0] this[0] film[0] also[0] breaks[0] the[0] universal[0] critics'[0] law[0] of[0] reviewing[0] movies[0] which[0] as[0] roger[0] ebert[0] coined[0] it's[0] not[0] what[0] a[0] movie[0] is[0] about[0] but[0] how[0] it[0] is[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because so many outside factors come into play in the film's plot and significance as part of a trilogy , and just considering modern society , it again would be difficult , if not impossible to simply review the film as a completely autonomous story . ] 	because so many outside factors come into play in the film's plot and significance as part of a trilogy , and just considering modern society , it again would be difficult , if not impossible to simply review the film as a completely autonomous story .<br> ]	1	-2	 because[0] so[0] many[0] outside[0] factors[0] come[0] into[0] play[0] in[0] the[0] film's[0] plot[0] and[0] significance[0] as[0] part[0] of[0] a[0] trilogy[0] and[0] just[0] considering[0] modern[0] society[0] it[0] again[0] would[0] be[0] difficult[-1] if[0] not[0] impossible[0] to[0] simply[0] review[0] the[0] film[0] as[0] a[0] completely[0] autonomous[0] story[0] [[Sentence=-2,1=word max, 1-5]] ][0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
first of all we have to catalog what we know about the film before even going into it . 	first of all we have to catalog what we know about the film before even going into it .	1	-1	 first[0] of[0] all[0] we[0] have[0] to[0] catalog[0] what[0] we[0] know[0] about[0] the[0] film[0] before[0] even[0] going[0] into[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we know that young anakin skywalker will grow up to become the evil ruler darth vader who is also the father of luke skywalker , who will lead a successful revolution against him and his empire . 	we know that young anakin skywalker will grow up to become the evil ruler darth vader who is also the father of luke skywalker , who will lead a successful revolution against him and his empire .	3	-3	 we[0] know[0] that[0] young[0] anakin[0] skywalker[0] will[0] grow[0] up[0] to[0] become[0] the[0] evil[-2] ruler[0] darth[0] vader[0] who[0] is[0] also[0] the[0] father[0] of[0] luke[0] skywalker[0] who[0] will[0] lead[0] a[0] successful[2] revolution[-1] against[-1] him[0] and[0] his[0] empire[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
we know obi-wan  ben' kenobi was the trainer of anakin in the ways of  the force' in attempts to become a jedi knight , but would fail and thus anakin would fall to the  dark side . ' 	we know obi-wan  ben' kenobi was the trainer of anakin in the ways of  the force' in attempts to become a jedi knight , but would fail and thus anakin would fall to the  dark side .<br> '	1	-2	 we[0] know[0] obi[0] wan[0] ben'[0] kenobi[0] was[0] the[0] trainer[0] of[0] anakin[0] in[0] the[0] ways[0] of[0] the[0] force'[0] in[0] attempts[0] to[0] become[0] a[0] jedi[0] knight[0] but[0] would[0] fail[-2][--1 LastWordBoosterStrength] and[0] thus[0] anakin[0] would[0] fall[0] to[0] the[0] dark[0] side[0] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
we also know something about  the force' itself , that it is some kind of universal force which determines fate and can be manipulated by those whose minds are expanded enough to believe in it and feel it ( the jedi ) . 	we also know something about  the force' itself , that it is some kind of universal force which determines fate and can be manipulated by those whose minds are expanded enough to believe in it and feel it ( the jedi ) .	1	-2	 we[0] also[0] know[0] something[0] about[0] the[0] force'[0] itself[0] that[0] it[0] is[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] universal[0] force[-1] which[0] determines[0] fate[0] and[0] can[0] be[0] manipulated[-1] by[0] those[0] whose[0] minds[0] are[0] expanded[0] enough[0] to[0] believe[0] in[0] it[0] and[0] feel[0] it[0] the[0] jedi[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what we don't know for sure is the history of the ruling of the galaxy , which is most likely much longer and more complex than any government we have had here on earth . 	what we don't know for sure is the history of the ruling of the galaxy , which is most likely much longer and more complex than any government we have had here on earth .	1	-1	 what[0] we[0] don't[0] know[0] for[0] sure[0] is[0] the[0] history[0] of[0] the[0] ruling[0] of[0] the[0] galaxy[0] which[0] is[0] most[0] likely[0] much[0] longer[0] and[0] more[0] complex[0] than[0] any[0] government[0] we[0] have[0] had[0] here[0] on[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to me , this was one of the most fascinating aspects of the first three films because there seemed to be a subtle , definite order to all the complexity . 	to me , this was one of the most fascinating aspects of the first three films because there seemed to be a subtle , definite order to all the complexity .	1	-1	 to[0] me[0] this[0] was[0] one[0] of[0] the[0] most[0] fascinating[0] aspects[0] of[0] the[0] first[0] three[0] films[0] because[0] there[0] seemed[0] to[0] be[0] a[0] subtle[0] definite[0] order[0] to[0] all[0] the[0] complexity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , it seems that we're supposed to be familiar with a few other details about the story which have come out of the thousands of comic books and paperbacks published in the years since the movies ended . 	also , it seems that we're supposed to be familiar with a few other details about the story which have come out of the thousands of comic books and paperbacks published in the years since the movies ended .	1	-1	 also[0] it[0] seems[0] that[0] we're[0] supposed[0] to[0] be[0] familiar[0] with[0] a[0] few[0] other[0] details[0] about[0] the[0] story[0] which[0] have[0] come[0] out[0] of[0] the[0] thousands[0] of[0] comic[0] books[0] and[0] paperbacks[0] published[0] in[0] the[0] years[0] since[0] the[0] movies[0] ended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most notably , details regarding the emperor from  empire' and  jedi , ' and that he was once a senator and his last name is palpatine . 	most notably , details regarding the emperor from  empire' and  jedi , ' and that he was once a senator and his last name is palpatine .	1	-1	 most[0] notably[0] details[0] regarding[0] the[0] emperor[0] from[0] empire'[0] and[0] jedi[0] '[0] and[0] that[0] he[0] was[0] once[0] a[0] senator[0] and[0] his[0] last[0] name[0] is[0] palpatine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for those who haven't kept up with all the  star wars' paraphernalia over the years , there is still a way to know these details simply by recognizing an actor ( or his voice at least ) . 	for those who haven't kept up with all the  star wars' paraphernalia over the years , there is still a way to know these details simply by recognizing an actor ( or his voice at least ) .	1	-1	 for[0] those[0] who[0] haven't[0] kept[0] up[0] with[0] all[0] the[0] star[0] wars'[0] paraphernalia[0] over[0] the[0] years[0] there[0] is[0] still[0] a[0] way[0] to[0] know[0] these[0] details[0] simply[0] by[0] recognizing[0] an[0] actor[0] or[0] his[0] voice[0] at[0] least[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with  the phantom menace' being the first chapter of a long saga , one would assume the basic groundwork would be laid , including the history behind all the major factors of the series , especially  the force' and the jedi knights . 	with  the phantom menace' being the first chapter of a long saga , one would assume the basic groundwork would be laid , including the history behind all the major factors of the series , especially  the force' and the jedi knights .	1	-2	 with[0] the[0] phantom[0] menace'[0] being[0] the[0] first[0] chapter[0] of[0] a[0] long[0] saga[-1] one[0] would[0] assume[0] the[0] basic[0] groundwork[0] would[0] be[0] laid[0] including[0] the[0] history[0] behind[0] all[0] the[0] major[0] factors[0] of[0] the[0] series[0] especially[0] the[0] force'[0] and[0] the[0] jedi[0] knights[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , this film does more of the opposite as it simply builds on top of what must be a history so long and detailed it could never be explained . 	unfortunately , this film does more of the opposite as it simply builds on top of what must be a history so long and detailed it could never be explained .	1	-2	 unfortunately[-1] this[0] film[0] does[0] more[0] of[0] the[0] opposite[0] as[0] it[0] simply[0] builds[0] on[0] top[0] of[0] what[0] must[0] be[0] a[0] history[0] so[0] long[0] and[0] detailed[0] it[0] could[0] never[0] be[0] explained[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i didn't liked that aspect to this film and is one of the reasons it falls just short of greatness . 	i didn't liked that aspect to this film and is one of the reasons it falls just short of greatness .	3	-1	 i[0] didn't[0] liked[2] that[0] aspect[0] to[0] this[0] film[0] and[0] is[0] one[0] of[0] the[0] reasons[0] it[0] falls[0] just[0] short[0] of[0] greatness[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you're going to tell a story from the beginning - tell it from the beginning ( is it possible that after this trilogy is complete there could be another trilogy of episodes -1 through -3 to clarify the back story even further ? ) . 	if you're going to tell a story from the beginning - tell it from the beginning ( is it possible that after this trilogy is complete there could be another trilogy of episodes -1 through -3 to clarify the back story even further ?<br> ) .	1	-1	 if[0] you're[0] going[0] to[0] tell[0] a[0] story[0] from[0] the[0] beginning[0] tell[0] it[0] from[0] the[0] beginning[0] is[0] it[0] possible[0] that[0] after[0] this[0] trilogy[0] is[0] complete[0] there[0] could[0] be[0] another[0] trilogy[0] of[0] episodes[0] -1[0] through[0] -3[0] to[0] clarify[0] the[0] back[0] story[0] even[0] further[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i digress . 	but i digress .	1	-1	 but[0] i[0] digress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've said so much and yet i haven't even touched on the specifics of the film itself . 	i've said so much and yet i haven't even touched on the specifics of the film itself .	1	-1	 i've[0] said[0] so[0] much[0] and[0] yet[0] i[0] haven't[0] even[0] touched[0] on[0] the[0] specifics[0] of[0] the[0] film[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all these necessary  disclaiming' elements should go to show just how vast the story of the  star wars' series is and this individual film itself . 	all these necessary  disclaiming' elements should go to show just how vast the story of the  star wars' series is and this individual film itself .	1	-2	 all[0] these[0] necessary[0] disclaiming'[-1] elements[0] should[0] go[0] to[0] show[0] just[0] how[0] vast[0] the[0] story[0] of[0] the[0] star[0] wars'[0] series[0] is[0] and[0] this[0] individual[0] film[0] itself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what we get here is a movie not unlike any of the other three we've come to know and love since the late 1970s . 	what we get here is a movie not unlike any of the other three we've come to know and love since the late 1970s .	3	-1	 what[0] we[0] get[0] here[0] is[0] a[0] movie[0] not[0] unlike[0] any[0] of[0] the[0] other[0] three[0] we've[0] come[0] to[0] know[0] and[0] love[2] since[0] the[0] late[0] 1970s[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
its similarity to the other films helps to keep the spirit of the series familiar , but at the same time seems to be a flaw in the filmmaking process itself since it sometimes rings of unoriginality . 	its similarity to the other films helps to keep the spirit of the series familiar , but at the same time seems to be a flaw in the filmmaking process itself since it sometimes rings of unoriginality .	1	-2	 its[0] similarity[0] to[0] the[0] other[0] films[0] helps[0] to[0] keep[0] the[0] spirit[0] of[0] the[0] series[0] familiar[0] but[0] at[0] the[0] same[0] time[0] seems[0] to[0] be[0] a[0] flaw[-1] in[0] the[0] filmmaking[0] process[0] itself[0] since[0] it[0] sometimes[0] rings[0] of[0] unoriginality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the basic story is rather sorted , complex and even confusing at times . 	the basic story is rather sorted , complex and even confusing at times .	1	-2	 the[0] basic[0] story[0] is[0] rather[0] sorted[0] complex[0] and[0] even[0] confusing[-1] at[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we're told that an army known as  the trade federation' has set up a blockade around an seemingly insignificant planet called naboo . 	we're told that an army known as  the trade federation' has set up a blockade around an seemingly insignificant planet called naboo .	1	-2	 we're[0] told[0] that[0] an[0] army[0] known[0] as[0] the[0] trade[0] federation'[0] has[0] set[0] up[0] a[0] blockade[-1] around[0] an[0] seemingly[0] insignificant[-1] planet[0] called[0] naboo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we're not given too many details to clarify the back story of what the federation is and what their purpose is , instead the film opts to get its story moving quickly . 	we're not given too many details to clarify the back story of what the federation is and what their purpose is , instead the film opts to get its story moving quickly .	1	-1	 we're[0] not[0] given[0] too[0] many[0] details[0] to[0] clarify[0] the[0] back[0] story[0] of[0] what[0] the[0] federation[0] is[0] and[0] what[0] their[0] purpose[0] is[0] instead[0] the[0] film[0] opts[0] to[0] get[0] its[0] story[0] moving[0] quickly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're introduced to two jedi , the master qui-gon jinn ( neeson ) and his apprentice obi-wan kenobi ( mcgregor ) . 	we're introduced to two jedi , the master qui-gon jin ( neeson ) and his apprentice obi-wan kenobi ( mcgregor ) .	1	-1	 we're[0] introduced[0] to[0] two[0] jedi[0] the[0] master[0] qui[0] gon[0] jinn/jin[0] neeson[0] and[0] his[0] apprentice[0] obi[0] wan[0] kenobi[0] mcgregor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two are acting as ambassadors of some sort in hopes of ending the obvious hostility between the federation and the planet's queen , amidala ( portman ) . 	the two are acting as ambassadors of some sort in hopes of ending the obvious hostility between the federation and the planet's queen , amidala ( portman ) .	2	-3	 the[0] two[0] are[0] acting[0] as[0] ambassadors[0] of[0] some[0] sort[0] in[0] hopes[1] of[0] ending[0] the[0] obvious[0] hostility[-2] between[0] the[0] federation[0] and[0] the[0] planet's[0] queen[0] amidala[0] portman[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the leader of the federation , an alien called viceroy , is following the orders of a strange , mythical character - an older human man whose face and body are covered and shadowed by the black robe and hood he wears . 	the leader of the federation , an alien called viceroy , is following the orders of a strange , mythical character - an older human man whose face and body are covered and shadowed by the black robe and hood he wears .	1	-2	 the[0] leader[0] of[0] the[0] federation[0] an[0] alien[-1] called[0] viceroy[0] is[0] following[0] the[0] orders[0] of[0] a[0] strange[0] mythical[0] character[0] an[0] older[0] human[0] man[0] whose[0] face[0] and[0] body[0] are[0] covered[0] and[0] shadowed[0] by[0] the[0] black[0] robe[0] and[0] hood[0] he[0] wears[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is referred to as lord sidious but considering his appearance , and especially that creepy evil voice of his , he is a obviously one of the most significant characters in the series . 	he is referred to as lord sidious but considering his appearance , and especially that creepy evil voice of his , he is a obviously one of the most significant characters in the series .	1	-3	 he[0] is[0] referred[0] to[0] as[0] lord[0] sidious[0] but[0] considering[0] his[0] appearance[0] and[0] especially[0] that[0] creepy[0] evil[-2] voice[0] of[0] his[0] he[0] is[0] a[0] obviously[0] one[0] of[0] the[0] most[0] significant[0] characters[0] in[0] the[0] series[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sidious communicates to viceroy only through digital transmissions and never in person . 	sidious communicates to viceroy only through digital transmissions and never in person .	1	-1	 sidious[0] communicates[0] to[0] viceroy[0] only[0] through[0] digital[0] transmissions[0] and[0] never[0] in[0] person[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
clearly his actual whereabouts are something he wants to keep secret because that would also reveal his identity ( which is never openly revealed in the film , but should be clear to most viewers . 	clearly his actual whereabouts are something he wants to keep secret because that would also reveal his identity ( which is never openly revealed in the film , but should be clear to most viewers .	1	-1	 clearly[0] his[0] actual[0] whereabouts[0] are[0] something[0] he[0] wants[0] to[0] keep[0] secret[0] because[0] that[0] would[0] also[0] reveal[0] his[0] identity[0] which[0] is[0] never[0] openly[0] revealed[0] in[0] the[0] film[0] but[0] should[0] be[0] clear[0] to[0] most[0] viewers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have a feeling we'll delve into his background in the next two films ) . 	i have a feeling we'll delve into his background in the next two films ) .	1	-1	 i[0] have[0] a[0] feeling[0] we'll[0] delve[0] into[0] his[0] background[0] in[0] the[0] next[0] two[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it doesn't take the film long to spring into action and within minutes our hero jedi are fighting for their lives and the film's story begins to move along . 	but it doesn't take the film long to spring into action and within minutes our hero jedi are fighting for their lives and the film's story begins to move along .	3	-3	 but[0] it[0] doesn't[0] take[0] the[0] film[0] long[0] to[0] spring[0] into[0] action[0] and[0] within[0] minutes[0] our[0] hero[2] jedi[0] are[0] fighting[-2] for[0] their[0] lives[0] and[0] the[0] film's[0] story[0] begins[0] to[0] move[0] along[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the film doesn't have one specific plot and works in the same manner as the other films in the series where as what we get is one mini-plot and adventure on top of another . 	the film doesn't have one specific plot and works in the same manner as the other films in the series where as what we get is one mini-plot and adventure on top of another .	1	-1	 the[0] film[0] doesn't[0] have[0] one[0] specific[0] plot[0] and[0] works[0] in[0] the[0] same[0] manner[0] as[0] the[0] other[0] films[0] in[0] the[0] series[0] where[0] as[0] what[0] we[0] get[0] is[0] one[0] mini[0] plot[0] and[0] adventure[0] on[0] top[0] of[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are so many of these mini-plots-within-plots in this film i would not describe them all because it is what gives the movie its hook . 	there are so many of these mini-plots-within-plots in this film i would not describe them all because it is what gives the movie its hook .	1	-1	 there[0] are[0] so[0] many[0] of[0] these[0] mini[0] plots[0] within[0] plots[0] in[0] this[0] film[0] i[0] would[0] not[0] describe[0] them[0] all[0] because[0] it[0] is[0] what[0] gives[0] the[0] movie[0] its[0] hook[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other films have relied on this type of storytelling , but because of the limits of the technology at the time , the films' screenplays were also limiting . 	the other films have relied on this type of storytelling , but because of the limits of the technology at the time , the films' screenplays were also limiting .	1	-1	 the[0] other[0] films[0] have[0] relied[0] on[0] this[0] type[0] of[0] storytelling[0] but[0] because[0] of[0] the[0] limits[0] of[0] the[0] technology[0] at[0] the[0] time[0] the[0] films'[0] screenplays[0] were[0] also[0] limiting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sense of limitlessness here is what gives  the phantom menace' its unique traits . 	the sense of limitlessness here is what gives  the phantom menace' its unique traits .	1	-1	 the[0] sense[0] of[0] limitlessness[0] here[0] is[0] what[0] gives[0] the[0] phantom[0] menace'[0] its[0] unique[0] traits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
