50's `aliens vs . 	Translation	Positive	Negative	EmotionRationale
id4 features many characters and we are shown the impact on them as the story progresses . 	id4 features many characters and we are shown the impact on them as the story progresses .	1	-1	 id4[0] features[0] many[0] characters[0] and[0] we[0] are[0] shown[0] the[0] impact[0] on[0] them[0] as[0] the[0] story[0] progresses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
acting on the whole was ok although i thought that bill pullman was a bit unsuitable for the president role but he did make a very rousing speech before sending his troops into battle ( do we smell a bit of braveheart here ? ? ) . 	acting on the whole was ok although i thought that bill pullman was a bit unsuitable for the president role but he did make a very rousing speech before sending his troops into battle ( do we smell a bit of braveheart here ?<br> ?<br> ) .	3	-2	 acting[0] on[0] the[0] whole[0] was[0] ok[0] although[0] i[0] thought[0] that[0] bill[0] pullman[0] was[0] a[0] bit[0] unsuitable[0] for[0] the[0] president[0] role[0] but[0] he[0] did[0] make[0] a[0] very[0] rousing[0] speech[0] before[0] sending[0] his[0] troops[0] into[0] battle[-1] do[0] we[0] smell[0] a[0] bit[0] of[0] braveheart[2] here[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
no prizes for guessing how id4 ends , its just plain obvious . 	no prizes for guessing how id4 ends , its just plain obvious .	3	-1	 no[0] prizes[2] for[0] guessing[0] how[0] id4[0] ends[0] its[0] just[0] plain[0] obvious[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
id4 borrows heavily from star wars , return of the jedi , alien and in some parts of the movie , i could even sense a bit of x-files on screen . 	id4 borrows heavily from star wars , return of the jedi , alien and in some parts of the movie , i could even sense a bit of x-files on screen .	2	-3	 id4[0] borrows[0] heavily[0] from[0] star[0] wars[-2] return[0] of[0] the[0] jedi[0] alien[-1] and[0] in[0] some[0] parts[0] of[0] the[0] movie[0] i[0] could[0] even[0] sense[0] a[0] bit[0] of[0] x[1] files[0] on[0] screen[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if i were to critically review this movie , id4 is full of plot holes , corny dialogue , and ridiculously dumb aliens . 	if i were to critically review this movie , id4 is full of plot holes , corny dialogue , and ridiculously dumb aliens .	1	-3	 if[0] i[0] were[0] to[0] critically[-1] review[0] this[0] movie[0] id4[0] is[0] full[0] of[0] plot[0] holes[0] corny[0] dialogue[0] and[0] ridiculously[-2] dumb[-1] aliens[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however below that wafer-thin plot and on-screen flaws , id4 scored well in playing with the appealing idea of the entire world giving up their petty differences to unite themselves as one force against the alien invasion . 	however below that wafer-thin plot and on-screen flaws , id4 scored well in playing with the appealing idea of the entire world giving up their petty differences to unite themselves as one force against the alien invasion .	2	-2	 however[0] below[0] that[0] wafer[0] thin[0] plot[0] and[0] on[0] screen[0] flaws[0] id4[0] scored[0] well[0] in[0] playing[1] with[0] the[0] appealing[0] idea[0] of[0] the[0] entire[0] world[0] giving[0] up[0] their[0] petty[0] differences[0] to[0] unite[0] themselves[0] as[0] one[0] force[-1] against[-1] the[0] alien[-1] invasion[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
an idea which will have the audience strongly rooting for the united front throughout the movie , thus maintaining a screen-viewer interaction that virtually render any holes in the movie acceptable , no matter how ridiculous . 	an idea which will have the audience strongly rooting for the united front throughout the movie , thus maintaining a screen-viewer interaction that virtually render any holes in the movie acceptable , no matter how ridiculous .	1	-3	 an[0] idea[0] which[0] will[0] have[0] the[0] audience[0] strongly[0] rooting[0] for[0] the[0] united[0] front[0] throughout[0] the[0] movie[0] thus[0] maintaining[0] a[0] screen[0] viewer[0] interaction[0] that[0] virtually[0] render[0] any[0] holes[0] in[0] the[0] movie[0] acceptable[0] no[0] matter[0] how[0] ridiculous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
id4 was produced under a modest budget of us 68 million , a film of such magnitude would have easily been another waterworld but director roland emmerich ( universal soldier , stargate ) and producer dean devlin assembled a team which did their own special effects rather than commissioning it to ilm or any other special effects company . 	id4 was produced under a modest budget of us 68 million , a film of such magnitude would have easily been another waterworld but director roland emmerich ( universal soldier , stargate ) and producer dean devlin assembled a team which did their own special effects rather than commissioning it to ilm or any other special effects company .	2	-1	 id4[0] was[0] produced[0] under[0] a[0] modest[0] budget[0] of[0] us[0] 68[0] million[0] a[0] film[0] of[0] such[0] magnitude[0] would[0] have[0] easily[0] been[0] another[0] waterworld[0] but[0] director[0] roland[0] emmerich[0] universal[0] soldier[0] stargate[0] and[0] producer[0] dean[0] devlin[0] assembled[0] a[0] team[0] which[0] did[0] their[0] own[0] special[1] effects[0] rather[0] than[0] commissioning[0] it[0] to[0] ilm[0] or[0] any[0] other[0] special[1] effects[0] company[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
some of the effects are not too good but most of it are very believable , especially the epic standoff between 150 f-18's and 250 alien saucers , reminiscence of the classic space battle featured in return of the jedi . 	some of the effects are not too good but most of it are very believable , especially the epic standoff between 150 f-18's and 250 alien saucers , reminiscence of the classic space battle featured in return of the jedi .	1	-2	 some[0] of[0] the[0] effects[0] are[0] not[0] too[0] good[1][NegatedDueToPreviousWord] but[0] most[0] of[0] it[0] are[0] very[0] believable[0] especially[0] the[0] epic[0] standoff[0] between[0] 150[0] f[0] -18's[0] and[0] 250[0] alien[-1] saucers[0] reminiscence[0] of[0] the[0] classic[0] space[0] battle[-1] featured[0] in[0] return[0] of[0] the[0] jedi[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
id4 is a movie for all . 	id4 is a movie for all .	1	-1	 id4[0] is[0] a[0] movie[0] for[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though there are many explosions and implied deaths , there are no gory scenes of human destruction , thus young kids should be able to take it . 	though there are many explosions and implied deaths , there are no gory scenes of human destruction , thus young kids should be able to take it .	1	-3	 though[0] there[0] are[0] many[0] explosions[-1] and[0] implied[0] deaths[-2] there[0] are[0] no[0] gory[0] scenes[0] of[0] human[0] destruction[-1] thus[0] young[0] kids[0] should[0] be[0] able[0] to[0] take[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sit back and don't be too critical , chances are you will be absorbed into the movie just as i was . 	sit back and don't be too critical , chances are you will be absorbed into the movie just as i was .	1	-2	 sit[0] back[0] and[0] don't[0] be[0] too[0] critical[-1] chances[0] are[0] you[0] will[0] be[0] absorbed[0] into[0] the[0] movie[0] just[0] as[0] i[0] was[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you are not planning to watch any movies this year , please , at least make time for this one . 	if you are not planning to watch any movies this year , please , at least make time for this one .	2	-1	 if[0] you[0] are[0] not[0] planning[0] to[0] watch[0] any[0] movies[0] this[0] year[0] please[1] at[0] least[0] make[0] time[0] for[0] this[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this film is best watched on the big-screen . 	this film is best watched on the big-screen .	2	-1	 this[0] film[0] is[0] best[1] watched[0] on[0] the[0] big[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
