pitch black is a sheep in wolf's clothing . 	Translation	Positive	Negative	EmotionRationale
pitch black deviates from the standard sci-fi fare by avoiding some of the stock " escape the boogieman " conflicts the genre typically serves up . 	pitch black deviates from the standard sci-fi fare by avoiding some of the stock " escape the boogieman " conflicts the genre typically serves up .	1	-2	 pitch[0] black[0] deviates[0] from[0] the[0] standard[0] sci[0] fi[0] fare[0] by[0] avoiding[-1] some[0] of[0] the[0] stock[0] escape[0] the[0] boogieman[0] conflicts[-1] the[0] genre[0] typically[0] serves[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just as the planet gave a false facade of lifelessness , first appearances given by the survivors proves to be just as false . 	just as the planet gave a false facade of lifelessness , first appearances given by the survivors proves to be just as false .	1	-1	 just[0] as[0] the[0] planet[0] gave[0] a[0] false[0] facade[0] of[0] lifelessness[0] first[0] appearances[0] given[0] by[0] the[0] survivors[0] proves[0] to[0] be[0] just[0] as[0] false[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the excitement of the film comes not from the danger posed by the creatures , but rather from watching the shifting allegiances and emotional growth of the characters as the planet serves as a deus ex machina of sorts to catalyze emotional growth . 	the excitement of the film comes not from the danger posed by the creatures , but rather from watching the shifting allegiances and emotional growth of the characters as the planet serves as a deus ex machina of sorts to catalyze emotional growth .	3	-2	 the[0] excitement[2] of[0] the[0] film[0] comes[0] not[0] from[0] the[0] danger[-1] posed[0] by[0] the[0] creatures[0] but[0] rather[0] from[0] watching[0] the[0] shifting[0] allegiances[0] and[0] emotional[-1] growth[0] of[0] the[0] characters[0] as[0] the[0] planet[0] serves[0] as[0] a[0] deus[0] ex[0] machina[0] of[0] sorts[0] to[0] catalyze[0] emotional[-1] growth[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a recurrent theme runs throughout the movie of faith , whether it be religious or in a person , and how that powers their motivations . 	a recurrent theme runs throughout the movie of faith , whether it be religious or in a person , and how that powers their motivations .	2	-1	 a[0] recurrent[0] theme[0] runs[0] throughout[0] the[0] movie[0] of[0] faith[1] whether[0] it[0] be[0] religious[0] or[0] in[0] a[0] person[0] and[0] how[0] that[0] powers[0] their[0] motivations[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i found it telling that an accidental death occurs early on due to the misperception of a self professed atheist . 	i found it telling that an accidental death occurs early on due to the misperception of a self professed atheist .	1	-3	 i[0] found[0] it[0] telling[0] that[0] an[0] accidental[-1] death[-2] occurs[0] early[0] on[0] due[0] to[0] the[0] misperception[0] of[0] a[0] self[0] professed[0] atheist[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
conversely , imam constantly contributes any good fortune to allah . 	conversely , imam constantly contributes any good fortune to allah .	2	-1	 conversely[0] imam[0] constantly[0] contributes[0] any[0] good[1] fortune[0] to[0] allah[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one by one , his perceived heaven sent blessings are taken away and crushed . 	one by one , his perceived heaven sent blessings are taken away and crushed .	2	-1	 one[0] by[0] one[0] his[0] perceived[0] heaven[1] sent[0] blessings[1] are[0] taken[0] away[0] and[0] crushed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
imam is forced to reassess his faith . 	imam is forced to reassess his faith .	2	-1	 imam[0] is[0] forced[0] to[0] reassess[0] his[0] faith[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
another character expresses belief in god , along with a life long hate . 	another character expresses belief in god , along with a life long hate .	1	-4	 another[0] character[0] expresses[0] belief[0] in[0] god[0] along[0] with[0] a[0] life[0] long[0] hate[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
yet another character makes a decision that echoes the sentiments of christ about selflessness and has lasting repercussions for several of group . 	yet another character makes a decision that echoes the sentiments of christ about selflessness and has lasting repercussions for several of group .	1	-1	 yet[0] another[0] character[0] makes[0] a[0] decision[0] that[0] echoes[0] the[0] sentiments[0] of[0] christ[0] about[0] selflessness[0] and[0] has[0] lasting[0] repercussions[0] for[0] several[0] of[0] group[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a fascinating character study hiding under the guise of a scare flick . 	it is a fascinating character study hiding under the guise of a scare flick .	1	-4	 it[0] is[0] a[0] fascinating[0] character[0] study[0] hiding[0] under[0] the[0] guise[-1] of[0] a[0] scare[-3] flick[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
special mention should be made of vin diesel , who intriguingly conveys feral menace combined with a truly mesmerizing presence . 	special mention should be made of vin diesel , who intriguingly conveys feral menace combined with a truly mesmerizing presence .	2	-3	 special[1] mention[0] should[0] be[0] made[0] of[0] vin[0] diesel[0] who[0] intriguingly[0] conveys[0] feral[0] menace[-2] combined[0] with[0] a[0] truly[1] mesmerizing[0] presence[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his character could have easily slipped into a parody of the baddass killing machine , but twohy and diesel add surprising depth to riddick . 	his character could have easily slipped into a parody of the baddass killing machine , but twohy and diesel add surprising depth to riddick .	1	-2	 his[0] character[0] could[0] have[0] easily[0] slipped[0] into[0] a[0] parody[0] of[0] the[0] baddass[0] killing[-1] machine[0] but[0] twohy[0] and[0] diesel[0] add[0] surprising[0] depth[0] to[0] riddick[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they can be excused for the two or three shwarzenegger-like catch phrases that growl their way out of diesel's mouth . 	they can be excused for the two or three shwarzenegger-like catch phrases that growl their way out of diesel's mouth .	2	-2	 they[0] can[0] be[0] excused[0] for[0] the[0] two[0] or[0] three[0] shwarzenegger[0] like[1] catch[0] phrases[0] that[0] growl[-1] their[0] way[0] out[0] of[0] diesel's[0] mouth[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie has its flaws that can be nitpicked . 	the movie has its flaws that can be nitpicked .	1	-1	 the[0] movie[0] has[0] its[0] flaws[0] that[0] can[0] be[0] nitpicked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the creatures do look derivative of the ones in alien . 	the creatures do look derivative of the ones in alien .	1	-2	 the[0] creatures[0] do[0] look[0] derivative[0] of[0] the[0] ones[0] in[0] alien[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dialogue isn't the freshest at times , reminiscent of a bad comic book . 	the dialogue isn't the freshest at times , reminiscent of a bad comic book .	1	-2	 the[0] dialogue[0] isn't[0] the[0] freshest[0] at[0] times[0] reminiscent[0] of[0] a[0] bad[-1] comic[0] book[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , the appearance of riddick's vision skills are more than a little timely considering the situation . 	yes , the appearance of riddick's vision skills are more than a little timely considering the situation .	1	-1	 yes[0] the[0] appearance[0] of[0] riddick's[0] vision[0] skills[0] are[0] more[0] than[0] a[0] little[0] timely[0] considering[0] the[0] situation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these trappings are on the periphery of the story twohy is really trying to tell . 	these trappings are on the periphery of the story twohy is really trying to tell .	1	-1	 these[0] trappings[0] are[0] on[0] the[0] periphery[0] of[0] the[0] story[0] twohy[0] is[0] really[0] trying[0] to[0] tell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
twohy may have lured you in under the pretense of scaring you with film fabricated boogieman , but he shows the real boogieman to be the prejudices and beliefs we use to direct decisions in our lives . 	twohy may have lured you in under the pretense of scaring you with film fabricated boogieman , but he shows the real boogieman to be the prejudices and beliefs we use to direct decisions in our lives .	1	-4	 twohy[0] may[0] have[0] lured[0] you[0] in[0] under[0] the[0] pretense[-1] of[0] scaring[-3] you[0] with[0] film[0] fabricated[-1] boogieman[0] but[0] he[0] shows[0] the[0] real[0] boogieman[0] to[0] be[0] the[0] prejudices[-2] and[0] beliefs[0] we[0] use[0] to[0] direct[0] decisions[0] in[0] our[0] lives[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
