jacques tati's 1953 classic " les vacances de m . hulot " ( also known as " mr . hulot's vacation , " in english ) ought to be the textbook on how to do non ? dialogue comedy in film . 	Translation	Positive	Negative	EmotionRationale
tati accomplishes this largely through a sort of deadpan understatement . 	tati accomplishes this largely through a sort of deadpan understatement .	2	-1	 tati[0] accomplishes[1] this[0] largely[0] through[0] a[0] sort[0] of[0] deadpan[0] understatement[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when hulot goes into a separate room during dinner and starts playing a record at defeaningly loud volume , no fights or shouting matches ensue ; instead , the waiter calmly walks in and shuts off the power in the room , disconnecting the record player and leaving a puzzled hulot sitting in the dark . 	when hulot goes into a separate room during dinner and starts playing a record at defeaningly loud volume , no fights or shouting matches ensue ; instead , the waiter calmly walks in and shuts off the power in the room , disconnecting the record player and leaving a puzled hulot sitting in the dark .	2	-3	 when[0] hulot[0] goes[0] into[0] a[0] separate[0] room[0] during[0] dinner[0] and[0] starts[0] playing[1] a[0] record[0] at[0] defeaningly[0] loud[0] volume[0] no[0] fights[-2] or[0] shouting[0] matches[0] ensue[0] instead[0] the[0] waiter[0] calmly[1] walks[0] in[0] and[0] shuts[0] off[0] the[0] power[0] in[0] the[0] room[0] disconnecting[0] the[0] record[0] player[0] and[0] leaving[0] a[0] puzzled/puzled[0] hulot[0] sitting[0] in[0] the[0] dark[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
tati also uses running gags to this effect , allowing them to keep running far longer than most comedy directors would ; more often than not , we can see them coming and think , " oh , he's not going to do that again , " but , lo and behold , he does . 	tati also uses running gags to this effect , allowing them to keep running far longer than most comedy directors would ; more often than not , we can see them coming and think , " oh , he's not going to do that again , " but , lo and behold , he does .	1	-1	 tati[0] also[0] uses[0] running[0] gags[0] to[0] this[0] effect[0] allowing[0] them[0] to[0] keep[0] running[0] far[0] longer[0] than[0] most[0] comedy[0] directors[0] would[0] more[0] often[0] than[0] not[0] we[0] can[0] see[0] them[0] coming[0] and[0] think[0] oh[0] he's[0] not[0] going[0] to[0] do[0] that[0] again[0] but[0] lo[0] and[0] behold[0] he[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , there is a recurring joke in which hulot's noisy , sputtering car engine wakes everyone in the middle of the night as an exterior shot reveals the hotel's lights coming on one by one . 	for example , there is a recurring joke in which hulot's noisy , sputtering car engine wakes everyone in the middle of the night as an exterior shot reveals the hotel's lights coming on one by one .	2	-2	 for[0] example[0] there[0] is[0] a[0] recurring[0] joke[1] in[0] which[0] hulot's[0] noisy[0] sputtering[-1] car[0] engine[0] wakes[0] everyone[0] in[0] the[0] middle[0] of[0] the[0] night[0] as[0] an[0] exterior[0] shot[-1] reveals[0] the[0] hotel's[0] lights[0] coming[0] on[0] one[0] by[0] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then this image turns up again in the finale , which i will not give away other than to say that involves a lot more noise in the middle of the night than a car engine could ever produce . 	then this image turns up again in the finale , which i will not give away other than to say that involves a lot more noise in the middle of the night than a car engine could ever produce .	1	-1	 then[0] this[0] image[0] turns[0] up[0] again[0] in[0] the[0] finale[0] which[0] i[0] will[0] not[0] give[0] away[0] other[0] than[0] to[0] say[0] that[0] involves[0] a[0] lot[0] more[0] noise[0] in[0] the[0] middle[0] of[0] the[0] night[0] than[0] a[0] car[0] engine[0] could[0] ever[0] produce[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ending is one of two elements that really make this a four-star film as opposed to merely an above-average , clever comedy . 	the ending is one of two elements that really make this a four-star film as opposed to merely an above-average , clever comedy .	1	-1	 the[0] ending[0] is[0] one[0] of[0] two[0] elements[0] that[0] really[0] make[0] this[0] a[0] four[0] star[0] film[0] as[0] opposed[0] to[0] merely[0] an[0] above[0] average[0] clever[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as much as i was laughing during this film , i was thinking to myself occasionally that tati had to top himself at the end to really make this work as a complete viewing experience ; suffice it to say that he did . 	as much as i was laughing during this film , i was thinking to myself occasionally that tati had to top himself at the end to really make this work as a complete viewing experience ; suffice it to say that he did .	2	-1	 as[0] much[0] as[0] i[0] was[0] laughing[1] during[0] this[0] film[0] i[0] was[0] thinking[0] to[0] myself[0] occasionally[0] that[0] tati[0] had[0] to[0] top[0] himself[0] at[0] the[0] end[0] to[0] really[0] make[0] this[0] work[0] as[0] a[0] complete[0] viewing[0] experience[0] suffice[0] it[0] to[0] say[0] that[0] he[0] did[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the other important aspect is that the film never seems disdainful of its characters . 	the other important aspect is that the film never seems disdainful of its characters .	1	-1	 the[0] other[0] important[0] aspect[0] is[0] that[0] the[0] film[0] never[0] seems[0] disdainful[0] of[0] its[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it easily could have turned the tables on hulot and had the other guests exact some kind of revenge on him ; alternatively , it could have portrayed the others as humorless curmudgeons . 	it easily could have turned the tables on hulot and had the other guests exact some kind of revenge on him ; alternatively , it could have portrayed the others as humorless curmudgeons .	1	-3	 it[0] easily[0] could[0] have[0] turned[0] the[0] tables[0] on[0] hulot[0] and[0] had[0] the[0] other[0] guests[0] exact[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] revenge[-1] on[0] him[0] alternatively[0] it[0] could[0] have[0] portrayed[0] the[0] others[0] as[0] humorless[-2] curmudgeons[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead , tati seems to regard his characters with cheerful amusement more than anything else and invites the audience to like them , however strange or irritating they might seem . 	instead , tati seems to regard his characters with cheerful amusement more than anything else and invites the audience to like them , however strange or irritating they might seem .	3	-3	 instead[0] tati[0] seems[0] to[0] regard[0] his[0] characters[0] with[0] cheerful[2] amusement[1] more[0] than[0] anything[0] else[0] and[0] invites[0] the[0] audience[0] to[0] like[1] them[0] however[0] strange[0] or[0] irritating[-2] they[0] might[0] seem[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " les vacances de m . hulot " is not subtitled , but the dialogue is sparse and for the most part not terribly essential to the flow of events . 	 " les vacances de m .<br> hulot " is not subtitled , but the dialogue is sparse and for the most part not terribly essential to the flow of events .	4	-1	 les[0] vacances[0] de[0] m[0] [[Sentence=-1,1=word max, 1-5]] hulot[0] is[0] not[0] subtitled[0] but[0] the[0] dialogue[0] is[0] sparse[0] and[0] for[0] the[0] most[0] part[0] not[0] terribly[-3][NegatedDueToPreviousWord] essential[0] to[0] the[0] flow[0] of[0] events[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
anyone with a taste for this kind of absurd humor ought to make this film their next rental from the video store . 	anyone with a taste for this kind of absurd humor ought to make this film their next rental from the video store .	3	-2	 anyone[0] with[0] a[0] taste[0] for[0] this[0] kind[1] of[0] absurd[-1] humor[2] ought[0] to[0] make[0] this[0] film[0] their[0] next[0] rental[0] from[0] the[0] video[0] store[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
note : " les vacances de m . hulot " was not rated by the mpaa . 	note : " les vacances de m .<br> hulot " was not rated by the mpa .	1	-1	 note[0] les[0] vacances[0] de[0] m[0] [[Sentence=-1,1=word max, 1-5]] hulot[0] was[0] not[0] rated[0] by[0] the[0] mpaa/mpa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it would at most receive a pg rating . 	it would at most receive a pg rating .	1	-1	 it[0] would[0] at[0] most[0] receive[0] a[0] pg[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
