life is beautiful is a rare treat : a lighthearted comedy that tackles a very serious subject without committing the sins of being disrespectful , or , even worse , humorless . 	Translation	Positive	Negative	EmotionRationale
unable to protect his boy in any other way , guido attempts to shield his young son from the horrors of the labor camp . 	unable to protect his boy in any other way , guido attempts to shield his young son from the horrors of the labor camp .	1	-4	 unable[0] to[0] protect[0] his[0] boy[0] in[0] any[0] other[0] way[0] guido[0] attempts[0] to[0] shield[0] his[0] young[0] son[0] from[0] the[0] horrors[-3] of[0] the[0] labor[0] camp[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he pretends that everything is all an elaborate game , with points awarded for such tasks as hiding , being brave and being very very quiet . 	he pretends that everything is all an elaborate game , with points awarded for such tasks as hiding , being brave and being very very quiet .	3	-1	 he[0] pretends[0] that[0] everything[0] is[0] all[0] an[0] elaborate[0] game[0] with[0] points[0] awarded[0] for[0] such[0] tasks[0] as[0] hiding[0] being[0] brave[2] and[0] being[0] very[0] very[0] quiet[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as you can tell from the description , life is beautiful has two very different tones , but manages to excel at both of them . 	as you can tell from the description , life is beautiful has two very different tones , but manages to excel at both of them .	3	-1	 as[0] you[0] can[0] tell[0] from[0] the[0] description[0] life[0] is[0] beautiful[2] has[0] two[0] very[0] different[0] tones[0] but[0] manages[0] to[0] excel[2] at[0] both[0] of[0] them[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as a romantic comedy , it is sweet and funny . 	as a romantic comedy , it is sweet and funny .	4	-1	 as[0] a[0] romantic[3] comedy[0] it[0] is[0] sweet[1] and[0] funny[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
as a bittersweet tale of hope amid despair , it is touching . 	as a bittersweet tale of hope amid despair , it is touching .	3	-4	 as[0] a[0] bittersweet[0] tale[0] of[0] hope[2] amid[0] despair[-3] it[0] is[0] touching[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
roberto benigni's work here has been compared with some of the best of chaplin's , and it is easy to see why . 	roberto benigni's work here has been compared with some of the best of chaplin's , and it is easy to see why .	2	-1	 roberto[0] benigni's[1] work[0] here[0] has[0] been[0] compared[0] with[0] some[0] of[0] the[0] best[1] of[0] chaplin's[0] and[0] it[0] is[0] easy[0] to[0] see[0] why[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is able to run the gamut of comic expression , from slapstick to farce , with a warm-hearted feeling that celebrates his downtrodden hero's " triumph of the underdog " spirit . 	he is able to run the gamut of comic expression , from slapstick to farce , with a warm-hearted feeling that celebrates his downtrodden hero's " triumph of the underdog " spirit .	4	-2	 he[0] is[0] able[0] to[0] run[0] the[0] gamut[0] of[0] comic[0] expression[0] from[0] slapstick[-1] to[0] farce[-1] with[0] a[0] warm[0] hearted[0] feeling[0] that[0] celebrates[1] his[0] downtrodden[0] hero's[2] triumph[2][+1 MultiplePositiveWords] of[0] the[0] underdog[0] spirit[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
life is beautiful treads a thin line when it turns its attentions to the holocaust . 	life is beautiful treads a thin line when it turns its attentions to the holocaust .	3	-1	 life[0] is[0] beautiful[2] treads[0] a[0] thin[0] line[0] when[0] it[0] turns[0] its[0] attentions[0] to[0] the[0] holocaust[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , it is able to successfully navigate the minefield , without demeaning the gravity of the horrors involved , nor without losing its humorous edge that allows you to smile through the tears . 	however , it is able to successfully navigate the minefield , without demeaning the gravity of the horrors involved , nor without losing its humorous edge that allows you to smile through the tears .	3	-4	 however[0] it[0] is[0] able[0] to[0] successfully[2] navigate[0] the[0] minefield[0] without[0] demeaning[-1] the[0] gravity[0] of[0] the[0] horrors[-3] involved[0] nor[0] without[0] losing[-2] its[0] humorous[2] edge[0] that[0] allows[0] you[0] to[0] smile[2] through[0] the[0] tears[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
with life is beautiful , benigni has created a triumphant , but bittersweet comedy . 	with life is beautiful , benigni has created a triumphant , but bittersweet comedy .	3	-1	 with[0] life[0] is[0] beautiful[2] benigni[1] has[0] created[0] a[0] triumphant[2] but[0] bittersweet[0] comedy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's quite simply one of the most enjoyable times i've had at the movies this year . 	it's quite simply one of the most enjoyable times i've had at the movies this year .	3	-1	 it's[0] quite[0] simply[0] one[0] of[0] the[0] most[0] enjoyable[2] times[0] i've[0] had[0] at[0] the[0] movies[0] this[0] year[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
