it must be some sort of warped critical nightmare : the best movie of the year would be a summer vehicle , a jim carrey vehicle at that . 	Translation	Positive	Negative	EmotionRationale
laura linney ( congo ) and noah emmerich ( copland ) have the unfortunate task of playing truman's wife and best friend ; their sitcom-ish dialogue allow little room for any authentic character development . 	laura linney ( congo ) and noah emmerich ( copland ) have the unfortunate task of playing truman's wife and best friend ; their sitcom-ish dialogue allow little room for any authentic character development .	2	-2	 laura[0] linney[0] congo[0] and[0] noah[0] emmerich[0] copland[0] have[0] the[0] unfortunate[-1] task[0] of[0] playing[1] truman's[0] wife[0] and[0] best[1] friend[1] their[0] sitcom[0] ish[0] dialogue[0] allow[0] little[0] room[0] for[0] any[0] authentic[0] character[0] development[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the exception is at the very beginning , where they speak into the camera , wholeheartedly believing that their participation is truly good for truman , and for society in general . 	the exception is at the very beginning , where they speak into the camera , wholeheartedly believing that their participation is truly good for truman , and for society in general .	2	-1	 the[0] exception[0] is[0] at[0] the[0] very[0] beginning[0] where[0] they[0] speak[0] into[0] the[0] camera[0] wholeheartedly[0] believing[0] that[0] their[0] participation[0] is[0] truly[1] good[1] for[0] truman[0] and[0] for[0] society[0] in[0] general[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are other little problems with the script . 	there are other little problems with the script .	1	-2	 there[0] are[0] other[0] little[0] problems[-1] with[0] the[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
are we to assume that toddler truman had no recollection of hearing the construction of such a gigantic dome during his formative years ? 	are we to assume that toddler truman had no recollection of hearing the construction of such a gigantic dome during his formative years ?	1	-1	 are[0] we[0] to[0] assume[0] that[0] toddler[0] truman[0] had[0] no[0] recollection[0] of[0] hearing[0] the[0] construction[0] of[0] such[0] a[0] gigantic[0] dome[0] during[0] his[0] formative[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was there any reason as to why in one scene , it rained solely on truman , even though it never had to ? 	was there any reason as to why in one scene , it rained solely on truman , even though it never had to ?	1	-1	 was[0] there[0] any[0] reason[0] as[0] to[0] why[0] in[0] one[0] scene[0] it[0] rained[0] solely[0] on[0] truman[0] even[0] though[0] it[0] never[0] had[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how is it they hire hundreds of extras , and none of them could drive a boat , and yet truman , fearful of water , is helming a sailboat effortlessly ? 	how is it they hire hundreds of extras , and none of them could drive a boat , and yet truman , fearful of water , is helming a sailboat effortlessly ?	1	-3	 how[0] is[0] it[0] they[0] hire[0] hundreds[0] of[0] extras[0] and[0] none[0] of[0] them[0] could[0] drive[0] a[0] boat[0] and[0] yet[0] truman[0] fearful[-2] of[0] water[0] is[0] helming[0] a[0] sailboat[0] effortlessly[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and couldn't christof have turned off the wind , to strand truman at sea ? 	and couldn't christof have turned off the wind , to strand truman at sea ?	1	-1	 and[0] couldn't[0] christof[0] have[0] turned[0] off[0] the[0] wind[0] to[0] strand[0] truman[0] at[0] sea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these little contrivances , however , do not hold a candle to the overall effect of the work . 	these little contrivances , however , do not hold a candle to the overall effect of the work .	1	-1	 these[0] little[0] contrivances[0] however[0] do[0] not[0] hold[0] a[0] candle[0] to[0] the[0] overall[0] effect[0] of[0] the[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience gets the feeling that it is watching the actual show , and we are drawn to truman's mundane existence for no other reason than it is there . 	the audience gets the feeling that it is watching the actual show , and we are drawn to truman's mundane existence for no other reason than it is there .	1	-2	 the[0] audience[0] gets[0] the[0] feeling[0] that[0] it[0] is[0] watching[0] the[0] actual[0] show[0] and[0] we[0] are[0] drawn[0] to[0] truman's[0] mundane[-1] existence[0] for[0] no[0] other[0] reason[0] than[0] it[0] is[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the final result effortlessly combines the emotional happy ending of a mainstream picture with a gnawing discomfort that hits you square in the gut . 	the final result effortlessly combines the emotional happy ending of a mainstream picture with a gnawing discomfort that hits you square in the gut .	2	-2	 the[0] final[0] result[0] effortlessly[0] combines[0] the[0] emotional[-1] happy[1] ending[0] of[0] a[0] mainstream[0] picture[0] with[0] a[0] gnawing[0] discomfort[-1] that[0] hits[0] you[0] square[0] in[0] the[0] gut[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
upon leaving the theater , i was looking up in the sky , wondering if it was nothing more than a gigantic dome . 	upon leaving the theater , i was looking up in the sky , wondering if it was nothing more than a gigantic dome .	1	-1	 upon[0] leaving[0] the[0] theater[0] i[0] was[0] looking[0] up[0] in[0] the[0] sky[0] wondering[0] if[0] it[0] was[0] nothing[0] more[0] than[0] a[0] gigantic[0] dome[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just checking . 	just checking .	1	-1	 just[0] checking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
