is it just me , or have disney films gradually lost their appeal ? 	Translation	Positive	Negative	EmotionRationale
her mother is also a witch , and as thirteen is the obligatory age for such training , her parents treat her leaving understandingly and put up only token resistance . 	her mother is also a witch , and as thirteen is the obligatory age for such training , her parents treat her leaving understandingly and put up only token resistance .	2	-1	 her[0] mother[0] is[0] also[0] a[0] witch[0] and[0] as[0] thirteen[0] is[0] the[0] obligatory[0] age[0] for[0] such[0] training[0] her[0] parents[0] treat[1] her[0] leaving[0] understandingly[0] and[0] put[0] up[0] only[0] token[0] resistance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
just the idea of a witch heroine may scare away some audiences , but no mention is made of the occult , and the subject is dealt with harmlessly throughout the movie : kiki's mother acts as a village doctor , and kiki is able to do no more than fly on a broom . 	just the idea of a witch heroine may scare away some audiences , but no mention is made of the occult , and the subject is dealt with harmlessly throughout the movie : kiki's mother acts as a village doctor , and kiki is able to do no more than fly on a broom .	3	-3	 just[0] the[0] idea[0] of[0] a[0] witch[0] heroine[2] may[0] scare[-3][--1 LastWordBoosterStrength] away[0] some[0] audiences[0] but[0] no[0] mention[0] is[0] made[0] of[0] the[0] occult[0] and[0] the[0] subject[0] is[0] dealt[0] with[0] harmlessly[1] throughout[0] the[0] movie[0] kiki's[0] mother[0] acts[0] as[0] a[0] village[0] doctor[0] and[0] kiki[0] is[0] able[0] to[0] do[0] no[0] more[0] than[0] fly[0] on[0] a[0] broom[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
kiki must choose a city to move to , and what she chooses is the co-star of the movie : a german seaport town , far removed from the country life she has been used to . 	kiki must choose a city to move to , and what she chooses is the co-star of the movie : a german seaport town , far removed from the country life she has been used to .	1	-2	 kiki[0] must[0] choose[0] a[0] city[0] to[0] move[0] to[0] and[0] what[0] she[0] chooses[0] is[0] the[0] co[0] star[0] of[0] the[0] movie[0] a[0] german[-1] seaport[0] town[0] far[0] removed[0] from[0] the[0] country[0] life[0] she[0] has[0] been[0] used[0] to[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
initially lost in the impersonal hugeness of her surrounding , she's discouraged , and unable to support herself though her rudimentary skills as a witch . 	initially lost in the impersonal hugeness of her surrounding , she's discouraged , and unable to support herself though her rudimentary skills as a witch .	2	-2	 initially[0] lost[0] in[0] the[0] impersonal[0] hugeness[0] of[0] her[0] surrounding[0] she's[0] discouraged[-1] and[0] unable[0] to[0] support[1] herself[0] though[0] her[0] rudimentary[0] skills[0] as[0] a[0] witch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on the verge of leaving for a new town , she uses her power of flight to deliver a pacifier to a baby who dropped it . 	on the verge of leaving for a new town , she uses her power of flight to deliver a pacifier to a baby who dropped it .	2	-1	 on[0] the[0] verge[0] of[0] leaving[0] for[0] a[0] new[0] town[0] she[0] uses[0] her[0] power[0] of[0] flight[0] to[0] deliver[0] a[0] pacifier[0] to[0] a[0] baby[1] who[0] dropped[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the favor eventually blossoms into her working as a courier , a one-persons delivery service . 	the favor eventually blossoms into her working as a courier , a one-persons delivery service .	2	-1	 the[0] favor[1] eventually[0] blossoms[0] into[0] her[0] working[0] as[0] a[0] courier[0] a[0] one[0] persons[0] delivery[0] service[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is where the movie becomes shockingly good . 	this is where the movie becomes shockingly good .	2	-3	 this[0] is[0] where[0] the[0] movie[0] becomes[0] shockingly[-2] good[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
kiki's job is a catalyst for her realizing the beauty of the city and the world around her . 	kiki's job is a catalyst for her realizing the beauty of the city and the world around her .	3	-1	 kiki's[0] job[0] is[0] a[0] catalyst[0] for[0] her[0] realizing[0] the[0] beauty[2] of[0] the[0] city[0] and[0] the[0] world[0] around[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the townspeople she is put in contact possess an inner worth that doesn't seem forced or artificial , but merely derived from looking at ordinary people in a different light . 	the townspeople she is put in contact possess an inner worth that doesn't seem forced or artificial , but merely derived from looking at ordinary people in a different light .	1	-1	 the[0] townspeople[0] she[0] is[0] put[0] in[0] contact[0] possess[0] an[0] inner[0] worth[0] that[0] doesn't[0] seem[0] forced[0] or[0] artificial[0] but[0] merely[0] derived[0] from[0] looking[0] at[0] ordinary[0] people[0] in[0] a[0] different[0] light[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're three- dimensional , impossible to quickly evaluate , possessing of faults , and understandably reserving in kindness towards a strange girl . 	they're three- dimensional , impossible to quickly evaluate , possessing of faults , and understandably reserving in kindness towards a strange girl .	2	-2	 they're[0] three[0] dimensional[0] impossible[0] to[0] quickly[0] evaluate[0] possessing[0] of[0] faults[-1] and[0] understandably[0] reserving[0] in[0] kindness[1] towards[0] a[0] strange[0] girl[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , each one has something about them , some interest or trait , that makes them interesting and unique . 	however , each one has something about them , some interest or trait , that makes them interesting and unique .	2	-1	 however[0] each[0] one[0] has[0] something[0] about[0] them[0] some[0] interest[1][-1 LastWordBoosterStrength] or[0] trait[0] that[0] makes[0] them[0] interesting[1] and[0] unique[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the personal beauty of the citizens is complimented by the beauty of the surroundings : the seaport town genuinely looks impressive , capturing the european charm of a medieval city adapted to the more modern needs of the 1950's . 	the personal beauty of the citizens is complimented by the beauty of the surroundings : the seaport town genuinely looks impressive , capturing the european charm of a medieval city adapted to the more modern needs of the 1950's .	3	-1	 the[0] personal[0] beauty[2] of[0] the[0] citizens[0] is[0] complimented[1] by[0] the[0] beauty[2] of[0] the[0] surroundings[0] the[0] seaport[0] town[0] genuinely[0] looks[0] impressive[1] capturing[0] the[0] european[0] charm[1] of[0] a[0] medieval[0] city[0] adapted[0] to[0] the[0] more[0] modern[0] needs[0] of[0] the[0] 1950's[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this beauty is beauty with depth ; for every detail left in , dozens are only hinted at . 	this beauty is beauty with depth ; for every detail left in , dozens are only hinted at .	3	-1	 this[0] beauty[2] is[0] beauty[2] with[0] depth[0] for[0] every[0] detail[0] left[0] in[0] dozens[0] are[0] only[0] hinted[0] at[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i could probably go on all day , but i won't ; suffice it to say that many of these minor details could have been the highlight of the movie . 	i could probably go on all day , but i won't ; suffice it to say that many of these minor details could have been the highlight of the movie .	1	-1	 i[0] could[0] probably[0] go[0] on[0] all[0] day[0] but[0] i[0] won't[0] suffice[0] it[0] to[0] say[0] that[0] many[0] of[0] these[0] minor[0] details[0] could[0] have[0] been[0] the[0] highlight[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of my favorites are kiki's relationship with the baker's husband : although he's quiet , never shown speaking to kiki throughout the movie , and he initially scares her , his kindness wins her friendship . 	some of my favorites are kiki's relationship with the baker's husband : although he's quiet , never shown speaking to kiki throughout the movie , and he initially scares her , his kindness wins her friendship .	2	-4	 some[0] of[0] my[0] favorites[1] are[0] kiki's[0] relationship[0] with[0] the[0] baker's[0] husband[0] although[0] he's[0] quiet[0] never[0] shown[0] speaking[0] to[0] kiki[0] throughout[0] the[0] movie[0] and[0] he[0] initially[0] scares[-3] her[0] his[0] kindness[1] wins[0] her[0] friendship[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in the garage of a deliveree's house can be found a vintage model t . two old ladies have a relationship evolving from master-servant to friend-friend . 	in the garage of a deliveree's house can be found a vintage model t .<br> two old ladies have a relationship evolving from master-servant to friend-friend .	2	-1	 in[0] the[0] garage[0] of[0] a[0] deliveree's[0] house[0] can[0] be[0] found[0] a[0] vintage[0] model[0] t[0] [[Sentence=-1,1=word max, 1-5]] two[0] old[0] ladies[0] have[0] a[0] relationship[0] evolving[0] from[0] master[0] servant[0] to[0] friend[1] friend[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
such details gives the impression that the beauty shown in the movie is only the tip of the iceberg . 	such details gives the impression that the beauty shown in the movie is only the tip of the iceberg .	3	-1	 such[0] details[0] gives[0] the[0] impression[0] that[0] the[0] beauty[2] shown[0] in[0] the[0] movie[0] is[0] only[0] the[0] tip[0] of[0] the[0] iceberg[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
added on top of this is a lesson on the importance of self-worth . 	added on top of this is a lesson on the importance of self-worth .	1	-1	 added[0] on[0] top[0] of[0] this[0] is[0] a[0] lesson[0] on[0] the[0] importance[0] of[0] self[0] worth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kiki initially seems to derive much of her self-worth from the beauty of her surroundings and the people around her , but an encounter with a rude girl crashes down her bewonderment , making her question the importance of such beauty . 	kiki initially seems to derive much of her self-worth from the beauty of her surroundings and the people around her , but an encounter with a rude girl crashes down her bewonderment , making her question the importance of such beauty .	3	-3	 kiki[0] initially[0] seems[0] to[0] derive[0] much[0] of[0] her[0] self[0] worth[0] from[0] the[0] beauty[2] of[0] her[0] surroundings[0] and[0] the[0] people[0] around[0] her[0] but[0] an[0] encounter[0] with[0] a[0] rude[-2] girl[0] crashes[0] down[0] her[0] bewonderment[0] making[0] her[0] question[0] the[0] importance[0] of[0] such[0] beauty[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this causes kiki to lose faith in herself . 	this causes kiki to lose faith in herself .	2	-2	 this[0] causes[0] kiki[0] to[0] lose[-1] faith[1] in[0] herself[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , kiki comes to realize not only the beauty of her surroundings , but the innate beauty inside her . 	however , kiki comes to realize not only the beauty of her surroundings , but the innate beauty inside her .	3	-1	 however[0] kiki[0] comes[0] to[0] realize[0] not[0] only[0] the[0] beauty[2] of[0] her[0] surroundings[0] but[0] the[0] innate[0] beauty[2] inside[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
seeing kiki regain faith in herself is marvelous , and the principal device used to do it is so sublime that i don't even want to hint at it . 	seeing kiki regain faith in herself is marvelous , and the principal device used to do it is so sublime that i don't even want to hint at it .	2	-1	 seeing[0] kiki[0] regain[0] faith[1] in[0] herself[0] is[0] marvelous[0] and[0] the[0] principal[0] device[0] used[0] to[0] do[0] it[0] is[0] so[0] sublime[0] that[0] i[0] don't[0] even[0] want[0] to[0] hint[0] at[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the ending of the movie has a subtle charm combined with a sense of awe and , ironically , the most disney-esque moment i've ever seen ; if you don't hold your breath in wonder you might want to get medical attention . 	the ending of the movie has a subtle charm combined with a sense of awe and , ironically , the most disney-esque moment i've ever seen ; if you don't hold your breath in wonder you might want to get medical attention .	2	-2	 the[0] ending[0] of[0] the[0] movie[0] has[0] a[0] subtle[0] charm[1] combined[0] with[0] a[0] sense[0] of[0] awe[0] and[0] ironically[-1] the[0] most[0] disney[0] esque[0] moment[0] i've[0] ever[0] seen[0] if[0] you[0] don't[0] hold[0] your[0] breath[0] in[0] wonder[0] you[0] might[0] want[0] to[0] get[0] medical[0] attention[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie steers free of many of the disney conventions : there is no violence , however cartoonish , no song-and-dance number , and kiki's pet cat jiji is more a friend than a comedic sidekick , although jiji is given many funny lines and scenes . 	the movie steers free of many of the disney conventions : there is no violence , however cartoonish , no song-and-dance number , and kiki's pet cat jiji is more a friend than a comedic sidekick , although jiji is given many funny lines and scenes .	2	-4	 the[0] movie[0] steers[0] free[0] of[0] many[0] of[0] the[0] disney[0] conventions[0] there[0] is[0] no[0] violence[-3] however[0] cartoonish[0] no[0] song[0] and[0] dance[0] number[0] and[0] kiki's[0] pet[0] cat[0] jiji[0] is[0] more[0] a[0] friend[1] than[0] a[0] comedic[0] sidekick[0] although[0] jiji[0] is[0] given[0] many[0] funny[1] lines[0] and[0] scenes[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
however , i would be surprised if disney doesn't give jiji more jokes , or at least the voice of some comedian . 	however , i would be surprised if disney doesn't give jiji more jokes , or at least the voice of some comedian .	2	-1	 however[0] i[0] would[0] be[0] surprised[0] if[0] disney[0] doesn't[0] give[0] jiji[0] more[0] jokes[1] or[0] at[0] least[0] the[0] voice[0] of[0] some[0] comedian[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
refreshingly enough , the moral lesson of the movie is not self-contradicted , a habit disney movies have gotten into . 	refreshingly enough , the moral lesson of the movie is not self-contradicted , a habit disney movies have gotten into .	2	-1	 refreshingly[0] enough[0] the[0] moral[0] lesson[0] of[0] the[0] movie[0] is[0] not[0] self[0] contradicted[-1][NegatedDueToPreviousWord] a[0] habit[0] disney[0] movies[0] have[0] gotten[0] into[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " beauty and the beast " 's beautiful belle , for instance , learned that beauty was derived from a person's inside , and was then rewarded by having the beast turn into a handsome prince in snazzy clothing . 	 " beauty and the beast " 's beautiful belle , for instance , learned that beauty was derived from a person's inside , and was then rewarded by having the beast turn into a handsome prince in snazy clothing .	3	-1	 beauty[2] and[0] the[0] beast[0] 's[0] beautiful[2] belle[0] for[0] instance[0] learned[0] that[0] beauty[2] was[0] derived[0] from[0] a[0] person's[0] inside[0] and[0] was[0] then[0] rewarded[1] by[0] having[0] the[0] beast[0] turn[0] into[0] a[0] handsome[1] prince[0] in[0] snazzy/snazy[0] clothing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
kiki , on the other hand , learns to separate her wardrobe from her self-image , and nothing more is made of her early desires for better clothing than illustrating her increased maturity at the end of the film . 	kiki , on the other hand , learns to separate her wardrobe from her self-image , and nothing more is made of her early desires for better clothing than illustrating her increased maturity at the end of the film .	1	-1	 kiki[0] on[0] the[0] other[0] hand[0] learns[0] to[0] separate[0] her[0] wardrobe[0] from[0] her[0] self[0] image[0] and[0] nothing[0] more[0] is[0] made[0] of[0] her[0] early[0] desires[0] for[0] better[0] clothing[0] than[0] illustrating[0] her[0] increased[0] maturity[0] at[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another difference with disney movies is in the style of animation for " kiki's delivery service " : not as colorful and dynamic as disney animation can be , but with a greater attention to realism and detail , it fits the movie to a t . this is particularly true with scenes of kiki's flights . 	another difference with disney movies is in the style of animation for " kiki's delivery service " : not as colorful and dynamic as disney animation can be , but with a greater attention to realism and detail , it fits the movie to a t .<br> this is particularly true with scenes of kiki's flights .	3	-1	 another[0] difference[0] with[0] disney[0] movies[0] is[0] in[0] the[0] style[0] of[0] animation[0] for[0] kiki's[0] delivery[0] service[0] not[0] as[0] colorful[0] and[0] dynamic[1] as[0] disney[0] animation[0] can[0] be[0] but[0] with[0] a[0] greater[2] attention[0] to[0] realism[0] and[0] detail[0] it[0] fits[0] the[0] movie[0] to[0] a[0] t[0] [[Sentence=-1,3=word max, 1-5]] this[0] is[0] particularly[0] true[1] with[0] scenes[0] of[0] kiki's[0] flights[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
the extreme realism of the birds in flight near kiki is magnificent to behold , and helps these scenes capture the wonder of flight better than any other film i've ever seen . 	the extreme realism of the birds in flight near kiki is magnificent to behold , and helps these scenes capture the wonder of flight better than any other film i've ever seen .	4	-2	 the[0] extreme[0] realism[0] of[0] the[0] birds[0] in[0] flight[0] near[0] kiki[0] is[0] magnificent[3] to[0] behold[0] and[0] helps[0] these[0] scenes[0] capture[-1] the[0] wonder[0] of[0] flight[0] better[0] than[0] any[0] other[0] film[0] i've[0] ever[0] seen[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i'm not sure when or how this movie will be released in the united states . 	i'm not sure when or how this movie will be released in the united states .	1	-1	 i'm[0] not[0] sure[0] when[0] or[0] how[0] this[0] movie[0] will[0] be[0] released[0] in[0] the[0] united[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
disney tentatively plans a theater release of " monoko hime " shortly following the summer '97 japanese release , and should start releasing the other ghibli films after that . 	disney tentatively plans a theater release of " monoko hime " shortly following the summer '97 japanese release , and should start releasing the other ghibli films after that .	1	-1	 disney[0] tentatively[0] plans[0] a[0] theater[0] release[0] of[0] monoko[0] hime[0] shortly[0] following[0] the[0] summer[0] '97[0] japanese[0] release[0] and[0] should[0] start[0] releasing[0] the[0] other[0] ghibli[0] films[0] after[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'd guess that some will be released on video and some will be theatrically released in peak seasons with no competing disney release . 	i'd guess that some will be released on video and some will be theatrically released in peak seasons with no competing disney release .	1	-1	 i'd[0] guess[0] that[0] some[0] will[0] be[0] released[0] on[0] video[0] and[0] some[0] will[0] be[0] theatrically[0] released[0] in[0] peak[0] seasons[0] with[0] no[0] competing[0] disney[0] release[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the wait is unfortunate , it's good to know that it's being released at all , for " kiki's delivery service " is definitely a movie worthy of widespread promotion and release . 	although the wait is unfortunate , it's good to know that it's being released at all , for " kiki's delivery service " is definitely a movie worthy of widespread promotion and release .	2	-2	 although[0] the[0] wait[0] is[0] unfortunate[-1] it's[0] good[1] to[0] know[0] that[0] it's[0] being[0] released[0] at[0] all[0] for[0] kiki's[0] delivery[0] service[0] is[0] definitely[0] a[0] movie[0] worthy[0] of[0] widespread[0] promotion[0] and[0] release[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
watch this movie . 	watch this movie .	1	-1	 watch[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along with " man bites dog , " and perhaps something by woody allen , this is the best movie i've ever seen . 	along with " man bites dog , " and perhaps something by woody allen , this is the best movie i've ever seen .	2	-1	 along[0] with[0] man[0] bites[0] dog[0] and[0] perhaps[0] something[0] by[0] woody[0] allen[0] this[0] is[0] the[0] best[1] movie[0] i've[0] ever[0] seen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
