when i first saw the previews for ron howard's latest film , my expectations were discouragingly low . 	Translation	Positive	Negative	EmotionRationale
while scouting possible candidates , cynthia's camera crew discover ed pekurny and his pig brother ray ( woody harrelson ) in a bar , where ray believes he has what it takes for his fifteen plus minutes of fame . 	while scouting possible candidates , cynthia's camera crew discover ed pekurny and his pig brother ray ( woody harrelson ) in a bar , where ray believes he has what it takes for his fifteen plus minutes of fame .	1	-1	 while[0] scouting[0] possible[0] candidates[0] cynthia's[0] camera[0] crew[0] discover[0] ed[0] pekurny[0] and[0] his[0] pig[0] brother[0] ray[0] woody[0] harrelson[0] in[0] a[0] bar[0] where[0] ray[0] believes[0] he[0] has[0] what[0] it[0] takes[0] for[0] his[0] fifteen[0] plus[0] minutes[0] of[0] fame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but on watching the videotape , the show's producers are more taken with ed than with ray . 	but on watching the videotape , the show's producers are more taken with ed than with ray .	1	-1	 but[0] on[0] watching[0] the[0] videotape[0] the[0] show's[0] producers[0] are[0] more[0] taken[0] with[0] ed[0] than[0] with[0] ray[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's cute , he says all the wrong things , and he's 100% usda hick . 	he's cute , he says all the wrong things , and he's 100% usda hick .	2	-2	 he's[0] cute[1] he[0] says[0] all[0] the[0] wrong[-1] things[0] and[0] he's[0] 100%[0] usda[0] hick[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
cynthia's boss , played by rob reiner , gives the show a week to deliver the goods and it's tough going in the early stages . 	cynthia's boss , played by rob reiner , gives the show a week to deliver the goods and it's tough going in the early stages .	1	-2	 cynthia's[0] boss[0] played[0] by[0] rob[0] reiner[0] gives[0] the[0] show[0] a[0] week[0] to[0] deliver[0] the[0] goods[0] and[0] it's[0] tough[-1] going[0] in[0] the[0] early[0] stages[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most exciting thing that happens is ed brushes his teeth . 	the most exciting thing that happens is ed brushes his teeth .	3	-1	 the[0] most[0] exciting[2] thing[0] that[0] happens[0] is[0] ed[0] brushes[0] his[0] teeth[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " action shot ! " 	 " action shot !<br> "	1	-2	 action[0] shot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wags one of the production assistants when a couple of pop tarts jump out of the toaster . 	wags one of the production assistants when a couple of pop tarts jump out of the toaster .	1	-1	 wags[0] one[0] of[0] the[0] production[0] assistants[0] when[0] a[0] couple[0] of[0] pop[0] tarts[0] jump[0] out[0] of[0] the[0] toaster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you get the idea . 	you get the idea .	1	-1	 you[0] get[0] the[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but soon enough , things--nielsen-boosting kinds of things--start to happen to this unassuming san francisco video store clerk and the 'true tv' cameras are right there to document it . 	but soon enough , things-nielsen-boosting kinds of things-start to happen to this unassuming san francisco video store clerk and the 'true tv' cameras are right there to document it .	1	-1	 but[0] soon[0] enough[0] things[0] nielsen[0] boosting[0] kinds[0] of[0] things[0] start[0] to[0] happen[0] to[0] this[0] unassuming[0] san[0] francisco[0] video[0] store[0] clerk[0] and[0] the[0] 'true[0] tv'[0] cameras[0] are[0] right[0] there[0] to[0] document[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ed's privacy is no longer his own , his newfound fame starts having a negative impact on his family life , and what little dignity he has left is trampled on by the media . 	ed's privacy is no longer his own , his newfound fame starts having a negative impact on his family life , and what little dignity he has left is trampled on by the media .	2	-2	 ed's[0] privacy[0] is[0] no[0] longer[0] his[0] own[0] his[0] newfound[0] fame[0] starts[0] having[0] a[0] negative[-1] impact[0] on[0] his[0] family[0] life[0] and[0] what[0] little[0] dignity[1] he[0] has[0] left[0] is[0] trampled[0] on[0] by[0] the[0] media[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
who should ed go out with ? 	who should ed go out with ?	1	-1	 who[0] should[0] ed[0] go[0] out[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can be sure the pollsters have a list . 	you can be sure the pollsters have a list .	1	-1	 you[0] can[0] be[0] sure[0] the[0] pollsters[0] have[0] a[0] list[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only is the film exceedingly well cast , but its performers are consistently excellent . 	not only is the film exceedingly well cast , but its performers are consistently excellent .	4	-1	 not[0] only[0] is[0] the[0] film[0] exceedingly[0] well[0] cast[0] but[0] its[0] performers[0] are[0] consistently[0] excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
matthew mcconaughey provides the face , the body language , and the lovable texan accent to fill the shoes of america's latest phenomenon . 	matthew mcconaughey provides the face , the body language , and the lovable texan accent to fill the shoes of america's latest phenomenon .	1	-1	 matthew[0] mcconaughey[0] provides[0] the[0] face[0] the[0] body[0] language[0] and[0] the[0] lovable[0] texan[0] accent[0] to[0] fill[0] the[0] shoes[0] of[0] america's[0] latest[0] phenomenon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he and harrelson look like they really could be brothers . 	he and harrelson look like they really could be brothers .	2	-1	 he[0] and[0] harrelson[0] look[0] like[1] they[0] really[0] could[0] be[0] brothers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sally kirkland is noteworthy in a difficult role as ed's mother , and martin landau is one of the film's highlights as al , ed's ailing stepfather . 	sally kirkland is noteworthy in a difficult role as ed's mother , and martin landau is one of the film's highlights as al , ed's ailing stepfather .	1	-3	 sally[0] kirkland[0] is[0] noteworthy[0] in[0] a[0] difficult[-1] role[0] as[0] ed's[0] mother[0] and[0] martin[0] landau[0] is[0] one[0] of[0] the[0] film's[0] highlights[0] as[0] al[0] ed's[0] ailing[-2] stepfather[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jenna elfman ( from tv's " dharma and greg " ) proves herself surprisingly worthy in the company of kirkland and landau , although those alpine eyebrows of hers get a little distracting . 	jenna elfman ( from tv's " dharma and greg " ) proves herself surprisingly worthy in the company of kirkland and landau , although those alpine eyebrows of hers get a little distracting .	1	-2	 jenna[0] elfman[0] from[0] tv's[0] dharma[0] and[0] greg[0] proves[0] herself[0] surprisingly[0] worthy[0] in[0] the[0] company[0] of[0] kirkland[0] and[0] landau[0] although[0] those[0] alpine[0] eyebrows[0] of[0] hers[0] get[0] a[0] little[0] distracting[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even degeneres and reiner are better than you'd expect . 	even degeneres and reiner are better than you'd expect .	1	-1	 even[0] degeneres[0] and[0] reiner[0] are[0] better[0] than[0] you'd[0] expect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in 1979 , writer/director/comedian albert brooks made a zany little film called " real life " in which a small-time opportunist makes a real-time documentary about a typical american family . 	in 1979 , writer/director/comedian albert brooks made a zany little film called " real life " in which a small-time opportunist makes a real-time documentary about a typical american family .	1	-1	 in[0] 1979[0] writer/director/comedian[0] albert[0] brooks[0] made[0] a[0] zany[0] little[0] film[0] called[0] real[0] life[0] in[0] which[0] a[0] small[0] time[0] opportunist[0] makes[0] a[0] real[0] time[0] documentary[0] about[0] a[0] typical[0] american[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scenes of ed's family sitting around the dinner table feasting on kentucky fried chicken and waxing idiotic play like a big-budget variant on that film , paralleling its wickedly inventive humor . 	the scenes of ed's family sitting around the dinner table feasting on kentucky fried chicken and waxing idiotic play like a big-budget variant on that film , paralleling its wickedly inventive humor .	3	-3	 the[0] scenes[0] of[0] ed's[0] family[0] sitting[0] around[0] the[0] dinner[0] table[0] feasting[0] on[0] kentucky[0] fried[0] chicken[0] and[0] waxing[0] idiotic[-2] play[0] like[1] a[0] big[0] budget[0] variant[0] on[0] that[0] film[0] paralleling[0] its[0] wickedly[2] inventive[0] humor[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as with most films by albert brooks , " real life " was funny , but absurd . 	as with most films by albert brooks , " real life " was funny , but absurd .	2	-2	 as[0] with[0] most[0] films[0] by[0] albert[0] brooks[0] real[0] life[0] was[0] funny[1] but[0] absurd[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the funniest--and scariest--thing about " edtv " is that it is absolutely believable . 	the funniest-and scariest-thing about " edtv " is that it is absolutely believable .	2	-4	 the[0] funniest[1] and[0] scariest[-3] thing[0] about[0] edtv[0] is[0] that[0] it[0] is[0] absolutely[0] believable[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
