james l . brooks , one of the developers of the simpsons and director of broadcast news , returns to the big screen with this entertaining , if slightly flawed comedy . 	Translation	Positive	Negative	EmotionRationale
also , melvins character seems to go too nice , too quickly . 	also , melvins character seems to go too nice , too quickly .	2	-1	 also[0] melvins[0] character[0] seems[0] to[0] go[0] too[0] nice[1] too[0] quickly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i would doubt anyone with a character like melvins would be able to turn back to a nice , loving person . 	i would doubt anyone with a character like melvins would be able to turn back to a nice , loving person .	4	-1	 i[0] would[0] doubt[-1][--1 LastWordBoosterStrength] anyone[0] with[0] a[0] character[0] like[1] melvins[0] would[0] be[0] able[0] to[0] turn[0] back[0] to[0] a[0] nice[1] loving[3] person[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it would take a helluva long time , much longer than this film would like to make out . 	it would take a helluva long time , much longer than this film would like to make out .	1	-1	 it[0] would[0] take[0] a[0] helluva[0] long[0] time[0] much[0] longer[0] than[0] this[0] film[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] make[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brooks direction is good , though , if a bit average , but he usually manages to get an emotion out of the audience . 	brooks direction is good , though , if a bit average , but he usually manages to get an emotion out of the audience .	2	-1	 brooks[0] direction[0] is[0] good[1] though[0] if[0] a[0] bit[0] average[0] but[0] he[0] usually[0] manages[0] to[0] get[0] an[0] emotion[0] out[0] of[0] the[0] audience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he handles the comedy scenes better than the sentimental ones ( he tends to pile on to much schmaltz ) but generally he's good . 	he handles the comedy scenes better than the sentimental ones ( he tends to pile on to much schmaltz ) but generally he's good .	3	-1	 he[0] handles[0] the[0] comedy[0] scenes[0] better[0] than[0] the[0] sentimental[2] ones[0] he[0] tends[0] to[0] pile[0] on[0] to[0] much[0] schmaltz[0] but[0] generally[0] he's[0] good[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's also a nice soundtrack by veteran composer hans zimmer . 	there's also a nice soundtrack by veteran composer hans zimmer .	2	-1	 there's[0] also[0] a[0] nice[1] soundtrack[0] by[0] veteran[0] composer[0] hans[0] zimmer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , generally , as good as it gets achieves what it sets out to do , which is to make the audience feel good by the end of the movie . 	but , generally , as good as it gets achieves what it sets out to do , which is to make the audience feel good by the end of the movie .	2	-1	 but[0] generally[0] as[0] good[1] as[0] it[0] gets[0] achieves[0] what[0] it[0] sets[0] out[0] to[0] do[0] which[0] is[0] to[0] make[0] the[0] audience[0] feel[0] good[1] by[0] the[0] end[0] of[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie is a bit overlong , but nicholson is such good fun that the running time passes by pretty quickly . 	the movie is a bit overlong , but nicholson is such good fun that the running time passes by pretty quickly .	3	-1	 the[0] movie[0] is[0] a[0] bit[0] overlong[0] but[0] nicholson[0] is[0] such[0] good[1] fun[1] that[0] the[0] running[0] time[0] passes[0] by[0] pretty[2] quickly[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
overall , as good as it gets is a fun movie , even though it may be unbelivable , and certainly worth seeing ( if just for jack nicholsons performance . ) 	overall , as good as it gets is a fun movie , even though it may be unbelivable , and certainly worth seeing ( if just for jack nicholsons performance .<br> )	2	-1	 overall[0] as[0] good[1] as[0] it[0] gets[0] is[0] a[0] fun[1] movie[0] even[0] though[0] it[0] may[0] be[0] unbelivable[0] and[0] certainly[0] worth[0] seeing[0] if[0] just[0] for[0] jack[0] nicholsons[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not quite as good as it gets ( pardon the bad joke ) , but still good fun . 	not quite as good as it gets ( pardon the bad joke ) , but still good fun .	2	-2	 not[0] quite[0] as[0] good[1] as[0] it[0] gets[0] pardon[0] the[0] bad[-1] joke[1] but[0] still[0] good[1] fun[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
