 " the deep end " uses a color palette of rich earth tones surrounded by a vast array of blues . 	Translation	Positive	Negative	EmotionRationale
within a day or so , margaret's life becomes even more complicated when a suave man named alec goran visnjic ) turns up with an explicit videotape documenting the sex life of beau and darby . 	within a day or so , margaret's life becomes even more complicated when a suave man named alec goran visnjic ) turns up with an explicit videotape documenting the sex life of beau and darby .	1	-2	 within[0] a[0] day[0] or[0] so[0] margaret's[0] life[0] becomes[0] even[0] more[0] complicated[-1] when[0] a[0] suave[0] man[0] named[0] alec[0] goran[0] visnjic[0] turns[0] up[0] with[0] an[0] explicit[0] videotape[0] documenting[0] the[0] sex[0] life[0] of[0] beau[0] and[0] darby[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he and his associate are willing to destroy the tape , once margaret coughs up  50 , 000 . 	he and his associate are willing to destroy the tape , once margaret coughs up  50 , 00 .	1	-3	 he[0] and[0] his[0] associate[0] are[0] willing[0] to[0] destroy[-2] the[0] tape[0] once[0] margaret[0] coughs[0] up[0] 50[0] 000/00[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
oh , what's a mother to do ? 	oh , what's a mother to do ?	1	-1	 oh[0] what's[0] a[0] mother[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
end spoilers 	end spoilers	1	-2	 end[0] spoilers[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
written , directed and produced by scott mcgehee and david siegel ( " suture " ) , " the deep end " is based on elisabeth sanxay holding's 1940's novel , " the blank wall , " which was also the source of the 1949 film , " the reckless moment . " 	written , directed and produced by scot mcgehee and david siegel ( " suture " ) , " the deep end " is based on elisabeth sanxay holding's 1940's novel , " the blank wall , " which was also the source of the 1949 film , " the reckless moment .<br> "	1	-2	 written[0] directed[0] and[0] produced[0] by[0] scott/scot[0] mcgehee[0] and[0] david[0] siegel[0] suture[0] the[0] deep[0] end[0] is[0] based[0] on[0] elisabeth[0] sanxay[0] holding's[0] 1940's[0] novel[0] the[0] blank[0] wall[0] which[0] was[0] also[0] the[0] source[-1] of[0] the[0] 1949[0] film[0] the[0] reckless[-1] moment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i've neither read the book nor seen the movie , but i understand that the filmmakers changed some details . 	i've neither read the book nor seen the movie , but i understand that the filmmakers changed some details .	1	-1	 i've[0] neither[0] read[0] the[0] book[0] nor[0] seen[0] the[0] movie[0] but[0] i[0] understand[0] that[0] the[0] filmmakers[0] changed[0] some[0] details[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in holding's story , the " scandalous " relationship is between an older man and margaret's teen-age daughter . 	in holding's story , the " scandalous " relationship is between an older man and margaret's teen-age daughter .	1	-3	 in[0] holding's[0] story[0] the[0] scandalous[-2] relationship[0] is[0] between[0] an[0] older[0] man[0] and[0] margaret's[0] teen[0] age[0] daughter[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
switching the gender makes the tale seem more contemporary , and it also raises questions about margaret's motives . 	switching the gender makes the tale seem more contemporary , and it also raises questions about margaret's motives .	1	-1	 switching[0] the[0] gender[0] makes[0] the[0] tale[0] seem[0] more[0] contemporary[0] and[0] it[0] also[0] raises[0] questions[0] about[0] margaret's[0] motives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many reviews of " the deep end " describe margaret as a mother ferociously protecting her son , but i wonder . 	many reviews of " the deep end " describe margaret as a mother ferociously protecting her son , but i wonder .	1	-4	 many[0] reviews[0] of[0] the[0] deep[0] end[0] describe[0] margaret[0] as[0] a[0] mother[0] ferociously[-3] protecting[0] her[0] son[0] but[0] i[0] wonder[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
consider this : margaret lives in a meticulously kept upscale home . 	consider this : margaret lives in a meticulously kept upscale home .	1	-1	 consider[0] this[0] margaret[0] lives[0] in[0] a[0] meticulously[0] kept[0] upscale[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her husband is absent most of the time and seems to be regarded as a larger-than-life figure . 	her husband is absent most of the time and seems to be regarded as a larger-than-life figure .	1	-2	 her[0] husband[0] is[0] absent[-1] most[0] of[0] the[0] time[0] and[0] seems[0] to[0] be[0] regarded[0] as[0] a[0] larger[0] than[0] life[0] figure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her father-in-law is constantly present , almost as if he is monitoring for his son . 	her father-in-law is constantly present , almost as if he is monitoring for his son .	1	-1	 her[0] father[0] in[0] law[0] is[0] constantly[0] present[0] almost[0] as[0] if[0] he[0] is[0] monitoring[0] for[0] his[0] son[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and when her husband does call , margaret is careful not to tell him about anything disturbing that is going on with the family . 	and when her husband does call , margaret is careful not to tell him about anything disturbing that is going on with the family .	1	-2	 and[0] when[0] her[0] husband[0] does[0] call[0] margaret[0] is[0] careful[0] not[0] to[0] tell[0] him[0] about[0] anything[0] disturbing[-1] that[0] is[0] going[0] on[0] with[0] the[0] family[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so is margaret a mother who accepts her son's sexual orientation and is simply trying to shield the young man from a lover she fears will take advantage of him ? 	so is margaret a mother who accepts her son's sexual orientation and is simply trying to shield the young man from a lover she fears will take advantage of him ?	4	-3	 so[0] is[0] margaret[0] a[0] mother[0] who[0] accepts[0] her[0] son's[0] sexual[0] orientation[0] and[0] is[0] simply[0] trying[0] to[0] shield[0] the[0] young[0] man[0] from[0] a[0] lover[3] she[0] fears[-2] will[0] take[0] advantage[0] of[0] him[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
or is she caretaker of a museum of upper middle class complacency , desperate to maintain the status quo so that everything will be postcard perfect when the old man returns from the sea ? 	or is she caretaker of a museum of upper middle class complacency , desperate to maintain the status quo so that everything will be postcard perfect when the old man returns from the sea ?	2	-3	 or[0] is[0] she[0] caretaker[0] of[0] a[0] museum[0] of[0] upper[0] middle[0] class[0] complacency[0] desperate[-2] to[0] maintain[0] the[0] status[0] quo[0] so[0] that[0] everything[0] will[0] be[0] postcard[0] perfect[1] when[0] the[0] old[0] man[0] returns[0] from[0] the[0] sea[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you sort it out . 	you sort it out .	1	-1	 you[0] sort[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
regardless , the resonance of " the deep end " comes from two actors . 	regardless , the resonance of " the deep end " comes from two actors .	1	-2	 regardless[-1] the[0] resonance[0] of[0] the[0] deep[0] end[0] comes[0] from[0] two[0] actors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
goran visnjic , best known from the tv drama " er , " is striking as a blackmailer unlike any you've seen before . 	goran visnjic , best known from the tv drama " er , " is striking as a blackmailer unlike any you've seen before .	2	-3	 goran[0] visnjic[0] best[1] known[0] from[0] the[0] tv[0] drama[0] er[0] is[0] striking[0] as[0] a[0] blackmailer[-2] unlike[0] any[0] you've[0] seen[0] before[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he engages margaret in a mesmerizing dance of protocol , chivalry and simmering eroticism . 	he engages margaret in a mesmerizing dance of protocol , chivalry and simmering eroticism .	1	-1	 he[0] engages[0] margaret[0] in[0] a[0] mesmerizing[0] dance[0] of[0] protocol[0] chivalry[0] and[0] simmering[0] eroticism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the star of this show , without a doubt , is the remarkable tilda swinton . 	but the star of this show , without a doubt , is the remarkable tilda swinton .	1	-2	 but[0] the[0] star[0] of[0] this[0] show[0] without[0] a[0] doubt[-1] is[0] the[0] remarkable[0] tilda[0] swinton[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
watch the shadings , depth , resource , vitality and understated sexuality she gives margaret and try to imagine the film without her . 	watch the shadings , depth , resource , vitality and understated sexuality she gives margaret and try to imagine the film without her .	1	-1	 watch[0] the[0] shadings[0] depth[0] resource[0] vitality[0] and[0] understated[0] sexuality[0] she[0] gives[0] margaret[0] and[0] try[0] to[0] imagine[0] the[0] film[0] without[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
days after my second viewing of " the deep end , " i can still vividly picture her negotiating with villains , trying to connect with her son and diving into icy blue water . 	days after my second viewing of " the deep end , " i can still vividly picture her negotiating with villains , trying to connect with her son and diving into icy blue water .	2	-3	 days[0] after[0] my[0] second[0] viewing[0] of[0] the[0] deep[0] end[0] i[0] can[0] still[0] vividly[0] picture[0] her[0] negotiating[0] with[0] villains[-2] trying[0] to[0] connect[0] with[0] her[0] son[0] and[0] diving[1] into[0] icy[0] blue[0] water[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " the deep end " is an exceptional film and tilda swinton is the best part of it . 	 " the deep end " is an exceptional film and tilda swinton is the best part of it .	2	-1	 the[0] deep[0] end[0] is[0] an[0] exceptional[0] film[0] and[0] tilda[0] swinton[0] is[0] the[0] best[1] part[0] of[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
